index,year,month,day,content,likecount,nickname,user_id
1,2019,10,15,希望我们能买到票,0,姿燕姿语,1949349113
2,2019,10,15,心情不好会听这首歌。以前很喜欢一个人可是她喜欢的人我朋友。后来刻意疏远每天自己一个人带着耳机听着坏天气。现在我有爱我的老婆，有可爱的儿子。以前是逃亡，现在是幸福，我要的幸福在不远处。,0,姿燕姿语,1949349113
3,2019,9,29,怎么这么少？,1,牙牙在乐,275052344
4,2019,8,17,可能是好心情 坏天气，也可能是坏心情 好天气。这首歌一直很喜欢。听歌就像听心情吧，朋友问为什么不去看明日之子，有孙燕姿啊，我说，我想听她唱歌。所以，陪伴了我16年的青春，明年演唱会，我会来的！,1,SherrySherry__,1431521761
5,2019,8,13,最喜欢的一句歌词就是：其实我只是输不起...是啊，我真的输不起...,0,木井_,105150750
6,2019,8,7,孩子气，其实我只是输不起,0,青年吴彦祖,86030695
7,2019,6,20,非常适合下雨天气听,0,Godiva66,56951598
8,2019,5,25,燕姿这种小情歌很不错！,0,messi171219,1306351155
9,2019,3,25,呜呜才这么几个评论也太好了,2,LapIace,355418011
10,2018,12,22,或许，真的要一个人过了,1,凉拌_汤圆,467906285
11,2018,12,9,孩子气输不起,2,开下门我是小流氓,495410651
12,2018,12,4,请问那个歌词到底应该是“数不清，害自己”还是“输不起，孩子气”😠……告诉我,1,罗罗网易云,452298574
13,2018,11,22,助力999+,0,贰叁肆月份,266530302
14,2018,11,12,果然还是习惯孙燕姿,0,晚上好好好好好好好,423656954
15,2018,9,17,我们淋着大雨 不知何时才放晴 但我永远愿意为你撑伞啊,2,_GALAXYMELODY,252512533
16,2018,9,1,这是昭阳离开米彩后在车上打开收音机听到的歌,0,时间像是奔跑的火车,484593359
17,2018,8,21,和你在一起的时候，你告诉我每天对你来说都是好天气。你走之后，我发现好像我的每天都是坏天气。,0,她的调调,298521070
18,2018,8,5,"♯ 你会来的
在对的时候 ​​​",1,UUUU____V,350473481
19,2018,8,4,为什么 不努力,0,_诗芊,81037679
20,2018,7,21,怎么可以这么少,1,一只会飞的瓢虫,309352784
21,2018,7,12,请见第二张专辑我要的幸福,1,藤井树-1997,390521908
22,2018,6,13,这首歌适合一个人安安静静的听！喜欢姿式的婉转转音,1,Stef_杨,1328319482
23,2018,6,11,都高考完了 还是没有一个女朋友啊,1,路边的踩花人,485180632
24,2018,6,1,听到这一句的时候刚好看到你的评论[大笑],0,苏北Alice,1390385460
25,2018,5,29,喜欢。[爱心]。,0,EULER_IS_EULER,64750781
26,2018,5,24,怎么喜欢的歌都这么少评论,2,空心人aliens,293890770
27,2018,5,6,日推[呆],0,張_贰,42585757
28,2018,4,9,解不开僵局,0,我和孙燕姿,100853806
29,2018,4,1,另外一专辑的有999+啊,0,STAR_8_ONE,126812842
30,2018,3,26,竟然没999+,1,闪烁星辰3,415543671
31,2018,3,23,KTV每次必点的歌，竟然才这么点评论，我可能用的是假的网易云,1,艾丝凡时代,87483381
32,2018,3,19,好歌没人听,0,开始折腾11,38312053
33,2018,3,6,坏天气,0,33轉的LP,630862795
34,2018,2,24,旋律很好听,1,33轉的LP,630862795
35,2018,2,10,惊了居然没有999+,1,其实我也不几道该叫啥,318595654
36,2018,1,30,这么好听，竟然没到999,3,BBEBB,290988237
37,2018,1,20,又没歌词？？？,2,Got小玫瑰,533109490
38,2018,1,19,有些人觉得评论装逼矫情，却不知道他们用了多少气力把情伤写成看似平淡无奇的句子。可以不懂，但还请不要妄自评价好坏。,1,Riuson,66224500
39,2018,1,18,日常打卡~,1,-大可可-,79984563
40,2018,1,16,daka,2,-大可可-,79984563
41,2018,1,3,陪伴了我每个高中夜晚中的歌，评论量竟然不足二百,2,失真必须开,119289484
42,2017,12,27,我们既然有伤害彼此的力气 为什么 不努力,2,奥特曼说地球没救了,479655953
43,2017,12,25,"“you may want me to forget about you, but I can't"". These words haunt me.",0,Taraaaaaaaa,135854354
44,2017,12,21,先开口的人算不算不争气,0,不会吃腻的饼干,60881014
