index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,离开你那个人 同时释放了你,0,鲸小奇fir,91471243
2,2019,11,28,谁给了你寂寞 寂寞还给你新生,0,鲸小奇fir,91471243
3,2019,11,28,姐姐真是我的童年吶,0,保持李志o,128828390
4,2019,11,27,"刻意去找的东西，往往是找不到的
世间万物的来和去，都有Ta自己的时间",0,这就是书中的长安,438405601
5,2019,11,27,全部感情落空 我真的喜欢你,2,zhangchaoke,558043241
6,2019,11,26,不急不急,0,墨blank,251652923
7,2019,11,26,他很诚恳 他很好 我也很好 在等我的人也很好 只是我和他不能在一起了,1,Juneeeee,1805591129
8,2019,11,26,这声音，听着真安心,0,给您添蘑菇了233333,59085576
9,2019,11,25,我真的让别人在等吗？,0,難得一堅,645761304
10,2019,11,25,但说起安慰，从来只有燕姿这首 [强]♥,1,周阿吟丶,246018254
11,2019,11,24,好好生活，慢慢相遇…,0,是你的楠同学阿,88933949
12,2019,11,23,最初总坚持自以为是的缘分，最后才顺其自然看花开无声。感同身受，一听就流泪，忍不住,0,心比天还空吗丶,369888878
13,2019,11,21,李偲菘 啊，孙燕姿  多么熟悉啊   希望词作者改对  李偲菘,1,零缺点-,545352622
14,2019,11,20,这周 都是孙燕姿了,0,flicker565,511987005
15,2019,11,20,不再是小年轻 不信爱情只信自己,2,又又又又777,1297657105
16,2019,11,20,第一次听的我时候还在想这是什么神仙歌词 再回过头一看作词是谁忽然就明白了,1,琦琦琦琦er,246440678
17,2019,11,20,灯火阑珊，何必急于看到那个人,0,芒果MANGO1111,601405095
18,2019,11,20,希望啊沁走出来,1,燕麦田里曼曼长胖,432131680
19,2019,11,19,日推最后一首歌～很好听！,0,南璐橘子,555564014
20,2019,11,18,我一点都不难过 不就是四天不联系嘛  有什么大不了的  这么久我都一个人过来了,0,吃面包不吃面包边儿,1526213315
21,2019,11,18,周杰伦 林俊杰 孙燕姿的歌  我不会腻 ！！！,1,当前网络不可用哦,380126842
22,2019,11,18,发现这首歌词和遇见的歌词真的很像很像,0,亭亭如-盖,1467636971
23,2019,11,18,林夕的词,1,9527是大寶,635119802
24,2019,11,17,"起初懵懂，伤害别人
后来似懂非懂，伤人伤己
现在尽量恢复平静，寻找无知时的勇气",2,迷宫底芯FEI,41512853
25,2019,11,16,啊啊啊啊啊啊！怎么会这么好听每次听，心里都泛起涟漪~,1,魔性的蘑菇,128604014
26,2019,11,15,现在我还在等 但我记性很差 我可能哪天就忘了你,0,鸡蛋可子,293490068
27,2019,11,15,抱抱小姐姐,0,超可爱馨馨姑凉,123271623
28,2019,11,15,孙燕姿好温暖,0,甄kat,320700462
29,2019,11,15,我的燕姿啊，最好的燕姿,0,-温柔豢养-,311876837
30,2019,11,14,哈哈哈我知道,0,Zz楚门的世界,39607659
31,2019,11,14,好吧，我承认我被感动了。,1,愿笑声似一滴滴吻,416155693
32,2019,11,13,几年前听这首歌时并不觉惊艳，如今再听，我发现我错了，老大的歌在我心中最好。当我备战考试想要放弃时，看到10.26在西安有你的演唱；与此同时，心中始终有着这样一个信念鼓励着我:“让自己变更好、更优秀、成为你最骄傲的小流氓！”我有你的歌陪我一起走这人生的旅程，该是有多幸运。,1,chenyuru0924,266077689
33,2019,11,13,谢谢你让我睡得安稳，没有拧开那盏灯。,0,用户110892553,110892553
34,2019,11,13,穿越人山人海我们终会相遇。,0,看到我请提醒我去学习1972,408954366
35,2019,11,12,[大哭]你的头像是我壁纸唉，然后我喜欢邓紫棋哈哈哈哈,1,_小白猪_,558470830
36,2019,11,12,等了好久,0,挑肥1拣瘦,337675897
37,2019,11,12,他也在等,2,n3r-,291065889
38,2019,11,12,你也让别人在等,0,苹果虫子0203,295595498
39,2019,11,12,诚恳只是他很感恩你 谢谢你的爱 但是他真的不怎么喜欢你而已啊,1,Raln1810,1626440275
40,2019,11,12,五年了，你还好么,0,Ambroise,137191645
41,2019,11,12,她诚恳，才不让你等。,0,糸桉,123325950
42,2019,11,12,有个男生说现在还没有能力所以不表白，这是诚恳吗,0,羲和EL,251487398
43,2019,11,12,我会花开无声的忘记你吗！？陈羽婷,0,Take哈哈哈,325638771
44,2019,11,12,她诚恳才不让我等[爱心],1,Wanziqingxing7,1476501900
45,2019,11,11,众里寻人,0,跳舞的梵谷180930,1542066811
46,2019,11,11,QQ打卡晚安,0,树先生Li,352545041
47,2019,11,11,灯火阑珊何必急于看到那个人,1,小lv_,413111027
48,2019,11,11,没有辜负清春,0,神经七八M,321636583
49,2019,11,11,QQ打卡而来+1,3,今天也很暖,1885054035
50,2019,11,11,QQ打卡而来,3,小泽181020,1647106428
51,2019,11,11,静待那个对的人,0,芒果过敏的咩宝,563129951
52,2019,11,11,谁的吻都值得感恩,0,银河千岁,470316268
53,2019,11,10,她的歌多多少少唱出了点心声,0,千冰雅,633518423
54,2019,11,10,妮妮那里来,3,Kenan克鲁尼,325684590
55,2019,11,9,众里寻他千百度，蓦然回首，那人却在，灯火阑珊处,0,想不起来用什么昵称好,376478310
56,2019,11,9,很神奇的一首歌，调调明明是伤感的，听下去却莫名给人生活的力量，这也是孙燕姿的魔力,3,blue丶Tide,364196459
