index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,大家都觉得风衣最佳，我却偏爱天天年年，如果这首歌能换个名字，可能会大火,0,Neyanbhbinzjy,281838262
2,2019,11,20,典型的姿式情歌，就是那么经典，曲和词，还有燕姿的演绎，完美!,1,半成熟爱姿,410632973
3,2019,11,20,是的呢！非常熟悉,0,零缺点-,545352622
4,2019,11,17,可能因为李思菘吧，哈哈,0,卜噜卜噜的,60075
5,2019,11,17,还记得那年和她一起去你的签售会，还记得那天和她一起冒雨去听你的演唱会……多年后，你依旧是你，真好，多年后，我们，不再是我们，真不好，剩下的，仅有祝福和回忆偶尔配合着你的歌声浮上心间……,2,熊喵星人类,590065904
6,2019,11,15,那年 喜欢的男生喜欢我最好的朋友,0,小D的萝卜,289815967
7,2019,11,12,今天的天气不错，突然想听这首歌,1,旧音乐懒散心情,417027050
8,2019,11,10,！！！我也jio得！听到别人放的那首特意过来分辨来着,0,橘之枳,378161043
9,2019,11,3,和那女孩对我说有些音好像啊,1,love天真呢,1870000077
10,2019,11,1,燕姿的铁粉主要是80后哈哈哈哈,0,休止符nine,444013834
11,2019,11,1,"“女孩”——“女生”——“女人”
我们都记得那些眼泪碰撞世界的瞬间和事件，连同其他在夏日里空气里呵出的白气里的触感和记忆，天天年年地把日子过着
“拿最初的心”，就能“一不小心”就把“一天”走成“一年”",0,谢小P谢小P,36145223
12,2019,10,29,爱让我们 真心几遍,1,RorryNg,100974529
13,2019,10,27,这首歌无论是作词作曲编曲都应该算得上是经典之作，但我感觉孙燕姿唱出来的意境没有我想要的那“曾发生在自己身边，但已是过来人”的感情，总的而言就是感情里少了一种洒脱,0,小进语,247170932
14,2019,10,25,有很多话想说但是只能闭嘴🤐️,0,Ivebouncedback,77811015
15,2019,10,24,下一次再见，女人要等好多年,0,阿霁yeah,344699090
16,2019,10,24,等啊等，等燕姿的演唱会,1,都被占用了-不知道叫什么,420119759
17,2019,10,23,90后也不少，不过我95后[多多捂脸],0,枫汕-Air,310852527
18,2019,10,21,还好我记住那一天，那有朵白云的一天,0,钙莉,260207642
19,2019,10,20,演唱会快来[流泪],0,sunsuntay,288918787
20,2019,10,20,两周年快乐呀梵谷,4,TwinklingKepler,581430392
21,2019,10,17,我媳妇说，这一天就是12月31日，所以一天变成了一年,0,画新上端,548474137
22,2019,10,16,爱让我们真心几遍,0,堆个大雪人o0OCarrie,377947783
23,2019,10,16,下雨的时候女孩听着旧音乐」,1,也不是猪只打呼,355734135
24,2019,10,16,emmmm80后,0,夏小莫,869908
25,2019,10,12,soga,0,是赤道无风带,341829089
26,2019,10,11,一边走路，一边纪念,2,O_oHULLO,343829645
27,2019,10,11,呜呜呜呜俺最近好喜欢这首。,0,也不是猪只打呼,355734135
28,2019,10,9,听着这首歌想起读书时和你走过的小路。前些天QQ空间看到你生小孩的动态，心里满是祝福呢,1,苦瓜卟甜,284582321
29,2019,10,9,我是在外面等的[大笑],0,孙燕姿哟,476147851
