index,year,month,day,content,likecount,nickname,user_id
1,2019,11,19,自己喜欢就好，非要比,1,Eth酱,548294006
2,2019,11,13,突然间对   叶启超整个人没有了好感,0,衣柜里总少了那么一件衣服,484115148
3,2019,11,4,更加洒脱一些的感觉！大爱,0,雷诺铖,355160449
4,2019,10,27,女神的翻唱真是让人好听到裂开了，唱出了自己的味道。王菲版本的很空灵轻柔，女神版本的很有力量和态度。,0,liffeny,475362617
5,2019,10,27,我能翻网易云品论翻一下午。,1,MAIK丶,113479206
6,2019,10,26,我发现了宝藏,0,鲨鱼鲨鱼鲨鱼粥,258191902
7,2019,10,25,编曲很棒 特别是后面的部分,0,VHshsbjznska,304436387
8,2019,10,25,滚开,1,VHshsbjznska,304436387
9,2019,10,24,我天天望 何时才能成一片,0,59君,258626105
10,2019,10,21,翻唱孙燕姿才是自杀,0,胡萝卜炒蛋,265685335
11,2019,10,17,好美好美,0,凪于,377147459
12,2019,10,12,当年在家玩着英雄萨姆 边听这首天空 当我端着机枪扫射成群的怪物时有一种强烈的悲壮感！,1,死核少女,129647828
13,2019,10,11,狠,0,sunjiahang,375838001
14,2019,10,7,达成999,0,所有名字都被占啦,248547937
15,2019,10,6,趁着没999+来占个坑～,0,吴迪迪迪迪di,329247569
16,2019,10,2,我的天空,0,过往云烟视而不见,305289320
17,2019,9,26,爱了,0,小罗伯特妮妮n,1795075550
18,2019,9,24,宝藏歌曲,0,吉塔哥哥-,255420744
19,2019,9,24,还是孙燕姿的感觉,0,吉塔哥哥-,255420744
20,2019,9,23,燕姿真的太好了,2,霉头霉脑云散月现自在飞花slay,42294326
21,2019,9,21,真的很棒~,0,starrylee,29431936
22,2019,9,17,看你头像就知道你是什么人啦弟弟,3,椥裕,83021924
23,2019,9,17,真的很好听,0,椥裕,83021924
24,2019,9,15,同一片天空，不同的人,1,不负心仪,385386959
25,2019,9,14,太好听啦,0,sunjiahang,375838001
26,2019,9,13,[多多无语],0,唐某不沾刘女,347702944
27,2019,9,10,我知道你离不开我 不知道为什么 就是会这样觉得,0,Harburr,382651369
28,2019,9,5,我没喷你，你啥时候看见我骂你了，我只是解释我为啥生气,0,欢喜孙燕姿,325641238
29,2019,9,4,别喷我～你应该问他删了什么,0,李现的壹号老公,1929476312
30,2019,9,4,我没觉得原唱好听就不乐意，如果只是说了一句是翻唱他删什么？,0,欢喜孙燕姿,325641238
31,2019,9,3,我记得楼主只是说了一句燕姿是翻唱，然后就有人骂他～我也是燕姿的粉丝，总觉得燕窝不应该表现得这么小气。,2,李现的壹号老公,1929476312
32,2019,9,3,我知道，我说这句话肯定是作者说了什么过分的话，不过他评论删除了，我也看不了,0,欢喜孙燕姿,325641238
