index,year,month,day,content,likecount,nickname,user_id
1,2019,10,21,我爱上让我奋不顾身的一个人,1,绵绵困意,471990744
2,2019,10,17,就像你在讲故事一样,1,岚子yours,1662312226
3,2019,8,19,爱了 daka,0,潜水大鲸鱼,476471883
4,2019,7,31,钢琴音好感人,0,top_Aprilworld,1303520511
5,2019,7,28,118打个卡。这个版本更动情啊！,2,苏小劫,251032784
6,2019,7,26,117打个卡,0,圈圈圈圆圈圆圈圈的圆,260089010
7,2019,7,24,真的能听哭嘻嘻嘻,0,俊勉,38031371
8,2019,7,23,生日快乐,0,lousa,3509805
9,2019,7,16,114蛮,1,Seal饲养员,546612307
10,2019,7,10,喜欢,0,月光下的摩天轮-,572548537
11,2019,7,10,好听,0,月光下的摩天轮-,572548537
12,2019,5,4,分享一下更棒,0,BIG--M,131288649
13,2019,4,18,独享何尝不是一种幸福,4,LapIace,355418011
14,2019,2,13,这是LIVE吗？？。。。怎么听起来不像。。现场怎么这个收音？？？,1,Nembutal,285968582
15,2019,1,24,待会儿快点回家不要着凉ho'~,2,雨还是不停地落下_,100825170
16,2019,1,6,可以评论吗？,1,十里馬,99769500
17,2018,10,17,声音好有特点,2,橘子7777777777,303507867
18,2018,10,8,已修改后缀 感谢反馈～,1,05ERSHI,53884823
19,2018,9,26,❄️,1,Tdiox,556327162
20,2018,8,5,按时间顺序一张一张地听燕姿的专辑，试着去体会用心喜欢一个人是怎样的感觉，了解她的成长，了解她如何是她，试着不再只艳羡一个人的光芒，而能够耐下心来倾听她的诉说。哪怕这种诉说到头来还是光芒。用心过，才有资格说喜欢。,14,许你一汪时间的空灵,130936872
21,2018,8,2,🎧,1,_诗芊,81037679
22,2018,7,22,最好听的版本是start演唱会的版本，这个是录音室版本，都一样。,0,跳舞的克卜勒,122786310
23,2018,7,18,我学校门口的103公交车走了,0,欲盖弥彰ove,254470139
24,2018,7,5,102🙃🙃,0,九篱啊,408195035
25,2018,7,3,101[大笑],0,_吹红了桃花,1397717489
26,2018,6,25,100凑个整吧~,0,00小星,314714929
27,2018,6,25,99伴奏也不错,0,00小星,314714929
28,2018,6,25,98声音好听,0,00小星,314714929
29,2018,6,21,听说是最好听的版本，可是评论点赞上不去啊。,0,I_Belive,259675150
30,2018,6,21,o8878,1,跳舞的梵谷yanzi,318974517
31,2018,6,21,我要到一百,1,跳舞的梵谷yanzi,318974517
32,2018,6,21,最爱孙燕姿,1,跳舞的梵谷yanzi,318974517
33,2018,6,18,93打卡[可爱],0,回忆沙漏170404,451355474
34,2018,6,6,我出生了,0,微型战巡,295703479
35,2018,5,27,在最美的年纪没遇上最对的人,0,我的无悔,514635378
36,2018,5,1,我爱上让我奋不顾身的一个人,2,樱花树下的garnet_crow,109380280
37,2018,4,14,89。    初二那年开始听孙燕姿，现在大三 ,0,帐号已注销,363055629
38,2018,3,30,买的第一张演唱会VCD，至今还珍藏在家里,1,依德2008,282068077
39,2018,3,26,87~,0,我有一只花栗鼠,385000422
40,2018,3,20,86🙋,0,买坛陈醋,136398696
41,2018,3,19,没有见过我的姥姥 但我想 她一定很美很温柔,4,钰肖,443006079
42,2018,3,18,84[憨笑],0,殊_Doreen,45985364
43,2018,3,11,83报道！,0,延小河,380150378
44,2018,2,24,评论有点少啊。,0,狂顾以求群,425540047
45,2018,2,18,81是我!,1,某科学的咸鱼柴柴w,391103476
46,2018,2,17,深海遗珠，这才是我要的《天黑黑》。,0,做梦唱仆光,397031406
47,2018,2,15,想看一场燕姿的演唱会[流泪],1,Jonah乔纳,478575663
48,2018,2,10,哇噻！78！恍恍惚惚红红火火哈哈哈哈哈哈,0,不再万能喜剧,85021020
49,2018,2,10,来了.！,0,Ly001129,260232333
50,2018,2,9,76!!,0,向往北方的日子和乐子,75903833
51,2018,1,25,75报道！,0,gag1111,317616062
52,2018,1,17,74我了 竟然没有999+（对不住楼上的兄弟 我真的是74楼[鬼脸]）,3,南瓜搞不好,131587147
53,2018,1,3,74我了，评论居然这么少,1,周佳豪-,367831881
54,2017,12,27,宁愿不联系默默的喜欢你 也不要没有名份的暧昧,2,Veinard丶,354894229
55,2017,12,26,🔨,0,鹿生鲜,29237319
56,2017,12,19,打卡,0,Jonah乔纳,478575663
57,2017,12,12,六十八，我也很搞笑。,0,她说我瘦了会很帅,270247767
58,2017,12,11,第六十7,0,i昵称ma,308294226
59,2017,12,3,第六十六打卡,0,杂食仔,95780499
60,2017,11,29,2000年，二年级,1,可以乐的,11847380
61,2017,10,9,我还有这场演唱会的dvd……小时候看了无数遍，还是很爱[亲亲],1,植物学家,15498844
62,2017,9,11,听的第一首  快15年了  第10年的时候因为她的歌认识一个盆友  现在又快5年了  好快,1,往太阳的方向生长,7325312
63,2017,8,30,zhong有残缺[可爱][可爱] 我爱豆那时候偶尔夹带着塑料普通话。[亲亲][亲亲][亲亲],19,白開水_Stef,63024998
64,2017,8,25,PC端吗？没发现。。。[大哭],0,Ssongstc,97583652
65,2017,8,23,选项里还原歌曲信息，再匹配一次应该就会好啦[可爱],0,刮风这天七里香,380676907
66,2017,8,22,那一年 我一岁,2,____波澜不惊,75820543
67,2017,8,21,我的也是,0,Ssongstc,97583652
68,2017,8,10,[呆]为什么我的CD版会被匹配成live版,1,刮风这天七里香,380676907
69,2017,7,27,音色超好听[憨笑][憨笑][憨笑][憨笑][可爱],0,咚-咚-咚--,100583445
70,2017,6,23,那一年，我好像刚会走,0,无敌喷火娃,356040626
71,2017,6,17,万人演唱会live版，怎么开头都没有欢呼声,3,Amapolaish,302532190
72,2017,6,15,这一年，我回忆那几年,1,cheeseandkisses_,109894617
73,2017,5,23,2000燕姿的音色稚嫩，青涩，巅峰状态,6,Ro1030,90652954
74,2017,5,18,那一年，我初二。,1,Caesarie,259269852
75,2017,5,3,黑黑天,0,阿Dar,94482447
76,2017,4,27,那一年，我幼稚园,2,阿逸王,67611552
77,2017,4,26,那一年，我大一……,1,草堂春睡足,1708864
