index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,这7级号，浪费了，啧啧啧,0,Ar快乐的小二,1501395090
2,2019,11,25,"我睡不好
小别 太多
思念 太早",0,座瓶水是我惜可,253248732
3,2019,11,25,下了很久的雨啦,0,Tdiox,556327162
4,2019,11,23,大早上听孙燕姿的歌听哭了,0,hedragonhao,444581426
5,2019,11,23,明年一定要去看演唱会[流泪],0,夜间第一人格,133203226
6,2019,11,22,你有毒吗1点不睡觉在原唱下面说唱的不好,1,GOREEEE,97763624
7,2019,11,22,喜欢学友版就去隔壁，在原唱下面你撒什么野，这场live感情多么强烈你造吗？慢走不送,1,Wilreams,366115209
8,2019,11,22,差得很，没有比张学友唱的好听,0,蓝雨1170,604456769
9,2019,11,20,我想回家,0,树懒酱_,249568237
10,2019,11,19,哈哈哈哈哈,0,Xiaoxiaoxiaoxiaoxiao-,1423370151
11,2019,11,16,听燕姿说话，心都化了,2,Jeromelei,322533711
12,2019,11,15,流弊，笑到停不下来,0,太喧闹的城市不适合看星星,358447601
13,2019,11,14,我真的在办公室笑出声,0,Aka7777,105416277
14,2019,11,13,那是男的,0,番薯儿子的番薯爸,1640746850
15,2019,11,13,好温柔的燕姿,0,阿硕Monica,442511776
16,2019,11,9,我真的好爱她 明年一定要看去看演唱会,0,一点点都不静静,17445521
17,2019,11,7,"「待会快点回家不要着凉哦 」
呜呜呜呜呜呜呜呜我死了燕姿姐好妈呜呜呜呜呜呜呜呜",1,-林热忱-,1792465
18,2019,11,5,快点开演唱会吧,0,虾细声,437360100
19,2019,11,4,Live比CD还要稳的唱功😯😯😯,0,谢小P谢小P,36145223
20,2019,11,3,我前女友的名字也叫孙燕姿听到这首歌我想她了,2,我是不是你伯,1466954484
21,2019,11,3,温柔永不落幕。[多多大哭],0,-林热忱-,1792465
22,2019,10,31,下起雨也要勇敢前进[多多大笑],0,嗷大喵---,33924055
23,2019,10,31,我爱上一个让我奋不顾身的人,0,ValentinoR,627712966
24,2019,10,30,第一次听这歌版本,0,AC0377,45349328
25,2019,10,30,待会快点回家，不要着凉，吼~~ 好温暖,0,Selina硕,1821627430
26,2019,10,27,你外婆是不是叫容嬷嬷[奸笑],0,一个扮上进的有为青年,95154206
27,2019,10,26,不要着凉哦,1,嗷大喵---,33924055
28,2019,10,24,"""我只是在很多个小瞬间想起你。
比如，一部电影，一首歌，一句歌词，
一条马路和无数个闭上眼的瞬间。""",6,Petit-arbre,130397977
29,2019,10,24,好温柔！！！！,1,埃罗仙人,1361804348
30,2019,10,23,“待会快点回家，不要着凉哦”多么温柔啊,4,CHARLES_MAY,269485916
31,2019,10,19,太可爱了,2,一斛清欢,439150060
32,2019,10,16,我的外婆不在了，不敢听,0,杨涛181229,1717465728
33,2019,10,13,一时不知道说什么   我想那个离我900多公里的猪[女孩],1,Tis21,270996266
34,2019,10,12,"Grandma, I miss you and I love you. I’ll live with your love for the rest of my life and make you proud of me as you’ve made me proud of you!",1,洛林-恩,683122
35,2019,10,12,早点回家，别着凉了哦,0,橙加红-,292507124
36,2019,10,6,好多年了，感受不同，却还是泪流满面。,2,莉莉安525_,432804201
37,2019,10,5,果然外婆也有别人家的外婆,0,我会发光啊X,297153176
38,2019,10,5,十几年后，再听天黑黑，物是人非,2,郭一休,17374053
39,2019,10,4,数你了,0,ladyHunt_,1670302200
40,2019,10,3,"燕姿一出道，就抢走了一同出道的杰伦的最佳新人奖。
抢走新人奖的那首歌，就是《天黑黑》
后来周董快把整个歌坛的大小奖项拿遍，却再也凑不齐大满贯……
为杰伦点播一首《我怀念的》……",16,轻舟已过万重山7,299538403
41,2019,9,29,好南哦,1,半座城池丶,500055772
42,2019,9,22,好暖呀.,2,昆虫蔬菜,507445387
43,2019,9,21,为什么我的外婆在我任性吵闹的时候跟我说：＂山上的狐狸专门吃不睡觉的小孩.,3,昆虫蔬菜,507445387
44,2019,9,12,我的小时候长到人性的时候 我的外婆总会拿刀捅我,0,带你乘风,478427334
45,2019,9,10,必须把,0,半座城池丶,500055772
46,2019,9,8,追到着是真爱了,0,半座城池丶,500055772
47,2019,9,7,缓缓，归。,1,不要香菜不要海带,316356762
48,2019,9,7,这真的是我最喜欢的一首live了，每次听都好感动，特别是最后哭了的时候我也快哭了。,7,滑板小子-,565817648
49,2019,9,5,live好听的不得了,1,bqs_anhui,1575754333
50,2019,9,3,明年有成都吗,1,罗网杀手黑白玄翦,512402422
51,2019,9,3,我喜欢她20年了,0,longfive222,1726087250
52,2019,9,3,我刚才都困了 迷迷糊糊,0,听见开心的你关灯,85595893
53,2019,9,3,哈哈哈 是的,0,听见开心的你关灯,85595893
54,2019,9,2,@听见开心的你关灯 这首现场更好听，更能触动心弦,0,欢欢吴小欢,270624600
55,2019,9,2,兄弟命硬，在下佩服,1,Phoenix-Stg,287711790
56,2019,9,2,是个狼人,1,一手机一世界丷,280145095
57,2019,9,1,真遗憾没有去过演唱会,1,百香果糖罐,578707052
58,2019,8,25,期待明年的演唱会，也要努力成为万人合唱中的一员，努力去见自己想见的人。,5,爱燕姿的小朋友,1549162488
59,2019,8,25,明年有演唱会嘛？,0,ShiMengAndHome,481870340
60,2019,8,19,这一场的live真的听一次哭一次[流泪],2,瘦尽灯花又一宵1998,323009693
61,2019,8,13,好安静哦这首歌 晚安吼,0,iam董-,113446705
62,2019,8,10,你是秀儿吗？,0,丶王朝帅,1534570630
63,2019,8,10,明年见！想想就开心哈哈,0,诗歌还是胡说,5610225
64,2019,8,10,谁记得自己曾经有一个孙燕姿一般的女友走丢了？,1,看似幸福的苦行僧,1709347485
65,2019,8,10,明年见啊！！！姿迷！,0,贫乳黑丝双马尾,349758941
66,2019,8,8,笑死,2,浊山铸,1691476084
67,2019,8,4,循环live一个星期了，充满希望直到明年演唱会,2,诗歌还是胡说,5610225
68,2019,8,4,我的青春,0,宜城老高,480189733
69,2019,8,3,小宝贝哭得我心都要碎了呜呜呜呜呜呜,0,漂浮群岛et_moi,101098936
70,2019,8,3,我爱她呜呜呜呜呜呜,5,漂浮群岛et_moi,101098936
71,2019,8,3,最感人的一个版本！,0,另一张脸2019,1551171818
72,2019,8,3,很小的时候听过 那个时候打电话给那种彩铃设置的听 [大哭]  当时把家里的电话话费花了很多  被奶奶打了一顿,0,蝙蝠女侠8,1331949474
73,2019,8,2,你死了没,0,做个笑娃娃,1901930637
74,2019,8,2,肚皮笑出窝窝，你洗了没,0,做个笑娃娃,1901930637
75,2019,8,2,你是我的奋不顾身也是我的十年也是我的初恋也是我再看一眼却还是想拥有的人,3,Lucifer_Cmj,300927307
76,2019,7,31,李泽珑粉丝 彻底爱上孙燕姿了,4,Even0616,443557337
77,2019,7,31,不要哭,0,Kepler__r,413257278
78,2019,7,29,啊流泪了,4,Kepler__r,413257278
79,2019,7,29,哭了,1,Kepler__r,413257278
80,2019,7,28,听得快哭了，看到你评论成功把我拉了回来[吐舌],2,雨落画夕阳,583717004
81,2019,7,27,每次听的时候不哭，直到我翻开一页一页的评论，终于控制不住,0,Heathy_and_you,338861379
82,2019,7,20,唯一听哭的歌,1,xyyy-_-06,1812524202
83,2019,7,20,忽然这么多年过去了,0,stoneleon24,642435653
84,2019,7,17,这首歌的粤语版【下雨看世界】古巨基唱的，别有一番味道,0,Jim米彡,1386921286
85,2019,7,15,我想建个网易云音乐群，每个人分享一些自己感觉好听的音乐，可以分享自己的故事你点赞我私信。[爱心],6,小二来碗瑜粥,1296079689
86,2019,7,13,你要笑死我吗,0,两秒后失控,292482735
87,2019,7,8,待会快点回家不要着凉噢,5,梦来找你了,534637157
88,2019,7,5,我不难过。live太好了,2,守望美好面庞,103520141
