index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,初中的回忆呀,0,若杳音一许,590918326
2,2019,10,19,第521条评论☞,2,一罐子咖啡,477604737
3,2019,10,6,我丢？没人？,0,Yekya_,1295822862
4,2019,9,24,主要是我也是这样,0,一个不太会聊天的人,247329241
5,2019,9,23,对，终于找到了个明白人,0,孤独时代的橘猫儿,511954812
6,2019,9,23,你是下载了一发的放云盘，然后wyy识别成孙燕姿的,0,一个不太会聊天的人,247329241
7,2019,8,20,是吧，她的声音是跟孙燕姿很像,0,孤独时代的橘猫儿,511954812
8,2019,8,19,这声音真是孙燕姿的，大哥你听错了,0,阿城南,289035941
9,2019,8,18,这个声音不是孙燕姿的,0,孤独时代的橘猫儿,511954812
10,2019,8,16,这就是孙燕姿的歌啊，,0,阿城南,289035941
11,2019,8,15,这不是孙燕姿唱的啦,2,孤独时代的橘猫儿,511954812
12,2019,8,15,为啥这不是孙燕姿唱的，却是她的名字？！,1,孤独时代的橘猫儿,511954812
13,2019,8,15,发发发[爱心][爱心],1,孤独时代的橘猫儿,511954812
14,2019,8,15,啊啊啊啊啊啊啊啊啊啊啊啊啊，这是发麻麻唱的[星星][星星],1,孤独时代的橘猫儿,511954812
15,2019,8,11,这样子,0,我等你到叁拾伍岁,517730571
16,2019,8,11,国内都能听，但在国外其他版本有地域限制，只有这首没有[呲牙],0,孤独的王先生,102498263
17,2019,8,10,在国内也能听啊,0,我等你到叁拾伍岁,517730571
18,2019,8,5,窗外天气明朗，万物都散发着生机，生活如此可爱，出去采采风多好。（为什么要被束缚和束缚）[禁止],0,左亦辰,549082786
19,2019,7,31,这不是孙燕姿唱的哦,1,孤独时代的橘猫儿,511954812
20,2019,7,31,67373[爱心][爱心],1,孤独时代的橘猫儿,511954812
21,2019,7,31,发姐，同在[爱心],1,孤独时代的橘猫儿,511954812
22,2019,7,29,难以理解的评论数量,0,爱香水的红色女孩,1582895338
23,2019,7,18,国内的哦,0,你喺度做咩,1681768192
24,2019,7,17,天黑黑,0,面目全非的猫,257969161
25,2019,7,14,2000年的歌了 第一首我会唱的燕姿的歌,0,hydrogenhi,1597587086
26,2019,7,12,我好想妈妈,0,Mellerio__o,41034457
27,2019,6,26,你也是真的放下了叭,1,-周而-复始,1446051687
28,2019,6,24,孙燕姿真的会唱闽南语吗？？,0,適生游方,307444522
29,2019,6,23,离家,0,是个可爱昭,1367895423
30,2019,6,23,之前用Q音乐的时候，就很喜欢这首歌。今天在听他的歌的时候经于又听到这首歌，爱很难受，难过也要爱,2,是个可爱昭,1367895423
31,2019,6,19,私人FM给推的哼哼[吐舌],0,啊兔超酷,276911655
32,2019,6,13,我的小时候，吵闹任性的时候，你就不在了，08年的奥运会汶川大地震   我也失去了你,1,Xx1JjYy,444263941
33,2019,6,13,安静,0,嘉鑫爱吃夹心饼干,6705737
34,2019,6,1,为什么在国外？？？,0,Alan1夏天,403980435
35,2019,5,31,我以为这就是我所追求的世界,0,犹如流水,504340858
36,2019,5,31,很好听,0,犹如流水,504340858
37,2019,5,18,好,0,麦榑,1427316008
38,2019,5,14,哦豁,0,帅气的清浅,548873912
39,2019,5,3,在凌晨听真好,0,老街恒久远,578789711
40,2019,4,19,哈哈哈哈哈哈,0,小黄瓜的网易云云,365993411
41,2019,4,12,这歌评论这么少，可能是因为评论没在这张专辑吧，这张专辑只是把amei和孙燕姿的歌凑一起了[大哭],0,Wmit王密特,380997883
42,2019,4,7,现在可以发评论了吗。,0,戈多132,271715494
43,2019,4,7,哈哈哈,0,戈多132,271715494
44,2019,3,27,我爱上一个让我奋不顾身的人,0,弗洛伊德不信佛,246393112
45,2019,3,9,只有你能生气么，我就不能生气么,0,__deEply,89397890
46,2019,3,3,你可以让小冰冰唱一下这首歌,0,光阴171016,620526302
47,2019,2,20,为什么不是999+,1,Xx1JjYy,444263941
48,2019,1,31,闽南语的力量,1,景川_JING,1749954157
49,2019,1,11,一年后就在国外了 ,0,猪磕,507126294
50,2019,1,11,国内的日推过来凑热闹  [可爱],2,大宋朝阳,321470582
51,2019,1,8,为什么我在国内也喜欢[亲亲],1,凯poison,333269843
52,2019,1,1,这歌竟然没有评论？？,2,-当冬夜渐暖-,258392221
53,2018,12,29,[流感],0,木三无,324122133
54,2018,12,23,我现在好想回家去,1,米汤哥哥,1344433799
55,2018,12,20,是潮汕话啦,0,流水-轻觞,1555634699
56,2018,12,15,天黑黑,1,南有沐曦,408982841
57,2018,12,13,特别喜欢这首歌,1,UGa毒草,1338275861
58,2018,12,9,天黑黑,0,你也是路痴嗎,398301068
59,2018,11,18,是闽南语呀,2,桠亓,623162115
60,2018,11,14,这方言是。。。浙江话吗,1,这个用英语怎么说,1328011201
61,2018,11,4,？为啥是国外啊？？,2,嫚儿嫚儿,1395487840
62,2018,10,31,我想，我等，我期待，未来有一个人在等待，那就是你呀,1,一禾斗,511967521
63,2018,10,31,孙燕姿我爱你，你爱我吗，什么，大声点，我听不见，再大声点,3,一禾斗,511967521
64,2018,10,25,安静听歌就好,1,__LC_-,95667122
65,2018,10,24,好听炸了,2,n不渡己,618325848
66,2018,10,22,为啥说是国外,1,Wortel,75265758
67,2018,10,12,为什么这么点评论，不应该呀！,1,JKY445,376755342
68,2018,10,2,很好听 自从听了安琪的 喜欢上了这首歌,5,S行天下,332601778
69,2018,9,17,我就是在国内这首忠粉,4,世界斑斓心不可堕,491379926
70,2018,9,12,假装自己是国外的[奸笑],3,目标是-,358089682
71,2018,8,21,我就是国内的,5,YOUNGAI686,1502014806
72,2018,8,21,想她,1,tlewv,539539489
73,2018,8,20,听这歌想起了作古的奶奶,1,请喜欢自己一点,285338313
74,2018,8,9,总想说什么，却最终缄默,1,不二_-_先生,1455065360
75,2018,8,5,记忆里都是外婆,4,要少吃零食,642407913
76,2018,7,23,🔥,0,红颜若雪yyx,1479666562
77,2018,7,11,只有我听这歌是因为怀念外婆吗,6,晚来风x,247426635
78,2018,7,7,然而却没有一个能让我奋不顾身去爱的人[哀伤],4,暴走小小玛,448138432
79,2018,7,6,可是我在中国[大哭],0,不会使用魔法棒的小仙女,328352561
80,2018,5,18,红红火火恍恍惚惚,2,比乙醇还纯de,500305331
81,2018,5,8,国内在此,5,寒沁4120,283143301
82,2018,5,7,好听,2,诗范学院,494212248
83,2018,5,6,高中时候英语老师教我们唱的歌 回头一看才发现已经过去那么那么久了,8,爱迪熟,444849198
84,2018,5,6,😂河南的,5,-夕-阳-无-限-好-,419603934
85,2018,5,5,什么国外,2,YD神童,91274526
86,2018,5,3,"像，感冒了的声音
",1,雾萧,399840982
87,2018,4,9,这么少吗  你们的故事呢？,1,幻境Cover,504780098
88,2018,4,8,好的吧！那就这样吧！！！行，你开心就好，你开心就好,1,真的超麻烦你的,496205793
89,2018,4,7,"要是想分手了
来听听这首歌吧
一直听到天亮
一直听到关机
然后
回去找他/他",1,-拥你心安,337679078
90,2018,4,6,好听,0,武艺媳妇,255200961
91,2018,4,2,很久很久以前听过的歌，用看不到歌词的我第一个买的mp3听的，天黑黑欲落雨，时间过得真快，好久没在被窝里听过雨声了。,5,十三爷的剑,363901341
92,2018,3,23,难道我是用VPN听这歌的？,0,羽梦晨馨CDF,289010403
93,2018,3,21,我在洛杉矶听这歌,0,俗人-不是我,535728406
94,2018,3,19,我在国内[大哭],1,-左右逢袁,361291771
95,2018,3,12,"她是十座金山都换不回的女孩
我是你十瓶酒都灌不倒的爸爸",3,一人勿念,335289961
96,2018,3,7,"有点难受来听听这首歌
现在更难受了
好现实",6,一半迷糊一半珍惜,446845947
97,2018,3,3,什么在国外,3,柚兔不吃胡萝卜,411389916
98,2018,2,28,挥手寒暄,2,Suicude,326765905
99,2018,2,27,总是在听未听过的歌，然后惊艳，进而红心下载，最后终免不了被遗忘在歌单里，因为一直停不下狩猎新歌的脚步。人生何尝不如是，总是在追寻，却没有时间或者忘了驻足看看过去，看看自己。,4,君子不予君子道,130428256
100,2018,2,27,没有梦想   何必远方,2,一人勿念,335289961
101,2018,2,27,一厢情愿     有始无终,3,一人勿念,335289961
102,2018,2,25,啊哈哈哈,3,栗子吃一口,284433217
103,2018,2,23,我听个歌都出国了哈哈哈哈哈哈哈,3,麋鹿先笙,366301935
104,2018,2,22,想念那时候在天黑黑的夜晚，有着星星陪伴的时光，上幼儿园的我和表姐给外公外婆表演节目[星星]可美好的时光已经回不去了，外公已经不在了[心碎],3,Blue-菀得,530202888
105,2018,2,22,天黑黑,1,Blue-菀得,530202888
106,2018,2,22,我以我以为没版权的,1,我以为一切都会变好,604134822
107,2018,2,19,啤酒小龙虾,2,小茶te,1316021573
108,2018,2,19,爱总是让人哭让人不满足,0,你好里里_,319149533
109,2018,2,19,可是我在国内,0,田小white,135877543
110,2018,2,17,你唱过的，如今我却一点都没感觉,0,帐号已注销,449228240
111,2018,2,11,很温暖,0,凉郗,439714613
112,2018,2,10,听了会产生回忆的一首歌,0,夏卋茗,446537751
113,2018,2,6,国内这哝[憨笑],0,q793,416520625
114,2018,1,30,陈独秀同志请你坐下,0,小茶te,1316021573
115,2018,1,30,为啥说听这首歌是国外的?,0,LOVE要从暗恋开始,117602473
116,2018,1,28,人好少,0,Judy今天不喝百事,280657572
117,2018,1,22,相信一切都会平息,1,喜丶玲玲,1299823507
118,2018,1,21,孙燕姿和陈奕迅都好喜欢哝,1,沙拉麻酱-,443064739
119,2018,1,21,为什么就这国外呢，在国内啊,0,爱听歌的三皮,272620794
120,2018,1,21,怎么评论这么少,0,爱听歌的三皮,272620794
121,2018,1,19,我会带着笑脸,0,热情散场-,410591542
122,2018,1,18,我在多伦多，上大学，一个人，想家。,4,要娶杨小姐,511559454
123,2018,1,17,在街角的咖啡店,0,浪矢大雄,533394375
124,2018,1,17,哈哈，歌是在酷我下载的。。你们呢？？,0,伊人治,537668576
125,2018,1,14,哈哈哈哈嗝国内在次,0,_可乐猫_,320346339
126,2018,1,9,有谁知道这童谣是什么语吗？😊,1,憨乞儿泡饭,579167392
127,2018,1,4,天黑黑,0,幻境Cover,504780098
128,2017,12,31,为什么评论数445,2,库里不拿FMVP不改id,391098101
129,2017,12,28,为什么评论数444,2,-无醉不欢1997,492411756
130,2017,12,27,一切都会好的,1,帅酷狠浪,404772822
131,2017,12,20,09年听她的这首歌，耳机才90元，味道没出来，刚才才下载的无损，用500多的森海加上这网易音质增强版来聆听，哇!好安逸呀……,3,来自八神智能天下论坛,270913585
132,2017,12,18,你听歌排行的第一位，我在呢傻逼coco,0,Marilyn-Manson-zxx,366007067
133,2017,12,16,头像真的熟悉[大哭],0,引力___,350685635
134,2017,12,16,我在广东呀😄,0,引力___,350685635
135,2017,12,16,啊,0,此生多勉强_,65726338
136,2017,12,4,爱总是让人哭让人觉得不满足,2,精分双子路170905,358144347
137,2017,12,4,头像好熟悉好…帝吧战友？,0,云中鲸落,110976710
138,2017,11,30,我爱上一个让我奋不顾身的人,0,Yanzy39,255225790
139,2017,11,27,想外婆了,3,Pandy-SQ,633028651
140,2017,11,23,我的小时候，吵闹任性的时候，我的外婆总会拿刀捅我,5,尚未佩妥剑_,391773591
141,2017,11,18,欲落雨,1,杨程程-,597464920
142,2017,11,14,我爱上让我奋不顾身的一个人,0,帐号已注销,572400915
143,2017,11,6,直到分手后， 我听懂了所有的情歌，每首歌都像生活里的自己,3,小板砖砖,279052097
144,2017,11,6,想你,1,小板砖砖,279052097
145,2017,11,5,天黑黑，欲落雨，我走在每天必须面对的分岔路，我怀念过去的单纯美好的小幸福，我想起了外婆唱那首歌，天黑黑，欲落雨，其实天黑了，就该回家了，孤独留下吧，快乐给过他，外婆说的话，留在外婆家，偶尔才知道，只是该走了，天黑黑 黑黑，我不会掉眼泪，我不会回头看你的影子，我不会对太阳摆摆手,4,六冬之沐,591206835
146,2017,11,4,国内的在此,216,橘子汽水1114,134198047
147,2017,11,1,爱总是让人哭  让人觉得不满足,1,洛哥哥是个大傻子,446590389
148,2017,10,31,什么国外。。。,0,woodly1990,61814544
149,2017,10,28,天黑黑,0,小板砖砖,279052097
150,2017,10,25,国内的路过。,5,蒙其D路西,272512258
151,2017,10,24,另一个版本,0,那我真的走了啊,471221873
152,2017,10,24,哈哈哈哈,0,永远爱泠鸢yousa,381901977
153,2017,10,13,你会不会忽然的出现,1,热情散场-,410591542
154,2017,10,9,好歌自己觉得好就行，烂大街就没有感觉了,2,峥嵘岁月并肩前行,429374084
155,2017,10,8,哈哈哈哈哈哈哈,0,凡与欣,258973188
156,2017,10,6,让我不再害怕天黑黑这首儿歌[流泪],0,黑白金银灰,273069876
157,2017,10,5,喜欢以前那样喜欢你的我,1,蒸汽秋葵-,341849044
158,2017,10,5,爱总是让人哭让人觉得不满足,1,蒸汽秋葵-,341849044
159,2017,10,5,[可爱][可爱],0,蒸汽秋葵-,341849044
160,2017,10,5,我不知道,0,OeansDeep,329381388
161,2017,10,5,这歌明明很出名，没有999+真的不服,4,愿你开始有人陪,282285265
162,2017,10,4,等这座城市关了灯 把话说给陌生人听吧,1,亖蜜糖,448668746
163,2017,10,1,我爱上让我奋不顾身的一个人，这就是我所追求的世界,0,倪大帅气,318318319
164,2017,9,28,重庆,0,有一种奋斗叫板命,295212014
165,2017,9,26,QQ过来的,3,Psr-Devourermobster,131299400
166,2017,9,24,让人觉得不满足,1,何木子麻麻,479763758
167,2017,9,24,国外的云友,0,洧川以南,298278804
168,2017,9,18,佳木斯,0,粉嫩派小星,385709364
169,2017,9,17,天黑黑 欲落雨,1,变态狐狸变态狼,52928390
170,2017,9,15,在国外网易云的朋友们你们好啊[大哭],1,nothing------,408093360
171,2017,9,14,武汉,1,梦失,129486002
172,2017,9,11,我以为这就是我所追求的世界,3,阿硕Monica,442511776
173,2017,8,24,“沒事總會過去的，所有的壞日子壞天氣壞心情都會。” ​​​,4,xxzegh___,267641180
174,2017,8,22,[爱心],0,尒尼,64348700
175,2017,8,18,特别喜欢这首歌，经常循环到睡着,0,阿木的太阳,365391407
176,2017,8,11,义无反顾,0,一如往常酩酊大夢,303038512
177,2017,8,11,国内党，手机里存的就是这个版本，哈哈哈……国外用网易云听天黑黑的朋友们你们好！,6,DGLZ,352193914
178,2017,8,10,391+我走在每天必须面对的分岔路 我怀念过去单纯美好的小幸福 我爱上让我奋不顾身的一个人,0,马冬野的南方姑娘,128165383
179,2017,8,10,390+,0,马冬野的南方姑娘,128165383
180,2017,8,9,不知道在多远的未来才能遇见让我奋不顾身的那个人,1,在多远的未来-,113252157
181,2017,8,8,慵懒的声音里给人一种回忆的感觉,0,弓长大叶,287573682
182,2017,8,8,感觉孙这一版的天黑黑是最好听的,0,弓长大叶,287573682
183,2017,8,8,这儿呢,0,弓长大叶,287573682
184,2017,8,7,人呢,0,整个星空也为你斑斓,287544423
185,2017,7,21,唉,1,jackii_jackii,433858908
186,2017,7,16,在ktv唱了这首歌…来找回忆了,0,变态狐狸变态狼,52928390
187,2017,7,14,留个名,0,黑白呀,411738819
188,2017,7,13,你注意一下这个版本的收录专辑,0,KitKat__,41723861
189,2017,7,12,我爱上一个让我奋不顾身的一个人[亲亲],1,我有上将浩,86875717
190,2017,7,12,好,0,我有上将浩,86875717
191,2017,7,12,赞！！！,0,暴走小小玛,448138432
192,2017,7,7,上海,0,AlexanderAlexSummers,419552304
193,2017,7,6,为什么这个评论这么少,0,罗总裁cr7,411157110
194,2017,7,2,好听,0,你不是真正得快楽,485480440
195,2017,7,2,每次心情不好都来听姿妈的天黑黑,0,ecapse,315995873
196,2017,7,1,唯一一次，两个人的KTV，我和她，我喜欢的她，唱了这首歌，后来每次听到这首歌都会想起她，感觉就像她还坐在我身旁一样，认识十年了，时间过得好快，如今我已离开那个我们曾经共同工作的城市，小杨童鞋，希望你一直都好[爱心],1,Fighter9527,511882295
197,2017,6,30,助攻评论，,0,幸福时光-阳,321864084
198,2017,6,30,[可爱][可爱][可爱],0,幸福时光-阳,321864084
199,2017,6,29,家里,0,帐号已注销,44672487
200,2017,6,28,我的小时候,0,你好里里_,319149533
201,2017,6,28,本地歌曲在此[大笑],0,我不要吃柠檬啊,44499441
202,2017,6,26,陕西,0,堂吉诃德的笑与泪,85626938
203,2017,6,25,沈阳,1,FrankGuan,130048857
204,2017,6,24,怎么评论这么少？,0,耽美之狼,409025049
205,2017,6,23,在国外是什么哏,0,拜訪者lll,454891851
206,2017,6,20,广东,0,波特心上人啊,498532901
207,2017,6,20,江西,0,一尘不变-,281122344
208,2017,6,19,上海,0,那时落雨季,343321507
209,2017,6,18,合肥,0,方寸之地的唐吉诃德,311319587
210,2017,6,18,广东,0,大班小茶,430348891
211,2017,6,15,江西,0,海底月亦是天上月,476816545
212,2017,6,15,西安,1,不接吻的少年,372019445
213,2017,6,15,我走在每天必须面对的分岔路爱总是让人哭让人觉得不满足,2,不接吻的少年,372019445
214,2017,6,15,我来添砖加瓦,0,不接吻的少年,372019445
215,2017,6,15,评论好少,0,不接吻的少年,372019445
216,2017,6,7,湖南。。,2,并檐-,432780578
217,2017,6,7,啊？,1,无可奈何卍,372468315
218,2017,6,5,怎麼這麼少的評論啊不科學欸,0,-xiaoou,100846335
219,2017,6,2,我在国内啊,2,wannabesomebodya,251774648
220,2017,5,23,我在你女朋友家,1,梦里有你乄,438459036
221,2017,5,22,为什么要在国外？,3,没有纹身的纹身师,382361305
222,2017,5,22,突然期待下起安静的雨,1,无心的阿七,302309540
223,2017,5,21,为何评论这么少？,1,河南龙濮防水,340502041
224,2017,5,21,wav格式而已,2,語氣_動聽,369292502
225,2017,5,15,天呐，这么点评论不应该啊，好好听的说,2,不管怎样-,437541030
226,2017,5,14,强行被国外了一波,3,ICUN控评组,38722036
227,2017,5,12,天龙很大却看不清楚好孤独,0,春虫虫毛毛,122214894
228,2017,5,12,是否成人的世界背后总有残缺,1,春虫虫毛毛,122214894
229,2017,5,9,这评论数？喵喵喵？,0,白马之影,357985036
230,2017,5,6,合肥，表示这个版本更舒服😄,0,向前跑迎着冷眼和嘲笑hlg,119341129
231,2017,5,4,[幽灵],0,littleDUO,133272535
232,2017,5,2,想回到小时候，证明你长大了[流泪]。,1,洸朗,358092794
233,2017,5,1,只有这么一首歌能听其他什么想听的歌都不行每次都是版权限制。。,2,Miss_Vincy,434007517
234,2017,4,27,农村小伙表示羡慕那些在国外的,2,霍比特鑫,469044666
235,2017,4,27,我在重庆啊，,0,右耳佳_,70912768
236,2017,4,26,我在国内啊,0,黄黑普鲁士_,325157220
237,2017,4,23,国内骄傲,0,三岁半rich,471010964
238,2017,4,20,我爱上让我奋不顾身的一个人，我以为这就是我所追求的世界。,2,呆呆最强大,381021990
239,2017,4,15,周杰伦，陈奕迅，孙燕姿，梁静茹，林俊杰，张韶涵，潘玮柏，五月天，王心凌，she……原来自己这么幸福，童年，青春，记忆中，这么多优秀的歌手，那么多好听的歌,119,Ellie_鸭梨,368834557
240,2017,4,15,成都,0,张格格格子,452035137
241,2017,4,13,武汉路过…,1,HJX丶1ng,114140028
242,2017,4,12,国内好啊，版权不受限,1,送我到车站吧,453647436
243,2017,4,10,没有999？不科学啊,0,香菇老抽,44660930
244,2017,4,9,我怀念过去单纯美好的小幸福，越长大越多怀念和心酸,1,我是李蘑菇,433931865
245,2017,4,9,看不懂评论[大哭]我在广州啊,3,Jaelyeong092,76959302
246,2017,4,7,荷兰,0,momo-pc1667,693363
247,2017,4,5,勤快,0,小元芳biubiu,323306995
248,2017,4,4,我在新加坡用网易云听不了新加坡歌手孙燕姿的歌所以跑这儿来了,1,进击的苟或,43803843
249,2017,4,4,遥远的路程昨日的梦以及远去的笑声,2,小椋的猫去哪了,126803366
250,2017,4,4,我在国内啊！！,0,Jc_F_,332510504
251,2017,4,4,😂,0,Jc_F_,332510504
252,2017,4,3,我就好了个奇了  中国广东来报道,3,叶O_oZP,436221617
253,2017,4,3,咦 大帝都算国外了[口罩],2,木头_君,409867668
254,2017,4,3,俄罗斯,1,Li莉0413,251264647
255,2017,4,3,沙特阿拉伯,1,欠救药吗,93781422
256,2017,4,2,一個人 在从大阪去东京的路上 。車窗外天黑了，突然想起這首歌。,1,五六三十,1402611
257,2017,4,2,美国。想奶奶。,4,YyyyyLing,84109589
258,2017,4,1,加一٩( 'ω' )و,1,机智右,254199930
259,2017,4,1,英国,2,hurranhing,434934977
260,2017,4,1,美国,1,吱鈕吱鈕,308652955
261,2017,4,1,泰国,1,什么祎祎,275825683
262,2017,3,30,我爱上让我奋不顾身的一人,2,你的快乐逃走了,444464272
263,2017,3,30,为什么新加坡跟我同国 丹麦也跟我同国 波士顿却不和我同国？？,0,cyber233,101129248
264,2017,3,30,新加坡,0,JJJuillet,329755512
265,2017,3,29,在丹麦,0,听着你我的故事去旅行,278920848
266,2017,3,29,温哥华的路过,0,九亿少女的梦Je,261273605
267,2017,3,28,欧洲,0,慢慢杨圆滚滚,275754853
268,2017,3,26,多伦多路过,1,飞行的罗宾,310835630
269,2017,3,25,表示在中国听得，有没有大中国的,2,LOVE要从暗恋开始,117602473
270,2017,3,25,外婆家,0,哓晓树,84805340
271,2017,3,25,吉隆坡+1,0,Hathaway啊,363725114
272,2017,3,25,吉隆坡,1,Hathaway啊,363725114
273,2017,3,24,悉尼,0,Dale1997,63001177
274,2017,3,24,法国,0,策爷丶,285069969
275,2017,3,24,马来西亚沙巴，我想whe.小老头。,1,胡大牙,36588348
276,2017,3,23,墨尔本的有吗哈哈哈哈,1,我姓杨-,120172897
277,2017,3,23,就我在国内？,3,孙燕姿的迷弟,137608499
278,2017,3,23,纽约+1 吼吼吼,0,烟拟,363922066
279,2017,3,22,澳洲..,1,我是仙人只会修仙,406837905
280,2017,3,22,韩国,1,PussM82,102075359
281,2017,3,21,就,0,景初呀,71829632
282,2017,3,20,老子在火星听孙燕姿,0,帐号已注销,308779285
283,2017,3,19,布鲁塞尔，希望大家工作顺利,1,灵柩永埋深海丶,129536243
284,2017,3,18,澳门。（摊手）,0,安崇方,245947335
285,2017,3,17,新加坡[大哭],2,邓凡不错哦,63113467
286,2017,3,15,一首非常有回忆 听了想哭的歌,1,05buskin,437375842
287,2017,3,12,不是国外啊,1,天尽于空,130261930
288,2017,3,11,在中国，高铁上听这首歌,1,AlexanderAlexSummers,419552304
289,2017,3,7,"姑娘姑娘，我们一起唱首歌
",1,多喝鸡汤少吃药,357811341
290,2017,3,7,波村约一波？,1,27149永仁,98767922
291,2017,3,5,daka,1,孤单---个人的狂欢,263901035
292,2017,3,2,我的小时候是我最开心的日子,2,宝姐的菜刀,427564442
293,2017,3,1,我也是喔,0,可乐先生不要可乐,314245973
294,2017,3,1,意思是在国外因为地区限制听不了其他版本[大哭],1,Symbiooos1s,106564609
