index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,来了,0,愿君依旧笑,559237310
2,2019,11,27,喜欢,0,洋洋的小燕子,313658075
3,2019,11,22,好听,0,wuli男神--,306970975
4,2019,11,22,对的呢,0,17岁丶少年,608704213
5,2019,11,21,好听！,0,一只花鹿yu,360229098
6,2019,11,21,真的是[可爱],0,种种-皆非,308888052
7,2019,11,18,眼贼毒[强],0,独舞的梵谷,136152149
8,2019,11,17,我还记得当时这个MV里燕姿飘动的短发，特潇洒,2,端木梓恕,53685514
9,2019,11,17,攒钱等明年看演唱会,0,sponge-boy,444284976
10,2019,11,15,是“就算”不是“就酸”啊 歌词,0,-夏日香气,69670010
11,2019,11,14,好听,0,_放过自己__,529204415
12,2019,11,13,对对对,0,售卖春天,1308478737
13,2019,11,11,太爱孙老师了 果然岁月从不败美人🎸,3,florence3121,545603270
14,2019,11,11,最好的心态是平静，最好的状态是简单,0,仪威,477214358
15,2019,11,10,我就是喜欢孙燕姿没办法,1,陈敬博18,1595352479
16,2019,11,10,看来人真不少啊,0,神十一郎,491746712
17,2019,11,10,黄龙+1,0,爬啊爬的Snail,286919159
18,2019,11,10,同！,0,阿不思-邓布利多-维,604006285
19,2019,11,10,昨天在现场听到了！,0,阿不思-邓布利多-维,604006285
20,2019,11,10,哈哈哈哈 同一个现场,0,取消关注先生,495927989
21,2019,11,9,今天刚现场听了孙燕姿唱这首歌，燃爆了现场,1,神十一郎,491746712
22,2019,11,9,明年出道20年,1,主人很懒并没有名字,102683848
23,2019,11,8,~7++++!?阿,0,崔山隹1911,2035767942
24,2019,11,8,冲冲冲,0,王dla,1368801945
25,2019,11,7,燕姿的歌是听完了觉得现在的歌落伍,0,Monologist_,115570256
26,2019,11,6,好想听姿姐的现场，肯定超级燃。,3,大爷还是你大爷哦,77920367
27,2019,11,5,小学听的 好像有点不一样,0,Oath_joth,63386072
28,2019,11,5,好听,0,Xback__Et__,1492799463
29,2019,11,4,哈哈哈哈哈绝了,2,艾斯特喜欢艾玛,1304782798
30,2019,11,3,李泽珑的深情告白,0,Hostage_jh,474314314
31,2019,11,3,这首歌应该十万加,0,干嘛摸光头,442241958
32,2019,11,2,为了看美岐的我 被燕姿姐圈得死死的,1,毛毛球心上的泠鸢,1695338320
33,2019,11,1,厉害了我的姿,0,7things_,1318437548
34,2019,10,31,云村知道我爱孙燕姿[呲牙],0,阿珑是只猫,1924498288
35,2019,10,31,这歌才2000+不应该呀！！,0,丶生锈游乐场,470030505
36,2019,10,30,"港台乐坛小天后, 至今还记得2002年春晚,两地同唱《与世界联网》",1,Fai_Shen,441912055
37,2019,10,29,这首歌印象很深 是我小学三年级的时候，哭着闹着让我爸给我买的英语学习机上面仅有的三首歌,0,本宝宝越狱啦,118294597
38,2019,10,28,真的喜欢孙燕姿,2,潘不非凡,1559569595
39,2019,10,27,一分57秒那段好帅啊,1,百分之九withlove,1979261771
40,2019,10,27,明日之子过来的,1,wowsoilen,347611061
41,2019,10,27,这首虽比较冷门。可是很！好！听！啊！！！！,1,我不是轰轰,402807198
42,2019,10,26,05后，喜欢的嘞[亲亲],0,七重人格yu,1702133286
43,2019,10,24,好歌就是偶然听到了过了好几个月还记得，然后凭着记忆搜索到了这里,0,中秋廿五,503288722
44,2019,10,23,吹出来的成绩哪能长久，我都不把偶像歌手当歌手的(´-ω-`),1,春风化成雨yu,1869262705
45,2019,10,23,有的嗷  偶像歌手多了去了  参加明女的不就有一个特明显吗,0,ZHAOLIPINGER,62143725
46,2019,10,22,进步了吧，毕竟十多年过去了,0,对不起没带眼镜听不见你唱歌,342353113
47,2019,10,20,好好听啊,1,鸡蛋小天才,593031722
