index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,前面就不好听吗！！！[大哭],0,万圣节的老朋友,34075495
2,2019,11,25,你永远也不会给我机会成长了 我也永远学不会去忘记,0,Legend_吴,86200605
3,2019,11,22,未完成是神专,1,我是克里斯18525,1389196395
4,2019,11,22,竟然有一首连旋律都没印象的燕姿的歌,0,丁小天天天胖不起来,45789954
5,2019,11,22,惊了。这啥神仙歌。[流泪][流泪],0,也不是猪只打呼,355734135
6,2019,11,18,忘不了，但还是祝福你。我也在学会成长,0,黑书白页,531262885
7,2019,11,18,燕姿的歌总能给人力量,0,我们哼哼的歌,72320102
8,2019,11,16,是的，是不是像谁呀[多多耍酷],1,阿珑是只猫,1924498288
9,2019,11,13,这个封面也是孙燕姿么（弱弱）,2,Escher__,451222138
10,2019,11,11,最喜欢的歌手叫姿，最爱的人也叫姿,2,吳吳吳吳吳曉X,353776535
11,2019,11,8,高音太不稳,0,巴拉巴老腊肉,255300958
12,2019,11,4,眼不见为净,0,帐号已注销,12597561
13,2019,11,2,完美，大气！,0,标量-时间,1467060801
14,2019,11,1,孙燕姿：学会。林俊杰：学不会。,4,帅着帅着就老了,1334293380
15,2019,10,31,这是什么神仙歌曲啊,1,一闪一闪SUN,78150830
16,2019,10,24,不知道为什么当时就是非常喜欢这首歌，热门的还没这么喜欢,2,对焦瞬间,1746006341
17,2019,10,23,这首歌从高中听到大学，也顺带失了个恋,1,就爱乌龙茶,314038099
18,2019,10,17,这首和不是真的爱我，两首最爱,1,韩小玉先生,539980067
19,2019,10,17,我还有这张CD呢,0,沒力超人,391424
20,2019,10,14,我姿永远18岁,1,8楼永远爱3楼,80342819
21,2019,10,9,陈科妤真是奇女子啊,1,澎堤池,1487294690
22,2019,10,6,好亮啊这时期声音 好亮 耀眼,1,Islandofcyril,48634536
23,2019,10,6,好励志的一首歌,1,钥匙tt,102355058
24,2019,10,1,  I love Ste,1,DT燕姿,470003673
25,2019,9,26,《未完成》专辑每一首都是经典！特别是这首-学会！,0,puffivv,280285945
26,2019,9,19,我会～～～鸡皮疙瘩已起来！,0,糊涂塌克是天生的领导者,56051723
27,2019,9,16,军训打卡,0,过往云烟视而不见,305289320
28,2019,9,15,想认识一位同城燕姿粉丝，你好！,0,愁容的骑士,381814572
29,2019,9,15,想在网易云认识一位燕姿的同城粉丝，你好呀(●°u°●)​ 」,0,愁容的骑士,381814572
30,2019,9,15,05年时超爱这首歌,0,Heeenk,9433780
31,2019,9,11,副歌点了红心~[爱心],1,当夏日微凉,592810705
32,2019,9,11,"拎过后才学会疲惫
吃过后才学会味觉
跪过后才学会流泪
《榴莲》",3,穿裤衩的海豹,1728346307
33,2019,9,11,这首歌虽然唱的是爱情，但是编曲的意境和歌词总有一种辽阔感！,4,班仔之家,29286644
34,2019,9,7,猪猪加油,0,Bravezhuzhu,64449138
35,2019,9,2,有人告诉过我，心情不好可以听听音乐逛逛淘宝[皱眉],0,桃籽J,1429111152
36,2019,8,23,最重要的是学会与自己和解。,3,xtingya,338191920
37,2019,8,19,我学会向前，生命每一次重要时刻都会聆听,1,BLADE-羽帆,280916072
38,2019,8,15,前奏以为是她说前奏放慢版。。,1,rfmjs,1357855390
39,2019,8,14,编曲太棒了，真的让人豁然开朗又沸腾,4,cy909191,254876722
40,2019,8,13,燕姿没有冷门,4,卜卜卜卜K,247919540
41,2019,8,12,你对我说再见那天我学会爱的不完美。。。爱了好多年。高中大学工作，听不完的歌。感恩生活在有这么优秀的你的年代。现在华语乐坛好久没有好的音乐了。。。,3,隐329,355404814
42,2019,8,7,我正在了解这世界,0,我很鱼块,125768521
43,2019,8,5,现在的我，见不到你，也不会那样难过了。好神奇，这种麻木算是什么？,0,Fujiwara心,322606015
44,2019,8,4,这个前奏用耳机听，30岁的我竟然会误认为明天要上学早点睡,1,花莫笑丶,514517742
45,2019,8,4,这首歌确实冷门，小气候孙燕姿一出专辑投钱都必须去买一张磁带回来听。这首歌开头那一段特别喜欢，好像一只鹰傲游在丛林山谷，就这一段前奏来来回回不知听了多少次,0,花莫笑丶,514517742
46,2019,8,4,我也34了，真的好不想老去啊,0,经纬180729,1536664663
47,2019,8,4,姿迷不知道这首歌就不算正经是姿迷[大哭],3,经纬180729,1536664663
48,2019,8,4,燕姿的《学会》，JJ的《学不会》[奸笑],3,煙太呛喉嚨,1431278531
49,2019,8,1,还有这么多人在学会，我们都要努力学会向前,0,瘦kiki,627307871
50,2019,7,30,还是那么喜欢,0,1sukie,474229791
51,2019,7,29,爱过你的那个我 已经学会去翻越伤悲,2,Sparrrrk,270935914
52,2019,7,28,好羡慕刚被燕姿吸粉的人 他们还在惊讶这么多美好的事物 ,19,one宝宝,622595614
53,2019,7,26,考完高考去看演唱会！,1,吸踢W,475551272
54,2019,7,25,学会 真的学会 不想学会,1,风衣syz,619438249
55,2019,7,25,明年演唱会能唱这首吗,0,holytung,88586578
56,2019,7,25,跟着音乐摇摆,0,bulankaa,73550678
57,2019,7,25,犯过错才学会后悔,0,StefanieTXX,126966250
58,2019,7,25,大爱,0,我没有疯狂,258308030
59,2019,7,25,41啦 她说这还是个学习的好年龄,1,NTUfail,71924954
60,2019,7,24,算冷门了，其实很好听,0,天涯木桩,318254408
61,2019,7,23,如何安放思念,0,Siewflc,305223982
62,2019,7,23,希望你也幸福❤️,0,94Ting,574730775
63,2019,7,22,未完成这张和逆光是我心里的神专,0,识刀客,623315109
64,2019,7,21,说实话，燕姿的很多冷门歌的编曲，换一个人唱就很普通。。燕姿的嗓音太有魔力了,3,prince-Joshua,117961245
65,2019,7,17,我一直觉得世说心语是学会2.0,0,_小邱同学,50147153
66,2019,7,13,我怎么记得这张专辑是03年出的。02年是《Leave》和自选集,4,musilk,16508939
67,2019,7,12,奶过你才学会离别,2,z柠檬菠萝冻,413337547
68,2019,7,11,"孙燕姿：学会？[西西疑问]  我学会！
林俊杰：学不会[多多捂脸]  总是学不会！",2,昵称__不重要,395384358
69,2019,7,9,一路失去，一路学会，一路成全，一路成长,1,诸葛倚清风,1875098331
70,2019,7,5,很美妙,0,Jay爷,600324080
71,2019,7,5,这两人都是新加坡的,1,Jay爷,600324080
72,2019,7,5,以前第一次听这首歌就热泪盈眶...和我当时的状态太符合了...虽然后来也不尽人意，可我依旧记得这首歌带给我的力量，这是任何东西都无法企及的。thank u，燕姿...,4,Erika_Linder,305117600
73,2019,7,4,最疲惫失落时，这首歌都在。,1,DICI小气鬼,252271359
74,2019,7,4,最爱的燕姿的歌~,1,雨声渐响,324087641
75,2019,7,2,完全不是,2,DZ-ColorizedBoy,506587174
76,2019,6,28,音乐第一声就像海鸥低鸣，平静的美,4,简之乔,1442008014
77,2019,6,26,"自律即自由。
屈从于本能的人，会一直被本能驱使。
努力摆脱自身上的丑恶弊病，学会克制欲望里的贪婪本性，铲除灵魂中的虚荣伪善。
让每天都成为新的起点，
向前走，不回头。",2,-ArielLee,247718719
78,2019,6,23,节奏响起，记忆回到那个天天学习的时候，有个暗恋了很久的女孩。,1,山丘王者,124580067
79,2019,6,22,旋律一起就想起了曾经流逝的青春岁月~,1,夏小泽Lucas,44916611
80,2019,6,10,我会走向前，不让自己再回到昨天,3,跳舞灬梵谷,1298044435
81,2019,6,3,大爱,1,跳舞的梵谷乀,264352662
82,2019,6,2,对我来说，燕姿的歌，没有冷门,5,呢喃的Nina,280574252
83,2019,6,1,燕姿励志三连：逃亡，学会，明天的记忆。,3,恺慎,1795036965
84,2019,5,30,忽然记起曾经如何爱你了 这两天 我把我们那些已如盛夏午后模糊昏沉的回忆 用立夏后的晚风吹了一遍又一遍 我不知道 我不知道该怎么说 你对我的意义 你在我心里的模样 你曾是如何在我这里成为爱情的投射,0,白勺了,117115048
85,2019,5,29,我正在了解这世界，让每天成为新的起点。我会走向前，不让自己再回到昨天。,0,西府海棠,2780312
86,2019,5,28,孙燕姿的冷门真的都好绝,1,NTUfail,71924954
87,2019,5,25,孙燕姿:学会。 林俊杰:总是学不会~,3,-那-XX,360798763
