index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,我是2019嗷[奸笑][奸笑],0,一定一定要微笑呐,1697911570
2,2019,11,28,哈哈哈,0,一定一定要微笑呐,1697911570
3,2019,11,28,失眠的夜，想她的夜，惆怅孤独的夜，害怕失去的夜，原来成长没有我们想象的那么美好,1,云村宝藏收藏家,549983851
4,2019,11,27,你俩现在凑一对儿了吗,0,nympho_h,353220581
5,2019,11,26,这张封面好美，好干净,0,HaHfmx,108584722
6,2019,11,24,太好听了,0,热烈上瘾,546068601
7,2019,11,24,你好像瘦了，头发好像又剪短了，背影陌生的像上个世纪见的你，然后你突然开口叫我，我突然想哭，好像刚刚放学，在教室门口等了你五分钟而你。,2,徐默童,266146929
8,2019,11,23,还好咯。[奸笑],0,_阿柚_,133272939
9,2019,11,22,你是真爱粉,0,该音乐人已注销,115703908
10,2019,11,22,《人间失格》里有这样一句话：仅一夜之间，我的心判若两人。他自人山人海中来，原来只为给我一场空欢喜。你来时携风带雨，我无处可避；你走时乱了四季，我久病难医。,3,幼婴女李佳琪,277994754
11,2019,11,20,有占便宜的嫌疑,0,奥买尬,277731784
12,2019,11,20,哭，小时候买不起票，至于现在有钱买票了喜欢的人却不怎么开演唱会了[流泪],0,大慧大灰灰啊,469219493
13,2019,11,19,我很喜欢姿妈歌手页那张图片，很美,2,静泽之,1639722835
14,2019,11,17,很开心，歌名是我家乡的姓名。,3,我是你的瑞大胆啊_,281101076
15,2019,11,15,最近被这首歌迷上了,0,Apnnl,366290326
16,2019,11,15,哈哈，也祝你平日快乐！[憨笑],0,向往北方的日子和乐子,75903833
17,2019,11,14,哈哈 我这条评论不知不觉已经被赞两年了 祝你看得开心呀~[憨笑],0,半颗山楂,395288548
18,2019,11,14,听歌想到的那个人，抬头一看，专辑名是他用过的网名，我称呼他的名字。,0,-鱼七姑娘,297668140
19,2019,11,14,2001相见孙燕姿,0,醉在淡然,258716034
20,2019,11,14,2000评论占坑冷门最爱,0,纬斜线,567390579
21,2019,11,13,好听,0,亲爱的莫再说你我永不分离,78487567
22,2019,11,12,十年前的网名⏳,0,Apathycheng,125526120
23,2019,11,12,"原本安宁，直到你出现
想要安宁，却赶不走自己",1,你的赵姐姐,1989596575
24,2019,11,12,前奏的编曲是用了张惠妹《蓝天》的副歌部分吗 真好听,1,HONOUR2019,951080
25,2019,11,12,如果以后我分手了，我就来听这首歌，快点快点,2,拔拔良木,396831345
26,2019,11,12,要显得“恶毒”一点,0,听说你叫尹寒,1298532453
27,2019,11,11,不应该是叫“礼尚往来”么~,0,名字起得太长容易被部落猪发现,62692637
28,2019,11,9,孙燕姿足够独特却还在突破，这种是真的可怕,0,万古啊长存,629173321
29,2019,11,9,今天《跳舞的梵谷》2年了，今晚杭州去看燕姿。[憨笑],1,向往北方的日子和乐子,75903833
30,2019,11,9,杭州!上海!约起来,0,向往北方的日子和乐子,75903833
31,2019,11,7,我有本事喜欢你，就有本事压下去,4,zero温温11,452463718
32,2019,11,6,不要放弃啊,0,哆嗒嗒巨星不易,1410217509
33,2019,11,5,你也可以考虑出一首歌叫燕姿，这叫做以牙还牙以眼还眼,1,听说你叫尹寒,1298532453
34,2019,11,5,我想放弃你了,1,Hey-Huang,481939174
35,2019,11,5,我也是😊,0,初心anNing,1941233567
36,2019,11,5,会好的,0,BAAAAke,1787756555
37,2019,11,5,我不希望我与我的安宁会变成这首歌。,0,你的徐柯,514140141
38,2019,11,5,已经不在乎你,0,Anfaye-,109329740
39,2019,11,5,一次又一次,0,Anfaye-,109329740
40,2019,11,5,转粉的一张,0,枫凌忆,1527171021
41,2019,11,4,忘记第一次听是什么时候了，但是又懂了一次,0,之词,353812673
42,2019,11,4,全部给你的，无论是是非非 我想你能过得好，别辜负我的不打扰 我多不想说再见，但还是要学着再见 好舍不得你 即使后来我们全然无关， 但还是愿你一切都好. 你好优秀，我用青春撞上了你，值了[爱心]狗追耗子,1,用户2033484142,2033484142
43,2019,11,3,我最喜欢的女歌手,0,听歌的棉,339777787
44,2019,11,2,以前经常听的歌，现在再听仍然能获取力量,0,之词,353812673
45,2019,11,2,听着这首歌，平淡的调调，让我想起了大学的一个同学，与他外在相反的是他很喜欢孙燕姿，忽然很想再回到那个时候回到学校看他在宿舍里打游戏。,2,DungInZag,252071494
46,2019,11,1,这句话就是我刚才躺在床上想的,0,穆尼伦儿,98243198
47,2019,10,29,"偶尔想你
经常偶尔",6,清晨睡过黑夜,2007647987
48,2019,10,27,我要起身走了，于是我会有安宁。,3,诗承吖,125032562
49,2019,10,27,越大越能明白老歌的经典，越懂孙燕姿，越明白自己的内心。,3,Lestile,514011592
50,2019,10,26,我忽然非常想念你,4,--如晦,264445956
51,2019,10,26,将粉脸看透 成骷髅相待,1,座瓶水是我惜可,253248732
52,2019,10,26,那就这样吧！,1,请叫我k米姐,1507005952
53,2019,10,26,就像灰烬，烧到最后，只剩灰烬。,1,TheWeekdy,89835697
54,2019,10,26,可是我从来没放弃过啊,1,IchirakuRamen,423161395
55,2019,10,25,咋滴，知道我分手一直给我推让人伤心的歌嘛,1,purifly,67243095
56,2019,10,24,我好喜欢这首歌啊[流泪],1,ysjxxjsy,591852481
57,2019,10,24,“我努力的想哭泣，却哭不出泪滴”      我也是，导致我怀疑自己究竟是难过还是不难过呢？,2,喝盆盆奶的熊,1587065067
58,2019,10,24,19年了 依然觉得没人唱得了燕姿的歌 气质和味道都是独一无二,2,永夜亦无心,102216927
59,2019,10,24,说出口的不在乎心里都是在乎,1,Flora-Ren,420370408
60,2019,10,24,到我这俩年了,0,Kahooyer,1292762647
61,2019,10,24,安静停安宁,1,风衣syz,619438249
62,2019,10,23,我也叫安宁 哈哈,0,Los安宁,318371931
63,2019,10,23,就这样,1,冈蒂梵,318116983
64,2019,10,22,首句入坑,1,洛珑宇,117874437
65,2019,10,22,大型寻找同名现场,0,辜月-初二,444336749
66,2019,10,22,我有个小学同学叫安宁,0,水手德芙,111015995
67,2019,10,21,“小时候说长大了一定要去看一场孙燕姿的演唱会，长大了你却不怎么开演唱会了...”,6,木瓜汤包,353145915
68,2019,10,20,唉,1,全世界最酷的然啊-,261056257
69,2019,10,20,我迷失了自己。,2,陈璟鱼,278915711
70,2019,10,19,“我努力的想哭泣，却哭不出泪滴。”就是我现在了,4,苑子潯的小号,1548957065
71,2019,10,19,2019.10.19  我第18次梦见你,6,Oriano,385486670
72,2019,10,19,12年前，高二暑假，躺在凉席上，电脑音箱播放着逆光专辑，沉沉的睡去。美好的岁月,3,轩缘梦,271557188
73,2019,10,17,想念你,1,结菜,57780277
74,2019,10,15,身边的人总是来来去去 也没有什么好难过和遗憾,5,吃榴莲吗-,506104199
75,2019,10,14,这封面转动的时候和杨千嬅有点像哈哈哈,1,曼蔓走欣赏呀,256562029
76,2019,10,14,前奏有点像蓝天,2,hugoooole,132227713
77,2019,10,14,月的阴晴圆缺就像我的心,1,乙病男,84754867
78,2019,10,13,不想继续了,1,近猪者沉沉,405130022
79,2019,10,13,好不容易才在梦里遇见你，却哭醒了自己,1,白衣愢怜,325793725
80,2019,10,12,好的歌手不需要突破，李健也是万年不变的风格,0,无敌克己,570062580
81,2019,10,9,我好喜欢她呀 [流泪]还没去听过一场她的演唱会,0,某西西啦,271717340
82,2019,10,7,后来我才发现分手后哭都没有声音。,3,遐叚,47562872
83,2019,10,6,穿老师昨天在直播间唱了这首歌  后来才发现自己原来听过……,1,LJWSH,125192443
84,2019,10,5,“鹅没有鸟，孬没有不，木目在心上，单人在尔旁”,6,没有昵称zdag,374485446
85,2019,10,5,为什么放弃我啊……,1,温温ne,311516093
86,2019,10,4,二十年前没有一个二十二岁的女生像她一样唱歌 二十年过去了 还是没有,5,xyyy-_-06,1812524202
87,2019,10,4,不要迷失自己,3,prettydan,134707870
88,2019,9,30,有次很难过，趴在被窝哭了很久，打开手机随机就听到这首歌，单曲循环直到睡着。,1,王大大的锤子,502856748
89,2019,9,29,我已经疯了。为什么这么好听。,0,也不是猪只打呼,355734135
90,2019,9,29,我开始上头了,2,也不是猪只打呼,355734135
91,2019,9,29,我透好好听啊,1,也不是猪只打呼,355734135
92,2019,9,28,一次又一次的灰心,2,柒星雪,85911992
93,2019,9,27,高三那年最爱听的歌,1,肉丸汤加葱花,117900703
94,2019,9,27,四年了 ,0,心愿无限大_,1296779651
95,2019,9,26,就想这么安静的唱就好了 真的不要去搞那些花里胡哨的 简单的最好,3,流氓eason,251612722
96,2019,9,26,可怜他还觉得自己特别无助，然而自己真的没法,1,阿凌ll,482616367
97,2019,9,26,十二岁的我听不懂这首歌，如今二十岁的我对这首歌所唱感同身受。,1,CCicada,121792989
98,2019,9,26,说实在的，不管是李偲菘还是李伟菘还是燕姿自己还是别人，作曲都是一挂的(会有一些些细微差别到但大体方向尤甚，这首尤其是主歌),3,谢小P谢小P,36145223
99,2019,9,25,期待有新的演唱会,1,望陳莫及的諷刺,1831616733
100,2019,9,25,风铃声有点出戏[鬼脸],1,_-沧浪,71102731
101,2019,9,25,日推，最近才发现燕姿的歌首首都那么好听。编曲觉得有点妙啊。,4,歌舒夜带刀_,36646422
102,2019,9,24,感觉和 胡灵的茶凉？ 调调好像 ,1,蜜思金,69826645
103,2019,9,23,孙燕姿的歌怎么每首都戳内心的心事啊！！！！,2,王王山而小朋友,1740014525
104,2019,9,22,逆光这张真的太好听,3,luluzjl,450057061
105,2019,9,22,我现在居住的城市叫安宁[大笑],2,璐心新,496833784
106,2019,9,21,抱歉辽。,0,娄塔故事,1772690701
107,2019,9,21,主要是我不想胡乱就有个所谓的爱豆。,0,娄塔故事,1772690701
108,2019,9,21,啊啊啊啊啊啊啊啊啊啊啊啊我语气太激动了抱歉啊……可是我真的不是她滴粉丝啊……,0,娄塔故事,1772690701
109,2019,9,21,我也就评了这么一句话有必要这样过分解读吗？我加个表情你都能理解别的意思？我真的是服了，还污染空气，我就说了这么一句前奏听起来有点像趁早，我说了孙燕姿抄袭吗？我说了整首歌都像趁早吗？有必要这样上纲上线吗？行，我删评论好了吧，你这种粉丝真的是败孙燕姿路人缘！,0,我看到窗台一支玫瑰,515178390
110,2019,9,21,而且，如果你只是觉得“有点像”，那最好不要使用最后面那个表情。看起来……真的有点像“非常怀疑”的意思,0,娄塔故事,1772690701
111,2019,9,21,no别瞎说…孙燕姿不是我爱豆…难道就这样评了一句话就叫是我爱豆？这个逻辑不通啊……另外，我的意思不过是，又不是孙燕姿编的曲，你发这条评论难道不是在污染孙燕姿歌曲这片空气么……如果真的觉得像，非常怀疑，那还不如去找编曲的人问问。而且音乐界灵感碰撞太正常了。除非你扒了谱。,0,娄塔故事,1772690701
112,2019,9,21,啊？我也没说孙燕姿抄袭啊？粉丝这么喜欢给爱豆洗吗？[汗],0,我看到窗台一支玫瑰,515178390
113,2019,9,20,不好意思，说错了，是趁早,0,我看到窗台一支玫瑰,515178390
114,2019,9,20,又不是她编的曲………,0,娄塔故事,1772690701
115,2019,9,19,20周年巡演安排上,0,Angela_black,513767945
116,2019,9,19,这波可以,1,stefaniemisaki,3012375
117,2019,9,17,我也是95后噢嘻嘻,0,不知今夕何夕,46848056
118,2019,9,17,"作曲：林倛玉
作词：林倛玉
编曲：Adam Lee

已经添加修改，请小伙伴们重新刷新歌词",3,作词_作曲_编曲_MV导演天下第一,546057330
119,2019,9,17,95后感觉：燕姿欠我们一场演唱会，我们欠她一张门票,0,Angela_black,513767945
120,2019,9,16,来南京之后经常失眠，听听安宁希望让自己安宁一下[呲牙],1,腿太短不想去上学,247677033
121,2019,9,16,真的好安宁的感觉,1,是你没发现,321131242
122,2019,9,16,姿妈太懒啦hhhhh,0,就是高枝,1370734138
123,2019,9,16,很难不去想你啊,1,wxlb-,126419329
124,2019,9,15,连哭的能力都丧失的人真可怜,2,14ery,413616812
125,2019,9,14,这首听起来完全主打的feel，居然现在才听到，,2,玩酷海天,1713674043
126,2019,9,14,赞,0,1YZYOUNG,1386944755
127,2019,9,13,捉一个姐妹,0,Trouvaille--,1484662553
