index,year,month,day,content,likecount,nickname,user_id
1,2019,9,30,然而我却想听不完美一天,0,齐天大臭,293000694
2,2019,9,9,"小时候光碟里看过这歌的MV,里面的人我以为是蔡少芬,还以为是她唱的,而且以为名字是<<我有一所大房子>>[大哭]",0,可爱又迷人的反派角色Marco,347439483
3,2019,6,23,我有一所完美的房子，里面什么都有，就连我无法拥有的梦都在里面。可是这个房间唯独有一点不好，他就是没有你。,1,是个可爱昭,1367895423
4,2019,5,10,燕姿，你好美,0,RonDo__,359726776
5,2019,5,5,现实和梦交替上演 你总在等我,0,一丨八公,33173232
6,2019,3,10,完美的一天[爱心],1,静静听-首歌,619430089
7,2018,11,30,看到了上次來的心情。[可爱]下次來，希望我能找到一份適合自己的工作。,0,鄒爸比,85768778
8,2018,11,30,接下来，手机给我好吗[呆]要这么多手机，干啥。,2,鄒爸比,85768778
9,2018,9,4,我倒好喜欢这种互动性很强的现场版，这张专辑的志明与春娇是我最喜欢的一版了！！,5,蟹斯基,104678981
10,2018,8,5,竟然没有歌词？[大哭],2,_诗芊,81037679
11,2018,6,5,有钱人的生活[流泪],1,CtrlSSS,109399191
12,2018,4,19,❤燕姿唱的都好听❤,2,-----Stefanie,454876432
13,2018,3,31,a perfect day！a perfect yanzi！,1,大力plus,54291801
14,2018,2,15,想看一场燕姿的演唱会[流泪],8,Jonah乔纳,478575663
15,2018,1,7,歌迷聲好大,1,訾央伪装小漠漠,247480354
16,2017,12,6,好！！！,0,一悄,125578435
17,2017,12,6,哈哈 你这样的越多就越不生气,0,烂名字好故事,304015318
18,2017,12,6,别气O(∩_∩)O哈哈~,0,一悄,125578435
19,2017,11,27,燕姿。你好美。[奸笑],0,我有努力和这个世界变熟,394296679
20,2017,11,19,我要一个大妹子 有一个充气阀子[大哭],4,林守乐,55243746
21,2017,11,19,大家都好可爱,0,林守乐,55243746
22,2017,11,14,为什么这么少的评论☄ฺ(◣д◢)☄ฺ本仙女很气愤,0,烂名字好故事,304015318
23,2017,11,14,[生气],0,北逃者,113681279
24,2017,10,19,下一个评论的请@我,1,MRDcd,266248045
25,2017,8,23,喜歡在下一次來時，能夠看到上一次的評論，瞭解到上一次聽這首歌的心情。,1,鄒爸比,85768778
26,2017,6,20,为什么没有第一天，我还想要听第一天,2,鸡蛋瘦肉粥多点葱花,98785309
27,2017,6,14,燕姿～你好美啊～   每次粉絲都是這樣對Idol講[呆]姿媽會不會傲嬌[呆]敢傲嬌[呆]我就敢說“姿媽，你好美啊～”哈哈哈哈哈哈哈哈。,4,鄒爸比,85768778
28,2017,6,8,为什么不是官方录音版,2,气氛来了就要醉,308485041
29,2017,5,13,完美的一天，就是听着燕姿的歌,5,一地故里,118066649
30,2017,5,8,燕姿~,3,Iskym,61055228
31,2017,5,6,想要的生活,2,一叶扁舟_____,98760641
32,2017,3,5,演唱会呀，你什么时候来,4,帐号已注销,124859943
33,2017,2,20,那时还不明白歌词的意义,3,canon卡农3,265494556
34,2017,2,11,歌名不应该叫完美的房子吗[呆],4,虽然有点可惜,126317817
35,2017,1,4,觉得这版的live很带劲啊，就是喜欢这个调调的燕姿[亲亲],2,Y-una,322710590
36,2016,10,21,“手机给我好吗？？”我：呵呵还想要我的手机？？反应了两秒：噢……手借给我好吗……,9,不聋菲尔德,65418353
37,2016,10,18,不知道什么时候还有机会听现场……,8,小栗粟,42762609
38,2016,10,17,燕姿~你好美~好美啊~,3,永远的逆光,260101461
39,2016,9,8,我有爱姿病呀[大哭][大哭][大哭][大哭],4,吊大滴妹子,50177261
40,2016,8,25,我要一所大房子 有很多很多的 都是我喜欢的 都是我想要的 ,5,Sedate-da,312096798
41,2016,8,20,今年一定要去听一场燕姿的演唱会啊，有人陪我一起去吗[可爱],22,love西西Li,262386758
42,2016,8,10,～,0,丼眠,3418384
43,2016,8,5,度过完美的一天😊😊,0,举个西木,60673274
44,2016,7,28,怀念啊(๑• . •๑),2,依然若思念83,91579325
45,2016,7,5,中学时很喜欢听的歌，还被洗脑了也想要一所大房子，落地窗，很多房间,2,Gardenia2011,35639824
46,2016,6,30,我们晚上不睡觉，白天在床上思考。只有我想歪了吗[大哭],2,syz-97,133294291
47,2016,6,30,真想去听你要演唱会！,0,syz-97,133294291
48,2016,6,28,[亲亲][亲亲][亲亲],1,可阳快飞,115746724
49,2016,5,5,我们晚上不睡觉，白天在地里发骚,1,帐号已注销,124859943
50,2016,5,5,燕姿本来就美,0,帐号已注销,124859943
51,2016,5,1,啊——————！！！有生之年一定要去听一场live,1,咯咕滴哒滋儿哇,40546960
52,2016,4,27,@对镜贴花花 最爱燕姿[爱心],0,可是代价是什么呢,72447036
53,2016,4,27,"孙燕姿，你好美啊
",0,可是代价是什么呢,72447036
54,2016,4,27,一耶一耶一耶～,0,鄒爸比,85768778
55,2016,4,25,手借给我 听成了 手机给我 [大哭],1,帐号已注销,111639834
56,2016,4,14,"完美的 一天                           燕姿",0,进度导向,87157407
57,2015,12,31,唱我也不知道该放些什么的时候感觉像在撒娇,1,下沉式绿地,98637395
58,2015,12,20,有眼光[可爱],0,孙燕姿的嘴,53748727
59,2015,12,20,有眼光[可爱],0,孙燕姿的嘴,53748727
60,2015,11,25,我的理想生活,0,破土君,40282116
61,2015,10,21,还是当年充满冲劲的声音[憨笑]真好,2,左手圆球,76703619
62,2015,10,12,这首歌什么时候听都好听,0,BeitSong,38374705
63,2015,9,21,孙燕姿！你好美！,1,一个人住第六年,46011910
64,2015,9,4,燕姿！你好美！[吐舌],1,YZKEPLER,42348015
