index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,他说的是这个歌,0,虎生-,132651447
2,2019,11,19,拆迁户的生活,2,暗堂龙烈,382338807
3,2019,11,18,那时还在复读，中国青年政治学院篮球场旁的宿舍里，通过887听到的。好好干，一切都会好起来的！,0,维克多上校,31430179
4,2019,11,14,铁风筝乐队主唱虞洋的作品之一。,3,馬叁匹,35491961
5,2019,11,12,今天突然发现词曲是虞洋作的。无法把《这个夏天》跟这首歌联系起来[呲牙][呲牙][呲牙],2,我的名字叫红叶,60012153
6,2019,11,11,我的cp又在暗戳戳发糖了,1,遑论是非,346599961
7,2019,11,11,我觉得这是大户型民宿最好的宣传广告曲了,2,wheator,94526747
8,2019,11,9,真实,0,pamelaal,582546386
9,2019,11,9,问姐来的,0,在听音乐y,389978529
10,2019,11,9,我也想跻身富人区55555,2,软灰鲨鱼,54662727
11,2019,11,8,都是回忆啊,0,Aurorapuya,394001301
12,2019,11,3,对。其实还是反响不错的，只是销量不如Stefanie。,0,blueberrypie,41491137
13,2019,11,3,哈哈哈哈哈哈哈哈哈哈哈,0,blueberrypie,41491137
14,2019,11,3,刚出来我就喜欢这首歌😌😌😌不一样的孙燕姿！！！！！,0,blueberrypie,41491137
15,2019,11,3,80年代的我哥，光盘里存的第一首歌，00后的我，记得孙燕姿，从这里开始,0,大圣的小猴王,636297630
16,2019,11,1,现在这个心愿成了奢求,0,一個人滴精彩,576379044
17,2019,10,25,同龄人，祝福一切都好[开心],0,三斤葡萄十块,44136316
18,2019,10,24,2005年大一新生的我，从宿舍走到家乐福半个小时，只为去CD试听区，戴上那的大耳麦听《完美的一天《……现在想想，那时的我真是穷得快乐！！～,1,潇声客,48537084
19,2019,10,24,2005年大一，咱俩一届的，当时在家乐福CD试听区带着耳麦听了这歌好几天，因为没钱买！！～,0,潇声客,48537084
20,2019,10,23,有很大的落地窗户,2,Qir19496,382960189
21,2019,10,20,学校铃声！！！！[可爱],3,一碗火锅涮羊肉,535028858
22,2019,10,19,燕姿05年就让你买房了！你把握住了吗[大哭],3,胡郎远,102221229
23,2019,10,16,什么歌单啊,0,訾央伪装小漠漠,247480354
24,2019,10,16,这房子最少2000w,4,空生妙有lake,404134703
25,2019,10,11,当年第一次听到这首歌，我就很喜欢，现在仍然很想要这样的大房子,2,懒懒得烂烂,1514080244
26,2019,10,11,这词有点像种太阳…一个种在北极，一个种在夜晚,1,桃子亚麻P的sweetie,137653121
27,2019,10,11,我很爱这个歌词，你不觉得这个歌词很有意境吗？,0,相信iii,289209789
28,2019,10,11,哈哈,0,仙仙miss,409265746
29,2019,10,11,这个歌词，瞎写的吧。,0,侃大山com,1643917426
30,2019,10,11,厉害了，眼光毒辣，一下子就看到了房价的趋势，还写成歌广而告之,0,WaitingForYou_u,1510390454
31,2019,10,11,阳光洒在地板上，也温暖了我的被子❤,1,倚着阳光说爱你,262512490
32,2019,10,11,做梦吧,1,Deekson,100202078
33,2019,10,9,第一次听这歌的时候，还不懂什么叫飘窗[多多瞌睡][多多瞌睡][多多瞌睡][多多瞌睡],0,哼你好笨,630332990
34,2019,10,8,14岁快乐,1,孙燕姿老龚,405006132
35,2019,10,7,今天发行14 周年,0,错生不错过,422192437
36,2019,10,7,小时候的梦想,0,皮卡皮卡皮卡皮卡丘丘丘丘,279369552
37,2019,10,7,这一张是我的心头好啊,1,朱一金,626735320
38,2019,10,3,她发微博了，今天很完美,0,这个名字找不到我吧,1694668944
39,2019,10,2,老哥没看当时在亚洲多火吧 什么被低估...是被大陆市场低估吧,1,so_fly,127250352
40,2019,9,29,我也是哈哈哈哈哈,0,梦想当个蒙特利打工仔,335815757
41,2019,9,26,燕姿唱得大房子就是我梦想中的房子,2,魔力音乐馆,109387131
42,2019,9,23,好大的房子 好多的房间 富婆的快乐 呜呜 小时候听歌都不是这种感觉 越长大越现实啊,3,意达哟,71599944
43,2019,9,20,听了这么多年，今天才知道是“要”不是“有”，我每次都唱“我🈶一所大房子”，心情好好😂😂😂😂,3,玫瑰铁架,477080350
44,2019,9,20,我们晚上不睡觉。白天在床上思考。,1,也不是猪只打呼,355734135
45,2019,9,19,噜啦啦啦啦啦,0,只爱Mark,60751750
46,2019,9,15,燕姿很超前的！吹！,0,够不够暖活你1993,318608250
47,2019,9,14,我只要最快的网路,0,我放的屁逗是香的不信你闻,23149297
48,2019,9,13,我也想要一所大房子,0,嘿小hou的世界,16335939
49,2019,9,11,炫富神歌,1,SuZixiong,2555016
50,2019,9,8,朋友哭晕在厕所，朋友也想要大房子[大哭],0,zincl,107587264
51,2019,9,2,真的好想要一所大房子,0,正青春掉光了头发,427785297
52,2019,9,1,面朝大海，春暖花开,0,逍遥津大力丸,53553884
53,2019,8,30,这歌挺火的啊,0,快送我出家,302527318
54,2019,8,25,你是为啥觉得姿妈不红[大哭],0,只是浅蓝,294556642
55,2019,8,22,房奴之歌,1,SleeplessNight,107491792
56,2019,8,19,初中的时候，学校放学会放的这首歌，伴随着歌声跟朋友说笑打闹着出校门，就感觉很开心,1,道理都懂就是懒,395018441
57,2019,8,18,现在听才有感觉,0,还要上学吗,53518676
58,2019,8,17,北漂每天夏天搬家  都是听着这歌气哭[惶恐],1,Lolalolo,277830234
59,2019,8,16,当时要是听懂这个歌，现在都不用上班了,4,桂中著名狠人,1781226752
60,2019,8,14,看到你的评论我也去查了一下哈哈哈哈哈,0,苑子潯的小号,1548957065
61,2019,8,13,印象还是蛮深刻。总的来说，从网易云找的回忆不算少。到了年纪吧。,0,Make1956,2546486
62,2019,8,13,我们晚上不睡觉～,0,Kepler小姿,342372326
63,2019,8,12,我正好本命年准备买房子 因为经济以及各种压力 我还是不想将就自己买领包入住的二手房 希望自己找到其他赚钱的渠道,1,给你一打神经病,318443123
64,2019,8,9,我要一所大房子，有很大的落地窗户，阳光洒在地板上，也温暖了我的被子。       这是我小时候的愿望，后来发现这几乎不能实现,2,一枚安静的闲人,255828361
65,2019,8,8,历史老师的手机铃声😂😂😂,3,doodoochole,471680567
66,2019,8,7,这首歌真的很棒，唱出了女生心中理想的生活世界~,2,南倚竹林小桥,416330431
67,2019,8,7,梦想中的生活方式,2,南倚竹林小桥,416330431
68,2019,8,6,我要一所大房子 有很大的落地窗户！,1,莫名____z,1896679583
69,2019,8,6,突然想起来这首歌，查了一下这个虞洋，华语乐坛原来还有这样真实的人物。,0,川山与共,105802738
70,2019,8,3,我觉得不红一大半原因是以前播放器音质不好,0,星川浩海,35779720
71,2019,8,3,"No,180平最多做到三室两卫，起码要460平联排或者独栋，才能到6室，还不一定客厅大，",4,让让123,38779877
