index,year,month,day,content,likecount,nickname,user_id
1,2019,10,26,想见燕姿的第n天,0,被acca折磨的少女,1680934563
2,2019,10,15,呜呜呜呜太好听了把,0,也不是猪只打呼,355734135
3,2019,10,13,害怕的是未来的不确定性,0,peter369,407221442
4,2019,10,13,害怕失去的时候，就真的失去了！,0,peter369,407221442
5,2019,10,2,完美的版本,0,林嘉猩,124418844
6,2019,9,25,这才是好歌啊！,0,tkggyeah,396159125
7,2019,7,2,加油 燕姿,0,迷龍V,1519324181
8,2019,6,26,是的 世道变了,0,迷龍V,1519324181
9,2019,6,24,为了看燕姿，我去看了明日之子,4,Joyce的橙子,1665584207
10,2019,6,12,还是以前的歌好听啊,0,我走在少了你的风景啊,59127452
11,2019,6,11,来，跟我大声喊出来，好好听啊！！！！,2,tayVin,46867967
12,2019,5,24,如果可以，我肯定会在2020演唱会现场点这首歌哈哈哈哈哈哈哈,4,Joyce的橙子,1665584207
13,2019,5,9,终于要等到2020了[爱心][爱心][爱心],4,爱次火锅的猫,49673212
14,2019,3,21,生活不易，愿每个人幸福。,1,跳舞的梵谷乀,264352662
15,2019,2,5,新年快乐鸭,0,Fine乐团的最爱,606225699
16,2019,1,27,现在很棒棒啊,0,Joyce的橙子,1665584207
17,2019,1,23,很高兴后面歌词排版有四个心形，相信这不仅我一个人发现，《害怕》是一个你很关心的人，希望知道她的现在的一切，却又害怕听到她的消息。这首歌很深情，一辈子都会喜欢，正如我一辈子喜欢你爱你一样，虽然我们的故事可能也许不会有个好的结局。,2,Joyce的橙子,1665584207
18,2019,1,23,我认识孙燕姿时间不久，才四五年，很好奇之前为什么没多少她的新闻，低调的女神。燕姿是用心去唱歌的歌手，我最喜欢的歌手，最棒的歌手，每次听这首歌都会浮现和高中最喜欢的她在一起的一幕幕场景，我还爱她，一辈子都爱，但又害怕看见她，看见她涌入别人的怀抱。,2,Joyce的橙子,1665584207
19,2019,1,7,是时候之后水准确实下降了，07的逆光我觉得是巅峰之作，当然下降了也是吊打一众流量歌手的,0,currencybao,258261214
20,2018,12,26,天天听到喜欢的歌,0,talia94,9673259
21,2018,12,24,害怕😨,0,海外小仙人,65586509
22,2018,11,17,当年的燕姿,0,Stef_小黃瓜,509976485
23,2018,11,17,燕姿年轻时候的现场很厉害的,0,Stef_小黃瓜,509976485
24,2018,10,18,害怕不经意的听到你的消息，害怕一个人时很难忘记,0,虎虎fly,343593481
25,2018,10,14,最害怕燕姿的(害怕,0,帐号已注销,1488988645
26,2018,10,1,耳帝微博来的,1,月球下的人丿,32660412
27,2018,9,12,我心里燕姿最苦情的一首。,1,我爱野三坡,52341204
28,2018,8,30,这首歌为什么还没999+,0,西漓_SitiLee,137681007
29,2018,8,3,🎧,0,_诗芊,81037679
30,2018,8,2,喜欢这个时期燕姿的嗓音,1,prince-Joshua,117961245
31,2018,6,11,这是live？？？太厉害了……,5,随声听一号,73364567
32,2018,5,24,我害怕的是你夜深人静的时候想不起我,0,灵芝灵芝灵芝灵芝灵芝,115764728
33,2018,5,18,还是害怕突然宁愿当初没有决定,2,musicismypill,104410080
34,2018,5,1,我在等2020。,5,苏苏苏苏苏苏苏禾呀,331479824
