index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,mv更好看喔,0,Davie504,57455489
2,2019,11,11,好久没听这歌了，回来听又是不一样的感觉,0,8楼永远爱3楼,80342819
3,2019,10,26,耳机里放着这首歌，脚都不自觉踏出“就是这样”的拍子,0,我说叫我祭司就好,293894206
4,2019,10,20,我的宝藏，我爱的姿妈[憨笑],1,未闻花香喔,1539330488
5,2019,10,8,听到啦，怀念中学，下班路上,0,悲伤是奢侈品消受不起,67850144
6,2019,10,5,来这里考古了,0,叠加态,133026520
7,2019,10,5,就喜欢你姿这种类型的歌,0,叠加态,133026520
8,2019,10,2,这首的MV超美,3,未-完-成,494969845
9,2019,9,29,okokokok 就是这样 让我们一起 摇滚起来,1,7things_,1318437548
10,2019,9,29,我喜欢这首，但是我没有评论，我错了,0,7things_,1318437548
11,2019,9,17,后面两首都没有，这张是翻唱专辑，后面两首都是新歌，明显不符！,0,碧湖漫步,134764
12,2019,9,10,爱哭前奏,3,圈圈圈圆圈圆圈圈的圆,260089010
13,2019,9,9,这首为什么才这么点评论呜呜呜呜,0,也不是猪只打呼,355734135
14,2019,8,30,我两个孩子，都离婚了。。现在还是想找个像燕姿一样可爱爱笑的姑娘。。。,0,十二弦吉他,1451577955
15,2019,8,30,今天不就是永远？？！！！,0,谢小P谢小P,36145223
16,2019,8,25,从大铭脱口秀听到的，一路找到这里[亲亲],1,吾名曰小龙,387693748
17,2019,8,17,17年前买的磁带里不记得有这首歌了,0,iupopo,35957994
18,2019,8,14,年轻时的你,0,从前有个跳跳Jaye,487830997
19,2019,8,9,高音绝,1,Islandofcyril,48634536
20,2019,8,8,广州燥热的夏季迎来了立秋，突然就想起了记忆中的这首歌，歌声和旋律都是那么熟悉又抚慰人心。,2,Athena_and_her_owl,1720874836
21,2019,8,8,摇滚吧！全世界！,0,我很鱼块,125768521
22,2019,8,7,太喜欢她的唱腔了,1,非也非飞,440312810
23,2019,7,30,有种小任性的感觉，年轻真好,3,盗PortgasDAce,120876629
24,2019,7,22,摇滚女孩！,1,RevolverHKD,1509538174
25,2019,7,18,小时候；因为这首歌和直来直往超级喜欢燕姿。摇滚吧！全世界,4,loogia,41208131
26,2019,7,15,就是这样,0,Davie504,57455489
27,2019,7,5,真好！,0,Jay爷,600324080
28,2019,7,5,这首和年轻无极限 可以无缝连接,1,Jay爷,600324080
29,2019,6,25,摩托罗拉摩托罗拉摩托罗拉。,1,s1ck1000,1471605268
30,2019,6,15,评论里全是熟人啊,0,你们爱的大飞,259678257
31,2019,6,13,就是这样,0,06June2019,47422243
32,2019,6,10,有的呀！！,0,用户330106533,330106533
33,2019,6,9,当初磁带里没有这首呀！,1,我爱芝加哥,2056480
34,2019,5,31,姿妈唱什么我都爱听(ಡωಡ),0,Landung,562248348
35,2019,5,24,写得好,0,山寨力宏,3358960
36,2019,5,23,怎么都好听,0,枣糕少女宋觉觉,116531378
37,2019,5,14,孙燕姿对音乐的品味真的是 超棒，音乐审美很棒,2,东东夜奔,321394485
38,2019,5,13,年轻的声音。。,0,Davie504,57455489
39,2019,5,11,卧槽  读书时候听的是假磁带吗 孙燕姿所有的歌一首不拉 唯独这张专辑唯独漏了这首歌  居然一点影响也没,2,桂桂880827,468590961
40,2019,5,9,我还以为是悲伤情歌呢，没想到这么欢快呀，好听,1,愿君依旧笑,559237310
41,2019,4,30,这首歌的MV是结合3D动画的，很可爱呦，大家记得看,3,整天都在打哈哈,608981139
42,2019,4,22,听过燕姿的看电视的同学举个手，里面燕姿好年轻活泼啊。超喜欢,1,s1ck1000,1471605268
43,2019,4,16,我第一台手机就是摩托罗拉孙燕姿代言的，型号不记得了，蓝色机身，好像还是黄色屏幕哈哈,0,茶茶湘子,624784241
44,2019,3,31,一个屁觉得另一个屁很赞,3,愁容的骑士,381814572
45,2019,3,24,好high啊,0,冷脚丫,1320812521
46,2019,3,13,通宵砍传奇 一直单曲循环,1,夜夜犯罪,249249437
47,2019,3,1,恭喜恭喜,0,孙燕姿的小迷妹啊,327977684
48,2019,2,28,我做爹了,1,爬在红枣上的蜜蜂,141624
49,2019,2,24,进图书馆了[大笑],1,O_oHULLO,343829645
50,2019,2,16,大众是个屁,6,森海一只鱼,119354431
51,2019,2,10,Motorola手机广告曲,1,s1ck1000,1471605268
52,2019,1,23,就是这样，好年轻,0,lifeisdivine,1715286576
53,2019,1,23,以前听这首歌的时候总会想起喵喵的slogan:就是这样！喵！,0,酱爆腰花,3324113
54,2019,1,21,不要给歌曲强加过多的定义，只能说这首歌不能被更多的大众所接受[可爱],0,墩_墩,374160700
55,2019,1,12,很多歌迷都没听过这首吧,2,ZY-7,17531038
56,2019,1,8,这首歌很适合演唱会嗨起来！,1,用户277381598,277381598
57,2019,1,3,就是这样，摇滚吧全世界,0,吴迪迪迪迪di,329247569
58,2019,1,2, 希望2019 燕姿和 姿迷都开开心心， 如愿以偿。 ,0,孙燕姿的小迷妹啊,327977684
59,2018,12,31,哈哈哈哈 666 拭目以待,0,孙燕姿的小迷妹啊,327977684
60,2018,12,31,恩，加油，按道理明年应该代孕的孩子就来了呢,0,爬在红枣上的蜜蜂,141624
61,2018,12,30,那你加油,0,孙燕姿的小迷妹啊,327977684
62,2018,12,26,没有,0,爬在红枣上的蜜蜂,141624
63,2018,12,20,我不管，我不管，我不管。,0,阿拉阿宗,71637086
64,2018,12,10,那你当爹没有,0,孙燕姿的小迷妹啊,327977684
65,2018,12,10,妹子，哥是雄的,0,爬在红枣上的蜜蜂,141624
66,2018,12,9, 你现在当妈了没有,0,孙燕姿的小迷妹啊,327977684
67,2018,11,11,磁带还保留着，可是没有机器了,0,小鱼-大鱼,77407085
68,2018,11,10,上次听这首歌还是磁带[吐舌],0,木鱼__,109883124
69,2018,11,9,燕姿的很多歌都值得很多年以后再回头听听 每次听感觉都不一样,1,Serendipityyy,33664969
70,2018,11,1,晨起叫醒曲[可爱],1,XJen_90,362863842
71,2018,10,31,仿佛回到了那个夏天，背着书包听着歌那个开心呐,0,悟空_-_-,52262458
72,2018,10,29,助力999，这么好的歌居然没人,0,S逆光_,351122752
73,2018,10,20,燕姿这首竟然没听，好听啊,0,janeguoforever,404570295
74,2018,10,12,留名   燕姿我爱你,0,Landung,562248348
75,2018,10,7,我想还有太多好听的歌，被埋藏在时间的河流,1,神圣无名,267135454
76,2018,10,2,是最爱的燕姿啊[亲亲],0,苏靖岗,350976808
77,2018,10,1,最后两首是bonus track ,0,XavierKANGDuanxu,1296562228
78,2018,9,27,好聽。愉悅。,0,H_Stef,309880055
79,2018,9,19,mv超可爱,0,彼得潘与狼,261245021
80,2018,9,17,nana...start,0,A-KUONG,577837024
81,2018,8,18,好听,0,抠脚刀男骚,345308381
82,2018,8,9,找到了,0,老古董vvv,1419458132
83,2018,8,2,...天呐 原来是这首歌[大哭][大哭][大哭],0,_诗芊,81037679
84,2018,8,2,摩托罗拉手机,0,寒水涧,39926713
85,2018,7,30,恭喜我姿儿女双全[憨笑][憨笑][憨笑],3,Criska卡配罗,104251265
86,2018,7,28,当年这好像某广告的歌,0,最终電車,62205258
87,2018,7,22,第一次听,0,麦丽素0723,544048498
88,2018,7,20,那是你还不够迷,0,人生啊浮浮沉沉,1521277718
89,2018,7,16,喜欢她的所有,0,林深时见鹿晗,125413239
90,2018,7,12,就是这样 敷着面膜听着姿妈的歌，美滋滋,0,baolinbaby,611794860
91,2018,7,12,就是这样！！！,0,晴雨jiang,442613345
92,2018,7,6,是啊，等我娶她！她嫁人了，我也不直了！,3,爬在红枣上的蜜蜂,141624
93,2018,7,2,引入副歌的那声琵琶，想到杨玉环,0,小城旧音,292465669
94,2018,7,1,就是这样！！[惊恐],0,骨灰盒7,618884971
95,2018,6,25,等你成年吗,0,姿迷,7559252
96,2018,6,12,摩托罗拉T191，记得那个广告就是黑白屏上的小兔子。。,2,圣杯八,302207563
97,2018,6,2,不管 不管 不管 向前看...,0,歌吻鲧,368917990
98,2018,5,25,梵谷不跳舞,0,梵谷不跳舞,132774418
99,2018,5,19,就是这样！前进！,0,Erika_Linder,305117600
100,2018,5,12,有个问题，这首歌不是翻唱的嘛😓我一直为这张专全都是翻唱…,0,丰阝君,296235500
101,2018,5,6,今天真是个好日子！,0,Erika_Linder,305117600
102,2018,4,21,那时候摩托罗拉还很牛比的。,0,一路向北171222,1318006692
103,2018,4,17,这是一首广告歌吧,0,归属何方,1358738
104,2018,4,14,这首和up2u貌似当时引进版没有收录,1,李牧畚,267765402
105,2018,4,14,好听,0,毛毛虫0912,323067104
106,2018,4,13,嘿呀[可爱],0,張_贰,42585757
107,2018,4,8,还有很多很好听的歌，我随便给你来一个，私信给你,1,跳舞的克卜勒,122786310
108,2018,4,7,我的谁都别抢,1,YSHii-,411163040
109,2018,3,31,我姿的歌能让人在黯淡的时光里，笑成另一个世界的自己。或许我下次醒来，我也能变成这样一个洒脱的人,4,赫加文,80700321
110,2018,3,30,是啊，刚才手机突然放了这首歌，惊觉这首歌怎么这么好听！,1,MDXIS,344564103
111,2018,3,23,傲娇！,0,老楼上的猫,36122428
112,2018,3,22,我的热门你不赞,0,跳舞的克卜勒,122786310
113,2018,3,22,这首歌是有多冷门！[撇嘴],1,老楼上的猫,36122428
114,2018,3,22,真希望有一天能找个燕姿一样的女生,2,英格拉姆s,344450592
115,2018,3,22,说去就去,0,英格拉姆s,344450592
116,2018,3,22,年轻有朝气,0,英格拉姆s,344450592
117,2018,3,22,活捉,1,跳舞的克卜勒,122786310
118,2018,3,22,[大哭]不可以,1,跳舞的克卜勒,122786310
119,2018,3,20,"又是一个10点回家的夜晚,谢谢路上有你的歌陪伴",0,有时候的夏,92221771
120,2018,3,20,怎么，不可以吗[奸笑],0,Jay爷,600324080
121,2018,3,20,[大哭]公开撩妹？,0,老楼上的猫,36122428
122,2018,3,19,今天不就是永远？,0,英格拉姆s,344450592
123,2018,3,19,就是这样 超越虚拟的世界,0,英格拉姆s,344450592
124,2018,3,19,说去就去,0,英格拉姆s,344450592
125,2018,3,14,愿大家 心事少一点，情绪好一点,0,33轉的LP,630862795
126,2018,3,12,gay 多点,0,林守乐,55243746
127,2018,3,5,我是个假粉,0,念舊的峰,49351360
128,2018,3,4,我上高中就听过了，摩托罗拉主题曲。一晃快十几年过去了。,0,一路向北171222,1318006692
129,2018,3,4,摩托还得靠骡拉。,0,一路向北171222,1318006692
130,2018,3,3,那段叫声……很好听啊[憨笑],0,33轉的LP,630862795
131,2018,3,1,就是这样 摇滚吧全世界,0,英格拉姆s,344450592
132,2018,2,25,MOTO,0,郑局捣鸡猫,88067399
133,2018,2,24,就是这样,0,未完成19991230,503310441
134,2018,2,14,就是这样,1,跳舞的克卜勒,122786310
135,2018,2,12,新年快乐,0,DogIII侯家方,128760365
136,2018,2,12,正好今天天气大好，走路带风,0,廖莹如,86204440
137,2018,2,8,这是给哪个手机的推广曲？,0,海雾戦艦Haruna,58898304
138,2018,2,2,这个竟然没有评论,1,果汁爱学习,1350631564
139,2018,2,1,15年姿迷,1,王金1711,632842409
140,2018,1,28,啊哈？,0,闲棋清宵信拈花,455501288
141,2018,1,28,我是男姿迷，高中开始听燕姿的歌,0,Jay爷,600324080
142,2018,1,28,姿迷，有男票吗[奸笑],0,Jay爷,600324080
143,2018,1,21,哇好早的歌，随机到的，不过燕姿的每一首歌都会唱(●ˇOˇ●),0,闲棋清宵信拈花,455501288
144,2018,1,20,耐听[亲亲],0,SissiO_o,359922103
145,2018,1,14,好听好听！,0,lost晓,136252950
146,2018,1,11,"7911upup
",0,给周先生的一支歌,103641395
147,2018,1,6,很带感！签到！,0,向日葵的天空138,1332989081
