index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,哭,1,我丑到你了吗,249673228
2,2019,11,3,这场演唱会太棒了,1,雨还是不停地落下_,100825170
3,2019,10,31,不就是那天没有说话了嘛 不敢跟你说话 就是听了别人的八卦,0,哈哦嗯啊哎,1811437483
4,2019,10,31,不过还是没有理解这首歌的用意,0,哈哦嗯啊哎,1811437483
5,2019,10,31,开心才是选择[撇嘴],0,哈哦嗯啊哎,1811437483
6,2019,10,27,何必激动着要理由,0,二十五岁去法国,273317855
7,2019,10,25,快乐是选择,0,UserMenk,343908996
8,2019,10,24,这些歌会把你听的抑郁,0,半糖糖主义,1749250027
9,2019,10,24,误踩油门了！,0,半糖糖主义,1749250027
10,2019,10,19,没有资格吃的醋 才是最酸的,0,一碗饱腹,1736318395
11,2019,9,19,胜似魔鬼[发怒][大哭][大哭][大哭],0,潜水大鲸鱼,476471883
12,2019,9,18,你是摸鬼吗,0,宇栀鸣,426102912
13,2019,9,11,太好听了吧,0,韵韵是你女朋友,1715659636
14,2019,9,4,谢谢,0,加菲猫的移动城堡,61752401
15,2019,9,3,原来人会变温柔，是透彻的懂了，彻底的算了……,0,做个笑娃娃,1901930637
16,2019,8,27,开始抖了,2,hoohhle,39975956
17,2019,8,26,今天我的爱人结婚，原定于两年前我们结婚的！两年后的今天，新郎不是我，打算偷偷在酒店门口路对面看着，以最无用的方式祭奠过去的我们,0,你羡慕我有-面包,115341686
18,2019,8,21,不 难过的时候越听越难过 还是要出去走走,0,MiGaMaKa,265483298
19,2019,8,19,莫有，因为我鼻梁塌。。。,4,潜水大鲸鱼,476471883
20,2019,8,17,李偲菘,2,爬满青藤的房子,122550264
21,2019,8,11,唱K的时候，悄悄点了这首，在吵闹喧嚣中唱完，旁边新同事对我说也是有故事的人，我答对啊，毕竟爱了姿妈14年～2020 我们再相见[亲亲],3,Harburr,382651369
22,2019,8,5,开始懂了，一个人的单恋其实，什么也没有，最后的空荡让人害怕,2,也无寄予_,271955016
23,2019,7,22,“相信你只是怕伤害我，不是骗我”，是我太善良，到最后也不想把你想得太坏。,2,hana小琪,122371411
24,2019,7,22,难过的时候，这些歌是会救命的。,2,hana小琪,122371411
25,2019,7,16,"相信你只是怕伤害我，不是骗我
很爱过谁会舍得",0,为什么我还是学渣----,474731320
26,2019,7,8,和我一样优秀的兄弟,1,竹字头Jane,396999424
27,2019,7,7,现场版的好像更有感觉啊[爱心],3,你们怎么不泡我,352045593
28,2019,7,7,(ง •̀_•́)ง  单身一时爽 一直单身一直爽,0,你们怎么不泡我,352045593
29,2019,7,5,等你演唱会哈,2,Fancybur,1287651630
30,2019,7,4,献给李思聪老师,1,_微笑作结_,58417847
31,2019,6,26,油门线断了！,0,杨楚林a-chu,57619690
32,2019,6,18,何必激动着要理由,3,她就是古灵精怪,122949103
