index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,考上了，去看燕姿演唱会,1,愿君依旧笑,559237310
2,2019,11,28,现在要是有人在我身边就好了，你，还好吗，应该过得很好吧,1,cao不易,1344950237
3,2019,11,28,现在可以了,0,cao不易,1344950237
4,2019,11,28,哥哥疼你,0,丶漂流物語,106401725
5,2019,11,28,重要的是我们如何爱过这一段,0,kirakirabushi,61668196
6,2019,11,27,一百次相爱  只要有一次的绚烂   [爱心][爱心][爱心][爱心],0,放飞自我ccc,121226867
7,2019,11,27,不去想不开心的事，总感觉你说不喜欢我是在骗我,1,-s无花果,1390207245
8,2019,11,27,是啊 大多数人都没有真正的朋友，大部分社交都是无意义的社交。有真正的朋友可能也不会经常见面，每个人都有自己的事情要做。,0,after17th,372546599
9,2019,11,27,此时此刻一个人的被窝真温暖👶,2,李粤李粤李粤1994,1437538458
10,2019,11,26,看到你穿的暖暖和和的就放心了，我的哥哥啊，加油我会一直陪着你的🎁。这是我们的小秘密对不对💓,1,废话小c,559201095
11,2019,11,26,我等了好久，等着他和我聊天，可是他却说他申请睡觉他困了[流感] 不让他睡觉又干嘛呢，可是我就是难过，连安慰都没有就晚安宝贝[流泪][流泪][流泪],0,女孩童伯,431589135
12,2019,11,26,等了两个多小时，她终于回我微信了，我从被窝里爬起来，喝杯咖啡提提神。,0,雨花石shine,283472030
13,2019,11,26,哈尔滨的冬夜听着这首歌是真的暖和,1,Stefanie-118,264569633
14,2019,11,26,三亿鼠标的梦想,0,Stefanie-118,264569633
15,2019,11,26,没有你的冬天 会更勇敢,2,情感对等,531875586
16,2019,11,26,为什么这首歌到后面就自己切掉了,1,东村艾美丽,446001207
17,2019,11,26,抱抱,1,虾细声,437360100
18,2019,11,26,肖战喜欢的歌手 我也喜欢💕,0,yukikihhh,548497014
19,2019,11,26,现在的我已经分不清到底什么对错，难道做错了说了对不起就觉得OK了吗，就没有什么其他的话吗，我的心情还是不开心了就一定是错的吗,0,Diviner170913,549922089
20,2019,11,25,有的人注定是过客，我就但愿不要被不值得的人影响自己的正常生活,1,榛子filbert,1565981771
21,2019,11,25,孙燕姿2020年开演唱会 我明年去当兵。始终无缘 希望你们替我去听,7,虾细声,437360100
22,2019,11,25,刚知道这首歌的时候，是我穿越火线的一个好友，她名字就是当冬夜渐暖，一开始觉得名字很好听，后面才知道是燕姿的歌名，这么多年过去了，不知道你过得怎么样，还玩不玩cf。,2,他叫杨小丑i,1491903413
23,2019,11,25,我也在想,0,CHENXL1003,479150095
24,2019,11,25,有些歌 多年后再听 即使已经忘记了故事 但唱出来时 还是会泪目,0,萌翻天的蛮腰,133036775
25,2019,11,25,大学的生活在高中时候被附上无限期待，但却只有在亲身经历过之后才知道，充斥满满的无奈…,0,慵容_,530281190
26,2019,11,25,下一次会更勇敢,1,一颗欣仔,435419208
27,2019,11,25,加油喔,0,牯岭街杀手,304660922
28,2019,11,25,"我从来都没发现，原来我这么善于反思。
反击你时短暂的快感过后  我想不该这么冷漠，如果别人这么对我我肯定会难过的。那 还是我先妥协吧",1,可乐colala,491359094
29,2019,11,25,每次听到这个歌   都会想起你鸭    你曾是我那么好的朋友    你带给我的太多太多    很遗憾    我还是把你弄丢了    那时候年纪太小   做事太冲动    对不起     要好好生活鸭wuxingyu,2,告别娑婆_,70655467
30,2019,11,25,还会卤猫  牛皮,0,南通崔胜贤,312999216
31,2019,11,25,我这里也下雨了,0,南通崔胜贤,312999216
32,2019,11,25,冬天到了 你们怎么还不在一起啊,4,拾叶叶叶叶叶叶,1319046858
33,2019,11,25,我害怕失望，我渐渐失去相信的勇气。世界很大，这么多人也许有一个在等我，只是，我好累。我踟蹰不前，安于一隅，混吃等死，得过且过，盲目低级的快乐好过真实的失望，麻木，我也知足，我会为此承担一切恶果，只为了不会失望。我tm就是个怂b🙃越想越难受,2,要快快快快快快快快乐,580511971
34,2019,11,24,对，我把和你的聊天记录删了,2,可乐colala,491359094
35,2019,11,24,冬天就是让人想恋爱呀,7,我蛋挞呢,303141211
36,2019,11,24,现在大一，在这里都是一个人，没人关心，没人交流，高三真的挺好！快乐太难,0,廿翊,1374807267
37,2019,11,24,一定一定 嘿嘿[憨笑][憨笑],0,孤岛月光,118986590
38,2019,11,24,我还是第一次见想活在高三的人,0,画笔流颜诉弦歌,1692355580
39,2019,11,24,你忘记我了吧，幸好我也快忘记你了。很久没见过你，没见过以前的你了，也遗忘了曾经的我了,0,倾锦1307,1840598776
