index,year,month,day,content,likecount,nickname,user_id
1,2019,11,17,每次听这首歌都会鸡皮疙瘩，唱到我心里去了[流泪],0,红尘小小生,73020014
2,2019,9,21,我陪你留在天黑的世界,0,Heyheyxfy,45158791
3,2019,9,4,燕姿 就这样一直爱你好多年吧,0,Erika_Linder,305117600
4,2019,8,22,我陪你留在天黑的世界,0,OysterMathea,1821856762
5,2019,8,6,很好很好,0,我很鱼块,125768521
6,2019,7,29,雷天阳雷天阳雷天阳我们在一起好不好,0,海洋过森林,325742808
7,2019,7,23,生日快乐 一直很好,0,lousa,3509805
8,2019,6,16,我也爱你,0,NTUfail,71924954
9,2019,5,11,燕姿，我们都会好好的是吧。,0,Erika_Linder,305117600
10,2019,5,11,心情不好 就喜欢听一些伤心的歌唉,0,Erika_Linder,305117600
11,2019,4,29,我喜欢你我喜欢你我喜欢你 可为什么我只敢在这个你不知道的世界发疯？,0,Erika_Linder,305117600
12,2019,3,5,小提琴太性感,5,阿姆诗特朗,1500978322
13,2019,2,13,LIVE声感更真实，这也是我最喜欢听LIVE的原因,3,Nembutal,285968582
14,2019,1,14,要听哭了，怎么回事[流泪],2,請叫宋長老,373701684
15,2019,1,12,live比cd还好听,4,qXz7x,45689724
16,2018,11,4,爱你 很好,1,唐小桂,254852863
17,2018,11,2,我是多么的爱你。,0,SSYANITY,504036005
18,2018,8,13,在我爱着的你面前，我显得是多么的卑微。,1,有害无类,414304468
19,2018,8,2,好甜 很好,0,_诗芊,81037679
20,2018,7,27,不会忘记与你的约定,0,Erika_Linder,305117600
21,2018,7,15,燕姿就要听Live,1,漫无漫无,428113917
22,2018,5,7,我一定一定，要去你的演唱会[爱心][爱心],4,Stefanie71,410964408
23,2018,4,11,很好很好！！！,0,H_Stef,309880055
24,2018,4,5,最喜欢的演唱会,1,江酱匠,622770566
25,2018,3,23,还有76天高考，我必须坚持住。除非我不想赢，否则没人能让我输。就做燕姿咬字时的那一点倔强吧，坚持住，走下去！,5,李太太的李先生O,314165832
26,2018,3,11,太帅了,0,33轉的LP,630862795
27,2018,2,12,最爱的版本,2,A-KUONG,577837024
28,2018,1,30,我爱你,0,雨陨,31875806
29,2018,1,5,"这首歌超棒，可惜评论很少
",3,Ci2xsk,285040371
30,2018,1,3,爱你很好,2,我有努力和这个世界变熟,394296679
31,2017,12,2,live更有感觉 依旧爱燕姿,1,Augus杨羊洋,438218075
