index,year,month,day,content,likecount,nickname,user_id
1,2019,7,20,其实一个人也很好,2,xxieMEr,254498774
2,2019,7,10,年轻时听的磁带，还是那么好听~,0,今日阴转雷阵雨,350301744
3,2019,6,4,记得第一次用的卡带听这首歌 卡带现在还在,0,journeyfancy,22093583
4,2019,4,12,现在对爱情就像对刚掉下来的花一样 它很美 我想拾 可是我知道 捡起来了它也会枯萎会丑 所以即使再想 我也不会拾起,1,戈金斯,502441602
5,2019,3,26,很好呀 只要你不缺我我又怎么会缺个你呢,1,xxieMEr,254498774
6,2019,1,16,你生活已经很好了，无需多一个我，我生活还没到自己的要求，不适合添一个你,0,节余劫余,609899533
7,2018,11,16,我在听燕姿这首歌曲《很好》,0,用户1565762831,1565762831
8,2018,10,4,我也是一样的,0,用户1565762831,1565762831
9,2018,8,4,空气里有种相依为命的味道,0,_诗芊,81037679
10,2018,5,26,一直觉得，等待是一种很好的状态，因为它包含了无数的可能性。,3,煜见冬天,269618816
11,2018,3,3,"一切都是很好
可我想让我对你的爱是最好",0,秋霜寒月君未归,432190478
12,2018,2,4,燕姿 爱你很好 连风都知道,3,姿迷Kepler,62776498
13,2018,1,20,2018第一位！！！,1,沟得白,76644163
14,2017,12,30,火起来只是时间问题,1,hiderlove,334628380
15,2017,10,12,每一份期待 [痛苦]很好,0,iemja,489558031
16,2017,10,5,我们是座城堡，爱情放在里面很好，就算没有人看好，幸福是因为互相依靠，爱情这座城堡，牵著手才能找到，当我们彼此微笑 请不要打扰。,1,会飞的圆圈圈,377533009
17,2017,9,28,怎么这么少,1,顿涅茨克矿工,346791309
18,2017,9,22,嗯，真好,0,么么么么么呢呢呢呢,489788586
19,2017,9,6,恩 很好,1,松田启,278186962
20,2017,8,20,曾经一切都很好,0,Taraaaaaaaa,135854354
21,2017,8,8,冷门好歌。,0,Liar0818,2955122
22,2017,8,4,这歌居然没999,0,Ann0512,115588501
23,2017,8,1,燕姿第一首创作[爱心],0,淇水汤汤_Genesis,60124922
24,2017,7,31,爱你，就好。,0,一个养了狗又养了猫儿的人,351905901
25,2017,7,9,爱你很好,1,过往云烟视而不见,305289320
26,2017,7,7,[爱心],0,jtwya39,56734736
27,2017,6,21,爱你很好 但学着不爱你呢 是要放手了吗 嗯 当我们彼此微笑 请不要打扰 ,1,大大大雪饼呀,362993190
28,2017,6,20,爱你很好，连风都不知道,1,shiyims,409552909
29,2017,6,12,很好,0,FishAndMissChen,312464101
30,2017,6,8,变得越来越容易满足。比如听到这首歌。,0,宋嘟嘟3,284403437
31,2017,6,4,好喜欢这种，突然挖到冷门歌曲的感觉。,2,一只哀伤的猫啊,294625018
32,2017,5,29,就这样，也好,0,宋十十七,51117727
33,2017,5,28,棒棒棒,0,阿尔文小旭旭,129577200
34,2017,5,23,记得叫醒我。,1,chillenough,80244964
35,2017,5,17,真好听a..人真少……[亲亲],1,我一定要叫世界上最好听的名,432692958
36,2017,5,17,很好,1,秋茶_,266472490
37,2017,5,16,这首歌一定会破千的,2,红歌你好,374198844
38,2017,5,16,假装很好 都很好,1,lavenderliqh,125843094
39,2017,5,16,爱你很好 连风都知道,0,张三穗呀,480126823
40,2017,5,7,燕姿 爱你很好 连风都知道,0,姿迷Kepler,62776498
41,2017,5,7,燕姿就是一切心情,0,喵多多喵,350328093
42,2017,5,2,燕姿就是青春最好的见证,3,ZLynn__,310818108
43,2017,5,2,爱你 最好的孙燕姿,0,杏仁鲨,35018648
44,2017,5,1,趁这首评论少赶紧留脚印……,1,zgsxdjm,324629100
45,2017,4,7,有你的声音陪伴 很好😋,1,做我的猫i__,101820392
46,2017,4,7,很好,0,小栗粟,42762609
47,2017,4,1,[流泪]还是老歌经典,0,融sama,124740334
48,2017,1,26,Yan-zi,2,孤独小孩o,273175427
49,2017,1,2,我们是座城堡，爱情放在里面很好,2,楊小GUO,97597120
50,2016,11,17,初中时代……,0,伽蓝避雨123,265634691
51,2016,7,23,永远十八，貌美如花。#孙燕姿723生日快乐#爱你很好，连风都知道，第一次心甘情愿不想逃[爱心],2,孙燕姿的手,100429699
