index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,。。这首也好好听啊。。你但凡有一首难听的歌 我也不至于陷得这么深 ,0,StefX,300674075
2,2019,11,25,寒风凛冽,0,苑子潯的小号,1548957065
3,2019,11,14,我有个心愿，就是和你和好，拜托了，我们和好吧。！！！！,1,杨千嬅的长岛冰茶,270872491
4,2019,11,12,只因喜欢，只因好听。,0,rock默然,39572304
5,2019,11,7,结婚是过日子，恋爱是一段美好生活，有生之年有你足以，ZRS🌲,0,soulmate清,448864011
6,2019,11,1,爱是勇敢的心愿,0,跳舞的反骨,33249451
7,2019,10,29,最近相隔十年再听孙燕姿，真是觉得越听越好听，还是属于我们那个年代的歌手唱的歌耐听！加油燕,0,启明星y,2755743
8,2019,10,28,不光是爱情，这首歌给我很多勇气和能量。“但我只能前进，穿越心里的风雪”,1,木鱼916,1296840941
9,2019,10,28,这首歌带感。不火，说明他们没品味。,2,木鱼916,1296840941
10,2019,10,27,昨天见到燕姿了，好激动，活着真好,1,Beeovenvan,1847499670
11,2019,10,23,我爱孙燕姿,0,訾央伪装小漠漠,247480354
12,2019,10,19,@溪水润子木 数不清的心愿尽在眼前，暂选燕姿的你分享。本曲音色处理得颇为内敛。也是，面对心愿之事是需要保持几分冷静与专注的！心愿最美好的转变，就是随愿 ！,0,青山绿水6431,1426916
13,2019,10,17,1033 9:30 10.17 孙燕姿 心愿,0,识刀客,623315109
14,2019,10,11,结尾以为我手机卡了,1,穿裤衩的海豹,1728346307
15,2019,10,9,darin sail the ocean,0,渡尘于世,83353052
16,2019,10,9,你在风的另一边,2,包子先生再也不会辜负好姑娘,325837505
17,2019,10,6,意外的惊喜,1,XQ0823,489797899
18,2019,10,5,沮丧迷茫的时候最喜欢这一首了！,3,Erika_Linder,305117600
19,2019,10,5,对对！我太爱这歌了！！,0,Erika_Linder,305117600
20,2019,10,3,其他的先不管，现在的心愿就是去欣赏燕姿的演唱会！！,5,Beeovenvan,1847499670
21,2019,10,2,这首怎么这么好听！！,2,也不是猪只打呼,355734135
22,2019,9,30,不要后退。但愿会发生变化！！！[爱心],2,葡挞蜀黍,362540439
23,2019,9,26,"说吊是真的吊",0,啊啊啊啊啊20,1986378568
24,2019,9,25,演唱会必须安排！!,1,得布西森林,95937066
25,2019,9,24,十年前爱上这首歌，那时候不懂爱情也不懂珍惜，现在懂了确没人让我珍惜。,1,杨宝宝是我,1944467045
26,2019,9,24,相爱会被成全 对不对,0,DoerChan,18898607
27,2019,9,21,爱是勇敢的心愿,1,自愈1826,444017122
28,2019,9,21,太难唱了,1,你这颗烂白菜,317113523
29,2019,9,18,我们有约 约好一起永远,2,账号还是注销吧,17481219
30,2019,9,16,什么都可以hold住 摇滚姿,1,Islandofcyril,48634536
31,2019,9,8,啊啊啊啊啊啊啊啊啊啊太好听辽。,1,也不是猪只打呼,355734135
32,2019,9,8,好听！耐听度满分~,0,Sparrrrk,270935914
33,2019,9,6,燕姿也是原唱,0,MoonTree唸,407146454
34,2019,9,6,太好听了。,0,青衫大人-,494097358
35,2019,9,2,我又想起她,0,果果vera,108663274
36,2019,8,31,不是“改编”。同时买了原曲，分别填词而成。,7,EileenLeee,33800837
37,2019,8,28,[猪]梦想   我真的好喜欢好喜欢好喜欢你呀    可是    你在风的另一边,1,OSTANIII,407095548
38,2019,8,27,每一次往回翻都有好多惊喜 听这专的时候还没喜欢上姿妈 没想到一下子唤醒儿时的回忆 那时对她无感或许是还没到年纪[流泪],2,Siriusly17,277593220
39,2019,8,22,我姿的每首歌下，都要留下我的痕迹。,0,计时人生,258834281
40,2019,8,16,约好一起永远,0,badass88,307484372
41,2019,8,15,我们有约,0,龍每文呵呵,1461282717
42,2019,8,11,英文歌改编，sail the ocean,5,strong180814,1554048070
43,2019,8,9,好爱燕姿,0,那我觉得,79585798
44,2019,8,9,都好喜欢,1,那我觉得,79585798
45,2019,8,9,突然忘记原唱的北欧小哥叫啥了，以前好迷恋,1,海星的海湾,1695873391
46,2019,8,8,参选中国十佳青年都嫌小[大哭],0,dofospider,330145317
47,2019,8,8,心愿投票落后啦，很纠结,0,7things_,1318437548
48,2019,8,7,2020 魏胖子来啦,1,我是魏胖子,529178480
49,2019,8,7,我们有约 约好明年再见[强],0,我是魏胖子,529178480
50,2019,8,7,相爱会被成全 对不对,1,我是魏胖子,529178480
51,2019,8,7,今天有投票 心愿冲鸭,1,我是魏胖子,529178480
52,2019,8,7,哇 999加了,0,我是魏胖子,529178480
53,2019,8,6,不知为什么，觉得这首声音好特别...,0,我很鱼块,125768521
54,2019,8,3,专辑除了与新制作人的合作，还在创作人与乐风上大量使用了新的元素。创作人虞洋谱出了愉快音乐性浓的《完美的一天》，而孙燕姿用自己的唱腔演绎出来。,0,识刀客,623315109
55,2019,8,3,最直接的东西最感人，音乐不用花哨，如果它已经是那样，你只需要锦上添花，而不要把焦点模糊掉 。,0,识刀客,623315109
56,2019,8,3,孙燕姿算得上是《完美的一天》专辑的音乐总监。这张唱片制作的整个方案都是孙燕姿亲自参与讨论并作决定，而歌曲都是她自己喜欢才挑选的，整张专辑都代表了孙燕姿自己的看法和态度。专辑的理念定义为：你喜欢、你不喜欢，都是很直觉的。,0,识刀客,623315109
57,2019,8,3,太爱这首了呜呜呜,1,不是贫乳,342924731
58,2019,8,2,心愿(2005) 在上面的基础上再加入过门中的一个C#5纯真声，还有转来转去的尾音,2,识刀客,623315109
59,2019,8,2,我还小我不老[奸笑],0,星星粒粒皆辛苦,577990403
60,2019,8,2,一不小心都暴露了年龄。。。,0,dofospider,330145317
61,2019,8,1,燕姿的每一首任何时间再回来听都那么好听！！！,1,借我半盏灯,107982595
62,2019,7,31,单曲循环,1,平生任烟雨独有一蓑衣,111583801
63,2019,7,31,这张专辑心愿和明天晴天都喜欢，可惜排在这张专辑的最后,1,沫沫Bao,541275220
64,2019,7,31,好听啊,1,neversaygoodbye2017,100608769
65,2019,7,29,《心愿》大气、厚重。贾敏恕让燕姿做到即使低沉没有呐喊同样可以很震撼。,1,识刀客,623315109
66,2019,7,29,孙燕姿算得上是《完美的一天》专辑的音乐总监。这张唱片制作的整个方案都是孙燕姿亲自参与讨论并作决定，而歌曲都是她自己喜欢才挑选的，整张专辑都代表了孙燕姿自己的看法和态度。,2,识刀客,623315109
67,2019,7,29,明年演唱会希望能听到这首,3,识刀客,623315109
68,2019,7,29,这首太好听了，不过不好唱，和另一张脸一样,0,识刀客,623315109
69,2019,7,29,996了，加把劲破999吧,0,识刀客,623315109
70,2019,7,29,我好像第一次知道燕姿就是听得这首歌,0,星星粒粒皆辛苦,577990403
71,2019,7,29,"“我们有约，约好一起永远”
今天网易云日推歌着实惊喜到了
当年MP4 里的第一首歌
一不小心十年了！
有个心愿，演唱会也安排一下这首歌吧",1,星星粒粒皆辛苦,577990403
72,2019,7,29,一听就听十年了！,1,星星粒粒皆辛苦,577990403
73,2019,7,29,可以给人带来力量！,1,星星粒粒皆辛苦,577990403
74,2019,7,29,燕姿的声音就是这样清冷又孤傲，孤独又倔强！,1,星星粒粒皆辛苦,577990403
75,2019,7,29,听第一遍就爱上了,0,星星粒粒皆辛苦,577990403
76,2019,7,29,这是初识燕姿的第一首歌,0,星星粒粒皆辛苦,577990403
77,2019,7,29,超级爱这首歌,0,星星粒粒皆辛苦,577990403
78,2019,7,29,我也想要,0,星星粒粒皆辛苦,577990403
79,2019,7,29,初中MP4 里面的歌，回忆，怀念,0,星星粒粒皆辛苦,577990403
80,2019,7,29,哈哈哈哈，一起复习！,0,franksun1994,301879950
81,2019,7,29,为了明年的演唱会开始复习,1,Wanderlust_7,32480454
82,2019,7,28,很喜欢这首和另一张脸,2,识刀客,623315109
83,2019,7,27,好歌,0,男神眼,489395035
84,2019,7,27,我要站在山顶上听心愿,0,比利时柚子,545624765
85,2019,7,25,不管多累我不能后退,0,我是魏胖子,529178480
86,2019,7,25,忘了风还吹着我的脸,0,我是魏胖子,529178480
87,2019,7,25,可是那么美,0,我是魏胖子,529178480
88,2019,7,24,永远也很远,0,我是魏胖子,529178480
89,2019,7,24,天堂很高,0,我是魏胖子,529178480
90,2019,7,24,默默孤独的攀着岩,0,我是魏胖子,529178480
91,2019,7,24,想象站在巅峰的喜悦,0,我是魏胖子,529178480
92,2019,7,24,我要刷到999 姿姿明年唱一下吧,0,我是魏胖子,529178480
93,2019,7,24,心愿啊,0,我是魏胖子,529178480
94,2019,7,24,我的心愿 你一直出专辑 我一直买专辑,0,楠楠楠的楠瓜粥粥,123040451
95,2019,7,24,爱是永恒的心愿！守护永恒的爱！,0,Lawrence么么哒,33887997
96,2019,7,24,第一次听到,0,赶走鱼尾纹黑眼圈,514452630
97,2019,7,23,生日快樂[蛋糕],0,陳Yeung,36657152
98,2019,7,22,真的好听！！,0,春未了月相照_yu,435867533
99,2019,7,22,你不是一个人,0,张小二zy,402635178
100,2019,7,22,快723啦~,0,张小二zy,402635178
101,2019,7,22,提前祝姿妈生日快乐啦！,1,DelayedGratification,360673566
102,2019,7,22,快到723了,2,Lawrence么么哒,33887997
103,2019,7,22,其实也是隐藏神曲,2,起个名字而已,67361501
104,2019,7,21,贡献999,0,AyanoPoi,363250178
105,2019,7,19,我太爱这首了 听了八年了,0,14Paris,120653087
106,2019,7,19,顶顶顶,0,孙燕姿丶,1813871469
107,2019,7,19,助攻999+,0,孙燕姿丶,1813871469
108,2019,7,17,超级好听啊！孙燕姿真的是个宝藏,0,windbreaker风衣,1482000199
109,2019,7,17,957 助攻～～～穿越世俗的眼光，跨越一切，来到你身边,0,Juicyo,112511048
110,2019,7,14,今天才发现这首歌是贾敏恕制作的[拜],0,木白涛ao,81324903
111,2019,7,13,卡,0,Chertime,83946830
112,2019,7,11,想听到这首歌现场版~大概实现不了[流泪],1,从前有个跳跳Jaye,487830997
113,2019,7,11,第953个评论，努力推到破千！,1,飔呐,410604285
114,2019,7,9,助攻999,0,等待的三脚猫,425452061
115,2019,7,9,我d的歌这么好听人竟然不火,1,strong180814,1554048070
116,2019,7,8,第950条评论 助攻999+,0,_慢_半_拍_,302534651
117,2019,7,7,姿,0,小小小小小的橘子,85533246
118,2019,7,4,曲子还有另一版本，两个都是原唱。另一个歌手是Darin,0,钦敬a,124975379
119,2019,7,4,让我惊讶，这评论数，这张专辑我最爱的歌！！！很坚定的赶脚，很无谓的，很勇敢的赶脚！我们永远约好一起永远，死了也不怕,1,我的皮皮宝212,1529042749
120,2019,7,3,孙燕姿惹,0,BabyAustin,54264998
121,2019,7,3,你在风的另一边,0,fiona08120812,1689843754
122,2019,7,2,是不是有首英文歌和这个好像,0,花阿h花花阿,87473758
123,2019,6,30,"初三那年在从高中部走回初中部的路上听...仿佛有了理想，然而其实什么也没有
一晃就高三了，现在是真的有心愿了吧，加油！",0,amy_aq,1419529381
124,2019,6,29,我的心愿是完成自己的心愿。,0,艾琳艾德勒啊,400192338
125,2019,6,29,一直喜欢这首歌,0,坏兔子_,451109516
126,2019,6,29,居然没有999＋,2,如我君子,1289647936
127,2019,6,29,好久没听了，续命一波,0,_Original_Sin,58331209
128,2019,6,27,[多多无语],1,唐某不沾刘女,347702944
129,2019,6,27,我的心愿就是考上乡镇的老师   保佑我的愿望实现,4,Alfred_H,41199599
130,2019,6,26,校友，中考加油！！,0,bhhyeyfhvdv,574454108
131,2019,6,26,毕业典礼放了这首歌，当初觉得很好听，现在就要中考了，我很紧张也想到了许多同学可能再也见不到了，心情很复杂。。。,0,bhhyeyfhvdv,574454108
132,2019,6,26,昨天毕业典礼 放的就是这首歌 三年之后轮到自己踏上红毯拥抱老师穿过毕业门的那一刻 才意识到自己真的毕业了 三年过的那么快 也不知道下次重聚是什么时候了,2,_御坂__,467719545
133,2019,6,24,这首歌给我的画面是elsa在风雪中独自前进那一幕,2,Lawrence么么哒,33887997
134,2019,6,23,这歌该🔥了,0,哎呀呀sun,407459821
135,2019,6,21,太好听了,1,薇雨润恩泽,468343061
136,2019,6,19,[多多无语],0,唐某不沾刘女,347702944
137,2019,6,19,我又又又要考试了，许个愿，考的都会嘻嘻,1,休止符nine,444013834
138,2019,6,17,想哭,0,不会吃腻的饼干,60881014
139,2019,6,17,你在风的另一边,1,不会吃腻的饼干,60881014
140,2019,6,16,你在风的另一边。,2,会飞的绿乔子,548495273
141,2019,6,15,这首🉑️,0,林守乐,55243746
142,2019,6,15,我现在怀疑孙燕姿也忘记这首歌了……,0,你们爱的大飞,259678257
143,2019,6,13,相信我，这歌马上就要火了[亲亲],1,我想看到她,1807485771
144,2019,6,13,安其拉第一张专辑的寓言 刚出的 在路上听到我还以为是孙燕姿的新歌,0,屎倒淋头靴靴,1803277299
145,2019,6,13,同感,1,屎倒淋头靴靴,1803277299
146,2019,6,10,高考结束了 终于敢听燕姿的歌了,2,好想长到一米六,292814435
147,2019,6,9,燕姿版的比较干脆利落,0,NovaXyz,122018966
148,2019,6,9,天堂很高 永远也很远,1,虎虎的14,40661749
149,2019,6,7,想去听演唱会,0,曼1011,413833589
150,2019,6,6,每次听这首歌 总能给与我能量[多多比耶],0,苗小王,18133540
151,2019,6,3,还是好听,0,奶茶还是好喝,5773686
152,2019,6,2,遗落的神曲,0,booberm,275793469
153,2019,5,30,英文歌不想听了，还是国语强。,2,铁路骑侠,364140708
154,2019,5,29,好听,0,桔子味的你,71384304
155,2019,5,28,这首MV也不错,0,沫沫Bao,541275220
156,2019,5,27,都是老专辑给力,0,铁路骑侠,364140708
157,2019,5,27,爱听英文歌的你肯定这样觉得吼,0,不要吃我的_,614883106
158,2019,5,27,感觉还是sail the ocean好听啊[惶恐],0,睿智的Edward,1505339012
159,2019,5,25,"我的宿命分两段，未遇见你时，和遇见你以后。
你治好我的忧郁，而后赐我悲伤。
忧郁和悲伤之间的片刻欢喜，透支了我生命全部的热情储蓄。",3,WinnieFung,311928582
160,2019,5,23,真的很喜欢这首，但是刚刚才发现，居然没有999+,2,琉璃蛇,253250317
161,2019,5,23,一直想去一次燕姿的演唱会，希望有机会~~~~,1,琉璃蛇,253250317
162,2019,5,22,[多多无语],0,唐某不沾刘女,347702944
163,2019,5,21,洗澡时听到这首歌 本来没在歌单里的 完美的一天买的预售 高中时听的 如今早就老炮儿了 如果再见到你 我会说一句 好久不见,0,派拉诺德,39486182
164,2019,5,18,球球syz听听自己原来的歌把 ,1,mathroccck,321013777
165,2019,5,18,难道我的审美这么特别？这张专辑最喜欢的三首歌，流浪地图，明天晴天，心愿都这么冷门,5,皇马名宿东契奇,71347717
166,2019,5,17,什么时候破999,0,晴天也在,1675043502
167,2019,5,16,看明年20周年巡演有没有机会[西西心动],3,little逸,33742893
168,2019,5,16,遗珠+1,0,duchangfeng1989,541255805
169,2019,5,14,超好听,0,宅阿宅阿宅阿,407404417
170,2019,5,13,这心愿有点高级噢,1,嘿嘿哦嚯,100096006
171,2019,5,12,[多多比耶][多多比耶][多多比耶],0,隔壁阿山,483914549
172,2019,5,12,加油,0,陋室子来,385268909
173,2019,5,10,爱你哦,0,我要认识你也叫鬼话连篇,120983555
174,2019,5,9,希望早日999+,0,姿姿不倦hhh,574992335
175,2019,5,8,这首歌很难唱,6,五道口陈冠希,88862034
176,2019,5,7,顶起来,0,爱甩葱的初音,1435946190
177,2019,5,7,啦啦啦,0,爱甩葱的初音,1435946190
178,2019,5,7,太好听了,1,姿姿不倦hhh,574992335
179,2019,5,6,这么好听，没有999+,0,治愈系小帅,322923924
180,2019,5,5,这首歌很好听，希望能有更多的人听到。,0,血色红魔,75253290
181,2019,5,5,这歌不火？？？[惊恐][惊恐][惊恐]我不能理解,1,Rich-_-sex,290404421
182,2019,5,4,这首歌编曲有高级感,0,Original源_,68005848
183,2019,5,3,"嗯嗯，希望心情更开心点哦
",2,散若烟云,35996981
184,2019,5,2,爱是勇敢的心愿，你在风的另一边。我现在一个人也很好，我想会有那么一天，我们都有属于自己的幸福。,0,遇见123go,101147156
185,2019,5,2,幸福又孤独,1,dd的梦呐,25958684
186,2019,5,2,迟早会火的的一塌糊涂,2,在风情的草尖坠堕,353939963
187,2019,5,1,好想后退，我不能后退@我,1,云云云云流,1334766690
188,2019,4,30,很棒很好听,3,奶思奶思007,496068910
189,2019,4,29,这首歌无论是意境，歌词，还是我姿的唱腔，都完美至极。奈何如此冷门。好有感觉的歌。,2,木鱼916,1296840941
190,2019,4,29,你們還想聽這冷門歌？我姿怕是自己都忘了。[大哭],1,鄒爸比,85768778
191,2019,4,27,什么时候你姿的演唱会上能听到这首冷门曲,1,君蒙西,324541684
192,2019,4,26,一听到这首歌，就止不住地心中涌动，想流泪[流泪],1,黑白的记忆zhuzhu,382825439
193,2019,4,25,一模一样的情绪,2,seis_siete,1350111840
194,2019,4,25,今天突然想到这首歌，回来听听,0,漂漂一,320847841
195,2019,4,25,顶。想在唱吧试试这首,0,九城一光年,96994603
196,2019,4,24,每天听一遍,0,寄给你昨夜的美梦,1432116380
197,2019,4,23,永远也很远 可是那么美,1,风衣syz,619438249
198,2019,4,20,你知我心愿 我等你 你也要等我 YY,0,海洋饼干lzs,493679900
199,2019,4,19,太好听了！！！,0,寄给你昨夜的美梦,1432116380
200,2019,4,19,好久没听了,0,六月d冰雨,1733186331
201,2019,4,18,让我来推一波,0,May_fisher,1672347857
202,2019,4,18,再听一百遍,1,鹿鹿露露尤,264923721
203,2019,4,17,发现宝藏,0,云云云云流,1334766690
204,2019,4,15,整砖当时单曲循环最多的一首！还不到999？！！！,0,九城一光年,96994603
205,2019,4,15,你在风的另一边[钟情],0,马lululu,55810097
206,2019,4,15,每次听到这首歌 就会想起在非洲的时光,0,Stephanie渃晰,58307234
207,2019,4,14,满满的正能量,1,彤小渔,1634711674
208,2019,4,14,被忽略的好专,0,ghdap,335269590
209,2019,4,14,我想后退 但我不能后退,0,999里有一个我,120605470
210,2019,4,2,燕姿唱歌总能够在俏皮和深情之间自由切换，每次都能带给我们惊喜，永远的最喜欢偶像，我也会永远支持你，期待2020演唱会,2,Joyce的橙子,1665584207
211,2019,3,31,我们爬到山顶 坐到了晚上 什么都看不到 我想把两颗眼珠挖出来 把月亮切成两半 一半塞进左边的眼眶里 另一半塞进右边的眼眶里 我哭的时候 会有流星陨落 你要记得许愿,5,天空是另一个平行世界的海,247044926
212,2019,3,29,好,0,Ed1son--,279253821
213,2019,3,28,完美一天中最喜欢的一首歌，十年前陪我做过很多三角函数题。,1,沐欢,45353156
214,2019,3,27,好听的歌果然只能自己藏起来,0,千坂的小尾巴,249808779
215,2019,3,25,好听,0,surchman,318950603
216,2019,3,25,好喜欢完美的封面啊,0,姿姿不倦,43678021
217,2019,3,24,太好听了吧！,0,酸酸辣豚骨面面,35716722
218,2019,3,23,好听！我怎么可以现在才听到这首歌啊[呆],1,慕初呐,363736677
219,2019,3,21,好的,0,_shengxiang,57645729
220,2019,3,21,这首歌老是让我想起高三,1,orisola,436604251
221,2019,3,21,喜欢，更多的私心是希望不要火嘻嘻嘻,1,北BIANG,391430683
222,2019,3,21,没有,0,比一点多很多点,344085429
223,2019,3,21,幸福高不可攀的顶点,0,比一点多很多点,344085429
224,2019,3,15,多久没听这首了呢,1,期待的全都落空了,117267446
225,2019,3,10,跟热评第一的愿望希望，捞一下心愿叭麻姐，还有飘着也炒鸡想听,0,keplerql,271621075
226,2019,3,6,这个歌太好听了,0,ST_1973,502807160
227,2019,3,6,不要999+啊 [流泪][流泪][流泪] ,0,雷雨时zz,17466565
228,2019,3,5,喜欢这首，越听越喜欢。慢慢听～,1,飞洒的胡,50679936
229,2019,3,3,翻唱就翻唱的了，中文作词都无法越过baby i am sorry，还说个啥？我以前看到的版本是孙燕姿非常喜欢这首歌所以才翻唱的,0,析冥,455510789
230,2019,3,3,记性再怎么不好也记得初中一段时间每天傍晚趁家人出门遛弯偷偷打开电脑边看小说边一首一首放她的歌美滋滋,0,杳杳杳杳钟声晚,366290547
