index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,深爱真是一件不易的事，每次毫无保留地把心交出，就怕最后一个人独自疗伤，所以渐渐不敢谈及爱情止于朋友，不顾一切却又有所保留,1,Lisir_Spain-pie,133531640
2,2019,11,25,@彦祖yanzu ,0,一个简单的女子-,253107361
3,2019,11,25,"这几天不知道怎么了，又开始每天都梦到你，据说当你梦到一个人的时候，是他想你了。
你想我了吗？
我想了。",0,秋裤侠,90269198
4,2019,11,19,好好听,0,stef虎牙,86952410
5,2019,11,14,好好听[多多捂脸],0,椰西芒,336827289
6,2019,11,10,我大潮汕的潮汕话也可以听懂大部分，哈哈,0,几时歌,558866980
7,2019,11,8,这个版本太好哭了,0,三餐都不可以少,114110570
8,2019,11,6,这特木的谁翻译的,0,三少爷的馍,121707178
9,2019,11,5,我终于忘记你的网易云账号了 终于找不到了,1,CATHYwdy,408428411
10,2019,11,1,爱你,0,姜yan_,333108517
11,2019,10,31,别让失望透底！,2,愿zyk,467744592
12,2019,10,30,我真的好想你,0,不万能圊年,277676075
13,2019,10,30,你要长大啊,0,怪人马Ha,376729224
14,2019,10,29,笑死了哈哈哈哈,1,园游会大王,570710601
15,2019,10,26,夜里看这层楼的评论在宿舍里笑出打鸣[大哭][大哭][大哭],0,少年回不去江南,109406225
16,2019,10,25,余文乐明显玩咖，就像张志明，玩咖一个，幼稚不成熟。,1,傅若浮生只为卿,68099905
17,2019,10,25,信了你的邪,1,Pakho他女友,246355392
18,2019,10,24,曾经不喜欢的歌，现在渐渐喜欢了，人就是这样一直在变,1,八月长安x,263542124
19,2019,10,21,兄弟啊 你别教人骂人啊 您木厚哇塞,0,苏嘉文可悲的人,1965868973
20,2019,10,20,我只爱你，你不爱我。,1,哦noshui,1454698654
21,2019,10,20,别去。,0,哦noshui,1454698654
22,2019,10,19,原来现场版的歌也可以这么好听，我发现了宝藏[多多耍酷],0,不好我高三了,1340821924
23,2019,10,18,我感觉比五月天的好听呀,0,水叔M,443356494
24,2019,10,13,我姿唱我大爷们的歌唱这么好听，莫名的激动,1,如同少年-不惧岁月长,367094637
25,2019,10,9,哈哈哈醒了吗,0,我在收账你在煮浓汤,47906373
26,2019,10,8,真的特别喜欢，好像燕姿上歌手,0,绿水悠悠1708,562044240
27,2019,10,7,余春娇搭救张志明,1,肖景行c,1368383695
28,2019,10,5,歌词翻译是认真的嘛！！[大哭][大哭][大哭],0,StefX,300674075
29,2019,10,5,胡杏儿和某男明星爱情长跑很多年，分分合合，最后还是决定放弃渣男，和珍惜自己的人结婚了。某男明星还是很有魅力，男明星粉丝看见别喷我,0,别再奋力逞强,122065677
30,2019,10,4,我是张志明，你是余春娇吗。,4,lok611,1997234535
31,2019,9,30,好好听！怎么才能学会[西西晕了],0,黎姿小姐姐,502795338
32,2019,9,29,我们爱过在一起过，你是心中那个人，永远对不起的人。,0,See_dl,321946362
33,2019,9,28,足以让我在坑里出不来[可爱],0,一点点都不静静,17445521
34,2019,9,28,话说  已经不能听已经不能……几句不符合yanzi……,0,木子金子,348600221
35,2019,9,27,可惜妳不是張志明 我也不是余春嬌...,0,Kionck,1382183321
36,2019,9,24,可能是因为我还是个小孩子 而你已经是个成年人了 所以我们连告别的方式都无法契合,0,49页,448964647
37,2019,9,24,希望我们兜兜转转还可以再重逢,1,49页,448964647
38,2019,9,24,麦阁伤心麦阁我这爱你你不爱我,0,想要怎么反复我被思念快乐显得,1723368677
39,2019,9,21,肥轩嘻嘻嘻,1,懵懵懵hi,66909773
40,2019,9,20,@哈喽凯特126 好听的,0,夕阳下奔跑啊,17112433
41,2019,9,18,谢谢你喔！,0,一个闹闹闹闹,303255021
42,2019,9,17,还好吗？走出来了吗,0,Paranoid190215,1752973590
43,2019,9,16,n55!w!,0,剪刀手张,358590161
44,2019,9,16,粤语也有这个词，叫咪个伤心。咪就是不要,0,Pegwka,88688406
45,2019,9,15,是的，她声音真特别,1,洋鸟消夏_,479715063
46,2019,9,13,真爱粉，笔芯,0,Pt丶Danny,16538537
47,2019,9,13,头像张敬轩,0,王立云啊,1393616920
48,2019,9,11,孙燕姿唱过一首那英的白丝线 超好听,2,强大的小明,287917064
49,2019,9,10,把闽南语唱到我心里的 除了吴青峰 就是孙燕姿了❤️ 忒有感情,0,IMissingZedd,15714950
50,2019,9,9,能不能来个普通话版的歌词，方言版看不懂啊[流感],0,Leila小姐姐,1324973328
51,2019,9,9,好好ten啊！,0,请叫我1997的混蛋,264772235
52,2019,9,9,别再的意思,0,林語堂的圓框鏡,100887369
53,2019,9,8,什么语言,0,blue-blood-zhong,586316325
54,2019,9,8,只想到张菲和江蕙，呵呵,0,大道定勇绝,1889317986
55,2019,9,7,@洋鸟消夏_ 没想到孙燕姿唱五月天这首歌居然ye别有味道,2,冠正_,418824230
56,2019,9,7,每个男人都是张志明，只是世上没有第二个余春娇,2,厨神只会甩锅,439237757
57,2019,9,7,这首歌是关于两个人的，一个男生一个女生，就是我和彭于晏。,0,阿肆壹贰叁肆,486125472
58,2019,9,6,学会英语，真係我噶梦啊！,0,嗯今天蓝天,647097375
59,2019,9,6,姿妈棒,0,你好蔡啊-,320084995
60,2019,9,5,这个难受哦,0,阿洛_Arlo,474348847
61,2019,9,1,张志明：有的人，你处的时间久了，就知道她是朋友，还是超越朋友的感觉。,3,马特姐姐,263753630
62,2019,8,29,胡杏儿是什么🤣,0,古大大丶,442930438
63,2019,8,26,这首歌是关于两个人的，一个男生一个女生，就是我和胡歌,2,猫罗-,429290847
64,2019,8,24,"在这我教大家几句闽南语吧
假塞——你好
塞林木——吃饭没
可哄腮——对不起
林被哄力系——都是自己人
哇懒觉你树——我超喜欢你
肖咂摸——小姐姐",5,-yaoqiang,283242926
65,2019,8,24,大叔：好好听[呆],0,Hijos,535221430
66,2019,8,24,牛逼,0,晞旭,607703045
67,2019,8,22,最喜欢的燕姿唱着最喜欢乐队的歌,0,沐落黎黎,44976070
68,2019,8,19,你不爱我,0,我是上不了岸的潮,63665858
69,2019,8,19,闽南语,0,没有_乌托邦,401677663
70,2019,8,18,这是什么语言[呲牙],0,神cuacua,408100627
71,2019,5,2,深圳也是闽南话（潮汕话）、粤语、客家话、普通话混一起啊，只不过近几年普通话新移民越来越多，以后只会有普通话了,0,Grace-linxi,290776645
72,2019,2,25,我尿黄，让我滋醒你,25,游妖碧易,272341149
73,2019,1,3,台湾人说台语呀，肯定都会的,0,ccchloethe,1378125919
74,2018,8,8,大家没注意到第一秒的时候嘛哈哈哈哈有个人叫：好好听!哈哈哈哈哈,0,EminemCollection,513590986
75,2018,7,2,所以无论张志明还是余文乐都是渣男没跑了,1,Aaaaronlim,248915671
76,2018,4,25,台湾腔的闽南语还是和我们不一样,0,风花雪月里我等你,1420082461
77,2018,3,4,也就大概54%的福建人会吧,4,AorHsp,304853556
78,2018,1,10,对呀 闽南人哈 但是这歌翻译偏台湾口语 有几句我也没懂 问其他闽南朋友也不懂哈,0,你唔使識我,442857445
79,2018,1,2,元旦第二天快乐😊,0,oh-阿菲的小迷妹,371988162
80,2017,12,10,打脸不  啪啪地,0,时间留下了美丽和一片狼藉,268831292
81,2017,11,22,但是你总会遇到你的盖世英雄,0,一子媛,468925938
82,2017,8,9,像个唱岔气的学生妹一样可爱,2,啪啦咔擦,110980310
83,2017,6,21,接上一条歌词～爱死这首[爱心]【哇嘎里，凶好咯搞家，你对哇，已ging没感嘎，搞家咚嗲，你丫灭爱哇，哈啊~ 哇嘎里，凶好咯搞家，你对哇，已ging莫感嘎，买够熊心，买够哇’家爱你，你妹爱哇~~~　　耶诶~耶诶~耶诶~耶诶~耶~~~诶~~~~~~诶】,3,今天有比昨天更喜欢崽老板,483859409
