index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,大概率没有 有的话高兴晕过去[多多大笑],0,1646--,1391137970
2,2019,11,25,不知道燕姿演唱会会不会唱这首。,0,孤帆远江湖,28294002
3,2019,11,20,太喜欢这首了,0,忽然相当超人类,74264960
4,2019,11,7,这是整张专辑中最不喜欢的一首,0,潘妮洛蒲,329266709
5,2019,11,4,好喜欢,0,-澍辞-,427704425
6,2019,11,2,是时候整专里最喜欢的,1,谁把高大胖这个名字用了,112993473
7,2019,10,30,跟我感觉一样。《快疯了》才是“疯狂”的最佳表达，《梵谷》...嗯，作为粉丝还是要喜欢的嘛（捂脸,0,向往北方的日子和乐子,75903833
8,2019,10,27,得劲儿。,0,也不是猪只打呼,355734135
9,2019,10,27,边听边快落。,0,也不是猪只打呼,355734135
10,2019,10,24,这么好听的歌，天呐,0,冰芒远辰,82401089
11,2019,10,22,我丧了就来听一听，舒服一哈,0,节操思密达很怕热,31525458
12,2019,10,16,多有态度的一首歌，这么丧的情绪竟然可以听了后拥有斗志！,0,帝王小蟹,131738604
13,2019,10,14,快疯了！,0,LeeFis,419602323
14,2019,10,14,请别和我说话！,0,LeeFis,419602323
15,2019,10,11,请别跟我说话我想再坐一会,0,不遑多让o_O,1944277967
16,2019,10,3,我的心一碰就破碎了,0,姑苏客st,79800447
17,2019,10,2,是我。,0,单只蛋壳,116230831
18,2019,10,2,真的很好聽⋯⋯,0,Katherine_1029,120980571
19,2019,9,24,这个mv最帅,0,vfvbbccxvg,1570192506
20,2019,9,23,我也快疯了,0,苑子潯的小号,1548957065
21,2019,9,20,回到爱开始的地方，怎奈有始无终。,0,问号425,404015675
22,2019,9,18,她的声音能hold住一切风格的伴奏，是克制的感情表达，和什么都搭,0,想活在秋天,134708566
23,2019,9,17,这也是为什么我爱死这个女人[可爱],0,王王和两只太阳,1487523224
24,2019,9,17,"作曲：Ah Bot
作词：Ah Bot/冷玩妹
编曲：Kenn C

已经添加修改，请小伙伴们重新刷新歌词",0,作词_作曲_编曲_MV导演天下第一,546057330
25,2019,9,15,强烈推荐mv，竟然现在才发现这个宝藏，看来燕姿的歌真是一首都不能落下，给我太多惊喜，这种不断寻到宝的心情让我死死爱上这个女人。,2,木心山石,1403121485
26,2019,9,12,你靠近我的时候，有没有理解我的感受,0,羊小懒,45237899
27,2019,9,12,你说爱我的时候 有没有将我的疯狂包括 (你没有说爱我),0,账号还是注销吧,17481219
28,2019,8,31,这张专辑最爱两首之一，居然那么少评论[大哭][大哭],1,雨声渐响,324087641
29,2019,8,30,这首歌还是我初中的时候电视播放说孙燕姿发了新专辑 主持人介绍的时候我一个一个拿笔记下来的 真的这么多年了不仅听不腻还越听越爽[强],1,酒岛次雪,329408535
30,2019,8,30,这么酷的曲风 怎么这么少评论呀[大哭],0,StefX,300674075
31,2019,8,29,我透这也太好听了[流泪][流泪][流泪]俺又发现宝贝辽！！！,1,也不是猪只打呼,355734135
32,2019,8,28,曲子不错哦,0,半生才遇见yu,1429413780
33,2019,8,28,很酷的歌,0,XQ0823,489797899
34,2019,8,27,评论数有毒吧前几天我评完之后是521现在还多了几条变成520？？？,0,1646--,1391137970
35,2019,8,26,我现在还超喜欢 就是那种不需要动脑子随时想唱就唱🌚,0,海洋过森林,325742808
36,2019,8,26,我几年前第一次听radio就很喜欢[大哭]，那时还不太了解燕姿，就很震惊，居然还唱电音[流泪],2,霉头霉脑云散月现自在飞花slay,42294326
37,2019,8,26,每首都喜欢，我快疯掉了[流泪][流泪][流泪][流泪],2,霉头霉脑云散月现自在飞花slay,42294326
38,2019,8,26,很好听啊！！516？？？,0,许单挑,259352999
39,2019,8,25,这首歌很有燕姿的power,1,onceleo,30675713
40,2019,8,25,为什么越听 眼泪越是止不住咧,0,小谣爷,96193057
41,2019,8,24,来了来了我又来了 心情不好了 丧了 爆炸了,1,小谣爷,96193057
42,2019,8,22,最近在看小欢喜 突然很理解乔英子了,1,hydrogenhi,1597587086
43,2019,8,21,在KTV唱这首歌心理压力很大，过于丧，怕旁人觉得我太暗黑[大哭],0,Juno180920,1533283405
44,2019,8,16,评论怎么这么少。这首歌 很酷 有没有,0,HanHan先生,469118193
45,2019,8,13,心情不好 又来打卡,0,1646--,1391137970
46,2019,8,9,节奏好酷！！！！爱了！！！！,0,漂浮群岛et_moi,101098936
47,2019,8,8,才517？科学么,0,冰淇林黛玉,596307522
48,2019,8,8,签到,0,宇宙某流浪行星,336622789
49,2019,8,4,永远,0,经纬180729,1536664663
50,2019,8,4,短短几句，唱出了我的心声。PS：最近在谈离婚,1,T-luc,2550837
51,2019,8,3,评论数不合理,0,wwhhaann,132093813
52,2019,7,25,这首歌太棒了,0,1646--,1391137970
53,2019,7,24,是时候神专，都很喜欢,1,霉头霉脑云散月现自在飞花slay,42294326
54,2019,7,24,评论数不科学,0,carp77,418117269
55,2019,7,23,肤浅又高贵的说一句好听,0,大碗醜人,628260250
56,2019,7,21,[多多无语],0,唐某不沾刘女,347702944
57,2019,7,18,心情又不好了，又过来了,1,识刀客,623315109
58,2019,7,15,这首的mv烟熏妆好酷的,0,ImOkay823,50669672
59,2019,7,14,心情不好听这首歌格外爽,0,识刀客,623315109
60,2019,7,7,玩完跑跑卡丁车，我快疯了，哈哈哈，听你姿压压惊,0,笨鸡蛋-,114167150
61,2019,7,7,这首真的超级爽,0,daguo的可爱,293358164
62,2019,7,5,哈哈哈哈这首歌才这么点评论哈哈哈哈哈。 目标院校我来了！一定要上了你,0,修弥-,421035598
63,2019,6,30,我觉得我这时候的评论能上热评。,3,留梦果,1813483616
64,2019,6,30,我快疯掉了,0,007号柠檬,61657048
65,2019,6,27,我是觉得我现在要疯了…理智与情感之间纠缠,0,zoyi_chen,1332405155
66,2019,6,26,你说爱我的时候 有没有将我的疯狂包括,2,Stefanie71,410964408
67,2019,6,25,莫名带感,0,是_时候,555105313
68,2019,6,25,2020演唱会见,1,GOREEEE,97763624
69,2019,6,23,我觉得克卜勒＞是时候＞梵谷嘿嘿,0,半座城池丶,500055772
70,2019,6,22,我姿终于参加综艺了,2,HAOKU-,294640947
71,2019,6,20,crazy,1,暮至明,94756999
72,2019,6,19,好,0,Ed1son--,279253821
73,2019,6,17,这么好听的歌!!!,1,井岑,1801448007
74,2019,6,10,私人还是觉得是时候＞梵谷＞克卜勒，期待燕姿的新歌,0,莫说大象,45104334
75,2019,6,4,你说爱我的时候 有没有将我的疯狂包括,1,茶茶茶茶茶CC,289480500
76,2019,6,1,越听越有感觉，咋办,0,愿君依旧笑,559237310
77,2019,6,1,单曲循环会不会疯掉[大笑],0,H小流氓,297607033
78,2019,5,26,999？？,0,大理大理大理大理,58420777
79,2019,5,15,是时候专辑曲风都很棒，很独特[可爱],0,Qcerkay,253235928
80,2019,5,9,这首居然没有999？？？听着超爽的啊！！！,1,夏苓笑笑生,506601038
81,2019,4,30,容易引起不适[大哭],0,经纬180729,1536664663
82,2019,4,27,哈哈哈哈哈我也，时间过得好快😭,0,蜜瓜味的喵,79911564
83,2019,4,26,加油,0,小芋圆加油,115373497
84,2019,4,15,压抑着 在崩溃的边缘。,1,Hyacinth丿-,314399742
85,2019,4,9,爽耶,0,程大事,260517754
86,2019,4,5,初中听的，怎么这专辑发了这么多年，我怎么二十多了。？？？？？,1,GarryKurl,61344073
87,2019,4,2,你说爱我的时候！！！！有没有将我的疯狂包括！！！！！！,1,胡安拉蒙,265354621
88,2019,3,26,已经太久,0,余粥-,562247933
89,2019,3,22,最爱,0,南淡水,343618595
90,2019,3,21,棒耶！,0,哼歌的小胖子,361919006
91,2019,3,16,网易云是不是有bug，怎么退出还有这个声音的??,2,SWEETSEEING,450795293
92,2019,3,9,KTV必点,0,zok762,1673582437
93,2019,3,9,当年最爱听这首打cf 哈哈哈,1,陆依萍打雪姨,27896374
94,2019,3,5,这么好听的歌，竟然这么少的评论,1,立正向前走_,447519244
