index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,《人间失格》里有这样一句话：仅一夜之间，我的心判若两人。他自人山人海中来，原来只为给我一场空欢喜。你来时携风带雨，我无处可避；你走时乱了四季，我久病难医。,1,幼婴女李佳琪,277994754
2,2019,11,28,加油！[憨笑][憨笑],0,江上晚来风,1524776302
3,2019,11,27,爱自愚 自愚演出,0,O_oHULLO,343829645
4,2019,11,27,笑着说伤心的事！没什么大不了的，依然生活，依然爱世间万物～,0,贪图丶,29615480
5,2019,11,27,乐观心态…生活要前进，有些历程就当是经验吧,0,贪图丶,29615480
6,2019,11,27,哈哈哈,0,贪图丶,29615480
7,2019,11,27,考研太难了😭😭😭,3,HParanoia,336557651
8,2019,11,27,好难唱的样子......,0,Lianoid,1353254195
9,2019,11,27,初中四个人，上了大学却成了三个人，一段关系被我搞砸了，如果可以我仍然希望我们是四个人💕,0,You祝big你disgrace狼狈,571292246
10,2019,11,27,"00后，上初中那伙闺蜜喜欢EXO, 给我推荐了这个歌，现在大一了，我们高中去了不同的学校，很少联系，来了大学，还是不同的学校，但是离得却很近了，昨天给他们开视频，虽然联系少了，但那份感情仍然在没有远，反而越来越浓厚了❤",1,You祝big你disgrace狼狈,571292246
11,2019,11,27,00后的我今年18感觉这首歌好好听，大概听懂了真的很累,2,厌狗1908,1935816210
12,2019,11,26,好好努力,0,-声-声,477664338
13,2019,11,26,听这歌的人，都注销了,0,董璐慧,530160004
14,2019,11,26,真的是爱惨了,0,深住我辛,1521753434
15,2019,11,26,这个又字用的好,0,lovejjdd,120200097
16,2019,11,25,爱是愚人的国度,0,段-舍离,93668187
17,2019,11,25,(ง •̀_•́)ง别放弃吖,0,抱一抱就好了,256405497
18,2019,11,25,没事 我也笑了 感觉楼主还蛮开心,0,抱一抱就好了,256405497
