index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,你只会夸我很懂事，却从不心疼我为什么懂事,0,深海溺囚鱼,1325058304
2,2019,11,23,总有一些女孩很懂事，,0,王一博的跳跳糖,1945262001
3,2019,11,12,可惜现在都搜不到她那版了……,0,热爱生活的小烟,276773078
4,2019,11,12,握手🤝 我也是 一直很喜欢这首歌,0,特色破坏户,577882893
5,2019,11,6,懂事那张专辑封面 雪山上映着蓝天，孙燕姿一件背心站在山头，实在太帅了！,1,十三君儿,109714519
6,2019,10,28,我怎么觉得难唱但不冷们呢,0,YZ的烟火,1581405283
7,2019,10,28,如果可以不想懂事,0,给我七厘米的高度,1482413981
8,2019,10,27,荔枝酸了吗？,0,fafaseiga,116252620
9,2019,10,15,第一次听还是05年听黄雅莉在超女上唱的,4,热爱生活的小烟,276773078
10,2019,10,14,懂事大概就是瞒着所有人自己难过，如果可以，我也希望幼稚❤,1,Poison__M,451887408
11,2019,10,13,我爱的歌啊，演唱会会听到吗,0,告诉你你爱的人你多真多深刻,253029649
12,2019,10,11,旋律很好听啊,0,粉色潜水艇,41007377
13,2019,10,11,谢谢，你会被人疼爱的，你也可以不用太懂事的，会有人宠着你的,0,蘇冨貴,1295469811
14,2019,10,11,你不用太懂事的[可爱],0,真不太敢听歌了,345449543
15,2019,10,11,以前总觉得要懂事才会被人喜欢，现在却很羡慕那些懂事的，他们一直有人宠着，什么时候会有人对我们这些懂事的孩子说一句你可以不用太懂事的,2,蘇冨貴,1295469811
16,2019,10,10,记得那时去网吧必听的歌，没有为什么,0,望长亭1710,628375530
17,2019,10,3,从小有人教我们要懂事，长大了，却没有人教我们如何做自己,2,有梦的人都了不起,118988108
18,2019,10,3,刚在饭桌上，荔枝心疼地说道，“你为什么要那么懂事，替别人考虑考虑那么多，把别人照顾的那么好，我真希望你作一点，越作越好”。听着听着，我心口一酸。,3,真不太敢听歌了,345449543
19,2019,9,28,"可悲的是，所有的人都夸你懂事。
只有你自己知道，你也有想要的东西，想拒绝的事物，想发泄的脾气。
但这时，又会有人在你耳畔回荡，你不能这样，因为你是懂事的孩子，懂事就要做懂事的事。
懂事，是你给自己画地为牢，建造的一座埋葬你孤身的坟墓。
会哭的孩子有糖吃，懂事的孩子又能拥有什么呢? ​​",3,林妍珺,505640641
20,2019,9,27,我很喜欢这首歌,0,工藤RC,55373040
21,2019,9,24,懂事实在不是一句表扬的话啊,5,丿sakura丶丨,313678515
22,2019,9,23,懂事现在对我来说是一种最大的讽刺,2,晨风的杨杨,409147542
23,2019,9,20,记得一个耽美故事里的人爱听这首歌 还有蔡健雅的红色高跟鞋 故事已经不记得了 ,0,一只文艺的,17629785
24,2019,9,14,总是在很小的时候就要懂事。不能发一点脾气，只能默默忍受，然后……继续懂事。想一条狗一样，长辈说什么就是什么，他们总是对的。,1,slww-com,1682619500
25,2019,9,13,做个懂事的人好累,2,Zthhhhhhhh,1518987409
26,2019,9,13,不记得几年了,0,长濪,124719836
27,2019,9,8,当年买过这张卡带,0,魔力鸟M,319946977
28,2019,9,1,《我们的十二年一个轮回 这是传奇》一本真实的同志小说,0,沉默是金or罪,430372969
29,2019,8,29,"我懂事了，也不在喜欢你了，
记住，我所有的小脾气，都只给你，不给别人",1,WCS斧圣,1398807402
30,2019,8,29,"我懂事了，也不爱你了
你说我烦，那我就再也不烦你了",3,WCS斧圣,1398807402
31,2019,8,29,我也想做那个不懂事的孩子,0,败给你我的钟意,1704033237
32,2019,8,27,🌈林潇潇过来的,1,阿芃学长,291533414
33,2019,8,24,因为珍惜 所以懂事 结果却不被珍惜,4,大哥很温柔-,123801944
34,2019,8,19,还有老实,0,单烨茶,1403924654
35,2019,8,19,2015年暑假的那个感觉！！[多多大笑],0,单烨茶,1403924654
36,2019,8,18,好想有一个人懂我的懂事，明明自己就比同龄人小，为什么总要我懂那么多东西……,0,Unsensible,1788005191
37,2019,8,16,懂事跟单纯一样可能是个贬义词吧,3,遇见美哒哒,123657456
38,2019,8,7,不想懂事,0,君辞小可爱,1421364454
39,2018,6,1,金牛的我爱上了一个天平男，他说他喜欢懂事的我，所以有时候当我觉得委屈想闹脾气的时候这句话就会冒出来告诉我这样会变得不懂事，我想这是我被驯服的表现，但我觉得有一天我会爆发，现在只不过在我的忍耐极限内而已。,2,陈修修修,98070713
40,2018,4,19,"深白色，词曲，还有一辈子的孤单，你，都很好
大家喜欢歌，也请多关注创造美的人[可爱]",0,23--59,441751722
41,2019,8,4,当我懂事的时侯，你……还会在吗?,0,东画尘锦1901,1746786828
42,2019,8,3,就比如太喜欢，太要强😌,1,满杯柔情,1824162517
43,2019,8,2,很多事情前面加上“太”字都不会有好结果……。,1,有D野,391354891
44,2019,7,30,明年20周年演唱会会有懂事吗？,1,谁把高大胖这个名字用了,112993473
45,2019,7,29,好嘞 非常感谢分享哦[星星],0,与猫在阴沟里仰望星空,427047500
46,2019,7,29,你bizhan搜索孙燕姿懂事有一个2002的superlive 然后wb搜索孙燕姿懂事调到视频那一栏可以找到2014年重庆演唱会版,0,NTUfail,71924954
47,2019,7,29,b站 AV5432960,0,NTUfail,71924954
48,2019,7,29,我前段时间狂迷这首！把这首能找得到的live全部导成音源了！,0,NTUfail,71924954
49,2019,7,29,这首歌要是最近现场唱唱 也得火 孙燕姿所有所谓冷门歌同理 现在年轻人很多没渠道接触到罢了,1,NTUfail,71924954
50,2019,7,29,明知道懂事的人没人疼 可你又没底气任性,5,女王撒吗,444356730
51,2019,7,27,哈哈 有资源分享不,0,与猫在阴沟里仰望星空,427047500
