index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,新币三块半是人民币多少钱?,0,梦想当个蒙特利打工仔,335815757
2,2019,11,22,999冲鸭,1,跳舞的梵谷yanzi,318974517
3,2019,11,22,最后一个猪哼哈哈哈哈太可爱了,1,跳舞的梵谷yanzi,318974517
4,2019,11,22,啊啊太好听了,1,跳舞的梵谷yanzi,318974517
5,2019,11,20,前奏就很不错,0,嗨_小孩,281037512
6,2019,11,16,懒得去管,0,你好蔡啊-,320084995
7,2019,11,12,每次晚上饿了想吃就听姿妈唱：半夜吃个巧克力会胖个几公斤又有什么关系～然后然后，胖了十几斤了，姿妈你害我[狗],0,夏天还是那么长,304088302
8,2019,11,6,这个怎么那么像electric light orchestra的telephone line？？,0,模糊之后的shibboleth,1325569990
9,2019,11,1,宝藏歌手 又挖到新的宝贝,0,GEMINI_晶,62609100
10,2019,10,30,这歌明明超好听，即使不看歌手也很好听，为什么非要是为燕姿捧场来的呢,0,残狼断月,443697990
11,2019,10,22,等待假期[可爱],0,云云云云流,1334766690
12,2019,10,21,夏天的感觉 想吃冰淇淋,0,limy喵,1704354194
13,2019,10,15,好好听~,0,BVLI,52862475
14,2019,10,14,这歌也太快乐了吧,0,穿裤衩的海豹,1728346307
15,2019,10,13,这么棒的歌，没有999+？,0,ONE-Hush,476852597
16,2019,10,9,什么时候可以过上睡到下午三点半的日子,2,骑士1989,75521112
17,2019,10,2,大概真的有让人开心的魔力吧,2,住在孩子的眼睛,421024379
18,2019,10,2,为什么我一听这一首脸上就泛起了微笑？,2,住在孩子的眼睛,421024379
19,2019,9,30,那年过年听这首歌特有感觉,1,镜子中1802,1366765262
20,2019,9,26,这一张专辑的歌曲都好听啊,0,tameiki0206,352353222
21,2019,9,26,半夜不但想吃巧克力，还想吃烧烤(鸡全翅茄子鸡胗黄牛肉掌中宝)，吃冰淇淋，喝罗宋汤，吃提子,1,谢小P谢小P,36145223
22,2019,9,22,从头开始听[可爱],0,shine柒,107939925
23,2019,9,22,懒得去管~顺其自然~,1,maurice-ravel,1571737504
24,2019,9,21,哈哈哈最后的猪叫好可爱,1,彩虹金刚刚刚刚,1401962569
25,2019,9,21,不是的，真正老歌迷说不出陨落这种话，某些标榜突破女星麾下的假装粉丝的恶心玩意罢了,3,气场太弱,115128568
26,2019,9,20,明年演唱会时间和经济有限恐怕也只能贡献两张门票，就是因为那种治愈性的笑容，虽然相差20岁，还是爱[色][色][色][色][色],0,朋堃,111563964
27,2019,9,16,这首歌超可爱啦！！！！燕姿我爱你！！！,1,漂浮群岛et_moi,101098936
28,2019,9,15,最后的的咳嗽声和hang音真调皮,1,Heeenk,9433780
29,2019,9,14,这个评论居然那么少，唉懒得去管,2,平衡平衡超平衡,121987519
30,2019,9,13,"我的感觉正相反，零几年巅峰的时候没有觉得燕姿的专辑能特别拉开差距，只是觉得她这种声音和路线特别稀缺，更多的是个人魅力，主要是那几年群星璀璨, 好作品太多了，但是现在看华语乐坛的死样子，整个文娱价值走向，孙燕姿还能交出梵谷这张超乎预期的作品，我听得时候心里甚至有点酸，很感动 。",2,李归晚66,18899054
31,2019,9,11,孙燕姿真可爱！！！[亲][亲][亲],1,也不是猪只打呼,355734135
32,2019,9,11,我可以！！！！！,1,也不是猪只打呼,355734135
33,2019,9,11,真是宝藏呜呜呜呜呜太好听辽。,0,也不是猪只打呼,355734135
34,2019,9,3,什么时候听都感觉棒棒的！,0,另一张脸2019,1551171818
35,2019,8,28,我听到最后那声猪猪咕噜了,2,谢小P谢小P,36145223
36,2019,8,24,爱了爱了,1,姿乎者也,124110299
37,2019,8,24,实在是喜欢到不行,0,没有好消息,427668543
38,2019,8,23,这首歌好可爱啊！！！！燕姿好可爱啊！！！,1,漂浮群岛et_moi,101098936
39,2017,10,31,听上去很慵懒，其实这不正是对待生活态度嘛，有些时候空余时间确实要放空自己，琐事杂事还去管什么。洒脱自如，抬头看看天空，糊里糊涂也不坏,4,2015克卜勒,40866198
40,2017,8,22,Telephone Line,0,原子力战舰长门,34330865
41,2019,8,5,虽然梵谷没得一些奖，但梵谷还是很强很能打好不好？克卜勒也很火好不好？完全没觉得下降，都很好听！,6,漂浮群岛et_moi,101098936
42,2019,8,5,这人会不会说话！！！不会说话就闭嘴！！！谁陨落呢！！！！！,5,漂浮群岛et_moi,101098936
43,2019,8,5,夏天的午后最适合听这首啦,0,玻璃勺子,103708356
