index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,期待演唱会,1,愿君依旧笑,559237310
2,2019,11,22,那你可真的是有训练有素呢,0,一kepler,1409592056
3,2019,11,20,狗咬我我还能咬回狗吗？算啦,0,太瘦欢盈,484796375
4,2019,11,17,我就想骂你怎么着嘻嘻🐎,0,一kepler,1409592056
5,2019,11,14,关你八字鸟事，不想看我评论就滚吧！,0,太瘦欢盈,484796375
6,2019,11,13,不想听就滚吧,0,一kepler,1409592056
7,2019,11,13,你不回复你会死,0,太瘦欢盈,484796375
8,2019,11,13,你不ky你会死？,3,四月即Ivan,103967045
9,2019,11,13,完全赞同，现在的唱功真的和以前没法比。听了几次现场，20年最美的声音听碎了,0,太瘦欢盈,484796375
10,2019,11,13,然而现场车祸般惨重,0,太瘦欢盈,484796375
11,2019,11,11,懂事,0,Pisces川,248198822
12,2019,11,7,卡带时代的我们多幸运,1,Peachyyyyyyy,1389084670
13,2019,11,6,我觉得《休止符》最难哈哈哈，当然，你们说的我基本上都唱不来,0,苑子潯的小号,1548957065
14,2019,10,31,丝滑的转音，，迷人,1,journeyfancy,22093583
15,2019,10,24,还记得MV里那个穿着背心在冰天雪地里奔跑的燕姿,1,谁把高大胖这个名字用了,112993473
16,2019,10,20,以前这张专听的还是磁带！,1,请在我身后_,295270639
17,2019,10,19,声音条件最好的时候，也是她最累的时候,2,Y淘淘,283975376
18,2019,10,18,还是总想起,0,seeufri,446934100
19,2019,10,15,09-10the answer is巡演有唱,0,气场太弱,115128568
20,2019,10,13,终于破999+了 听了好多年的一首,1,bingbing__l,368599272
21,2019,10,11,找了很久哈哈哈哈好像没有人翻唱,0,啊啊啊阿窈,578848548
22,2019,10,11,基本没有人翻唱过这首歌,0,啊啊啊阿窈,578848548
23,2019,10,6,我能我能[鬼脸],0,中二萌萌教教主,281667967
24,2019,10,6,5:00,1,烫口,330106111
25,2019,10,5,这首歌，，，，没人能翻唱吧，听着转音就想哭,1,万古啊长存,629173321
26,2019,10,5,我怀念的应该最难，在流行音乐教科书里我怀念的就是在青藏高原，天路之后最难的歌,0,万古啊长存,629173321
27,2019,10,5,隐藏神曲,0,叠加态,133026520
28,2019,10,4,你肯定我所有的努力最难忘那句我了解你,2,不遑多让o_O,1944277967
29,2019,9,23,这首歌为啥会被冷落，因为我姿几乎不怎么唱这个现场[吐舌],0,O_oHULLO,343829645
30,2019,9,20,每当工作学习中遇到困难痛哭的时候，就想听这首歌。谁陪过我无声哭泣，在我最糟的深夜里,0,laurel_璐,82252432
31,2019,9,20,大学去通宵的时候第一次听就喜欢的不得了，专门问老板这首歌的名字，然后循环了一晚上。现在婚也离了，还是孤家寡人一个，婚姻里哪有谁对谁错！,1,lily0009h,345938356
32,2019,9,20,嘴里句句不爱，心里却爱的难受。自欺欺人三部曲之首！,0,熙煦何求,594372299
33,2019,9,14,以前听很多遍燕姿的歌，后来有次失恋，突然发现这首歌的魅力，记忆尤新。,0,Heeenk,9433780
34,2019,9,11,这独特的咬字，爱了,1,猫阿0000,1547844887
35,2019,9,11,"作曲：陈科妤
作词：廖莹如
编曲：Terence Teo

已经添加修改，请小伙伴们重新刷新歌词",4,作词_作曲_编曲_MV导演天下第一,546057330
36,2019,9,7,在撑不过去的日子里，一直有燕姿的歌陪伴...,1,Erika_Linder,305117600
37,2019,9,7,最喜欢她的一首 黑背心瞩目,1,terrapinfucku,309316321
38,2019,9,5,爱为什么让人这么伤,1,珈曳,637769065
39,2019,9,3,吉他竟然是midi 但是很好听,0,一然_RAN,45648179
40,2019,9,2,主要三遍“我不爱 不能爱”爱字转的节点、音色、情绪都都不一样，是真的太难唱了。以及这首歌很多鼓点你是抓不住的，很多节奏是散的，比如“你肯定我所有努力”第二遍的“错 会在哪里”，一不小心就跟不上了。,2,飔呐,410604285
41,2019,8,30,我不难过党表示不服😂😂😂,0,够钟___-,1434123714
42,2019,8,27,楼下说的对，我支持。,4,霉头霉脑云散月现自在飞花slay,42294326
43,2019,8,27,燕姿的歌就是好听,5,TwinklingKepler,581430392
44,2019,8,25,都难,0,开始_开始懂了,514994291
45,2019,8,22,没遇到过无微不至的,0,容易得到容易失去,1446082755
