index,year,month,day,content,likecount,nickname,user_id
1,2019,11,13,天黑黑2000年演唱会,0,番薯儿子的番薯爸,1640746850
2,2019,11,7,应该说的是歌名，听不到,0,咕叽咕叽894,392379220
3,2019,11,1,我不难过    眼泪会流我也不懂,0,槿屿年,636510695
4,2019,10,27,[多多比耶][多多比耶][多多比耶],0,孙燕姿的粉丝,36733053
5,2019,9,22,高考完我一定要抢到票!,0,玄星690,135126193
6,2019,9,18,回忆很多 你的影子也会充满我生活,0,我希望我遇见你是在意大利,1315213748
7,2019,9,16,我意识到自己从来没有得到过你，甚至害怕得到你，怕得到了留不住，惨。,1,还真没在怕的,251823185
8,2019,8,21,唯一一首觉得live比录音版好听的,0,元气少女毛呵呵,344975467
9,2019,7,18,不诋毁 不打扰 不祝福,4,UserMenk,343908996
10,2019,7,17,感觉这个版本比录音棚版多了好多感情啊，燕姿的Live真的一级棒啊！,3,_Kamu1,61743774
11,2019,7,16,可能喊的是梁静茹的歌,0,Aran_1213,260198945
12,2019,7,16,有一首歌也叫听不到,0,Aran_1213,260198945
13,2019,7,13,真好听,0,为所欲为丶嘎,130858854
14,2019,6,29,你呢,0,守望美好面庞,103520141
15,2019,6,23,堪培拉的傍晚，室友开车载我回家，路上单曲循环这首歌，快到家时突然苦笑着问我，你说拼命爱一个人却只能放他走是不是就是这感觉啊，然后又是自嘲的笑了笑。一向伶牙俐齿的我却不知怎么回答。[哀伤][哀伤][哀伤]所以你以前到底经历了什么。,2,小汪汪一只,108901588
16,2019,6,19,听不到那个是耳朵有问题吧,3,Ed1son--,279253821
17,2019,6,16,去nmd爱情,1,itsok喜,125601636
18,2019,6,13,听这首歌的人都单身,1,Agoni-皮皮,303845097
19,2019,5,31,这首歌是唯一一首提到心里会颤抖的歌。故事很简单，喜欢的人提分手，发小安慰我唱着这首歌给我听。电话一旁的一边喝酒一边跟着唱。最后泪流满面。而事过境迁，发小已经结婚了。,1,风丶天南,41215411
20,2019,5,30,分手要狠,0,Godlovekarl,47400693
21,2019,5,28,"我只能安慰自己
太孤独了  没有人理解我
爱而不得的也不止我一个人
她一个字都不愿意跟我多说
她肯定不知道我有这么这么喜欢她",0,YELLOWLIVK,134840586
22,2019,5,26,女神人美歌声也好听,1,Scurry库里30,324282286
23,2019,5,21,是我没有,0,守望美好面庞,103520141
24,2019,5,12,我不难过只是为什么眼泪会流我也不懂,0,小狮子小丸子冰淇淋,452664521
25,2019,5,12,每次听都很难过,0,小狮子小丸子冰淇淋,452664521
26,2019,5,7,我不难过,0,守望美好面庞,103520141
27,2019,4,18,听不到 什么梗？,0,鹅蒂,359595339
28,2019,4,17,你不是一个人许鹏,1,1Tiger666,314032285
29,2019,4,16,燕姿说，她最怕唱这首，每次唱都用尽全身力气,22,子小小马户,127637621
30,2019,4,6,看了现场版的视频特意来找音频,0,胖虎小弟1,551710859
31,2019,3,23,虽然寂寞,0,守望美好面庞,103520141
32,2019,2,19,我不难过,2,彭瑜森,389465776
33,2019,2,19,又不是小孩子了,2,七月摄影-深眼眶,585016122
34,2019,2,14,2020年！！！,3,涛涛涛涛涛涛涛涛啦,110928472
35,2019,2,9,今天好难过，和他吵架了，他生气得好突然，我以为就要失去他了,3,爱与厌,395314369
36,2019,2,9,总要安慰自己不难过，但是我真的好难过！,1,cheeseandkisses_,109894617
37,2019,1,27,回忆很多 你的影子也会充满我生活 我并不懦弱 你比谁都懂,0,Claire_Z,75149189
38,2019,1,25,第二天,0,长出光之翼的树,624823144
39,2019,1,7,不找了,1,9uless,425633635
40,2018,12,31,但我已不在你心中,1,格子zsy,479472538
41,2018,12,27,一首宝藏歌,3,全国妇联代表,476953920
42,2018,12,26,这首歌 [流泪],2,AAAppleJ,104259587
43,2018,12,23,没有人听我喜欢的歌,0,山岛草木,343222827
44,2018,12,20,也不会遇到第二个我,0,林惠鹏,131286128
45,2018,12,18,呀，反正你不会再遇见第二个我啦,2,一颗很酸的百香果,487489676
46,2018,12,17,感觉现场版更深情,3,JOJOWiiiii,308335253
47,2018,12,17,"很多时候走在路上想大喊 我真的好累
为什么要让我学会去爱又不能让我被爱
为什么选择了我却不能好好爱一爱我
为什么我偏偏要带着别人的影子无限想念的去生活 为什么我不能控制自己的心
可是每一次我失声痛哭后所有的事情并没有一点点改变 所以我连在街上大喊的勇气都没有",4,张荻_D,341429351
48,2018,11,1,我姿[爱心][爱心],1,我有努力和这个世界变熟,394296679
49,2018,10,28,190/,0,19790,104757539
50,2018,10,26,[男孩][女孩],0,唏嘘es,616673190
51,2018,10,18,燕姿一听就是哭了 心疼,6,辣手李瑶,126958427
52,2018,9,6,好听,1,云_安安,1395846467
53,2018,8,31,从阿fa假如让我说下去过来的,5,民谣小酒馆是理想啊,1341946398
54,2018,8,28,還是喜歡live,3,昱小璟的呆呆門,247567067
55,2018,8,6,我難過過。,1,Missing_幸運兒,481118916
56,2018,8,5,....🎧,2,_诗芊,81037679
57,2018,7,30,很早的评论了,2,我是谁这并不重要,111608844
58,2018,7,30,算了吧 这首歌很火的,0,RockCat911,420809611
59,2018,5,28,[强],1,狗日咆哮,250132890
60,2018,5,27,扎心[哀伤][哀伤][哀伤],0,MILOTUSIR,127147901
61,2018,4,26,无数次听 无数次难受,2,高兴Eara,358696640
62,2018,4,25,坐车时候放我的歌 他们一脸嫌弃……,0,灬罗夏,314910286
63,2018,4,21,越聽越沈默。,1,Missing_幸運兒,481118916
64,2018,4,12,2020年……,0,晴栀or,8872108
65,2018,4,10,啊！我都是个中年人了[流泪],0,控场,40913104
66,2018,3,31,这首歌现场版好有感觉 ,2,elleeeq,443492867
67,2018,3,30,20年,1,StefanisSun,452383128
68,2018,3,23,每次听都很难过,0,防腐剂小朋友,312524736
69,2018,3,23,从来都没有过,0,在青春迷失的咖啡馆,350093833
70,2018,3,23,我不难过,1,在青春迷失的咖啡馆,350093833
71,2018,3,18,燕姿每次唱这首歌就有人在喊听不到，不知道是什么梗，听不到你听五月天去,6,小猴脊,349084905
72,2018,3,14,这首歌真的每次听都会好难过[心碎],0,泰国蕉,123311546
73,2018,3,14,想听现场,0,高兴Eara,358696640
74,2018,3,12,[哀伤],0,姿迷Arrow,606985534
75,2018,2,13,你知道我不难过,0,我有努力和这个世界变熟,394296679
76,2018,2,7,这首歌呢叫我不难过,0,lesejx,116208401
77,2018,1,21,我没有很快乐也没有很难过,2,生似蜉游,297595091
78,2018,1,18,我不难过，这句最扎心[哀伤],2,那一年的1989,129639578
79,2018,1,17,初中听到现在 它能触动我的心灵[女孩],1,C-Y-S,284875188
80,2018,1,15,我怀念的 我不难过 我很愉快,3,南生沂然,98323468
81,2018,1,9,我不难过，只是眼泪止不住而已[流泪],1,耶耶耶yo,329788561
82,2017,12,21,喜欢的歌只分享给懂的人听,2,GrandmaLion,56455831
83,2017,12,21,last time to stay sad..,2,情怀不能当饭吃123,478977987
84,2017,12,11,真的要二胎不开演唱会吗  啊啊啊啊啊,1,晴栀or,8872108
85,2017,12,9,https://www.zhihu.com/question/22686539/answer/33145933 分析很好啊,2,Ghostories,35874013
86,2017,12,6,我觉得live更好听耶,3,飛回地球-,105326573
87,2017,12,1,或许这是最好的结果.,1,你的夹子_,248508787
88,2017,11,26,好喜欢,1,我有努力和这个世界变熟,394296679
89,2017,11,20,想去燕姿的演唱会/可是她要二胎[呆][哀伤],4,双子_faye,626804992
90,2017,11,18,对我好只是勉强自己，终于你说喜欢不起来了不想勉强自己了。嘴里说着祝福你可是我真的是不想祝福你。嘴上说我不难过可是我难过 你还是喜新厌旧的人,0,茉莉和芭比,315751459
91,2017,11,7,这个版本最赞,5,鱼的暗,407077808
92,2017,11,5,孙燕姿说话好好听,5,木糖儿,287267635
93,2017,11,2,最喜欢这首歌了,1,zmr有毒,322768743
94,2017,11,1,最最让我难过的一首歌,0,肚饿l,125012933
95,2017,10,22,喜欢你好棒阿 我不难过,1,颜树吗,391590226
96,2017,10,19,"终于你开口向我述说他有多温柔
虽然你还握著我的手
但我已不在你心中",3,哈哈哈哈逗比,53992548
97,2017,10,18,我还好喜欢你,0,市松小雏的,378637523
98,2017,10,11,清唱+轻伴奏 好棒好棒好棒啊。现场得听哭多少人,3,冬天里的李大猫,265505499
99,2017,10,7,真正的,0,苏三伞,111844957
100,2017,10,6,这版扎心了,0,大白喵奶糖233,321222429
101,2017,10,5,或许这就是最后的倔强吧，硬着头皮说我不难过[心碎],1,你我之间没有如果,279523632
102,2017,10,5,现场版很赞,0,你我之间没有如果,279523632
103,2017,10,4,等999+,0,我是谁这并不重要,111608844
104,2017,9,26,兄弟，孩子都5岁了还能怎么办。。,2,bonjer,89208467
105,2017,9,18,[爱心]只给懂的人分享,0,GrandmaLion,56455831
106,2017,9,17,哭就完事儿了,0,世界哪有真情fbl,351017726
