index,year,month,day,content,likecount,nickname,user_id
1,2019,11,19,我不难过 这不算什么 只是为什么眼泪会流我也不懂 从小学听到大学 听的心情变了又变  还是想起燕姿的天黑黑 我的小时候 你在哪,1,枝树-,1929106796
2,2019,11,19,怎么没过999+,0,枝树-,1929106796
3,2019,10,12,我很想你，但是我不能去找你，因为这样你会烦我 讨厌我 害怕我，就像现在这样又把我屏蔽了。所以啊，绝对不能,0,范范就是范范鸭,282380008
4,2019,10,10,真的 人的出場順序太重要了  我要是晚點遇見你就好了  就不用怎天擔心害怕你會走 出現在你需要穩定的時候就好了,0,oktrsss,60252336
5,2019,9,17,我只站在你的窗外看天空 再次路过的时候已经下起了雨 我现在也找不到你走的那条路叫什么 只知道要拐弯 好多弯 算了 我还是自己走 走出这里 我就不会迷路了,0,Zonki-Woo,128035850
6,2019,9,15,总好过你不爱我一拖再拖,0,-好不好-,382453740
7,2019,7,16,燕姿加油，我会一直听你的歌,0,古月哥欠5,564946176
8,2019,7,9,网易云有没有可以让我推歌给他的功能，至少让他知道我不难过,1,童潇萱,535934357
9,2019,7,7,这就是为啥网易缺少很多热门歌曲版权我却依然喜欢网易音乐的原因：推荐的歌无论新旧总能给当下的我新的感受。我会找熟悉的歌回忆过去，但更喜欢不经意间再次听到曾经常听的歌回到过去，或是听到我从未听过的歌而刻下未来对当下的回忆，这就是网易音乐带给我的—永远都在路上，永远感觉对未来充满期待。,2,扣肉YZZW,17521381
10,2019,6,23,我现在不难过  我要推出去,0,阳几吖,503942770
11,2019,6,23,你的姑娘,0,好感喜欢爱合适,1513394851
12,2019,5,25,故事一个人没结果,1,生化变形金钢,400482674
13,2019,5,24,婶家军在吗[多多耍酷],0,不许偷我歌歌,347208546
14,2019,5,20,孙燕姿的每首歌下面都有人无病呻吟编故事,0,菊花大大菊花,322434663
15,2019,5,19,喜欢下载版本不同的留言又少的歌,0,ecapse,315995873
16,2019,5,12,不怪你，是我没有陪着你，在你寂寞无助的时候，对不起,10,每次都想拥抱阿愿_,1654674540
17,2019,4,28,乍听之下只是一首普通的歌。但孙燕姿的深情让这个首歌多了无法形容的情感,0,LLLxer,107783458
18,2019,4,26,我已经习惯不再给新添加的好友改备注，因为我也不知道他哪天会走,0,herboyever,577032067
19,2019,4,24,20多了依然一个人，难过的滋味也有很多种，什么时候会有这一种呢？,0,Ep流苏,426164985
20,2019,4,18,风来了又走 而你也别再难过,0,泮水阑笙,274830497
21,2019,4,16,拜拜了您,0,Panda-M,280212854
22,2019,4,2,昨天梦见了一个美妙的故事:“两个相爱的的人最后分开了，男的问佛陀这是为什么，佛陀拿了面镜子让他看女子的前世，原来她前世死在海滩上一丝不挂，身边路过了两个人，一个给她披了一件衣服，一个把她埋了，佛陀告诉他前一个就是你，而后一个就是她现在嫁的那个。”是啊，你终究还是要还他的情啊,4,曼陀沙华_叶,1792485469
23,2019,3,5,多次停留你家门口，期盼你从门内走出，刚巧看到我，哪怕只有一次，一眼，一瞬……,1,弑西铭,539276670
24,2019,2,13,这是重做版吗？比一开始那版好听很多。求知情人告诉我,0,扑街仔雷要做咩,115374187
25,2019,2,9,喜欢这首歌好久好久了,0,一只四月的羊,112874100
26,2019,1,8,别去了，不想你难过第二次。,1,庞庞Eeis,260264550
27,2018,12,29,听到这歌让我想起逝去的青春。。。,1,kimikamusic,552409157
28,2018,12,29,能在这里留言的表示你真的很喜欢燕姿～,1,毕澄茄,126371652
29,2018,12,13,好听[多多亲吻],0,MamamuaH,439740730
30,2018,11,19,兄弟你进错地方了，去她的专辑下听,0,洗衣机jin,117872159
31,2018,11,13,是我没有在你寂寞的时候陪在你身边，错过了你的青春，晚些到我不怪你，会到我世界就好,0,4分33,120726744
32,2018,11,12,其实不用到999+，我也就明白了,0,XP在这儿你在哪呢,483254450
33,2018,11,12,等到999＋你就错过了 不要为你的胆怯而后悔,0,数九只鸭子,371677884
34,2018,10,27,又站在你家门口,0,帐号已注销,1583144323
35,2018,10,11,我不喜欢你了，也不恨你，你能不能从我的心里搬走,1,即往,575762713
36,2018,9,26,你特么瞎说什么大实话[大哭],0,Dollabu,343615787
37,2018,9,8,曾经有多爱  现在就有多恨,2,佳瑶stef,307806566
38,2018,9,5,这么好的一首歌，怎么评论这么少,0,孜孜倦了9527,1336620066
39,2018,8,26,时至今日，你的影子依然充满我的生活,0,minixixi,109400933
40,2018,8,23,我真的懂，你不是喜新厌旧。,1,Rom風情,1481750899
41,2018,8,17,单曲循环了一个星期,1,红的蓝的灰的黑的白的,96358105
42,2018,8,14,动了情的痞子 刀都拿不稳,1,李滷味,370255180
43,2018,8,14,相识 了解 靠近 倾心 压抑 心疼 惊讶 窃喜 慌张 担忧 逃避 渴望 纠结 快乐 小心 假装 疑惑 关心 决定 勇气 承认 期待 害羞 深爱 距离 奇怪 试探 拒绝 顿悟 冷淡 错过 震惊 嘲笑 迷惘 梦魇 哽咽 无奈 心酸 微笑 狠心 欺骗 放手 祝好,4,_____239,381926545
44,2018,8,11,嗯,0,选快乐,308316808
45,2018,8,6,为什么评论这么少,0,是番薯炒蛋啦,1544950927
46,2018,8,1,你们故事还真多,0,error0000001,610992860
47,2018,7,29,感情耗尽了就真的耗尽了没有了就真的没有了,2,悦悦小姐__,537615169
48,2018,7,29,我不难过,2,悦悦小姐__,537615169
49,2018,7,8,[心碎],0,盛世悲哀,495361548
50,2018,7,5,你比谁都懂,1,初十日,353026109
51,2018,7,4,什么时候到999+呢,0,余生只想有个你,472995254
52,2018,7,4,昨天学校广播站放了这首歌  嗯   一听就知道是她,0,余生只想有个你,472995254
53,2018,7,1,葡萄牙必胜,1,XP在这儿你在哪呢,483254450
54,2018,6,30,装，其实很累,1,林距离zcl,435458132
55,2018,6,30,我很期待这条评论点赞数达到999+的时候会发生什么！,2,XP在这儿你在哪呢,483254450
56,2018,6,29,我希望很快有一天这首歌能达到999+,3,XP在这儿你在哪呢,483254450
57,2018,6,29,谢谢[呆],1,XP在这儿你在哪呢,483254450
58,2018,6,16,"高考那段时间听到这首歌的
都两年了我还是不敢表白
只能听着这首歌来抒发感情
我是不是太懦弱了",0,淡漓,370974602
59,2018,6,16,加油我帮你凑999,2,淡漓,370974602
60,2018,6,9,这首歌竟然没有999?,0,睡醒了你不还是无路可走,131085052
61,2018,5,27,看到这条评论可以私聊发我一首你喜欢的歌吗，我想做一个歌单////,0,Acfae,390769415
62,2018,5,1,对不起…[哀伤],0,高岭之花儿,62599131
