index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,歪日，我真的没有发现阿妹还有这么一首宝藏歌曲！,0,TuringLee0301,294454514
2,2019,11,24,这首在我心中阿妹歌曲前三,0,花事了1994,42902026
3,2019,11,22,很想找到符合自己心情的歌，阿妹这首歌恰恰好,0,Rachel-88,325177904
4,2019,11,16,从头到尾我都只会哭,0,月球上的人_____,537761822
5,2019,11,14,你说我是有多爱你 才能忍受你和别人在一起  还依旧跟你说我愿意等你,3,饭团睡醒了吗,486406750
6,2019,11,12,祝你今天愉快,0,官阀,389334265
7,2019,11,10,好喜欢,0,Homayiko,399767879
8,2019,11,9,有的事情就是那么没有道理，喜欢就是喜欢，很喜欢就是很喜欢，跟着心走就好了，嗯,2,咸鱼超人_,119456446
9,2019,11,9,偶然听到这首歌，,0,Sy_JUNn,386378934
10,2019,11,9,太容易,0,前方有大魔王,20693224
11,2019,11,9,把你逼疯的，往往都是那些你在意的人,1,大侠看热闹,501696623
12,2019,11,8,原来是我这么爱你❤宝贝[亲亲],1,古丽-822ba,1546357599
13,2019,11,8,真好听，喜欢了这首歌[憨笑],1,古丽-822ba,1546357599
14,2019,11,7,为什么呀,0,大美妞小甩,106165563
15,2019,11,7,这首歌，不敢点赞,0,Nina917,70887195
16,2019,11,4,别怕,0,8LB20,16900601
17,2019,11,3,求你了 别出现在我脑子里了行不行,0,妳往月亮走,494875261
18,2019,11,2,没爱过不知道什么感觉,1,你爸爸还没找到,305927596
19,2019,11,1,我为什么那么爱你？？？,0,_-莫挨老子-_,1355214493
20,2019,10,31,我居然已经到了听过绝大部分每日推荐的年纪了,0,不碍与不爱,359763338
21,2019,10,30,最怕自己从今以后什么都不相信～还用怕么，就是这样,0,用户286916638,286916638
22,2019,10,28,害 我寻思这首歌为啥不火,0,yogurtmine,323533731
23,2019,10,28,原来9年过去了呀 好怀念那时的自己 你好呀 我是9年后的你 💌,0,屮社,448700157
24,2019,10,25,为啥没有999,0,jane柯乐,80610828
25,2019,10,25,你也梦到我吧，闲暇的时刻也想想我，彻底离不开我,0,早点投降,1594110618
26,2019,10,25,一年多了，我不应该啊,2,一颗潇洒的生蛋,331068244
27,2019,10,25,他曾让你对明天有所期许 但是却完全没有出现在你的任何明天里,3,怵y-,50036519
28,2019,10,23,在生命的旅途中能够遇见你，是我最大的幸运。祝好，再见。,0,梁琪琪,491092
29,2019,10,23,我为什么那么爱你，其实我自己也不知道为什么，可能是疯了吧,0,及回归,1325899694
30,2019,10,23,孙则城我为什么那么爱你,0,陀飞轮whisper,261026542
31,2019,10,22,我整夜整夜的哭 哭的眼睛好疼,1,我你也你我,109485560
32,2019,10,21,455～,0,队长快点开枪啊,45198966
33,2019,10,19,很久就听得 为什么没999,0,VMelody,261697364
34,2019,10,19,当初多勇敢在一起，也抵不过最后的分离。,1,剑舞江愁,313602752
35,2019,10,19,我还爱你可是已经不喜欢你了。,1,naka咪,358805288
36,2019,10,19,为什么有这么完美的声音,1,颈椎病抬杠晚期,90324389
37,2019,10,18,好像丧失了记忆，不知道为什么跳到这里，这情形这状况下，没什么好说的，除了我别人都是透彻的，我没有关系，我活该.,0,徐木子_,71842165
38,2019,10,16,我想我可能真的没办法爱一个人到失了自我。有些底线永远都是底线 该及时止损时都等不及要走。只是好可惜阿 为什么在一起的时候就是不能静下心来，一心一意对你来说真就这么难吗？？？,0,你是一间美术馆-,297928823
39,2019,10,15,对我而言哥哥就像月亮一样的存在，因为月亮什么也不用做，月亮只要被我爱着就好。,4,Aquarius_Chan,447404650
40,2019,10,15,我好想你 快回头看看我吧 我快撑不住了,1,Yetta_,293991071
41,2019,10,15,你来了一下子，我念了一辈子,5,那时花开jjwzh,1656417193
42,2019,10,15,"""
我向来都如此
不争不抢
一直认为
属于我的始终都是我的
它不会逃离
所以就连最后分开的时候
我也什么都没说
就接受了你所做的选择
                       """,1,LAyan阿,1348338945
43,2019,10,15,为什么我这么爱你黄立禄,0,shinealight1801,614521862
44,2019,10,14,"希望你自由 希望我勇敢
后半句也只是希望而已",1,丸子吞怪兽,128433626
45,2019,10,13,说的好对，即使卑微也要短暂拥有。,1,真的我很懒真的,562332834
46,2019,10,8,"自己在家听了一个下午的情歌，
突然很想你，想着我们在一起的时光，有吵闹有温馨有感动有争执，而现在你不在我的身边，听什么都觉得心疼，你呢现在在哪里在干嘛？我自己也可以照顾好自己的，可是我好想你啊，有的人，掉进人海就再也找不回了。",4,闭上双眼你最挂念谁-,500992715
47,2019,10,8,当初多勇敢爱了你 多勇敢才能原谅你,2,开兰博的小玉儿,246487196
48,2019,10,8,是我错过什么记忆 才从幸福跳到这里,2,开兰博的小玉儿,246487196
49,2019,10,8,韩寒说爱一个人即使不开心也很想在一起,2,菊花拉出菊花茶,249137237
50,2019,10,7,我,0,街角洋果籽,317990346
51,2019,10,7,我为什么 那么爱你,1,Suesugi,117807702
52,2019,10,6,祝福正在听这首歌的你，长夜无慌❤️,4,5-14-24,422416658
53,2019,10,5,愉快这么少不要数,0,座瓶水是我惜可,253248732
54,2019,10,3,那就 祝你前程似锦,1,Triste_my,381591240
55,2019,10,3,多勇敢才能原谅你,1,氵灬刂,256209432
56,2019,10,2,爱到底让人脆弱 还是让人坚定 🥀,1,hereisnobody,430906026
57,2019,10,1,爱的好原始 不爱的也干脆,1,冰清秋,121186445
58,2019,10,1,明明有以后的，明明说好一辈子的，不知道什么时候什么事情就变了，但，它就是变了啊，我们能怎么办呢,1,我喜欢吃青椒,79435545
59,2019,9,30,没听过这首歌，评论了就更不敢听了，怕矫情被发现。鬼迷心窍了我大概……,1,喜欢土豆那样喜欢排骨,397672329
60,2019,9,30,"我为什么　那么爱你，
爱到什么都说可以。 真的写进心里了",1,大清鱼的太阳,473259075
61,2019,9,29,"爱过你我不后悔，
哪怕现在只能远远看着你，
哪怕最后陪你一起的人不是我，
哪怕想起你，心就隐隐作痛。

你并没有用力，怎么我那么痛。",2,闭上双眼你最挂念谁-,500992715
62,2019,9,28,爱情到底让人脆弱 还是让人坚定,2,YingQi的长岛冰茶,345379782
63,2019,9,27,评论出奇的少,2,艾甜酸,344987068
64,2019,9,26,2019年的夏天.做的最错误的决定可能就是没能忍住和你做普通朋友.可是.我太爱你了啊.又怎么能止步于普通朋友那样的关系.哪怕是和你做普通朋友的一秒钟都是想要拥有.所以即使现在是不再联系.,0,做我de猫i,452264726
65,2019,9,26,隐隐约约的爱过了,2,红造了个绿,583596
