index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,真的丧,0,n无所事事一整个夏天的年少,320612665
2,2019,11,25,最后的呼吸声让我窒息！,0,難得一堅,645761304
3,2019,11,24,网易云删了两年的评论，刚出的时候就三万了。,0,别再奋力逞强,122065677
4,2019,11,24,凌梓涵 我很愉快。但我在想，你也和我一样脆弱难过呀。,0,RRRRReady,315053588
5,2019,11,23,黄芷淇，很想你。,0,朝阳里的人_,375938830
6,2019,11,22,他回了一句“明白[大笑]”,0,肥嘟嘟M_,302270401
7,2019,11,21,孙燕姿的所有歌中，这首歌的语气是我听得最难过的了，好难受啊,1,温尼斯o,115742976
8,2019,11,20,两年前半夜守着电台听燕姿新专辑，这首歌立刻泪奔,0,半成熟爱姿,410632973
9,2019,11,20,我来了，燕姿,0,鱼刺上头,335213083
10,2019,11,19,只是有点想你,1,n无所事事一整个夏天的年少,320612665
11,2019,11,19,我很愉快,0,n无所事事一整个夏天的年少,320612665
12,2019,11,19,你在哪,0,抹茶鲸_,384327160
13,2019,11,19,10天没见到他了,0,彭彭小越,367530141
14,2019,11,19,可以单买。。,1,n无所事事一整个夏天的年少,320612665
15,2019,11,18,"不是我不努力
也不是他太迟钝
只是他看不上而已
反正就像一只撞南墙的羊
撞疼了就揉揉角然后继续撞
要么墙倒了
要么墙走了",0,颜艺少年团,395533537
16,2019,11,18,听着听着就哭了,0,_丧钟为谁而鸣,563675444
17,2019,11,18,我不难过 我怀念的 我很愉快,0,王不对称,254940840
18,2019,11,16,怎么才发现这首歌,0,SUMMer桑麻末了,44482654
19,2019,11,13,所以，我就不怎么喜欢这首歌,0,向往北方的日子和乐子,75903833
20,2019,11,13,看得莫名难受,0,晚睡是好习惯,542651341
21,2019,11,13,特别是你看这名字 我很愉快,0,晚睡是好习惯,542651341
22,2019,11,13,太丧了，丧到令人窒息，所以整张专最不敢听这首歌，也不喜欢这首歌。不懂燕姿为什么要将这首歌放在里面，为了衬托爱得疯狂吗。。。实在太丧了,0,向往北方的日子和乐子,75903833
23,2019,11,12,为了这首歌买了这张专辑,4,yvvqomjevv,562780135
24,2019,11,12,这歌好丧啊,3,晚睡是好习惯,542651341
25,2019,11,10,还行,0,evxxchxx,91783488
26,2019,11,9,明年的演唱会请各位手下留情 [流泪],1,你的名字我的追寻,375773232
27,2019,11,9,我很愉快我很愉快[哀伤],0,aprilworld,476591793
28,2019,11,8,"🖤
《我不爱》
《我不难过》
《我很愉快》
  燕姿曾教我们说过的谎。",5,-南墙姑娘,303585489
29,2019,11,8,要放掉一段感情真的是很不愉快的事情。暗恋真的好累。倒追真的不好。我最后一次勇敢了。,0,是乔越鸭,564652604
30,2019,11,8,我是步步错，你何尝不是步步错，在一起就是错的根源，我得到了什么，你又曾后悔过，深夜为过去哭过么，太不愉快。,1,1565557--,322712483
31,2019,11,8,两年了,2,DEER_SIR,1713259
32,2019,11,7,这首不是上3万了嘛,0,奶酪在这里,337828208
33,2019,11,7,都去听漂浮群岛,0,小懒男121,607826579
34,2019,11,6,越听越好听，致郁系！,1,SummerCat22,581287620
35,2019,11,5,其实美好不难呐 为什么不努力呢,1,Stefanie的小熊,389165231
36,2019,11,4,刚好看你99999个粉丝，我给你点了一个,0,渡鸁,1288608923
37,2019,11,4,我听到了，心碎了,1,我有一百个芒果儿你要嘛,57865376
38,2019,11,2,我很愉快,0,silence_aa,369303380
39,2019,11,2,出歌至今两年了,0,短毛矮瘦子201706,487501010
40,2019,11,1,捡起地上的谎,0,忽然相当超人类,74264960
41,2019,11,1,我很愉快，流泪到天亮,0,女人不坏yL,602427068
42,2019,11,1,评论少了,0,克卜勒的风衣,590298867
43,2019,10,31,删评论真狗,2,sunjiahang,375838001
44,2019,10,30,听着听着感觉自己溺水了,3,未来影剧院,44331992
45,2019,10,30,如果有打算来找我，别找,0,长出光之翼的树,624823144
46,2019,10,30,刚听完那个200w评论过来的哈哈,0,_吴子诚,275017518
47,2019,10,30,"在一段关系即将走向尽头的时候，循环过很多遍这首歌。现在回听 前奏一响起，眼泪都要掉下来了[惶恐]我真是一只矫情的动物",0,大大大春春,65728955
48,2019,10,29,我喜欢听很多歌，这首歌却是我听的最多次数，我大概能记起我不停听这首歌的时间是我状态最不好那段时间，不好到我记不起我那段时间有多爱听这首歌，那段时间我是有多难过，难过到我现在不愿意记起那段时间，也忘了这首歌陪了我那么长时间。,1,偷飞机的查理Charlie,390574005
49,2019,10,28,听哭了。[心碎],3,清墨聿,565992356
50,2019,10,28,不撞南墙心不死，撞了南墙也不回头，一条路走到黑。“瞧，这就是你身上不可原谅之处。”,1,就像新月会重建,339850733
51,2019,10,28,撞了南墙也不回头的我，一条路走到黑。,1,就像新月会重建,339850733
52,2019,10,27,听完我自闭了…,4,我不是谢楠gg-,394260832
53,2019,10,27,我很想你，我希望你说你想我,2,Doopeach,320249782
54,2019,10,26,评论一直在删…………,0,vInCent哇,48926777
55,2019,10,24,这个要买,0,赎罪kKK,377810749
56,2019,10,24,我很难过,1,aoooom,113636090
57,2019,10,23,我好像干什么都提不上兴趣了,2,theSen,44203147
58,2019,10,22,听抑郁了。,1,堂堂曹家大少爷,37228595
59,2019,10,21,我似乎很愉快，没心没肺地笑着，独自承受着悲伤...,2,RobbieyDark,562295750
60,2019,10,21,其实美好 不难啊,2,七七是颗糖,342812094
61,2019,10,20,越听越抑郁[惊恐],1,Yohawang,260273115
62,2019,10,20,mark 29248 起码删了5k评论,0,NTUfail,71924954
63,2019,10,19,迷倒了,0,horaciaoliveira,113973937
64,2019,10,18,超爱的钢琴伴奏,3,ClaraSchumann,415821731
65,2019,10,17,三万多评论咋越来越少了，许嵩那个刷了200万评论咋不管？？？,8,让时间证明喔,99132814
66,2019,10,16,好难受,0,我是丑王,127718208
67,2019,10,16,病一场怎样？只要想想再过几年你会结婚我就堵得慌。所以，趁韶华，我就愿意喜欢你。我爱这份病态的洒脱。,0,曼城雨季,109528571
68,2019,10,16,这首歌我一听到就很难受，闷得慌,0,CymbidiumL,277089769
69,2019,10,15,有人说，狗狗都跟主子内心相似[奸笑],0,潜水大鲸鱼,476471883
70,2019,10,15,雪碧是我的拉布拉多 跟二哈一样 甚至比二哈还闹腾,0,雪碧是只二哈,273973378
71,2019,10,15,雪碧是二哈的灵魂吗,0,潜水大鲸鱼,476471883
72,2019,10,15,我不难过，我很愉快，都是骗人的,1,看看这个名字能起多长长长长,299580028
73,2019,10,14,戳[大哭],0,乞力马扎罗1709,580885383
74,2019,10,14,诶，不是米青少男吗（滑稽）,0,吴修明Gary,447785241
75,2019,10,13,我头刚,0,小丸子的笑,126808023
76,2019,10,12,喜欢你的时候，很愉快。高中胃很不好，但是每天见到的你的时候，疼痛好像都飞走了。所以很谢谢你。,3,12iao,391453901
77,2019,10,11,太丧了..不过我喜欢,1,雪碧是只二哈,273973378
78,2019,10,9,"希望你到夜里就失落

后悔重来没有珍惜过我💔",1,攀叔_,588576166
79,2019,10,9,美好真的不难吗,2,演绎绎绎i,133549036
80,2019,10,7,我很愉快 嗯我很愉快 很愉快,0,stef虎牙,86952410
