index,year,month,day,content,likecount,nickname,user_id
1,2019,11,13,[大哭][大哭][大哭]为啥啊,0,璃烟雪,635773501
2,2019,11,9,每次去ktv都很怕别人唱这首歌,2,晕灯吗,353172821
3,2019,11,5,我喜欢这个版本[呲牙],3,小小火山君,56834732
4,2019,10,23,初闻不识曲中意，再听已是曲中人。,2,饮时三,44699041
5,2019,10,16,我怀念的是中学时代,2,伊人一心999,2006432889
6,2019,9,26,太可爱了吧(๑• . •๑),0,小懿301,250476570
7,2019,9,26,哈哈哈哈哈，太幽默了～饿成什么样了，这娃，直把精神食粮当成物质食粮😄,3,小懿301,250476570
8,2019,9,13,别拿我姿和你们流量小鲜肉比 OK？,4,予禾寒,286544821
9,2019,9,13,你放个屁叭,0,予禾寒,286544821
10,2019,9,13,哪个大厂男孩👦🏻,0,予禾寒,286544821
11,2019,9,13,就是偶像练习生里的人啊 就是大厂男孩,0,丁少侠家的小师妹,1572398453
12,2019,9,7,大厂男孩是谁 打扰了,0,予禾寒,286544821
13,2019,9,4,我其实不想失去，只是我不敢💔,2,配月,1928612051
14,2019,8,29,现场更有感情，感染力更强,3,吊大滴妹子,50177261
15,2019,8,27,我只是怀念年轻的自己而已,4,小何才露尖尖角儿,356004070
16,2019,8,23,太可爱了吧,0,MiGaMaKa,265483298
17,2019,8,15,最喜欢的版本，大学时候听了好多年09-13，海大,3,海边大白羊MrK,41882425
18,2019,8,10,我的好友中有一个只能浏览信息界面，不能进空间，也不能点赞的人💔💔💔,5,我怀念的是你吖,1682464037
19,2017,9,28,台湾的朋友在哪里,1,cheeseandkisses_,109894617
20,2017,8,30,我平常很冷静 面上表情很少  某次唱歌时候点了我怀念的 用尽全身力气费好大心绪唱下来 一起去的都很好奇  性冷淡竟然也有这么多感情  灯光那么暗 没人看见我泪流满面  早就该习惯了 被人忽视所有感情  或许我本身就是冰冷和理智,2,一碗枇杷,75988966
21,2019,8,1,今天知道，以后再也没有见到的机会了，以前也有六年没见了。我以为我忘了。我以为我忘了。,2,停下来,3476213
22,2019,8,1,我怀念的,2,交叉路过,1549208535
23,2019,7,27,不用想的太复杂,0,Galaxy37,410660166
24,2019,7,27,越往前越难,3,Galaxy37,410660166
25,2019,7,27,因为你喜欢小鲜肉而已。,2,偏城御,37923346
26,2019,7,25,2020演唱会约起来,4,莫名改的名,367956480
27,2019,7,7,"我是真的不想挽回什么了，能做都做了
我笑着告诉自己，我已经不害怕失去了^_^",2,百鬼_岷岄,397653820
