index,year,month,day,content,likecount,nickname,user_id
1,2019,11,7,那么好听，打卡阿美,0,女王陈萍,580710290
2,2019,11,6,嗯,0,Byebyebluee,557948495
3,2019,9,29,加油加油，别人都可以我一定也可以的！！！,0,xiaoxiaomiJoyce,394417521
4,2019,9,25,这是他们两的专辑，看封面上有遇见和我要快乐两首歌，还有两个女人[大哭][大哭][大哭],2,我有一块小饼干,333348483
5,2019,9,24,我不会为了留你假装可怜兮兮,0,-L3c,264775796
6,2019,9,23,评论少，大概因为太难唱了吧...哭,0,啦啦就你的哦对金额和,248575130
7,2019,9,4,为什么出现在孙燕姿的专辑里,0,热苏打vv,492015258
8,2019,8,5,还是熟悉的封面[爱心],0,生生嘻嘻,354555314
9,2019,7,27,这个评论真的出乎意料的少诶,1,融化在左心房的方糖,257089310
10,2019,7,25,"我本想去地狱，可是地狱打烊
便转身走去天堂，但天堂也客满
于是我路过人间，正好你房间正通亮",1,帐号已注销,294581337
11,2019,7,11,这首歌好难唱😂,0,程是非0403,111382519
12,2019,7,5,不能放纵爱你 就放过自己,0,一罐热茶AAAlice,246097131
13,2019,6,21,居然这么少的评论,1,陈从雨,325529357
14,2019,6,9,好听，评论好少，那就在这里表白严小姐吧，我喜欢你，永远没有厌倦期。,0,拉lal拉,538627939
15,2019,5,26,你有我说也说不完的坏脾气，然而。。。那又怎样！！！依然爱你,1,随-鑫所欲,110355857
16,2019,5,26,这歌我15年还是16年就开始听 到现在评论怎么还那么少…,1,nynnX,384688516
17,2019,5,3,唱功恐怖,3,依然渐飞,44419218
18,2019,4,28,风，那是爱你的欢笑,1,健淡的小花,95933025
19,2019,4,24,明明很久以前就觉得很好听的歌，结果今天一看评论不到三百，迷惑,2,奸商十二,354221696
20,2019,4,3,这首歌为什么在孙燕姿唱歌歌列表里面,2,米卡米卡小米卡,266506983
21,2019,3,5,还不是怪自己不够争气，没能让你也喜欢我…,2,Nevaeh丸子-,35441202
22,2019,2,13,好听,0,木易天马乔,89923393
23,2019,1,2,我喜欢你，千疮百孔也还是放不下你。一次又一次地重蹈覆辙，也还是喜欢你。,3,Beaatrice,588349459
24,2018,12,8,冷门好歌,0,橘子树上的小朋友,9049829
25,2018,11,30,我恨 爱你的软弱的不堪一击的我,0,Vionn,124738787
26,2018,11,16,再见xy 不会再去到你的城市找你 不会再爱你 一切到此为止 你与我再不相关 谢谢,0,巧克力派的汉堡包,405191492
27,2018,8,26,阿妹的冷门好歌。,5,局外人gsy,287214378
28,2018,7,31,嗯啊,0,mouft_hu,260036758
29,2018,7,28,同城呀,0,我什么时候能像你一样优秀,251875976
30,2018,7,27,广播听到的，还蛮有感觉,0,树树不想被发现啊,278569244
31,2018,6,20,没有爱的人 没有恨的人 ,2,mouft_hu,260036758
32,2018,5,7,I hate myself for loving you ,0,在演出结束之后,104865868
33,2018,5,4,i hate u i love u???,4,FR172,311235493
34,2018,4,13,"我有你拿也拿不走的旧回忆。
我可以一个人安静的忘记你。",2,桥豆麻袋库达塞,287056288
35,2018,4,9,我恨我爱你！特别恨……为什么忘记一个人这么难，明明已经不爱了啊，我真的不爱你了啊,1,MorisLu,289517545
36,2018,3,19,为啥这么点评论？,0,fayekie名字被偷了,131574363
37,2018,3,16,错失良机,0,欲言仍不语,117631306
38,2018,3,16,"你有我看也看不清的小聪明
你有我说也说不完的坏脾气",0,木头木头脑袋,61922577
39,2018,3,14,可以说…hin惨了,0,miss巫月,303304336
40,2018,3,12,261打卡！居然和上一个相隔7天，明明那么好听！！,0,承包西瓜jun郑容和and魏无羡,77875014
41,2018,3,5,260打卡🙋,0,元气少女依琳xi,334980204
42,2018,2,22,多说无益,0,BROKEN4u,373329190
43,2018,2,7,这首歌的评论竟然这么少！,0,哆啦A末,301064728
44,2018,2,4,这不是原唱吗,0,短毛矮瘦子201706,487501010
45,2018,1,31,单身狗连个恨的人都没有🤷🏻‍♀️,3,-屿岛-,323058112
46,2017,12,29,我恨我 爱你,2,何木子麻麻,479763758
47,2017,12,24,"我  恨我爱你  我恨 我爱你  我恨我 爱你
",2,梅瑞兹格的沉默,105214969
48,2017,12,22,抱拳儿了 老铁,0,MarrBe,42372968
49,2017,12,21,你好，同城,0,Yesim海绵宝宝的宝宝,442743838
50,2017,12,10,一点小伤而已,0,是JayHu,119787692
51,2017,12,7,喜欢是小心，爱是煎熬,1,YUSUKE阿,128950163
52,2017,12,4,这首歌怎么这么少的评论。超好听唉。,2,gilig,292691563
53,2017,11,30,阿妹的歌应该全都999+的,1,李雅曼妮y,290176176
54,2017,11,23,一模一样的故事[大笑],0,进击的楼儿,257852142
55,2017,11,20,难过,0,Lo1ita,49234836
56,2017,11,14,是我推开你的  可为什么难过的是我自己,4,施选手就位,112624116
57,2017,11,12,[狗],0,爱吃鸡排的YL-,628929290
58,2017,11,10,"原来你对我说的那些都是一个一个的歌名 花一开满就相爱 我恨我爱你
我也恨 我爱你",0,MarrBe,42372968
59,2017,10,31,我也是[大哭][大哭],0,你益爷,67743576
60,2017,10,30,我接受不了,1,今天天气可真冷啊,630895680
61,2017,10,28,10月28日，四天了，我从图书馆回来拿着杂粮煎饼，听着这首歌，阿表哥打电话来说潘姐姐生他的气，我哪有心情理会。挂完电话我走向宿舍，听到都怪我太不争气这句的时候泪崩。三年了，你对这段感情确实付出很多。不过就是你在郑州受不了异地恋要离开嘛……难过是一时的，OK我还是很爱你。—写在成都,2,多半是你,361543734
62,2017,10,26,这么少评论？？？竟然还都是最近的？？？想知道发生了什么,0,很远之前,73423052
63,2017,10,24,渣男无误了,1,后海老鲨鱼,48574365
64,2017,10,23,早点睡吧 总会过去的,0,AlterfYiu,89394188
65,2017,10,23,凌晨四点看到这条评论真是心塞,0,僵尸捕食者,317876164
66,2017,10,15,睡不着 都是因为你,2,-黄濑,33638329
67,2017,10,14,他不值得你爱。你会遇到那个把你捧在手心里的人的,1,MozzzzZie,545527777
68,2017,10,12,你先出的轨，但我不知道 然后你说真的很爱我，所以我又慢慢陷回去，但后来你又背着我和另一个人一起，你说你爱我，但你说不能再一起了。最后你有别人，我只有我。 ,3,AlterfYiu,89394188
69,2017,10,8,巧了,0,湮没1010,533280669
70,2017,10,7,我恨我爱你  加油 武汉,1,李易峰永远都得不到的女人,500416019
71,2017,10,6,彼此彼此,0,地表最正,255901622
72,2017,10,4,巧了兄弟,2,过儿的小龙女啊,382904645
73,2017,10,4,你也一样吧[奸笑],1,地表最正,255901622
74,2017,10,4,头像厉害了，一人一半是嘛？      ,0,过儿的小龙女啊,382904645
75,2017,10,4,我哪也不去，就在中国等你回来[大笑],1,地表最正,255901622
76,2017,10,4,这首歌前奏一响起就突然觉得很熟悉，阿妹的第一个字蹦出来的一瞬间，几年前因为你而接触这首歌的心绪突然展露。你还好吧，明年你去你的澳洲，后年我去我的加拿大，有缘再见吧,1,过儿的小龙女啊,382904645
77,2017,10,3,哇，我是听完蒙面唱将过来的。[呲牙],4,zMG7,267680019
78,2017,10,1,多说已无益,0,啊墨喵,94525945
