index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,绿人者，人恒绿之。,0,大蚂蚁-_-,481668807
2,2019,11,23,很多，你拿着歌单一个一个听吧,0,嘿嘿嘿纠结喝喝小酒的,1308617457
3,2019,11,21,这是我搜这歌的目的,0,MAROON5-中国工作室,1376731566
4,2019,11,16,啊燕姿这真假音转换 舒服得我一身鸡皮疙瘩！,1,sweettteee,416746687
5,2019,11,12,我聋了？为啥我听不到,0,我很我也不知道,1483355657
6,2019,11,8,本专辑最爱,0,温格是个好厂长,280346460
7,2019,11,7,哈哈哈，听出了中二的快乐！,0,hoo图娘子,136178867
8,2019,11,4,中国有十四亿人口，网易云有两亿用户，而你偏偏在这首歌的评论里看到了我，然后你花了十五秒来读我这段话，是的呢，这一瞬间你是我的人。你好陌生人，愿你余生有良人相伴，余生满心欢喜，过自己想要的生活。,5,铁索镇河妖,467726540
9,2019,10,29,我也爱,0,好好可爱的昵称,452808207
10,2019,10,22,小学的时候看网上说这首歌里面有一句灵异的声音，十年过去了从mp3到手机换了无数的耳机我依然没听到，心中没鬼罢了,1,轩仔是鱼仔啊,576144616
11,2019,10,22,10年过去了，我依然没听到,0,轩仔是鱼仔啊,576144616
12,2019,10,17,我爱孙燕姿 一万年,2,訾央伪装小漠漠,247480354
13,2019,10,17,我聋了？,0,Mlhc_卡卡,102133189
14,2019,10,7,恐怖恐怖😱,0,逗逗的憨der,75604239
15,2019,10,4,我不能改变你的平衡点总爱往不快乐的一边陷,2,不遑多让o_O,1944277967
16,2019,9,29,你是蛇精吗？不，你是蛇精病。,0,二哥tsang,573837412
17,2019,9,29,超级好听,1,我就叫夏,504756053
18,2019,9,27,我想你,1,霉头霉脑云散月现自在飞花slay,42294326
19,2019,9,26,啊 我回到初中了,0,bulankaa,73550678
20,2019,9,21,走不出去了,1,霉头霉脑云散月现自在飞花slay,42294326
21,2019,9,19,我怎么听不出来啊啊啊啊啊啊,0,夜照亮了耶,452859348
22,2019,9,17,高中课堂被起哄上台唱的歌，现在还囧的要命[汗],1,somnias,350062499
23,2019,9,14,燕姿的歌曲适合一个人戴着耳机静静聆听 不想与他人分享 真的超级愉悦身心啊！！,1,长存我心,103120205
24,2019,9,11,一秒穿越回高中,0,penguin大鱼,1410705393
25,2019,9,9,感觉像破音,0,怪怪图,119396887
26,2019,9,9,感觉像,0,怪怪图,119396887
27,2019,9,8,这么巧你俩在一起吧[呲牙],0,Gi0019,398778069
28,2019,9,7,我放的时候没有38秒_,0,DepressivePoisoning,1743491636
29,2019,9,6,唱的不好，到确实有点意思，不过还是有点慌,0,凝固在此时,424343454
30,2019,9,6,为什么要发那个表情呢，何必呢,0,只为了一个夏天有你有我,634333708
31,2019,9,5,周涵儿是猪🐷,1,七里香Zz,555115882
32,2019,9,5,很好听的歌,0,BAFiii,1456283604
33,2019,9,5,谢谢你,0,薄荷日记0111,1460851065
34,2019,9,5,我也是那天失恋的,0,柯少ksj,298273050
35,2019,8,28,你姿到底有多少好歌！！！！,3,7things_,1318437548
36,2019,8,27,[呲牙]真好听嘻嘻。,0,也不是猪只打呼,355734135
37,2019,8,25,学生时代骑单车是乘着燕子的声音飞翔,0,洛洛0222,309551691
38,2019,8,25,吉他而已,0,宁静的鱼,264894683
39,2019,8,25,清醒点！！！你已经没后路了！！！！！,0,啊团子不团,419489013
40,2019,8,24,好起来！！！月亮加油！！！118！加油！！！希望一切都还来得及！！！加油！！！,0,少玩手机多做题,280000836
41,2019,8,20,哈哈，你也喜欢她啊,0,硪餉醭鋤濑,1845968188
42,2019,8,16,听到了，真是有心人啊,2,这个枣妹不太冷,1477730636
43,2019,8,14,听到了，就是电吉他的声音啦,0,Ground-blue,250254616
44,2019,8,10,没听到谢谢你啊,0,老刘一定会有猫的,55130889
45,2019,8,9,我也听到了哈哈哈,0,20160623_,1370139252
46,2019,8,9,为什么我放这首歌一直播放失败呀[西西疑问][西西疑问],0,TwinklingKepler,581430392
47,2019,8,7,我来回听了三遍 没听出来[大哭],0,xxsince1994,63576738
48,2019,8,2,不是为几分几秒的声音而来，是为整首歌和燕姿来的❤️金曲金曲,2,earwormSYZ,1580154679
49,2019,7,31,好好听呀,0,Keplerrrr__,366619926
50,2019,7,23,冷门好歌    啊啊啊啊啊啊啊啊啊啊燕姿的每一首冷门歌都好听,5,liooHu,133689341
51,2019,7,22,好听好听,0,识刀客,623315109
52,2019,7,21,1分38秒真有谢谢你！,0,朱一龙Q,1331306773
53,2019,7,16,为什么我听不到?,0,7things_,1318437548
54,2019,7,15,旧的回忆就快要随风而逝，还是哪天所以APP都下架老歌，我会不会痛心的要死。,1,rock默然,39572304
55,2019,7,13,这首歌像阴天突然出现的彩虹般，吸引了我的注意力,0,-蓝与灰,81008395
56,2019,7,11,女不唱孙燕姿，难度太大了哈哈哈,4,迷幻shinee,400625173
57,2019,7,11,好有青春味的一首歌,0,迷幻shinee,400625173
58,2019,7,11,卡,0,Chertime,83946830
59,2019,7,5,哈哈哈,0,-Ariana_Grande-,585410257
60,2019,7,2,不会唱,0,八九不离食小姐,133898896
61,2019,6,29,这个转音唱出来也很舒服？,0,钱梨君,274536871
62,2019,6,27,期待第二期的明日之子和金曲奖,2,Erika_Linder,305117600
63,2019,6,27,相信科学？科学解释不了的东西多了去了还相信科学不要太过相信科学 科学也是迷信的一种,1,航母乳,1671639087
64,2019,6,25,为2020年演唱会加油,4,s1ck1000,1471605268
65,2019,6,18,这盘磁带当时卖58块，一般情况都是12块，结果是用全科班级第一缠着我妈给我买了.....,5,Travisun,442829082
66,2019,6,13,很喜欢这首歌,1,如我-梦中人,1556368224
67,2019,6,11,赞,0,yoyo原,118579126
68,2019,6,5,姿就是厉害，这转音[口罩][口罩],0,L__Y___,344369831
69,2019,5,30,我可能是聋了,1,Ahom0207,349356564
70,2019,5,26,好不好我就专程拨个电话向你问个清楚,0,泡泡是小太阳,421058825
71,2019,5,25,没有啊,0,HufflepuffHogwarts,253324312
72,2019,5,19,从哪来回哪去,0,钱梨君,274536871
73,2019,5,19,我真的听不到啊😂😂,0,绿头发的小黄,590877018
74,2019,5,18,我听了很多遍我都没听到,3,柒染冰霜,1684422920
75,2019,5,11,这么好听的一首歌，评论这么少,2,毛茸飞天小熊猫丶,78948305
76,2019,5,4,好听,0,Davie504,57455489
77,2019,5,3,喜欢喜欢这首歌。,0,兔图图涂涂,1419427661
78,2019,4,29,(⊙o⊙)哇这个转音,1,云云云云流,1334766690
79,2019,4,29,哈哈哈，欺骗我！调皮[吐舌],0,ZEI先森,90858253
80,2019,4,29,还想去新加坡,0,xuzhe1216carol,513475216
81,2019,4,23,太好听了呜呜呜要哭了呜呜呜,0,Youngformusic,131073342
82,2019,4,13,这首真的好听啊,0,janeguoforever,404570295
83,2019,3,30,真爱粉报到,0,大龙xk,636488947
84,2019,3,29,回复这么认真。。这就是呆萌了吧[多多捂脸],4,一位不愿意透露姓名的齐天大圣,7131309
85,2019,3,27,陈粒是谁,0,骑士1989,75521112
86,2019,3,19,我已经没有后路～,0,奔跑的九芒星呀,255622187
87,2019,3,15,[西西机智][西西机智],0,左灯右行_______,32290791
88,2019,3,4,哈哈哈,0,蜜屎郑大坨,133373093
89,2019,3,3,听别人说，你们这样一对一对的聚会挺好的。好吧，该认清现实了,1,Gvick,253611283
90,2019,3,2,人不应该这么少啊,0,聂uncle,365460535
91,2019,3,2,哈哈哈哈哈哈哈哈你好认真呀,4,我一头青筋,111643088
92,2019,3,1,其实是乐器的声音,0,Conanggg,415001411
93,2019,3,1,对，就是乐器摩擦的声音,0,Conanggg,415001411
94,2019,3,1,不是，只是喜欢头像而已。,2,Conanggg,415001411
95,2019,3,1,你是柯南吗,3,我一头青筋,111643088
96,2019,2,27,   蔡依林的《看我72变》后面有个人叫“哥”的声音其实不是小女孩的声音。而是工作人员和录音人员在后台发现蔡依林唱歌哪个地方唱的不行就提醒一下。演员在录音棚唱歌的时候不是一次到位的。而是一首歌反复唱几次，再把100%好的地方给穿插起来的。,14,Conanggg,415001411
97,2019,2,27,因为灵异MV中怎么看都是工作人员在后台和一些操作失误所形成的。不管什么什么灵异事件怎么看都用科学能解释。那些科学无法解释的几乎都是电脑做的特效或者故意拿东西和人拍设吓人的东西的。,4,Conanggg,415001411
