index,year,month,day,content,likecount,nickname,user_id
1,2019,11,21,男声像我们班长的声音哈哈哈哈惊了,0,zz九三,1555279371
2,2019,11,18,我一直以为是阿信唱的。,0,北Copy,134545858
3,2019,11,6,SNG是卫星采集新闻，实时播报的一种啊[大哭],0,气场太弱,115128568
4,2019,11,5,SNG 是苏宁队么？哈哈哈,0,晚伍,45691063
5,2019,11,3,想听阿信唱男声版🤨🤨,0,章高兴s,1450587840
6,2019,10,31,其实歌还好的，只是两个人的音色风格不是特别搭，所以听起来会怪怪的吧,0,啊嘎哇,1582993090
7,2019,10,17,不要骗人的自由！,1,互联网石原里美,435471851
8,2019,10,8,我觉得男生唱的很好啊。。。,0,人血馒头薛之谦嘻不知道别来问我,1529460927
9,2019,10,5,我才不要这么过」,0,也不是猪只打呼,355734135
10,2019,10,5,真好听嘻嘻,0,也不是猪只打呼,355734135
11,2019,9,27,有点像五月天的风格！,3,布鲁斯牛仔裤,246234044
12,2019,9,23,唱，跳，rap，,0,慕峥嵘_,344599356
13,2019,9,14,这首好high  听着好爽,1,-W妮子,395909689
14,2019,9,14,好的的👌多谢！！,0,漂浮群岛et_moi,101098936
15,2019,9,14,孙 写作姓 可以是SNG 类比 周 写作姓 可以是Chou,1,BettDng,45862800
16,2019,9,12,我的快乐我自己懂,0,鱼罐头气质,297520717
17,2019,9,8,我觉得还行,0,追风少年依旧,85096665
18,2019,9,5,哈哈哈哈好可爱,0,淡味当药,447422790
19,2019,9,2,哈哈哈我觉得好听呀,0,_不加糖有点甜,128108088
20,2019,8,30,想起了我倫提携的Gary，每次一开口就想把他从歌里除名(抠鼻),0,谢小P谢小P,36145223
21,2019,8,29,后面燕姿低音那段太可爱了吧，笑出声[色],4,霉头霉脑云散月现自在飞花slay,42294326
22,2019,8,27,不懂就问：不该是sun嘛？,0,漂浮群岛et_moi,101098936
23,2019,8,27,唱歌的俩人都姓SNG 所以是SNG生活🤣🤣,0,BettDng,45862800
24,2019,8,27,唱歌的俩人都姓SNG😆,0,BettDng,45862800
25,2019,8,25,很不错啊,0,我的猪猪儿子,1366773948
26,2019,8,22,是挺好听呢,0,吴士生非,112880785
27,2019,8,21,如果男声由阿信来唱的话感觉更对,5,自然卷都是坏蛋吧,549854503
28,2019,8,13,我觉得很好听,1,栏歌_,31004990
29,2019,8,12,主要是这个男生的唱腔有点油腻……,0,飔呐,410604285
30,2019,8,11,k歌的时候嗨到暴！朋友惊讶的说孙燕姿还有这歌！！！哈哈，虽然我唱的不怎么样！,0,翻不完DE夏天,478491823
31,2019,8,6,这首歌high啊,0,-有姿有菋-,129649056
32,2019,8,4,所以SNG是到底什么呀,1,漂浮群岛et_moi,101098936
33,2019,8,1,还蛮喜欢这个男声的,1,哦珍妮花比尔斯,137203265
34,2019,7,31,不要这么说，这也是燕姿的作品之一呀,1,衣服宁,395370960
35,2019,7,26,其实挺hi的,1,对立统一王子面,60729859
36,2019,7,21,人家开玩笑，你们好认真。。。。,5,帐号已注销,1682941277
37,2019,7,18,真的好听,0,卢娜lalala,1559123894
38,2019,7,15,01有现在的主播这种东西吗[大哭],2,标量-时间,1467060801
39,2019,7,9,前几天燕姿和阿妹一起直播了,4,是_时候,555105313
40,2019,7,2,初一军训结束的时候我和同学一起唱了这首歌，然后嗨爆全场！,4,八九不离食小姐,133898896
41,2019,6,29,我是我请立刻去世，怎么混到这张专辑里的,1,stefmissyou,451484132
42,2019,6,27,男声太弱,0,borischou,33215905
43,2019,6,22,换气声好弱,0,云云云云流,1334766690
44,2019,6,20,不要在说这首歌坏话了！毕竟这是燕姿速度最快的一首歌啊！,0,那不勒斯的遗憾,7590143
45,2019,6,18,歌本身挺好的，可惜不是燕姿独唱,0,Mu1tiverse,80664566
46,2019,6,17,我觉得挺好听的[多多捂脸][多多捂脸],1,svamei,101475353
47,2019,5,26,很好听啊,1,借我一生时光1708,557843054
48,2019,5,26,日式流行朋克,2,山野starwang,327472142
49,2019,5,26,很好听啊,0,忘川巫,1341405275
50,2019,5,21,今天天气没有很不错  下雨呐,0,_一桩南方开,92360301
51,2019,5,15,我觉得这个男声选的对,1,简抽,128094765
52,2019,5,11,一首歌毁了一张专辑。。。破坏了整张专辑的完整性。,1,陌砚,2913536
53,2019,5,10,莫名好听是什么情况[惊恐],2,食品飞龙,488140425
54,2019,4,25,我觉得挺好听的诶🌚为什么这么多人吐槽,2,人血馒头薛之谦嘻不知道别来问我,1529460927
55,2019,4,25,👀是吗？我现在就在单曲循环中,0,人血馒头薛之谦嘻不知道别来问我,1529460927
56,2019,4,23,我寻思这不是《我想和你唱》吗？,1,痛快的哎哟,247746461
57,2019,4,20,我觉得这首歌还可以啊,0,L_YQ,86729765
58,2019,4,18,是你理解力不行吧，我是主播的意思是由我来做主。并不是现在的主播,2,愁容的骑士,381814572
59,2019,4,18,男生有点像阿信啊，个人观点,0,念舊的峰,49351360
60,2019,4,17,男声习惯就好[撇嘴],1,Davie504,57455489
61,2019,4,17,晃眼一看以为是孙楠,1,k19烧香,442199512
62,2019,4,11,这个男声真的是一般般,0,呆猫little,297903892
63,2019,3,19,老骂男生有点儿过分了吧，这首歌明显为了配合女声调儿定低了。。。我是yanzi将近20年的粉丝了，男生是位创作型歌手，没必要这么墙倒众人推,32,昧见姬,252483770
64,2019,3,18,因为只能说还行。。。听起来确实有点刺耳。。[惶恐],3,别跑我还要听你讲故事,393797388
65,2019,3,14,嗯,0,人血馒头薛之谦嘻不知道别来问我,1529460927
66,2019,3,2,不看评论还以为男生是孙燕姿弟弟，相比起来确实很一般啊,1,10点30的飞机声,121572950
67,2019,2,26,还好,0,Caklo3,284569009
68,2019,2,25,找到同类了[大哭],0,isNn丶,362158056
69,2019,2,25,有，哈哈,0,BaoZi君,110029755
70,2019,2,24,这首是这张专辑里唯一不好听的,0,DerryLiu,339089032
71,2019,2,23,嗨起来[多多耍酷],0,carrie-wimper,361289116
72,2019,2,14,男生挺好的啊，应该听得出来为了合唱这首歌更适合燕姿的KEY，男声定的其实很低了，不好发挥,3,Nembutal,285968582
73,2019,2,13,苏宁主播？[大哭],0,丶迷路的鸽子丶,1318337772
74,2019,2,10,男声还好啊，没那么差。,0,s1ck1000,1471605268
75,2019,1,28,初中的时候，计划和几个同学一起表演上唱这首歌，请同学放学到家里来唱K，四五个人一起吼这首，超级大声，现在想想也是脸红。晚自习前，教室里还没多少人的时候，我们就把音响开起唱，再找个同学帮我们把风，怕班主任搞突然袭击。这首歌在青春里还是留下了点热血的印记。其实还是可以的，别再喷啦。,3,8B8BHOME,288500186
76,2019,1,26,这个男声虽然不怎么样，但是听了这么多年也听习惯了😂至少比《简爱》里的rap男和谐多了😒,7,转身是空,111727561
77,2019,1,18,很喜欢这首歌,0,大吉大利宝宝,545189629
78,2019,1,18,别吐槽那个男声了。看mv才知道，这首歌作词作曲都是他[大哭],4,一个奇怪的人类,248362569
79,2019,1,10,初中时一好友喜欢孙燕姿，放学唱我是祖国的花朵，问他借了这盒磁带[大哭],0,忘了爱2019,379331803
80,2019,1,7,真的很俏皮，活泼，符合她本性直来直往,0,Joyce的橙子,1665584207
81,2019,1,7,我觉得还可以啊，也没那么烂啦男声[呲牙]就是有一点点想打他的小冲动而已[鬼脸],4,Joyce的橙子,1665584207
82,2018,12,29,这种快乐洒脱的主题一直感觉是我姿最信手拈来也是最享受的。可爱。想......听演唱会[呆],4,假正经726,580811760
83,2018,12,20,这首歌的现场姿姿真的美到俏皮，心动了！,2,郑旭1983,623072266
84,2018,12,15,孙燕姿我真的喜欢一辈子,6,糖糖的小可爱啊喵了个咪,497832566
85,2018,11,23,很可以。开车时吼吼[亲],0,YIOU_MUSIC,583829231
