index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,好听,0,高山流云高山流水,258916546
2,2019,11,11,"站到街边静了一点
坐到窗边闷了一点",1,座瓶水是我惜可,253248732
3,2019,11,9,爱一个，值得的人。,1,一颗潇洒的生蛋,331068244
4,2019,10,27,我的爱什么时候才能收回呢,0,26loowk,408966744
5,2019,10,9,"明天就要出发去英国。
也算是让给我对你的爱沉淀一年吧。
如果归来爱更浓烈。
我们就永远在一起好吗。",2,Colorme_,276463611
6,2019,9,25,“这个人真好啊，好到我觉得这一生突然就有了寄托和希冀。想和她结婚生子，平平淡淡，白头到老。”,0,旺仔养了一只猫叫馒头,420452987
7,2019,9,20,为什么评论这么少，不应该啊,1,欣在我心上,634607206
8,2019,9,2,我要加油,1,ADSNL,582282668
9,2019,8,29,我最爱的一首，评论没有999？后面火了一定要点赞提醒我[大哭],3,z现世安稳,9715185
10,2019,8,7,"爱而不得 却控制不住的用尽全力去爱挽救守候的过程痛苦折磨 一次次放低姿态下定决心放弃 却抵不过回忆那走路微笑的神态以为只要简单的生活 就能让情绪平静却在某一刻听到他的消息 控制不住的泪流你告诉自己 可能是天注定的缘分 让这辈子的眼泪都留给他吧",1,Jssiay,1301508102
11,2019,7,23,这张专辑我都会唱啊，加油啊,0,九十年代的大裤衩,278748747
12,2019,7,23,找不回来了,1,CY月神,355942739
13,2019,7,14,这首歌好好听！你走路姿态 微笑时神态。,4,hydrogenhi,1597587086
14,2019,7,8,听见 冬天,1,辛大彪,399203087
15,2019,7,7,这就是为啥网易缺少很多热门歌曲版权我却依然喜欢网易音乐的原因：推荐的歌无论新旧总能给当下的我新的感受。我会找熟悉的歌回忆过去，但更喜欢不经意间再次听到曾经常听的歌回到过去，或是听到我从未听过的歌而刻下未来对当下的回忆，这就是网易音乐带给我的—永远都在路上，永远感觉对未来充满期待。,3,扣肉YZZW,17521381
16,2019,7,4,去年捡的美丽贝壳🐚,1,Bryan-S,277302013
17,2019,6,28,十分钟之内第二次看到类似的评论[生病],0,wynekuo,86056868
18,2019,6,20,嗯,0,一浣,97985887
19,2019,5,29,这本专辑最喜欢这首和我也很想他,1,枫叶飘飘008,101118143
20,2019,5,22,[猪][猪]傻吧,0,大姚就是摇钱树,435942069
21,2019,5,21,@大姚就是摇钱树,0,吃饭睡觉打甜甜,528382012
22,2019,4,28,评论少是因为都去stefanie那张了,1,半票清晨,515749052
23,2019,4,23,这首歌在没火之前我来过,1,薛凉笙,1331795872
24,2019,4,19,那时候整个操场跑完刚好看到你身影 这么多年了 你仍是我的光芒  只是悸动消失。,0,笇忇,324422503
25,2019,4,10,评论这么少是什么鬼,1,依然渐飞,44419218
26,2019,4,5,这么好的歌 居然不到999 以为平静的生活可以平息了脉搏...,0,淡蓝涟漪,384035472
27,2019,4,3,谢谢姿妈，我没有错过我的真爱。,0,李端叔一月十七,641747947
28,2019,3,6,在海边听了一个上午，地点，鸽子窝公园,3,迈克宣言,132813360
29,2019,3,2,在,0,龚子婕房东的猫,248052433
30,2019,2,14,适可而止的放弃至少不会太难堪 你还是会失望 可是依靠在期待里 这穿越山河的箭刺的满世界都是 思念成疾的人在难熬的日子里什么也没有说 不知所措的年纪什么都不尽人意 失恋的人最怕失眠 失去的人最怕遇见,1,熱衷o_,380145952
31,2019,2,8,我的爱，明明还在，转身了才明白。有些歌，真的不敢听。,1,黑夜里闪烁的恐怖,468188988
32,2019,2,6,回不去了,1,_一颗开花的树_,304982021
33,2019,2,4,所有难过都留在今天 明天之后希望我能新年快乐,0,brOxygen,249625994
34,2019,1,27,你欠别人的，终有一天有人给你还回来,0,肉肉蒙,110733851
35,2019,1,18,在网易发评论她看不到   自己的话都在这了,0,疯只人,546766902
36,2019,1,1,初中自习课在听mp3默背歌词 被班主任把歌词抢走 说我每天只知道情啊爱啊 没收了我的mp3 请了家长 那个时候天天想毕业 现在天天想回到学校[爱心],0,TwEety灬灬,278207595
37,2018,12,18,❤❤❤,0,启--程,440207142
38,2018,10,31,我听了十多年了，味道一直没有变，故事缺已经变了,1,澳大利亚电音之王-龙龙,355392758
39,2018,10,25,初恋最美好的回忆全在这mv里 ,1,guanpeng9958,432726844
40,2018,10,7,(⊙o⊙)哇,1,乡村爷夫,359487787
41,2018,9,22,第一次听是小学六年级，那时对青春和爱情懵懵懂懂的我，却听懂了歌词的坚定和悲伤，久久不能忘掉。,0,Kaisummer,124442268
42,2018,9,5,沧海遗珠，我的手机铃声[呲牙],1,盱眙仙道彰,250074713
43,2018,7,25,你要多活一些岁月才知道，你跟某些人之间永远没法斩钉截铁画下一个句号，这情感太深远，是生命里没有尽头的草原。,5,R2D2与C3PO,1330160953
44,2018,7,15,你知道不论怎么样我都不会真的离开，可我对你不像你对我那么自信。,1,Pluto椿,531825144
45,2018,7,6,我高中的同桌多喜欢孙燕姿啊，虽然我们不再联系。但受了她的影响依旧喜欢孙燕姿,1,悦酿不亮,136369788
46,2018,7,6,依然记得，在小学六年级，老师布置作业练习写字，就照着歌词一篇一篇的写，歌好听，字也认真的写。同样，在往返学校的山路上，没人能听见，我五音不全但认真，大声歌唱的我的爱。现在回忆起来太遥远，又感觉很近，时间真是个神奇的东西，让人经历一些东西，忘记一些东西，但也永远铭记一些东西。,4,遇见123go,101147156
47,2018,7,3,转身了才明白，要把幸福找回来，而不是各自缅怀。,1,苏格拉说好没有底,294757227
48,2018,7,1,为什么这么少,2,碧梨的鳄梨,383634033
49,2018,6,5,我把我整个灵魂都给你，连同它的怪癖，耍小脾气，忽明忽暗，一千八百种坏毛病。它真讨厌，只有一点好，爱你,2,柠檬不萌只是酸-M,511055517
