index,year,month,day,content,likecount,nickname,user_id
1,2019,7,24,这首歌超棒！为啥才69！！不能够！！！顶上去！！！,3,LuFfysMuSic,319448615
2,2019,3,7,专辑封面不该是这个,2,DanCingVanGogh,263043497
3,2019,3,2,一张一张的刷，刷到的[开心],0,one_more_chance,373742621
4,2019,2,6,这张专辑绝了,2,_一颗开花的树_,304982021
5,2018,11,11,66评论么？虽然不知道你们怎么找到这首歌的。等评论多起来能告诉我么？,0,木头吃早饭,637918975
6,2018,10,17,王楠是什么玩意,6,AKA翘臀男孩,254786143
7,2018,10,4,编曲 好适合旅途中看着窗外风景的时候听,2,AnlaT_T,1383905019
8,2018,9,17,好听,0,beine-,1364255059
9,2018,5,12,这么好听的锅居然才这么几个评论,2,北兮恋夏,350141770
10,2018,4,30,为什么这么少,0,弗兰克的弗,420298301
11,2018,4,15,[憨笑],0,飞行的电风扇,1415256231
12,2018,3,20,趁评论少抢个前排,0,橘子上校,326722465
13,2018,2,28,[大笑][憨笑][可爱][色][亲亲][惊恐][流泪][怒][撇嘴][吐舌][呲牙][哀伤][亲][奸笑][汗][惶恐][惶恐][生病][口罩][大哭],1,亲爱的玛嘉列,132930104
14,2018,1,9,"把《2her》燕姿的部分按顺序听下来到这一首终于明白她的意图，尽管生活里总有真切的心痛，也总在守候的状态，但她还是要我们明朗起来。总感觉2 her就是:燕姿用她的歌帮我们诉说心事，最后叫我们不要一直悲伤，生活需要欢快一点。
谢谢她的用心，的确特别治愈[爱心]",4,eefiree,51389277
15,2017,12,19,[大笑],0,clytze20,254932041
16,2017,11,6,好听,0,以为很洒脱,133339845
17,2017,11,1,嗯  好听,0,小萧笑晓,506770808
18,2017,9,18,歌词前三句哈哈,6,爱吃螃蟹先生,96588140
19,2017,8,8,恶补冷门歌要按专辑听,3,-我想走了,85104559
20,2017,7,28,渐渐清楚自己想要的幸福是什么。[爱心]坚持每一步！,0,丢了呆了呆,82501780
21,2017,7,8,我没有为你伤春悲秋不配有憾事 你没有共我踏破万里不够剧情延续故事,2,汇砖,260637481
22,2017,6,27,孙燕姿的转音不是盖的,2,白芷老爷,418866431
23,2017,6,24,在电台听到的一首歌 给了我一个好旅途 谢谢孙燕姿,0,呐-呐Na,318459069
24,2017,6,15,燕姿在我心里是女歌手里国宝一样的存在,3,谢小P谢小P,36145223
25,2017,5,29,留名，爱燕姿,0,GarryKurl,61344073
26,2017,5,26,是因为版权的问题，所以刚能听是吗？不然这么好听的歌不可能没评论。,1,凉凉客厅,324274637
27,2017,5,8,评论少的原因是因为刚能听吧,1,一张六加七,276360261
28,2017,4,30,我很幸福。,0,李李李李点点,65962932
29,2017,4,26,我的青春，周杰伦，孙燕姿。我要的幸福，就是你能幸福。,1,我是胖子我爱萌妹纸,67456610
30,2017,3,16,评论呢？？？,0,山神阿瘦,344651166
31,2017,3,4,评论居然这么少，神tm不科学！！！🤐🤐,1,寅寅寅寅寅寅寅,100079966
32,2017,2,6,[爱心]独家的宝贝~,0,那就歌唱吧_,374028749
33,2017,1,30,我要的幸福，还在寻找。我不会放弃。,1,谛听万物,347447323
34,2017,1,12,我也是。,0,帐号已注销,107872392
35,2017,1,7,[爱心]我来自17年，你那？,1,薏93,120592051
36,2016,12,17,韵脚好美,0,碗中绿蚁,304704685
37,2016,11,22,歌词怎么了 特权么  好期待哪天突然看到这种是他对我的祝福 但那是不可能的,4,SakuraLychee,109459944
38,2016,9,25,坚持每步该走的方向（会沮丧）生活是自己的选择，幸福没有束缚，在不远处！,0,此号已维护,337669855
39,2016,9,25,今天很难过,0,梦到黎明亮透,319517753
40,2016,9,23,这首歌没人是因为。。。大家都在听同名专辑吧。。。国外党听不到只能听2her啊。。。T^T,3,Vana蘑菇,82648502
41,2016,8,31,和老友聊天，翻出很久前写的博客，看到年轻时有梦想有干劲的自己，突然好感动，然后很想听燕姿的这首歌，然后居然又听哭了。,0,伯特小夜曲,299103777
42,2016,8,25,"听着歌  像飞起来一下 
",0,大雄你死心吧,278037949
43,2016,8,15,啦啦啦,0,第八天的蝉_,52864345
44,2016,8,7,很有韵味啊，，，，，为何听者那么那么那么少。。。不科学，不合理。[大哭],3,妹妹你大胆往前走走走,59108798
45,2016,6,25,这首歌难道没红？？？？这么好听这么积极上进的歌！,1,大口丁,36224173
46,2016,6,25,看到开头本来想点歌词报错，但是想到这大概是一个人的心意，缩回了手。[爱心]祝福你们。,8,_______子衿,55714731
47,2016,5,15,在为什么而辛苦呢[呆],1,Me_Amo7211,104485522
48,2016,4,29,再见吧 绝望先生,0,邪恶书呆子,104302218
49,2016,4,29,我来了 不早不晚,3,邪恶书呆子,104302218
50,2016,4,22,曾经写在书上激励自己的歌,1,--------ZERO-------,29283268
51,2016,3,23,很喜欢这首歌的mv，mv里的燕姿穿着白色的衣服在旷野里迎着风歌唱。简简单单却实在很符合这首歌的意境。不知道有没有人跟我一样被风吹着的时候有种自己确确实实活着的感觉。哈哈，但一遇到大风天就想作个疯子😂😂,1,一位鸭先知,17412670
52,2016,3,2,这么一大神曲居然没人…记得以前还停火的,0,廖祖康,53542259
53,2016,3,1,歌词开头是个什么鬼,5,网友宝宝,45680250
54,2016,2,15,一入耳就俘获的旋律[大笑],0,黎曼有个猜想,57044337
55,2016,2,14,[强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强][强],0,darxx,2883103
56,2016,1,26,[爱心],1,根据相关法律法规该用户已被注销,64414893
57,2016,1,9,可以,0,愿逐月华流照君丨,116507739
58,2016,1,9,[憨笑],0,恰恰芋泥,88832695
59,2015,12,3,人为什么这么少啊 挺不错的啊[惊恐][惊恐][惊恐],0,小凸小凹,70386018
60,2015,11,30,我要的幸福没有束缚！,1,JohnChoo,99111933
61,2015,11,16,冷门 却好听   ❤️ ,2,cleannow,77868482
62,2015,11,10,很喜欢这首歌,1,123456静静的聆听好听的音乐,98128082
63,2015,11,8,很好听的节奏，人太少了,0,牛肉面不要面哦,68578042
64,2015,10,11,"我还不清楚
怎样的速度
符合这世界
变化的脚步",1,wadsion,83541607
65,2015,8,30,燕姿这首歌竟然才两评论?这个世界怎么了！！！,2,王小三金,52811574
66,2015,8,28,怎么才一个评论啊，我来加一个,0,E-V-Z,86643853
67,2015,7,19,曲子有灵气,0,接下来是什么,45678842
