index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,加油加油加油,0,愿君依旧笑,559237310
2,2019,11,22,13听起来很上头，沉淀过后更加好听。,0,rfmjs,1357855390
3,2019,10,16,本来想给巴尔韦德找个歌单没想到蛮好听,0,我说呀豁你说giao,395301700
4,2019,9,26,哈哈哈西蒙尼guna,1,六月缺二,120961613
5,2019,9,24,深夜听这首歌感觉真是太好了,2,Original源_,68005848
6,2019,9,22,巴尔韦德out,13,Asap_SRIC,480338278
7,2019,9,22,神专《未完成》，首首都喜欢！,0,梦游姿,555864141
8,2019,9,1,真好听嘻嘻,0,也不是猪只打呼,355734135
9,2019,8,28,可惜网易云上没有,1,自然卷都是坏蛋吧,549854503
10,2019,8,28,Mv美哭了,1,自然卷都是坏蛋吧,549854503
11,2019,8,25,这个评论数不科学呀,0,菜小岩,473329892
12,2019,8,23,"all i wanna do
i do it for you...",0,Z___Robin,1653972546
13,2019,8,21,转眼，你大学毕业了。工作加油,2,羊咩咩喂,50148750
14,2019,8,18,接下来，有好有坏，我都接受！,1,孤帆远江湖,28294002
15,2019,8,18,陶笛吧，陶笛的声音特别好听。真喜欢，比如说《中国姑娘》中间的陶笛演奏，还有陶笛版《千与千寻》。,0,Aupa--Atleti,3676156
16,2019,8,8,满满的回忆,0,Lanchony,101406533
17,2019,8,6,让我看得见，我的信念。,0,xtingya,338191920
18,2019,8,4,好听,0,Goon66,122002802
19,2019,8,3,准备每个再见面👄,0,哈哈娃哈哈哈,117113599
20,2019,7,30,中间那段是什么乐器？口风琴？笛子？,0,识刀客,623315109
21,2019,7,30,特别喜欢这首歌 ,0,泓susan,1456199223
22,2019,7,29,这张专辑最爱接下来 未完成 学会 没有人的方向,1,识刀客,623315109
23,2019,7,27,越来越喜欢这些冷门,2,Rtyuioplk,261981695
24,2019,7,23,我们一直在哦,0,左撇子笨蛋,17493502
25,2019,7,20,顶,0,孙燕姿丶,1813871469
26,2019,7,18,听爆,1,没有灵性的阿周,119517518
27,2019,7,17,开头就是底气。all i wanna do   i do  it for you。,0,假的圆子,131347276
28,2019,7,15,我愿意努力，也愿意接受所有,0,重金悬赏失踪的胸,120410296
29,2019,7,9,赞成～,0,夕鹤君,395032870
30,2019,7,9,加油～我们都要加油～,0,夕鹤君,395032870
31,2019,7,7,这张专辑最喜欢这首歌[爱心],1,晴天不能说的秘密,420643215
32,2019,7,6,很奇怪，《未完成》这张我最喜欢的就是这首歌，暖心又展望了未来，希望和友谊永存。,6,amberhupo,117417048
33,2019,7,6,来看看燕姿，想你！高中的三年有你的陪伴！,0,蜜屎郑大坨,133373093
34,2019,7,4,偶尔觉得累 是了解,0,DacoZ,506872244
35,2019,7,2,没听过,0,八九不离食小姐,133898896
36,2019,7,2,一样一样的 还抄歌词 跟着复读机看歌词唱歌，每首歌都记得顺序和歌词 喜欢的歌在A面B面都记得,0,美洛施,1329930475
37,2019,7,1,第五首。。,0,kendy的风筝,362892899
38,2019,6,27,i do it for you,0,mini薄荷糖,282909247
39,2019,6,25,孙燕姿性格一览无余的一首歌 无论是曲还是词,2,十月知望,610352051
40,2019,6,25,越听越好听呢，继续打卡,1,s1ck1000,1471605268
41,2019,6,18,蛮好听诶！,1,Sparrrrk,270935914
42,2019,6,9,出道19周年快乐❤️Stefanie,1,白開水_Stef,63024998
43,2019,6,9,all i wanna do i do it for you❤️Stefanie,0,白開水_Stef,63024998
44,2019,6,7,冷门好歌[奸笑],1,小米糕啊,1436371488
45,2019,6,7,好喜欢,0,眼零,247100789
46,2019,6,5,[多多无语],0,唐某不沾刘女,347702944
47,2019,5,25,姿妈总能让我在各种坏情绪面前平静下来,2,左撇子笨蛋,17493502
48,2019,5,25,不同意从stefanie开始有失水准，一直到克卜勒都是很好的，只有no.13不合格（我认为,0,mathroccck,321013777
49,2019,5,22,我觉得后面的歌质量也不错,0,他-舅,409543249
50,2019,5,21,和贴吧ID一样,0,杨-老八,120709623
51,2019,5,21,大学已经毕业了吧，还记得这条评论吗？,2,杨-老八,120709623
52,2019,5,1,"接下来，有好有坏
接下来，我去迎接，不后退",0,半票清晨,515749052
53,2019,4,30,这首歌评论这么少 不合适啊,0,深深呼吸fate,1547633662
54,2019,4,29,"all i wanna do
i do it for you",1,我是魏胖子,529178480
55,2019,4,27,接下来有好有坏,0,汤汤爱燕姿,263976898
56,2019,4,25,那时候买卡带，用复读机，一张专辑反复听反复听，听到每一首歌都会唱，连歌词都能背下来，连和声都能唱出来……真的挺怀念信息没有那么爆炸的年代，可以专心扎实地做一件事，学一首歌。可是，才不过十年啊！,3,Autism-H,50695673
57,2019,4,24,燕姿和杰伦，八零后的时代,0,宁琅大人,481803345
58,2019,4,13,mp3+1，那个时候磁带已经不常见了,0,May_fisher,1672347857
59,2019,4,7,评论好少,0,冰薪q,353130041
60,2019,4,6,接下来 可好可坏 [大笑],1,雨墨_disc,80205673
61,2019,3,19,同!不过我是用MP3听燕姿的歌。,1,time-will-tell-me,361105773
62,2019,3,14,"作曲：李偲菘
作词：廖莹如
编曲：Terence Teo

已经添加修改，请小伙伴们重新刷新歌词",7,作词_作曲_编曲_MV导演天下第一,546057330
63,2019,3,5,燕姿(｡･ω･｡)ﾉ♡,0,青山惠美_,81814134
64,2019,3,5,燕姿总能把我带回儿时那无知无畏的心境中呢，祝我生日快乐，哈哈。,2,MOONERV,12249299
65,2019,2,28,每首都这么好听,0,s1ck1000,1471605268
66,2019,2,25,编曲很燕姿哈哈哈,1,迷幻shinee,400625173
67,2019,2,21,95年的,0,1984__,34559962
68,2019,2,11,all i wanna do，i do it for you,2,s1ck1000,1471605268
69,2019,1,17,冷门金曲,1,华_筝,15247544
70,2019,1,14,我觉得后面的专更好听啊,2,大吉大利宝宝,545189629
71,2019,1,7,巅峰的孙燕姿唱啥都好听,1,Y淘淘,283975376
72,2018,12,27,燕姿很多歌不是唱爱情~是唱生活，唱感觉，唱心情。,7,等待的三脚猫,425452061
73,2018,12,25,接下来，有好有坏，接下来我去迎接不后退，希望自己能有个好结局[拜][拜][拜],4,Marrrrs,117891569
74,2018,12,25,超级喜欢 隔段时间就想听这首 无理由,2,Fad-off,1623631626
75,2018,12,21,接下来，终于迎来了复习155天后的考试[拜][拜][拜],3,Marrrrs,117891569
76,2018,12,20,"冷门系列真爱粉聚集地，滴，打卡
怎么能这么好听",4,silicon泥,267369216
77,2018,12,18,以前感觉身边粉燕姿很少，还一度担心燕姿不能被大众喜欢,1,一只龙哩,128221954
78,2018,12,11,一hei,0,Jason_Xye,293202154
79,2018,12,9,接下来，祝自己15天后考研顺利[星星][星星][星星][星星],6,Marrrrs,117891569
80,2018,11,28,评论居然这么少,0,s1ck1000,1471605268
81,2018,11,20,初中的生活一下子浮现在眼前 老了老了 哎,0,Osakasun,77209585
82,2018,11,14,好听呀,0,思璐漫漫,65072376
83,2018,11,9,十几年前的歌，现在听全是怀念过去，怀念那一年喜欢过得男生和做过的傻事,1,念舊的峰,49351360
84,2018,10,30,咦，好像没听过，虽然下载了[大哭],0,眸里星河i,478911487
85,2018,10,28,我觉得还好吧，是乐坛整体不行了，燕姿新专辑还是很有水准的，是时候和克卜勒确实有点平庸。,1,彼得潘与狼,261245021
86,2018,10,23,燕姿的歌真的大不如前了，从英文同名专辑开始，一个不如一个了。为什么在最红的时候宣布退出歌坛，真的很难让人接受。不过还是感谢燕姿当年给我们留下的这么多好专辑好歌曲，未来，未完成。,1,爱生活爱燕姿,560609259
87,2018,10,22,接下来或者接不下来，活着或者死亡,0,丶乛o乛丶,356414662
88,2018,10,20,过了执医考试，接下来。。。,1,going_up_stef,372536854
89,2018,9,22,生活总是会慢慢慢慢慢慢慢慢慢慢好起来的[憨笑],5,簌暮云,1535202251
90,2018,9,12,接下来有好有坏，我都会去迎接,3,FAKINGRID,380794258
91,2018,9,9,冷门金曲,0,今天美好且平凡,551345119
92,2018,9,8,燕姿每张专辑都很有概念,1,FAKINGRID,380794258
93,2018,9,4,接下来有好有坏，我只要记得起点,3,自由行走的花姐,257247794
94,2018,8,27,燕姿的每一首歌我都听过， 每首歌都好听[憨笑][憨笑][憨笑],3,O_oHULLO,343829645
95,2018,8,21,当一切从零开始,2,滑天下之大稽乂,449291978
96,2018,8,18,好听啊，可惜只有少数人听到,1,windbreaker风衣,1482000199
97,2018,8,10,我在贵阳，等你燕姿,3,小小小小小的橘子,85533246
98,2018,8,5,👊🏻,0,林34,400839327
99,2018,8,3,🎧,0,_诗芊,81037679
100,2018,8,1,小时候听的歌常听，现在再听也好听,0,懂事的女孩没人疼,344154386
101,2018,7,31,接下来，还是燕姿,0,奇奇奇奇奇奇乐园,334895512
102,2018,7,30,儿女双全，恭喜燕姿,1,朱一金,626735320
103,2018,7,28,接下來，你要去哪？,0,布鲁斯37号,454262282
104,2018,7,28,燕姿四十岁生日快乐,1,夏小莫,869908
105,2018,7,25,all i wanna do i do it for you,0,雨天遇见隐形人,53055789
106,2018,7,20,初中每次英语听力考试之前试音就放这首，听了三年，终于找到了。阳城三中。,1,the-deer-and-the-crane,318302729
107,2018,7,1,[亲亲],0,我和孙燕姿,100853806
108,2018,5,28,老歌越听越怀念，逝去的那些时光啊，好遥远。,0,水草肃KG,50912230
109,2018,5,25,这张专辑真心好多好听的歌，回个头值得听,2,此间的少年waw,251295053
110,2018,5,25,前奏想起，思绪全都回到过去……,0,33轉的LP,630862795
111,2018,5,23,接下来听你唱到80岁吧,2,Ro1030,90652954
112,2018,5,15,早上起来忽然想哼这首。,0,雨还是不停地落下_,100825170
113,2018,5,11,火锅米线店听到的，然后翻了她几张专辑才找到[大哭],1,扮了解,367524077
114,2018,5,7,你不主动的话 我可以积极一点 你脾气不好的话 我可以耐心一点 你说养不起我 我可以少吃一点 可是你说有喜欢的人了 我就一点办法都没有了呀,1,Fishk1ki,415187405
115,2018,5,7,mark,0,无语的自白,101941920
116,2018,5,1,接下来好好生活,0,我为姿狂,264088748
117,2018,4,29,好爱的一首歌啊,0,33轉的LP,630862795
118,2018,4,27,可以的话，还蛮想看的[呲牙][呲牙][呲牙],0,CHENYUDAN--,279712105
119,2018,4,27,手机录的 画质一般般 确定要看,0,訾央伪装小漠漠,247480354
120,2018,4,23,[呆]好听,0,張_贰,42585757
121,2018,4,23,日推[呆],1,張_贰,42585757
122,2018,4,22,接下来!我去迎接!,0,赟光,454310581
