index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,具体时间还没定(~_~;)官宣约,0,JOMOooooo,513609879
2,2019,11,22,具体时间还没定,0,JOMOooooo,513609879
3,2019,11,22,多久,0,青衫褶北,268791961
4,2019,11,21,这首歌一点都不冷门呀,0,科尔尼的小铁匠,109331142
5,2019,11,20,嗯 明天晴天☀️,0,小虎失踪了__,28679259
6,2019,11,18,几月几号，什么时候，有兴趣，Maybe we can go together ,0,宝鱼子,270029522
7,2019,11,17,超级好听,0,一个玥亮,124647829
8,2019,11,16,明年成都燕姿巡回有一起约的吗？认识下[可爱],2,JOMOooooo,513609879
9,2019,11,16,爱不好的我们 还能迎着阳光 一步一步来,0,XQ0823,489797899
10,2019,11,14,毕竟路上有你作伴，就有幸福的预感,0,Lynette_Gao,1316226681
11,2019,11,14,每次听到风风雨雨依然相信明天会有晴天那一句心总会颤一下,1,一个人对话__,2016649766
12,2019,11,14,混响好评,0,阿甘不甜,37306339
13,2019,11,7,我一直以为第一句是“”守着我的魔镜，越过一座森林[惊恐],0,绿色袜套123,1677212731
14,2019,11,3,明天晴天➡️天气之子（无端）,3,双子_faye,626804992
15,2019,11,2,加油。,0,kirakirabushi,61668196
16,2019,10,25,昨天的日推偶然听到的，淘到宝贝了，太喜欢了,0,你和阳光都在kk,291463499
17,2019,10,24,这是我买的最后一张实体专辑。,0,Leolllllllllllllll,56970515
18,2019,10,20,特别特别喜欢的歌，是别人听不懂，分享不了的歌,1,__水汀___,1649769254
19,2019,10,19,你们都睡了吗🌚,0,sw灬w,137511554
20,2019,10,12,完全信任，从容，淡然，不浮躁，应该就是幸福的秘诀,2,钥匙tt,102355058
21,2019,10,12,我爱你,0,stef虎牙,86952410
22,2019,10,8,我乐意。🙂,0,也不是猪只打呼,355734135
23,2019,10,8,怎么哪儿都有你,0,Boogaloo木子_EnjoyDancingCrew,374158428
24,2019,10,8,毕竟路上有你陪伴,1,呀呼-0,633560830
25,2019,10,3,没有我了,1,也不是猪只打呼,355734135
26,2019,10,3,呜呜呜好好听啊啊啊啊,0,也不是猪只打呼,355734135
27,2019,10,2,燕姿作曲，实属不易。,0,EDG_Clearlove10,489173588
28,2019,10,1,今年的冬天要到啦， 要穿的暖暖的呦！,0,炸苹果圈,117167621
29,2019,9,23,明天晴天，迎着阳光一步一步来,2,1暗里着迷_,1735172410
30,2019,9,21,好听的！！！！冷门金曲！！！燕姿亲自作曲～,2,blueberrypie,41491137
31,2019,9,21,还是燕姿亲自作曲！！！！,0,blueberrypie,41491137
32,2019,9,20,算冷门了吧,1,miaomiaoaowu,253092743
33,2019,9,19,明天晴天,1,会吹泡泡的鼻子,1436773365
34,2019,9,19,🤧🤧🤧好听,2,cycoxo,725292
35,2019,9,18,奇迹留给别人  因为已经有你,0,账号还是注销吧,17481219
36,2019,9,18,我好羡慕孙燕姿瘦杆的身材,1,jxj218555,360326790
37,2019,9,17,日推给我的！！！开心[呲牙][呲牙][呲牙],1,潜水大鲸鱼,476471883
38,2019,9,13,明天晴天。,1,就一杯可乐,318602988
39,2019,9,10,"今天的这首日推很适合心情
虽然今天广州很热
希望下雨凉快些
心情却要放晴
晚安😊",1,刘喵_Susie,309518428
40,2019,9,9,毕竟路上有你做伴,0,过往云烟视而不见,305289320
41,2019,9,7,奇迹留给别人  因为已经有你，莫名觉得好浪漫,0,我不难过只是为什么眼泪会流,346043023
42,2019,8,29,毕竟路上有你作伴，就有幸福的鱼干～,4,WJ15消1904,53554536
43,2019,8,26,大四开学的第一天，睡不着啊，希望明天是晴天，有风，不会热，希望爸妈好好在家等我，希望  一直有希望。,1,没樱桃的笑丸子,442521602
44,2019,8,24,层层递进,1,CorgiShen,78305386
45,2019,8,18,睡不着起来听这首歌，一遍接一遍停不下来了怎么办！在线等，急！！！,0,孙燕姿丶,1813871469
46,2019,8,15,燕姿作曲，赞[爱心],0,霉头霉脑云散月现自在飞花slay,42294326
47,2019,8,11,失眠必备安魂神曲，不管你的白天过的有多难，这首歌都会给你一个良夜,1,车啊车车车啊,359494529
48,2019,8,10,很多人像我这样，听但是不评论，只点赞,2,Jane静安,632011289
49,2019,8,9,明天是暴风雨,3,CorgiShen,78305386
50,2019,8,5,从来没看过演唱会，谁带我去看孙燕姿演唱会，我就想跟她一辈子。,2,任尔东南风,342140238
51,2019,8,4,童话,0,Egnops,50034052
52,2019,8,1,我现在感觉特别魔幻。很久以前我中学暗恋的小帅哥分享过这首歌，那个时候我为此第一次听了这首歌，分析了很久。然后今天我大学喜欢过的人也分享了这首歌，我？？？难道我喜欢过的人之间有什么共性吗[大哭],2,八莫君,46880556
53,2019,8,1,燕姿作曲的歌都有一种娓娓道来的感觉 最喜欢 任性,2,借我半盏灯,107982595
54,2019,7,30,爱不好的我们，还能迎着阳光一步一步来……,3,对方正在输入8724,549961051
55,2019,7,29,《明天晴天》由孙燕姿创作，听起来很温暖。配器中使用了竖琴，以自由的拍子演绎出个人的作品，贾敏恕在这次的合作中充分发挥创意，徐世珍为孙燕姿创作填词。,4,识刀客,623315109
56,2019,7,28,居然没听过,0,HAOKU-,294640947
57,2019,7,26,爱燕姿,1,跳舞的梵谷yanzi,318974517
58,2019,7,24,我们走得好慢好慢 ,0,妙妙梵,408181381
59,2019,7,20,每次听都觉得自己到了森林里,1,卷袜子,278370332
60,2019,7,18,人间怎么是这个样子的。[开心][开心],0,Death梦,1433463490
61,2019,7,14,这样的编曲在十多年前非常前卫吧,1,听雨说1994,89996501
62,2019,7,13,卡,0,Chertime,83946830
63,2019,7,13,最近一直下雨,1,XAirowoll,134484757
64,2019,7,8,实属不易,0,拉布拉卡宝儿,45771060
65,2019,7,7,宝藏歌曲,2,yico的宝贝,315573225
66,2019,7,6,那是真的喜欢你,0,whisperfly,131575731
67,2019,7,6,"与你作伴,hug.",0,熊了个蛋,3406344
68,2019,7,5,昵称亮了,0,Jay爷,600324080
69,2019,7,5,那个男的喜欢你,0,Jay爷,600324080
70,2019,6,30,突然想起来这首歌的名字，以前真的不知道循环播放了多少遍，有些莫名的伤感,1,軬焽,251691535
71,2019,6,24,"读高三时我生日，一个男生送了孙燕姿所有专辑的磁带，还有各专辑一张CD,孙燕姿海报，一条🧣。现在已经过去15年[大笑]",4,海盗7号z,381001273
72,2019,6,24,想我的晴天 他真的不要我了,0,ClaraSchumann,415821731
73,2019,6,20,你就是奇迹,2,KimicoQ,126318305
74,2019,6,19,每次都卡不到节奏的路过,1,来世做个凡人吧,432742197
