index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,高中从磁带机认识，大学心情低落的时候总会听，毕业多年后很少再回味，大概跟自己也一起迷茫迷失了吧，再听虽不是物是人非，但总要提醒记住过往的心境,0,loztzol,1365419481
2,2019,11,18,今天星期一 天气阴 我离开了她 想了一个星期左右，没有了当初的意义，对她的好变成了她分手的理由 再妥协无数次也没用  做好了准备再也不去找她  再见,1,风衣syz,619438249
3,2019,11,17,周日，阴天，冷空气，等通知，焦急，不安，天气预报说冷空气会吹走持续一个星期的雾霾，可是怎么也带不来你的消息。,0,账号已注销嫑,7369036
4,2019,11,15,害 星期一在一起 星期一分手 ,0,阿航Yuuu,1471610889
5,2019,11,11,周一快乐 请你今后洒脱一点 。,0,茜茜茜嘻嘻嘻,82134956
6,2019,11,7,daka,0,潜水大鲸鱼,476471883
7,2019,11,6,最怕突然开始听懂一首歌,0,飞虎的王,1350691939
8,2019,11,4,一直在离开,1,sonlystef,42401023
9,2019,11,3,有没有觉得这首歌中间有一部分好像杰伦某首歌,1,Hanzyyyy,113410022
10,2019,10,29,星期二，天气晴，突然想念你,1,小5Yvonne,94906007
11,2019,10,28,2019年下半年的第一天7月1日星期一，所有都是新的，我离开你,2,一只拉朵,249655574
12,2019,10,23,我没行李,1,绿水悠悠1708,562044240
13,2019,10,21,今天又是周一,0,在-也不会见,263534933
14,2019,10,21,太好听了，,0,alpha-being,1490650432
15,2019,10,20,85‘,0,JAMFER1985,48900308
16,2019,10,19,83年?,0,克里斯蒂爱乐,2808223
17,2019,10,19,我也想起了高中时和几个女生一起high唱孙燕姿的歌，突然好怀念当年的学生生活，一晃10过去了，不知道她们还好吗,1,朝花夕拾下呐喊时的彷徨,433845606
18,2019,10,18,再见。,0,一碗蛋黄酱,123722587
19,2019,10,17,2009 10.17.9:29 孙燕姿 星期一 天气晴 我离开你,0,识刀客,623315109
20,2019,10,11,"这次前奏居然听出来NANA的感觉, 哈哈",1,小雪人的纽扣啊,322794166
21,2019,10,7,听yanzi快20年了，很难想象小小身躯里如何爆发出如此气息十足的声音。休止符、超快感、直来直往、坏天气……一首首曾经的歌曲从脑海飘过,3,吉卜力精灵,1346236272
22,2019,10,7,这是他最喜欢的歌手,0,魏喂喂a,541194079
23,2019,10,7,抒情唱得柔情，摇滚唱得坚定，这就是洒脱的燕姿。独此一家，难以复制。,1,Islandofcyril,48634536
24,2019,10,7,@菊花漏风 ,0,被猪咬了,63018318
25,2019,10,4,2001！🎉18年前熟稔的歌今天我还能完整唱出来，我们的青春年少😭燕姿我依然好爱你！！！❤️,2,卡特尼,50917285
26,2019,10,1,今天周二 ,0,SINKAIKO,100160201
27,2018,1,2,感情这件事 真的很容易把本来的自己弄丢了 什么时候我变敏感 变小心翼翼 变得容易不开心了,1,不糊的自救手册,399467798
28,2017,12,25,"爱情很烦, 哎...爱自由",0,信仰啊cc,47785685
29,2017,10,16,星期一，天气绵绵雨，我要到了你的联系方式。,3,柿八年,345413459
30,2017,8,2,点开燕姿的歌  总要搜索一下 才找到这首歌    你好吗， 我这里天气 晴   你那里呢 ,0,耳朵借我Anzz,117332155
31,2017,3,8,生活中会遇到对的人的 不必得要在网易云音乐上找未来男朋友——也许他用QQ音乐呢[大哭],0,Jake宅客,41410230
32,2017,1,16,攒钱买的第一张孙燕姿盗版专辑里的第十七首歌，怕姐姐笑话我喜欢孙燕姿，只好等家里没人才敢偷偷拿出来听，快十年了,0,hanimal,269609516
33,2016,11,8,每周二微博发福利😂😂😂,1,成小姿S,84991554
34,2016,9,25,千万不要星期一分手 最近我们的感情有些脆弱 你上次给我眼神的评论点赞 每条都点赞很感人 上次是100天的时候评论能到十一，这次希望我们都坚持到一周年❤️,0,夏天的夏____,116216042
35,2016,7,18,南京南，下着雨，其实我自己都不知道这还不是永别，以后还能不能再见,0,最爱的是荔枝呀,100045899
36,2016,6,19,说离开你很多次 周一周二周三周四周五周六周日 可不知道什么时候 真的离开了,0,啊噗l,1218635
37,2016,5,19,网易云微信公众号，推送了这首歌,0,侧面的凌同學,72884851
38,2016,5,15,公众号来的[大笑],1,林仔仔的林丶,2742005
39,2016,5,14,"突然的负面情绪，紧张不安，有时候很想遇到一个人，有时也在想，我什么都和朋友们一起熬过来了，你凭什么在介入我的生活，不如单身一辈子吧，还好，还好，我习惯了，步伐也慢慢稳定,无论那些过去，未来，起码我想成为爱我的人的骄傲，不念过去，不畏将来。别怕，你得记得那些感动",0,袁雅卿,259845206
40,2016,5,4,你用实际行动告诉了我们“年轻人多听音乐多做事，少装逼啊”[大哭],2,吖鱼Eu,52979951
41,2019,8,26,星期一 天气晴 我离开你,2,也不是猪只打呼,355734135
42,2019,8,25,我想逃离 在每个星期几,3,tsuki在心里,625635078
43,2019,8,20,燕姿专辑的封面，超好看。如果我是男生，我会喜欢燕姿这样的女生。,1,番薯跳海海蓝蓝,101039567
44,2019,8,20,不管星期几 不管晴不晴 你都离开我了,2,藕妹pp,252153965
45,2019,8,19,要说放手我怎么轻易做得到,0,背对彩虹,44433818
46,2019,8,13,这首歌这么好听！！！,2,晚九点门口的喵,384417907
47,2019,8,12,今天星期一 ，就要听，星期一天气晴，我离开你，为了这首歌，我特意等到了星期一,2,识刀客,623315109
48,2019,8,9,正好周一，天气也不错，你离开了我,2,y二狗子啊,299444743
49,2019,8,8,偶尔问候，偶尔关心,0,JAMFER1985,48900308
50,2019,8,8,确实如此~,0,喜多先生,413359641
51,2019,8,8,倔强的声音,0,赤绿青黄,134352481
52,2019,8,7,不光是星期一，星期三也很难过,1,lonozhi,399607151
53,2019,8,6,星期二了,0,豆不逗阿,326380071
54,2019,8,5,星期一的每日推荐,0,是螺纹呀,59982102
55,2019,8,4,第一版磁带就是孙燕姿的这个专辑  怀念啊 小时候,0,花莫笑丶,514517742
56,2019,8,3,[多多无语],0,唐某不沾刘女,347702944
57,2019,8,2,星期五天气晴我离开你,0,遇见更好的自己e,494674274
58,2019,7,31,伤心让人不想爱自己,0,top_Aprilworld,1303520511
59,2019,7,31,阴晴不定 。,0,要COOL哈,438368929
60,2019,7,30,分手快乐 再也不想回头,1,Dorrfn-,76229669
61,2019,7,30,蓄谋一场离开。,0,-后来呢w,557741498
62,2019,7,29,长沙，星期一，天气晴，我真的离开了他。,0,木心山石,1403121485
63,2019,7,29,今天星期一,0,我正经799,129203055
64,2019,7,29,我也很喜欢这两首[可爱],0,流浪的派派大星,467134189
65,2019,7,27,突然就下了决心,0,11199811,634112513
66,2019,7,23,伤心让人不想爱自己那么也只好暂时不爱你,1,Ivebouncedback,77811015
67,2019,7,23,我要的幸福是张宝藏专辑啊！！！,0,李小手1705,479407259
68,2019,7,23,2000年的歌，那年我十岁，今年我三十岁了，感觉一眨眼。,6,Ba龙四,474072518
69,2019,7,22,今天日推，哈哈哈星期一,0,椅子一把打在我臉上,316256711
70,2019,7,21,你们还是朋友吗,0,lxe17,603179544
71,2019,7,19,一开口以为是jolin。打开看是燕子,0,lkl鱿鱼丝,80675315
72,2019,7,18,星期六 天气雨 我离开你☔,0,迷之麻辣鱼,355156565
73,2019,7,17,天气预报主持人孙燕姿,0,Y淘淘,283975376
74,2019,7,16,今天星期二   天气雨   我离开你,0,林凉九,291876531
75,2019,7,15,星期一 天气晴 我没有你,0,元气少女小盖盖,246268178
76,2019,7,15,今天刚好周一,0,那么我是谁呢_,267168638
77,2019,7,15,遗珠！我怎么没听过这首。,0,云起云洛,2820000
78,2019,7,14,愛這個[呲牙],0,一个有着80后情愫的90后,47638914
