index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,我的25岁会是什么样的呢,0,aaninen,80107856
2,2019,11,27,一直都听不懂燕姿的这首歌。,0,難得一堅,645761304
3,2019,11,26,期待五年后  25岁的自己,0,霓詤,407412453
4,2019,11,26,不知不觉已经长大了，但还未完成。,3,圣诞节会下雪吗I,479477158
5,2019,11,26,确认过眼神，是一家人！,0,江沐溪嗷,1675882968
6,2019,11,25,第一次听 觉得25岁离我好远,0,7doR,513743190
7,2019,11,24,一样,0,sunsuntay,288918787
8,2019,11,24,还有飘着，同类，咕叽咕叽，祝你开心……和好多热门歌曲，我现在歌单都是姿妈，因为一个宝藏找到另一个宝藏,0,佳木芊眠,1393659022
9,2019,11,23,为了肖战而来听这首歌,5,猪猪男孩180422,1436615008
10,2019,11,23,哥哥！,1,秋未meone,468061867
11,2019,11,22,哈哈哈谢谢～但是我也是很喜欢燕姿第一个喜欢的女歌手哈哈哈,0,顾飞蒋丞_W,1546181659
12,2019,11,21,日常忘词肖憨憨[鬼脸][鬼脸][鬼脸],0,阿阿阿至,298867745
13,2019,11,21,这张专辑当年不知道听了多少遍,0,萌小鲤鱼妞,60731100
14,2019,11,21,听了战哥推荐来的，开始想马上自己25岁了要怎么样啊 惆怅,7,不Q李,80045804
15,2019,11,21,小时候总想25岁会是什么样  转眼… 又很想回到以前 好像一直在做选择 又好像被时间推着走 其实也不错,1,不Q李,80045804
16,2019,11,21,热爱可抵岁月漫长,2,聆听的al,1454640245
17,2019,11,20,25岁的我，歌词来《未完成》专辑里的《年轻无极限》,1,另-张脸,56020714
18,2019,11,20,转眼就25了，该长大了吗？可我还没准备好，要假装自己是个大人了~,0,BLUELUE--,290733174
19,2019,11,19,哈哈哈，还有五年,0,迟1830,1355732554
20,2019,11,19,确认过眼神，是磕cp的人,1,luckyvicky,82473053
21,2019,11,19,因为战哥专门来搜这首歌的，刚好25岁的我。,3,太后hou,246959563
22,2019,11,19,期待25岁的我，在喜欢的大学读研,4,xfxydynl,413838575
23,2019,11,19,跟着肖战听歌哈哈哈哈哈哈,5,纠结症er,1526462507
24,2019,11,19,听听哥哥推荐的未完成,5,缓缓飘羽,1451406042
25,2019,11,19,优秀的果儿[亲亲],1,-琑儿-,581365134
26,2019,11,19,嘻嘻,0,cccinnamon,299182413
27,2019,11,18,跟着哥哥来听,5,再坚持一下好吗,611794768
28,2019,11,18,小飞侠们，180度好听,8,花花飞侠,437689147
29,2019,11,18,他是孙燕姿的十月份吧，因为他听了好多燕姿的歌，在此之前我最爱的是天黑黑，现在变尚好的青春。,1,Taina_Liu,383125533
30,2019,11,18,跟随战哥而来,6,哎懂卡而,1426354188
31,2019,11,18,果子,0,雪襾,120576020
32,2019,11,18,没有后会无期 我们来日方长❤️,4,LLLYJrrr,264615429
33,2019,11,18,啊啊啊燕姿姐！,2,大壳家的暖阳,1771432212
34,2019,11,18,是啊,0,可恶我6二模提莫泼猴我送她,1927724235
35,2019,11,18,他真的好喜欢燕姿啊,12,cccinnamon,299182413
36,2019,11,18,《未完成》这张专辑里出了燕姿说最难唱的歌《我不难过》，这首歌需要投入太多的情感，所以很难。另外强烈推荐本专的《神奇》《了解》《永远》,6,逃亡的kepler,104111830
37,2019,11,18,未完成整个专辑是彻底让我沦陷在燕姿世界里的神转,3,错生不错过,422192437
38,2019,11,17,喜欢的男孩让我们相遇啦,9,Aloha__-,564259611
39,2019,11,17,我喜欢的男孩子喜欢的歌啊❤,10,洛九辞,126034777
40,2019,11,17,是小赞啊。,0,肥偿稀饭你,1512830091
41,2019,11,17,他喜欢的 我就来听,6,BigBang向日葵,246696233
42,2019,11,17,我爱的那个男人推荐的[亲亲]赞,7,W南悸安涼M,115369513
43,2019,11,17,刚过完25岁生日不久，因为有个男孩喜欢燕姿姐姐的歌,7,斑马Y斑马,381522416
44,2019,11,17,小赞推荐[色],5,double-n,134077184
45,2019,11,17,是的,0,暮至明,94756999
46,2019,11,17,未完成,0,首阳元七,505238094
47,2019,11,17,25岁过一半了,0,l_ynnnnnnn,119053711
48,2019,11,17,你很有眼光,0,克卜勒乐精灵,36984278
49,2019,11,17,战战推荐来的,4,战赞DAYTOY,445497847
50,2019,11,17,因为一个男孩爱上了燕姿姐,7,肖战是什么神仙男孩啊,1363799797
51,2019,11,17,男神喜欢的歌支持,4,六尺巷的戒,442659754
52,2019,11,17,今晚战战会唱呀😁,0,爱吃火锅的大西瓜,1958369155
53,2019,11,17,25的我遇到了你,0,-斯木,76689631
54,2019,11,17,好有品位,1,Islandofcyril,48634536
55,2019,11,17,这首歌也是姿迷的心头爱,3,_吴子诚,275017518
56,2019,11,17,距离25岁，还有3年，3年继续爱你,0,夏木木白,437179698
57,2019,11,17,期待自己的25岁鸭!希望那时候的自己雷厉风行，事业可以稍微稍微有所成，自己的爸妈都还好好的，子欲养而亲还在❤️,0,羽毛0627,1374529096
58,2019,11,17,刚过了25岁生日的我,0,vivi是天秤梦想家,67179118
59,2019,11,17,这么多年了，还是如此喜欢！,0,晶不子_jingbuzi,1335142411
60,2019,11,17,小飞侠，来安利燕姿老师了！,4,薇薇12336489,1324284166
61,2019,11,17,25岁不远了 鬼知道我在干嘛 顺其自然吧,0,傲娇DAYTOY,402340186
62,2019,11,17,小飞侠,1,独独荏苒,504288902
63,2019,11,17,来了 期待25岁的我,1,_肖战一起走吧_,317185089
64,2019,11,17,战哥推荐来听听,2,槭枝n,443305498
65,2019,11,17,呜呜呜我永远喜欢你燕姿我永远喜欢你！！！,0,漂浮群岛et_moi,101098936
66,2019,11,17,是的,1,TOO-OO,296090497
67,2019,11,17,第一次听燕姿的这首歌 好好听！！,1,Yicoii,261874531
68,2019,11,17,跟肖战哥哥过来的,1,我有糖想给你,466525669
69,2019,11,17,慕名而来，姐姐唱的真好❤️,1,啊我的鱼头不会秃的,89732364
70,2019,11,17,肖战指的是未完成专辑里，年轻无极限那首歌哦，里面有歌词25岁的我有所不同,7,反过来走走哇,327679681
71,2019,11,17,一只肥虾特地来康康,1,玖_樾,1587435862
72,2019,11,17,期待我的25岁呢[多多大笑],1,夜阑w,302257134
73,2019,11,17,期待明年的25岁，有所不同，收获现在努力的成果,0,巴桑夜雨,272832673
74,2019,11,17,要开始成长起来 对自己负责任了 未完成 永远有期待,0,橘红的橘,269496910
75,2019,11,17,千万不要带哥哥名字阿 哥哥喜欢尊重燕姿姐 我们也要尊重阿,5,oFbra_,529450678
76,2019,11,17,26岁刚刚过去，25岁的我再见了,0,排骨stew,91344449
77,2019,11,17,从肖战那听到的歌名，羡慕你们那个年代有这样别致又洒脱的编曲和声音流行。,5,悠客啦啦,92573440
78,2019,11,17,快要25岁的我，未来能像哥哥一样在自己的人生闪耀吗,2,一只清酒酒,112119876
79,2019,11,17,二十五岁的我也会像他一样闪耀吗？不管怎样我都会努力向你迈进的！再见的时候，我也一定会更加挺拔,0,愿你如月入我怀,1597566358
80,2019,11,17,今年本命年！24岁了,0,666Alisa,1361605512
81,2019,11,17,期待我的25岁,0,Dannnnnnne,117591195
82,2019,11,17,今年25岁了,0,posy1808,1554284876
83,2019,11,17,刚好25岁的我……,0,觅桢已经疯了,339500258
84,2019,11,17,那我也希望是 听到燕姿歌的人可以将之小心收藏细细安放[多多大哭],2,燕姿_0723,309384507
85,2019,11,17,【那个男孩的歌单】,3,-一颗橙-,304412569
86,2019,11,17,期待25岁的自己，能够像你一样勇敢去闯💪🏻我喜欢你啊❤️,0,萧槿烟,455283694
87,2019,11,17,我也很期待我的二十五岁💕,0,卡卡Five,1991716042
88,2019,11,17,大家不要在这里刷哥哥名字哟  要尊重前辈,7,犹怜君眉山,532517880
89,2019,11,17,对。因为喜欢的人喜欢这首歌，所以更想好好的听好好的感受。想着那时候的他喜欢这首歌的心情。,4,一坨废喵,541884340
90,2019,11,17,肖战爱的歌♥️他二十五岁之前听过的、思考过的歌词♥️,0,A_Gao,76576515
91,2019,11,17,03年，我的天阿。那时候我才十岁。,1,一坨废喵,541884340
92,2019,11,17,再过几个月就25岁啦,0,竹子园,119043645
93,2019,11,17,从现在开始努力积淀的话 希望我25岁可以更好吧～！,0,琪儿琪er,130008661
94,2019,11,17,好歌值得更多人听到,0,yyyyyyyllllllll,52507485
95,2019,11,17,真想陪25岁的你一起看星星🌟⭐️🌟⭐️🌟⭐️,1,大碗螺蛳粉啊,515392104
