index,year,month,day,content,likecount,nickname,user_id
1,2019,11,21,等等 燕姿的偶像是星爷[多多大笑][多多大笑],0,科尔尼的小铁匠,109331142
2,2019,11,9,来了来了,0,我就要叫等等,248869051
3,2019,11,7,一个人开车~~一个人听歌~~,0,卡美洛之王,1570318234
4,2019,11,6,面对新生活。,0,我丑到你了吗,249673228
5,2019,10,24,李洁李洁,1,丧一狗_,1698272082
6,2019,10,9,来了！！！！！！！！！！！！！偶像的偶像,0,树枝与猫,618581985
7,2019,9,28,哈哈哈哈！！！刚想评论这个，太可怕了，我还在图书馆，响得这么大声那得尴尬死了,0,阿劼_,1908468887
8,2019,9,24,歌词多姿 多彩中间空格谁注意到了,2,vfvbbccxvg,1570192506
9,2019,9,19,好听,0,你不吃肉吗,636821034
10,2019,8,25,歌听多了也会可爱,0,堪堪余生,505081054
11,2019,8,23,累评论来了,0,Sammy-李曼,630006963
12,2019,8,22,我开了,0,徐佳凯的备份生活,3780133
13,2019,8,14,大多数时候都想一个人待着,0,WZLaaa,296476130
14,2019,8,8,2020演唱会约起，爱你们呦,0,将军领,387504811
15,2019,8,6,一定要看mv呀，笑死我了,2,我很鱼块,125768521
16,2019,7,30,最近无敌喜欢这种活泼的曲风,0,阿津爱听歌,386269509
17,2019,7,30,太好听了！！！,0,___root___,45043561
18,2019,7,28,好慌啊 要上学了,0,涛涛涛涛涛涛涛涛啦,110928472
19,2019,7,22,好棒😄,0,nidemingzi你的名字,586048443
20,2019,7,18,这是我儿子的画[开心],3,Willsonmm1706,487278954
21,2019,7,16,"今天又看到一只蟑螂，
我没有怎么叫，
而且把它打死了，
快准狠，
我是不是坚强了一点？
我是不是很厉害？
快夸夸我。",3,睿rai,413941092
22,2019,7,16,看你头像，现在因该也很又动力呢[呲牙],0,灬哈库拉玛塔塔,115640520
23,2019,7,14,饿着肚子听感觉更饿了[流泪],1,天涯木桩,318254408
24,2019,7,13,冷门不火系列哈哈哈,2,以为很洒脱,133339845
25,2019,7,12,前排 我想上一次热评[憨笑],1,记住曾经为她做过说过的别忘记,1300562896
26,2019,7,12,应该会火，前排留名,3,是你媚眼动人,423985801
27,2019,7,12,为什么才这点评论,0,king沿途,516972885
28,2019,7,11,期待是种色彩,0,凌元气,509569683
29,2019,7,11,前奏真的以为我饿啦，肚子在叫的声音🌚,0,熙楠源,1490803016
30,2019,7,10,我对未来充满了迷茫，不知道该如何选择，还是走一步算一步。,1,羊角花开你在,320622062
31,2019,7,8,广告来的。。 这歌这么冷吗,0,吔男魔蕉,352321605
32,2019,7,2,多姿多彩[憨笑],0,啊梵谷啊,605928231
33,2019,7,1,那时的她多年轻多有活力啊 我也是呢😉,0,Willsonmm1706,487278954
34,2019,6,25,也是听了会跟着晃系列,0,s1ck1000,1471605268
35,2019,6,20,咕咕咕,1,梦幻病,1457618662
36,2019,6,20,我还记得逆光演唱会上燕姿和一群肌肉男边唱边跳,2,没人比我更爱韶涵和燕姿,1332471327
37,2019,6,19,燕姿可以豪迈潇洒、可以柔弱温婉，长相出众，完美,4,Maolpp,72750651
38,2019,6,10,未知的岁月 有多么多姿多彩 ,1,白開水_Stef,63024998
39,2019,6,2,我的情人，我的爱~~燕姿，我爱你啊 ，你知道不~~~爱你~~爱你~~爱你~~喜欢你~喜欢你~~喜欢你~~如果有下辈子还要喜欢你~~~~~ 喜欢燕姿的 顶我上去~~[爱心],1,我才叫大琦,103099935
40,2019,5,23,宝宝加油 虽然未知 但一定精彩,2,999里有一个我,120605470
41,2019,5,23,特别收录，可以理解为当时买专辑送的曲子，可以不看做是完整专辑里的部分,0,童小童310,258268402
42,2019,5,23,越听越好听,1,枣糕少女宋觉觉,116531378
43,2019,5,20,未知的精彩，自己主宰,1,盼小滕,590072690
44,2019,5,20,我现在需要欢乐,1,匆旅,371046606
45,2019,5,16,好听爆炸！！！,1,HARUKO_吖,1380471762
46,2019,5,14,才发现好好听,1,YZKEPLER,42348015
47,2019,5,13,Bonus Track 是什么意思,0,ichigoichiex,345663181
48,2019,4,28,当年听这张居然漏掉了这么好听的一首！,2,步颖随行,129808722
49,2019,4,27,6*6*6#闵玧其0309生日快乐#,1,DDBBZ,312234137
50,2019,4,25,燕姿没有冷门歌曲,3,小宝Alex,7550628
51,2019,4,25,好好听,0,小宝Alex,7550628
52,2019,4,20,xixi,0,李BOXIAN,339982802
53,2019,4,20,她的歌总是给我力量，希望以及坚持。,2,ylowen524,620262948
54,2019,4,17,好,0,Ed1son--,279253821
55,2019,4,7,明天调研考试，加油！赶作业去，溜了溜了,0,Shawnie_Xayah,1654157208
56,2019,4,3,未知的日子，请你喜悦，就想春天的暖风[可爱],0,A-Seventee,17887467
57,2019,3,28,顶起来～,0,哼哼哼-_-Z,1644565638
58,2019,3,23,我有192个月了呢！,0,二氯甲烷只有一种,415174223
59,2019,3,19,女神[亲亲],0,忆xxx90,602144719
60,2019,3,16,孙燕姿越听越有沉淀和活力。,3,清云侯,602188187
61,2019,3,3,真心的爱无可取代,0,s1ck1000,1471605268
62,2019,2,25,好听,0,天阶夜色凉静姝,307692235
63,2019,2,25,感觉...每首歌都能看到你[口罩],0,u_vl,259888059
64,2019,2,17,话说这是QQ小冰推荐我的开运歌曲哈哈哈哈哈   新的一年我要加油鸭,4,宛陵先生_,347315587
65,2019,2,10,越听越好听，前期风格真的超棒,2,s1ck1000,1471605268
66,2019,2,10,这么好听，人这么少啊。,0,s1ck1000,1471605268
67,2019,2,3,"我迷茫的现在
满脑子都空白
需要有人安排
需要人带
以前不学现在 悲哀
上学的日子多希望可以重来
可人生没有彩排",0,改词者,1553788790
68,2019,1,31,好听啊,1,没有一步之遥,53340270
69,2019,1,25,火钳刘明,0,七色鎏光,83902318
70,2019,1,24,打卡,0,账号还是注销吧,17481219
71,2019,1,21,女神女神女神女。,0,善良的好王二1803,1401918687
72,2019,1,18,这么好听的歌居然没人评论,1,当代缝纫机女工,438827095
73,2019,1,14,冷门好歌,0,bronzer123,346599653
74,2019,1,12,封面销魂,0,派尼尼2333,537444013
75,2019,1,12,小学这张专辑是要哥哥买给我的～超级喜欢！,1,Chi哟,56557379
76,2019,1,1,今天是2019年1月1号，一个承载着新年祝福的特殊日子，人们普遍会产生一种生活可以重新开始的错觉，其实如果没有大事发生，这只不过是生命中的普通一天罢了，就算是没去参加一些富有仪式感的活动，躺在被窝听听音乐也蛮好的。,0,croissant0520,136872477
77,2018,12,23,"加油！！
未知的未来不需要别人编排",1,燕姿小迷妹_yanzi,1342726442
78,2018,12,21,嘿嘿，明天就考研啦。未知的未来，我不慌不忙地来啦！,1,Flightlesser,121861243
79,2018,12,17,这么好听的歌不知道为什么评论这么少,0,小学生32号上课,1350451579
80,2018,12,13,希望申请GSA顺顺利利，明年8月准时出发语言班！拜托拜托，加油啊自己！！,0,林瞳Eighix,131937976
81,2018,12,12,吉他老师是Adam Lee吗😍,0,复活_,73159452
82,2018,12,9,加楼，好久没听了，感觉都不一样了,0,经纬180729,1536664663
83,2018,12,7,好歌！还是一样的青春活力,1,稻草人铭,260570030
84,2018,12,1,签到,0,s1ck1000,1471605268
85,2018,11,24,每次看到那种 账号已注销 就会去忧愁一番  T T,0,孙燕姿的小迷妹啊,327977684
86,2018,11,24,刷歌到此一游、,0,孙燕姿的小迷妹啊,327977684
87,2018,11,24,恭喜。,0,孙燕姿的小迷妹啊,327977684
