index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,爱燕姿,0,Katherinezt,483190774
2,2019,11,13,同城姿迷～,0,苑子潯的小号,1548957065
3,2019,11,11,可爱却有力量～小时候超级喜欢这首！！！,0,小象滑梯,1478916753
4,2019,10,25,好听的[亲亲],0,橙子U_U,318876054
5,2019,10,7,冷门神曲！,2,你的名字我的追寻,375773232
6,2019,9,7,小学时候超喜欢这首歌 单曲循环,2,然然肉肉,495779055
7,2019,8,27,评论好少啊，快来人啊，燕子大军呢？,0,神的孩子_在跳舞,126259407
8,2019,8,18,这么欢快动人的歌，这么少的评论[哀伤],3,暖心甜y,540336727
9,2019,8,7,闯一闯 再疯狂 又怎样！！！,2,我最喜欢燕姿姐姐,413781778
10,2019,8,3,难道张艺兴也喜欢孙燕姿,1,Jespertrip喲,31687411
11,2019,7,21,以前闺蜜喜欢听的，来怀旧:）,0,我真不知道有什么昵称没被占用了,1575474529
12,2019,7,2,"让你我
让梦想
飞往远方~",2,琉璃倾雪舞,539676425
13,2019,6,30,这个节奏真的好,1,依然渐飞,44419218
14,2019,6,17,322打卡，是高三在操场的感觉,0,0606-不知,1872697887
15,2019,5,14,随机听到这首，还是那么激动,0,阿扶布步,1847883811
16,2019,5,2,怎么回事 这首评论为什么这么少？,0,斋藤飞鸟集,117898862
17,2019,5,1,孙燕姿[多多大笑][多多大笑],0,一朝将聘,314907366
18,2019,4,27,2013年中国新声代11岁的王睿卓唱的,4,HyoMin丶敏隐,358200042
19,2019,4,19,"第7000首歌
八年前听过的。",1,池鱼返故渊,304441485
20,2019,4,18,周日要跑马拉松,0,初心也粗心,93113593
21,2019,4,3,哈哈，昨晚梦到燕姿了，梦里激动的我一屁股坐地上只会傻乐[呲牙][呲牙],3,大黄鸭嘴兽,336723139
22,2019,3,29,燕姿好可爱啊(๑• . •๑),0,孙鳌头呀,502416807
23,2019,3,24,嘿嘿~好听！,0,Tissue_c,397542472
24,2019,3,14,燕姿[爱心],0,静静听-首歌,619430089
25,2019,2,19,311[大笑],0,翻车的果子狸,271298911
26,2019,2,1,力荐运动会指定用曲 ！,0,我说姑娘呀,126140671
27,2019,1,23,评论竟然这么少,0,我躲开了乱世_因为我满身的火,341498071
28,2018,12,8,找到了,1,努力不做咸鱼,574573399
29,2018,11,26,估计他们耳朵都是瞎的[这边],2,债物,124167729
30,2018,11,16,这首歌听了那么多年，还是那么好听[流泪],2,Kdkdjdkkdk,117233008
31,2018,11,11,噗。。。梦不落那么没牌面啊。。。999都没上。。。蛮活泼励志的歌,1,2015克卜勒,40866198
32,2018,10,22,宋丽巧实名一脸懵逼,0,最喜欢吃肉啦,371150408
33,2018,10,22,？？？没有999,0,最喜欢吃肉啦,371150408
34,2018,9,13,发现了一首好歌！！！超级好听,1,没关系是洋哥哥啊,645514575
35,2018,9,8,加一,0,_骑_士_,332240132
36,2018,8,9,超有气势,1,H晓晓,134004303
37,2018,8,4,✌🏻,0,_诗芊,81037679
38,2018,8,3,好听,0,Elena勋,1471539217
39,2018,7,30,今天把燕姿的歌全听一遍[亲亲],1,xs清落,265062137
40,2018,7,5,窗外大雨滂沱 最近一下雨就想到“淋过一场大雨 闯过铜墙铁壁” 查了一下原来是很久以前喜欢循环的歌。,2,苏计亭_今天也祈愿,308134825
41,2018,6,20,什。。什么 燕姿来成都开演唱会了吗？！QAQ,0,太阳系在下雨,255196925
42,2018,6,20,美有关戏～,1,太阳系在下雨,255196925
43,2018,6,8,梦不落 一起走到 最有正能量的两首歌,2,farssa,1414883801
44,2018,6,8,节奏太令人愉悦[大笑],1,努力成为更好的人90,301709065
45,2018,5,28,超级有正能量的歌，给了我动力,1,同朱一龙吃清汤火锅的绯闻女友,561354975
46,2018,5,11,mv超级经典,0,real喵小冰,279134058
47,2018,5,11,下一次演唱会不见不散,0,有6块腹肌的boy,117476108
48,2018,4,13,成都场打call,0,王金1711,632842409
49,2018,4,13,现场听太有感觉啦,0,王金1711,632842409
50,2018,4,6,非常非常有活力的音乐呢_(:з」∠)_,0,谛云roly,9968546
51,2018,3,30,看到这么少，来加一，我姿真是可以驾驭所有风格啊,0,yanwenyuyan,282586007
52,2018,3,29,加一,0,_骑_士_,332240132
53,2018,3,20,高考给我力量的歌,1,Stefanie的小熊,389165231
54,2018,3,18,感觉版本不会影响姿迷对她的爱,0,娇羞熊,561030203
55,2018,2,20,转一圈,0,Nickle丶丶,537398257
56,2018,2,13,最爱的那一位女歌手,2,Bacibaiser,133067976
57,2018,2,12,听这首歌的时候很开心。开头的音乐感觉是美姿举着指挥棒仰着头微笑着带领一群小小人军团走出舞台[憨笑],0,输入喃喃喃,110948259
58,2018,2,1,曲高和寡,3,光的女儿,496187570
59,2018,1,25,干净利落 [色],1,酸菜味儿的小鱼干儿,479850178
60,2018,1,12,看鸟大漫画看到的，⊙▽⊙,0,锅炉灰灰,1336758707
61,2018,1,2,我去，这全是小众的歌,2,几多愁一杯酒,113226583
62,2017,12,17,治愈系,0,Anruo素,132736248
63,2017,12,11,好好听，加油，是喜欢她，才回来听的,1,社会你语戈,1303609254
64,2017,12,8,元气满满！力量满满！,0,不努力没得果子吃,95431170
65,2017,11,30,一直加在爱心列表，好久没听了，随机播放到了这首歌，眼前一亮，我是多久没听女神这种类型的歌了，一般都是听女神伤感的……,1,岐嶷,273469410
66,2017,11,19,来娶来轻松,0,芋头炖牛肉,427386588
67,2017,11,17,[星星],0,大卫盾,100710023
68,2017,11,9,现在的人好多都不知道孙燕姿了,0,彩虹糖DWD,303073479
69,2017,11,7,爱不会消失，只会被遮蔽，也许我对郑怡的爱，郑怡对我的爱，只是被遮蔽了,0,涂晓宇Sure,39764739
70,2017,11,3,版本太多了，每首歌都数个版本。,0,道长东南飞,8990045
71,2017,11,2,爱燕姿从小到大,0,夏树栀子,277064181
72,2017,11,1,哈哈,0,Candyelfffff,120145529
73,2017,10,31,超级可爱的编曲阿！,0,葡萄号,529847533
74,2017,10,29,"向远方，不停息，不落飞行
",0,zbiyinoe_cheng,283289509
75,2017,10,28,[呆],0,想去吹太平洋的风,431966292
76,2017,10,27,哈哈可以的,0,热爱不要停-,414588436
77,2017,10,26,你们学校有品味，如果当年我在你们学校我的成绩一定会很好，因为每天是孙燕姿叫我起床读书[呲牙],0,飛鳥PP,565619342
78,2017,10,25,很好听  很羡慕这样清透的声音，,1,晚月光oo,356426257
79,2017,10,15,痛快,0,henanliwenlong,15795106
80,2017,10,13,曾经有英国的日不落帝国，现在有我们姿的梦不落帝国，梦不落帝国雄起，耶！,0,卡刚涂鸦,86612894
81,2017,10,13,让我想起学校运动会的一首歌  那个我还早无忧无虑放飞自我的年代,0,枼見淩,76500214
82,2017,10,10,燕姿！燕姿！燕姿！,0,帐号已注销,510149963
83,2017,9,28,顶一下,0,不会用筷子的螃蟹,295873372
84,2017,9,9,就是好听,0,掠过了今天,259662166
85,2017,9,9,你一个人顶这首歌的半边天,0,雪花气息,408899309
86,2017,8,28,这首歌我听了200遍，多么令人惊人的数字,0,你的姐妹韩红,319491168
87,2017,8,16,姿姿姿,1,forbe,125980582
88,2017,8,14,生病难受得不行，开始听燕姿的歌，10年扑面而来,0,宁宁王,274115195
89,2017,8,7,我们学校起床歌[大笑][大笑][大笑],2,热爱不要停-,414588436
90,2017,8,3,[大笑],0,薛定愕的猫被我吃了,554490380
91,2017,8,2,评论少99%是听错版本啦！听错版本啦！听错版本啦！,0,亲爱的偏执的疯子,68653116
92,2017,8,2,为什么没人评论，这么好听[皱眉],0,随风轻曳,281991082
93,2017,7,29,上一次听到这首歌，应该在10年前了，突然的熟悉感！,0,zhouuoh,454917021
94,2017,7,25,燕姿燕姿！！！！！,1,虾壳酱Ellen,311518304
95,2017,7,23,爱您！生日快乐！！,1,听说云音乐用户名能达到十四个字,536415339
96,2017,7,21,在这里,0,我叫石榴姐,371949681
97,2017,7,21,让你我 让梦想 ho 不落飞行。好有意思的编曲，独一份。,0,史诗级大坏蛋,112746469
98,2017,7,20,为什么了？,0,走走停停独自等待,472935548
99,2017,7,16,燕姿燕姿,0,凡先森too,482631242
100,2017,7,16,哈哈哈，校友校友。握手。,0,明天辞职去旅行,315514319
101,2017,7,16,第一天被冰雹袭击，第二天开场曲一直重复这两首歌：《别找我麻烦》“乌云乌云快走开”《梦不落》“淋过一场大雨，穿过铜墙铁壁”[可爱]毕业了,1,榕小锋,112663328
102,2017,7,11,超级适合周一早上上班给自己加劲用,0,假的山,281784115
103,2017,6,30,那是因为我没来啊。,0,TGLYY,270466393
104,2017,6,28,甘肃农业大学毕业晚会最后播放的歌曲。,2,明天辞职去旅行,315514319
105,2017,6,21,"感同身受~真的真的是说出了我的心声，谢谢。
",0,擦肩而过-路人,352611390
106,2017,6,20,小身板大能量！,0,河边的飞刀,9071309
107,2017,6,14,加油,0,轩宝啦啦啦,331007583
108,2017,6,12,节奏欢愉！励志歌,0,张翔宇170530,496006666
109,2017,6,11,居然评论这么少!,1,兔吃,357903552
110,2017,6,10,超正能量的，跟逆光，一起走到风格迥异，却各有精彩，这首正能量简直是chiluoluo啊[幽灵],1,Theodorus,268511757
111,2017,6,8,那么好听的歌,1,_七悸,427876970
112,2017,6,8,童鞋们 今天加油喔  毕业九年的阿姨路过。。。,1,_一桩南方开,92360301
113,2017,6,5,网易云里的评论是中国网络中最温暖的地方[爱心],2,戈尔斯密,372434351
114,2017,6,5,后天加油,1,酷圆虎,247542768
115,2017,6,4,你真小[禁止],1,我才是强强强,55800971
116,2017,6,2,燕姿的歌确实很不错的，希望过999+时大家叫我一声，谢谢啦！[可爱],1,一然后后然一,346519120
117,2017,5,29,好听的,1,别来害我啦,267034767
118,2017,5,29,喜欢我姿这种比较嗨的歌……but评论这么少也是醉了,1,是影子没错拉,29522868
119,2017,5,29,哈哈哈哈……,1,是影子没错拉,29522868
120,2017,5,17,好像mv就是这样～,2,太阳系在下雨,255196925
121,2017,5,17,原来这首歌叫梦不落呀～,2,太阳系在下雨,255196925
122,2017,5,10,梦不落,1,郑南其北哩,271478679
