index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,感谢你没有忘记做你自己,1,略田各,504992996
2,2019,11,23,爱丽丝梦游仙境[钟情],0,百香果杀手,301068615
3,2019,11,21,距离2020考研只有30天了，冲鸭冲鸭给我冲鸭！！,1,张张张厚阳,367545509
4,2019,11,19,沉醉其中！燕姿一定要来郑州开演唱会啊,0,孤帆远江湖,28294002
5,2019,11,17,好有魔性的一首歌,0,有缘何须再见,270752517
6,2019,11,11,哇这歌那么冷的吗,0,____随遇而安____,340635174
7,2019,11,8,so cute~ nighty night:),0,iwannacake,1580864143
8,2019,11,2,有点甜，有点期待,0,假___象,311909457
9,2019,10,28,居然才1000+……,0,孙燕姿style,46541850
10,2019,10,24,@松际微露月,0,inspirit777,531683255
11,2019,10,17,遇见你活的像梦游一样，醒来后做自己、,0,木匠邓,637691119
12,2019,10,16,姐姐你什么时候开演唱会啦,0,aydkm,46957931
13,2019,10,11,才发现自己之前也有发过这个评论,0,特立独行的_蜗牛,589817686
14,2019,10,11,感谢你没有忘记做你自己,0,特立独行的_蜗牛,589817686
15,2019,9,28,感谢你没有忘记做你自己,0,特立独行的_蜗牛,589817686
16,2019,9,27,晚安:D,0,也不是猪只打呼,355734135
17,2019,9,26,可可爱爱的一首歌[多多比耶],0,JudeZero,311933447
18,2019,9,26,感谢你没有忘记做你自己,0,愿君依旧笑,559237310
19,2019,9,25,哪里可以看！,0,__蕊儿小透明碎碎念,29801365
20,2019,9,23,真可爱。,1,也不是猪只打呼,355734135
21,2019,9,20,加油,0,啊啊啊阿窈,578848548
22,2019,9,17,每天都在期盼她的演唱会,1,蜀将平平,1625950231
23,2019,9,17,"作曲：古皓
作词：严云农
编曲：黄铭源

已更换新歌词，请小伙伴们重新刷新",2,作词_作曲_编曲_MV导演天下第一,546057330
24,2019,9,15,你总是在我身边点起希望之光！,0,够不够暖活你1993,318608250
25,2019,9,10,你们有没有觉得这首歌和音乐之声里《DoReMi》的感觉特别契合！,2,Agnes_SY,331169678
26,2019,9,10,正在努力复习备战考研的我听得好感动 真的感谢姿妈永远在鼓励我[爱心][爱心][爱心],4,Agnes_SY,331169678
27,2019,9,3,喜欢！,1,原来是一个大土豆呀,484503780
28,2019,9,3,服了 这女人为什么每首歌都那么好听,13,才不是你的小兔叽,535487147
29,2019,8,29,突然萦绕心头的旋律，还好没有弄丢你,2,你不会看见我抹去泪水的样子,65217938
30,2019,8,27,小俏皮小励志 节奏很好听啊 越听越爱的一首,3,为姿而来,441374135
31,2019,8,25,[多多大笑],0,该昵称无法显示刷新也没用,30617500
32,2019,8,20,我看了那个演唱会视频，多么美好又遥远的相似性。,0,我想去听孙燕姿唱歌,1930047138
33,2019,8,19,小众么。。?,0,sweettteee,416746687
34,2019,8,19,呜呜呜真好听。,1,也不是猪只打呼,355734135
35,2019,8,17,刚出的时候不喜欢，到后来就越来越好听,1,叮叮当当chris,433955235
36,2019,8,15,超爱这首，因为哥哥了解到这么好的你，这么好的歌,0,_foryou--,1442996281
37,2019,8,14,穿过时间机器，我一定会再遇见你☞未来更好的自己。,2,海盗7号z,381001273
38,2019,8,14,上班多么苦恼。可是耳朵里有燕姿呀~  ,6,Serendipity_9,483581036
39,2019,8,13,哈哈哈[多多笑哭],0,小爱同学啦啦啦,1362401146
40,2019,8,13,打卡一下,0,jane-28,647181717
41,2019,8,12,好像音乐之声,0,愉快的月光,319192728
42,2019,8,10,打卡,0,胖猴少年,558766395
43,2019,8,9,感谢你没有忘记做你自己,0,汪叽的抹额-,358306456
44,2019,8,8,不是同一类啦,0,旻綠,317674840
45,2019,8,7,天哪十二年前,0,玛丽特能苏,1219339
46,2019,8,7,還是王菲的夢遊有味道,0,唱遊小宇宙,1519247851
47,2019,8,7,哈哈哈明年演唱会首场开场曲我觉得是梦游[呆][呆][呆],3,一定一定要微笑呐,1697911570
48,2019,8,7,要再次回到未来陪我梦游,0,未-完-成,494969845
49,2019,8,5,感谢你没有忘记做你自己,0,我很鱼块,125768521
50,2019,8,5,超喜欢这首啊！这么少评价不科学,0,我是谁啊啊啊啊啊啊你也不知道,56391181
51,2019,8,5,时间是2019年8月5号，临沂，晚上凌晨，坐在床上不知所措，对未来迷茫，不停的点开一个个软件，然后又全部关闭。,1,hggfvvj,1688707698
52,2019,8,5,当时还记得说这首是很喜欢的一首，然后朋友一脸诧异( •̀∀•́ ),1,大头儿丶,285989101
53,2019,7,29,这首声音好可爱,1,NTUfail,71924954
54,2019,7,27,又奶又可爱，百变姿妈,4,-淡--淡-,269491278
55,2019,7,22,幼稚鬼！！真可爱,0,最美的平凡0304,266844624
56,2019,7,21,mv炒鸡可爱,0,漂浮群岛stef,120757295
57,2019,7,19,不要忘记做自己,0,三尺藏锋,431904267
58,2019,7,18,顶,0,孙燕姿丶,1813871469
59,2019,7,17,第1001条评论，,1,克卜勒_x,372500941
60,2019,7,16,哈哈哈哈,1,纵使致终牵肠挂肚,1709812590
61,2019,7,16,999啦！[可爱],4,人间仙狗在此,636941720
62,2019,7,16,离999还差2,3,人间仙狗在此,636941720
63,2019,7,16,离999还差3,3,人间仙狗在此,636941720
64,2019,7,16,离999还差4,2,人间仙狗在此,636941720
65,2019,7,16,离999还差5,1,人间仙狗在此,636941720
66,2019,7,16,离999还差6,1,人间仙狗在此,636941720
67,2019,7,16,让我来突破999[幽灵][幽灵],1,人间仙狗在此,636941720
68,2019,7,16,好温柔的感觉,1,karbuibui,321123593
69,2019,7,16,好喜欢这首啊啊啊啊啊啊,1,鹅伴侣,568489097
70,2019,7,16,我爱孙燕姿,1,鹅伴侣,568489097
71,2019,7,16,爱你是一场梦游,0,8号小家家,580194314
72,2019,7,14,像个童话,0,hydrogenhi,1597587086
73,2019,7,14,回家的飞机上听到这首歌，好开心,4,海盗7号z,381001273
74,2019,7,14,卡,0,Chertime,83946830
75,2019,7,13,好听,0,卡门lalalllla,408850341
76,2019,7,12,溜溜溜[憨笑][憨笑],0,luzhengui,275810017
77,2019,7,12,感谢你没有忘记做你自己,0,叶阿啊,65644605
78,2019,7,11,一首来自上帝视角的歌曲，我姿厉害了,0,诸葛倚清风,1875098331
79,2019,7,11,00后表示很喜欢,0,_蒋文旭,1504881580
80,2019,7,11,太喜欢孙燕姿了,1,_蒋文旭,1504881580
81,2019,7,11,孙燕姿我女神,1,_蒋文旭,1504881580
82,2019,7,10,这多好听呀,0,费亦琛,274128338
83,2019,7,9,好听的,0,致小时光,1845031978
84,2019,7,9,好,0,致小时光,1845031978
85,2019,7,9,好听,0,致小时光,1845031978
86,2019,7,5,啦啦啦,0,Allanys,127391611
87,2019,7,3,期待，不期待了,0,安溥噗噗,79355255
88,2019,7,2,都说我姿各种二字冷门神曲，这首为啥不入选！,0,牛崽痕氓,15787718
89,2019,7,1,好听,0,有橘生淮南,432411313
90,2019,6,30,请试着忽略歌词只听背景音乐，你会发现超级有趣。,3,我猜你在看我咧,1579841813
91,2019,6,30,祝你天天开心，一切都好,2,sorrui,298042381
92,2019,6,30,这个的mv怎么没有啊，白t红字，可爱极了,0,JQ焦乔,35487709
93,2019,6,30,我这么喜欢的歌竟然不是999+，那我来写一笔，这也是第一次在网易留言，为燕姿写  值得[大笑],0,wendy在听,269943472
94,2019,6,30,好好听啊 好听,0,飞船安吉拉,132915110
95,2019,6,29,助力999+,0,青木斜阳,113631342
96,2019,6,29,999+,0,Loeyaa,135932409
97,2019,6,29,爱孙燕姿,0,BabyAustin,54264998
98,2019,6,29,爱你,0,BabyAustin,54264998
99,2019,6,25,好听,0,请给我一把钥匙,1503513357
100,2019,6,25,晚安,0,GOREEEE,97763624
101,2019,6,23,喜欢燕姿的第N天[多多大笑],5,哪颗倒霉的星星,419083932
102,2019,6,19,感谢你没有忘记做你自己,0,梦游的隐形人,59631294
103,2019,6,19,感谢你没有忘记做你自己 感谢你一直做你自己,0,km15,346255482
104,2019,6,17,居然不是999 那俺来留名纪念。,0,井岑,1801448007
105,2019,6,17,明日之子，卡,0,徐徐的飞,125779
106,2019,6,17,啊，我姿,0,燕姿钻石,325132325
107,2019,6,16,明日之子打卡一下,0,DICI小气鬼,252271359
108,2019,6,16,明年还想再去一次演唱会呀,0,两份甜点,332485835
109,2019,6,16,_(:_」∠)_ 看了明日之子 来重温这首歌,0,两份甜点,332485835
110,2019,6,16,期待明年的巡演,0,sunshine6enihsnus,500560154
111,2019,6,16,你就是我们幸福的来源啊,0,sunshine6enihsnus,500560154
112,2019,6,16,这首歌初中听的 现在23🌹,0,sunshine6enihsnus,500560154
113,2019,6,16,不到999,0,sunshine6enihsnus,500560154
114,2019,6,15,七年前高一不断循环的一首歌，现在我大学毕业了，还是写一首歌,0,o橙子咸o,135214261
115,2019,6,15,很想你啊[星星],0,小特xxx,97645034
116,2019,6,13,助力999,1,愿君依旧笑,559237310
117,2019,6,10,感谢你没有忘记，做你自己,1,愿君依旧笑,559237310
118,2019,6,9,没有999不科学,1,浅慕百合嘚蛮,107272190
119,2019,6,8,莫名觉得这首歌适合唱给婴儿听😂,2,10点30的飞机声,121572950
120,2019,6,8,这首歌里我姿是俏皮的小众歌手,0,Kepler的cellur,1424039498
121,2019,6,6,给高考学子,0,千屈菜,35338253
122,2019,6,3,最尴尬的就是：人家根本不把你当回事，你还多愁善感到不行 ​ ​​​,2,你好_小诗人,540036489
123,2019,6,1,即将毕业的我，虽然很焦虑，但听了这首歌，却很开心,2,半句再见9527,587954284
124,2019,5,30,舍不得也是我,0,我还是叫zzsz好了,131977014
