index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,抱走燕姿，无论如何，谁都比不了，各有各的好。,0,你踩我裙了,537966198
2,2019,11,26,这首歌比较适合我在做每个人生选择的时候听 [大哭],1,孙燕姿的锁骨,17714009
3,2019,11,26,偶尔我也会幻想 回到当初,0,xxaqs,284705775
4,2019,11,25,翻看了以前的聊天记录，脑海里突然响起了这首歌,0,ALMOST--LR,341440869
5,2019,11,23,比较幸福,0,yvesmar,83310350
6,2019,11,23,这首歌真的好好听,0,餮鳄,1483886804
7,2019,11,23,+1,0,嘘_723,471678514
8,2019,11,23,因为喜欢的人喜欢燕姿,0,冰苏打zz,1434088856
9,2019,11,21,以前没懂的歌，突然听懂了。,1,大蹦蛋儿,1401533212
10,2019,11,21,+1,1,乾隆十八掌,63687102
11,2019,11,21,别否定自己 你特别好 特别温柔 特别值得。[爱心] ,0,Vivn薇安,74057840
12,2019,11,21,我新的单曲循环 我又开始想念你了 每年这时候。没有勇气重走那些路 甚至逃离了那个城市。可是 时过境迁 没有力气失去勇气的时候心里仍然默念你的名字 依旧要靠你带给我前进的力量。我好可悲啊 明明我们这辈子再无交集 你已为人夫我再无机会。,0,humilee,361791066
13,2019,11,20,就算是现在的我们去走当时的路，已经没有可能了,0,isNn丶,362158056
14,2019,11,20,走到最后有那么重要吗。人生是不回头的旅行 ，曾经拥有，就已经很满足。,0,我是主人的第六个账号,2015993205
15,2019,11,20,还是喜欢这样的低吟浅唱，更能唱进心里,0,粥桃是甜的,77265040
16,2019,11,20,克卜勒这张太棒了！,0,tttsyz,1964248573
17,2019,11,20,我爱克卜勒,0,tttsyz,1964248573
18,2019,11,20,2020 极美 欢庆,0,tttsyz,1964248573
19,2019,11,20,快乐是看演唱会,0,tttsyz,1964248573
20,2019,11,20,看到燕姿比较幸福,0,tttsyz,1964248573
21,2019,11,20,这样想未免有点辛苦,0,Evaooooom,1669945041
22,2019,11,20,骗自己不会比较幸福,0,Evaooooom,1669945041
23,2019,11,20,就算是现在的我们去走当时的路,0,Evaooooom,1669945041
24,2019,11,20,就别追究谁残酷,0,Evaooooom,1669945041
25,2019,11,20,你心里那张蓝图 我曾阅读,0,Evaooooom,1669945041
26,2019,11,20,如果是现在的我们去走当时的路 走没有可能比较幸福,0,Evaooooom,1669945041
27,2019,11,20,可是我怀念犯过的错误 它让我懂得付出,0,Evaooooom,1669945041
28,2019,11,20,偶尔我也会幻想回到当初,0,Evaooooom,1669945041
29,2019,11,20,有没有分出胜负,0,Evaooooom,1669945041
30,2019,11,20,谢谢  你也开心噢,0,藤井树-1997,390521908
31,2019,11,20,快乐是看演唱会,0,chenyuru0924,266077689
32,2019,11,20,我只喜欢孙老师唱的，没有为什么，就是好听！,1,chenyuru0924,266077689
33,2019,11,20,同太原！,0,鲸与天空ocean,294942951
34,2019,11,20,数据假的啦，第一天上线才2000平论，现在刷到4w了,0,_吴子诚,275017518
35,2019,11,20,我都退出去了无意间瞟见了你给她的回复，感觉你好温柔好可爱哈哈，我觉得蔡健雅也好孙燕姿也好，两位都很棒呀我们不用争一个先后吧，祝你每天开心～,0,猫巷里丶,498426251
36,2019,11,19,我想祝你幸福,0,Chricomi,536442916
