index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,可爱,0,sunjiahang,375838001
2,2019,11,21,单身的地平线,0,鄒爸比,85768778
3,2019,11,19,以前不怎么注意这歌，现在翻出来听好好听啊,0,Eth酱,548294006
4,2019,11,16,声线无敌,0,分裂的轨迹,603056171
5,2019,11,13,嘿嘿[吐舌],0,小桥梦,334171684
6,2019,11,7,翻唱自莫文蔚早期歌曲，没时间,0,巴拉巴老腊肉,255300958
7,2019,10,25,我最可爱我最漂亮~嘿嘿！,0,休止符nine,444013834
8,2019,10,25,抖腿抖腿抖腿~,1,休止符nine,444013834
9,2019,10,22,嘿嘿,0,吃鸡蛋不吐骨头,58629537
10,2019,10,19,喜欢,0,奇毓女孩许阿卿啾咪,1583715403
11,2019,10,13,冲冲冲！,1,才不是杨0,309521211
12,2019,10,5,为什么这首歌不火！！！！,1,洞洞二号,54423214
13,2019,10,4,嘿嘿！,1,也不是猪只打呼,355734135
14,2019,9,29,听着听着跳起舞来,1,固执于光,262666204
15,2019,9,29,太太太可爱了,1,固执于光,262666204
16,2019,9,23,可可爱爱孙燕姿,1,XQ0823,489797899
17,2019,9,18,夏天结束了,1,嗷大喵---,33924055
18,2019,9,16,我喜欢孙燕姿，但这首歌我只认莫文蔚,2,用户128894413,128894413
19,2019,8,30,钢琴很妙,1,阿浠阿可,406211703
20,2019,8,28,走开走开,0,才不是你的小兔叽,535487147
21,2019,8,28,太可爱了叭,0,才不是你的小兔叽,535487147
22,2019,8,28,坐在老爸的破车上听到 一扫最近的阴霾,0,抒情摇滚苏打水,46469935
23,2019,8,27,燕姿是我的，拔刀吧,1,C大宝,248388225
24,2019,8,16,已经是了   我和她已经(害羞）,0,凝固迷,450601458
25,2019,8,15,这盘专辑真的太好了，重新听像跟13岁的自己对话～,1,ElizabethSherry,1300579351
26,2019,8,15,你想得美 燕姿是我的,0,不悔丶Mayday,326964662
27,2019,8,7,可爱的孙燕姿   好喜欢她   从今天起他就是我女朋友了,0,凝固迷,450601458
28,2019,8,4,同样滴[大哭][大哭][大哭][大哭],0,明天晴天--,37329385
29,2019,8,4,少年感太强了，好可爱，我爱她一辈子呜呜呜呜呜,0,漂浮群岛et_moi,101098936
30,2019,8,3,你最可爱啦,0,我很鱼块,125768521
31,2019,8,1,原唱评论也好少啊,0,积了个德姿儿,645798706
32,2019,7,27,歌词报错！是“照片”！,3,一双鞋踏破了天地,557157073
33,2019,7,12,好可爱的一首歌！！！！,0,忘羡如烟,1391863800
34,2019,7,8,怎么说呢，莫文蔚的这首歌底下有人评论孙燕姿唱的好听。所以我也想在这首歌底下说：莫文蔚唱的好听,3,天一一一嘻嘻,103942782
35,2019,6,30,我没时间评论,4,RainbowAfterTheRain,59825347
36,2019,6,25,我觉得这首歌能有这么多评论已经不得了了😂,1,NTUfail,71924954
37,2019,6,25,精选集里冒出一个奇怪的东西😂 听精选集这么多遍好像每次都会跳过这首导致今天听到这很陌生,1,NTUfail,71924954
38,2019,6,24,太可爱啦八,0,VerandasCho,489815943
39,2019,6,21,高数没时间复习了55555,0,千涸,274900870
40,2019,6,20,我现在形成了凡syz必听的习惯,1,其函1229,622901875
41,2019,6,19,我的夏天结束了,1,原来已经8点了,108821835
42,2019,6,16,不敢相信评论这么少,0,愿你被这个世界温柔所待,47960102
43,2019,6,13,忍不住跳起来,2,06June2019,47422243
44,2019,6,11,[亲亲]#我的偶像是孙燕姿# ,0,白開水_Stef,63024998
45,2019,6,8,"要永远，占据夏天ԅ(¯ㅂ¯ԅ)～
一种不死的欲望，疲惫生活中的英雄梦。
论高质量单身的重要性",0,又名乖公子,121409311
46,2019,5,29,很多年都一直以为是她自己的歌，后来才知道居然是翻唱[大哭],0,nisho,74942350
47,2019,5,23,呵嘿,0,最近的晶,344842993
48,2019,5,21,16年啦！你最治愈,0,枣糕少女宋觉觉,116531378
49,2019,4,30,永远爱你,0,天空飞过暖水瓶,423027217
50,2019,4,27,如果我每天重头循环开始听孙燕姿的歌，这首歌就不会被播放出来,1,小懒男121,607826579
51,2019,4,24,我没时间，除了是你,0,Ep流苏,426164985
52,2019,4,23,好听，走心,0,786332044,644414465
53,2019,4,3,好欢乐,0,姿为你生,118632959
54,2019,3,29,节奏感好强啊，听完一次就让人难忘,0,愁容的骑士,381814572
55,2019,3,26,最后的笑声真的满分,3,Xbememoon,342185112
56,2019,3,13,啦啦啦,0,你姿我姿,466537747
57,2019,3,6,完了 我半夜被甜的睡不着了 太可爱了吧！！,0,宛之啊-,476092297
58,2019,2,22,今天忽然发现2019年啦，喜欢你八年啦...啦...啦...,3,大黄鸭嘴兽,336723139
59,2019,2,20,谢谢燕资给我力量[大哭],0,shellyrin1785,126016499
60,2019,2,18,听完超high,1,shellyrin1785,126016499
61,2019,2,8,每次开学前狂补作业的间隙都要找来听听[多多捂脸][多多捂脸][多多捂脸],0,我想我只需要一把吉他,131864962
62,2019,1,30,我只认孙燕姿版本,1,很摇滚滴事,98010521
63,2019,1,30,很久以后才知道是翻唱,0,ssisiss,56578313
64,2019,1,19,前奏毁了,0,杨先生loveu,106862821
65,2019,1,19,宝藏啊,0,麦田杀手,537481759
66,2019,1,8,距离你评论快4年了，还是这么少评论，没关系呀，懂的人自然懂，燕姿的歌好好听，百听不厌。,5,用户330106533,330106533
67,2019,1,8,好可爱好可爱，辣妈什么时候唱歌，一首就够了[亲亲],2,用户277381598,277381598
68,2019,1,7,姿妈，姿迷同乐,0,nisho,74942350
69,2019,1,5,燕姿也太可爱了吧2333,0,Kazuhira_,300902106
70,2019,1,2,希望2019 燕姿和 姿迷都开开心心， 如愿以偿。 ,3,孙燕姿的小迷妹啊,327977684
71,2018,12,21,应景，没时间写论文，没时间休息,0,治愈系小帅,322923924
72,2018,12,19,现在歌手不是忧郁就是抑郁。,2,阿拉阿宗,71637086
73,2018,12,17,同城[口罩],1,s1ck1000,1471605268
74,2018,12,17,这首歌是翻唱莫文蔚的,9,s1ck1000,1471605268
75,2018,12,13,哼哈哼哈，很好听。,1,郑旭1983,623072266
76,2018,12,3,硬生生的把莫文蔚的歌唱成了自己的标志曲风，燕姿牛批。。。。[大哭][大哭],9,恋恋风尘602,85414186
77,2018,12,2,高三的时候听的孙燕姿，然后大学三年，如今毕业十二年了，时间真的说没就没了,2,用户330732282,330732282
78,2018,11,27,好的，谢谢,0,念舊的峰,49351360
79,2018,11,27,"莫文蔚呀
",3,o我要的幸福_,356665399
80,2018,11,19,那个姓H的男孩子  其实我知道你不是没时间  只是对我连敷衍都是吝啬的   我确实又梦到你了 这次不是噩梦   也不是我对你说的高分飘过四级 而是梦里我终于等到你了,2,W--琳,632380604
81,2018,11,13,没时间，没时间，肚子上长出了游泳圈！！！,2,花哨枫叶,35528327
82,2018,11,10,大内蜜听开头超亲切,0,低谷小姐的大药瓶子,58118556
83,2018,11,7,想问原唱是?,1,念舊的峰,49351360
84,2018,10,22,这种拽拽的歌很适合燕姿哇,2,Lyeenne,297240818
85,2018,10,13,我会听着你的歌，一直到老。,1,Landung,562248348
86,2018,10,13,留名    我爱燕姿,0,Landung,562248348
87,2018,10,11,笑起来了听到没,1,onearthome,1322819440
88,2018,10,7,你聪明的告诉我 为什么那时候有关你的记忆都跟夏天有关,0,礼拜三去马孔多看雨,70156357
