index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,怎么这么好听啊,0,Alien_Allen,111242099
2,2019,11,27,小时候妈妈的手机里只有这首歌，不知道为什么那部手机不能下歌，所以一直就听这一首，一直就记得了,0,一盆小黄花,373617051
3,2019,11,15,我会告诉你某一天坐公交车的时候，我把这首歌循环了24遍吗！幻想自己是偶像剧女主哈哈哈~,0,悠嘻嘻嘻猴,29667971
4,2019,11,14,最喜欢的一张专辑，所有歌都很爱,0,Lynette_Gao,1316226681
5,2019,11,10,anycall,0,网易索尼,316465030
6,2019,11,2,好听！！！,1,Stefanie_sun_taylor_Swift,1520826834
7,2019,10,31,志明与春娇,1,王贰的云音乐,440749251
8,2019,10,24,好听,0,我的队长脑膜炎,261581552
9,2019,10,23,19应该上大学了吧，这么多钱挺正常,0,像暗杀似的绕到背后给你一Jio,1359745788
10,2019,10,23,萧贺硕出品,0,gerry_xg,79016046
11,2019,10,22,哈哈哈,0,站在红土大陆上,328457863
12,2019,10,21,好听～❤️期待巡演,0,Ze_Zzzzzzzzzz,257903632
13,2019,10,21,D828-S7120U-i8262d-Note 4-S6 Edge-S10,0,青空-Aosora,33740839
14,2019,10,20,这样的歌可不就得燕姿唱吗,1,s酸牛奶s,1838933174
15,2019,10,15,盲生，你发现了华点[幽灵],0,取啥名都被告知昵称已被占用的人,63944747
16,2019,10,13,2007年单曲循环的一首歌,1,喜悦125,485621289
17,2019,10,7,14周年打卡,2,图片控-yanzi,281347420
18,2019,10,3,19岁的你，为什么这么有钱,0,The989,33261379
19,2019,10,1,这首很耐听,0,OK农夫,256952164
20,2019,9,26,我爱孙燕姿 永远,2,訾央伪装小漠漠,247480354
21,2019,9,21,换手机铃声了😂,0,找那首歌,105116724
22,2019,9,17,我记得有的。,1,爱鲤于的炒菜手Jay,261366700
23,2019,9,17,今天才发现这首歌的前奏真是好听，感觉仙乐飘飘啊！,2,碧湖漫步,134764
24,2019,9,16,好作品收藏起来[憨笑],1,淡氺河邊,1860116349
25,2019,9,10,今天一直循环，宝藏歌曲,1,tsuki在心里,625635078
26,2019,9,9,我是先听萧贺硕的版本，有不一样的感觉，或者说更有感觉。,1,动次打次520888,1580815043
27,2019,9,5,我们十三姐也是老司机了,0,isNn丶,362158056
28,2019,8,30,真好听。,0,超级赛亚人1号,60842835
29,2019,8,28,天黑得有一点快。,1,ENZOZX,261025423
30,2019,8,26,三星！,0,虎斑的大橘,1397932568
31,2019,8,21,8年了,1,Pepisi,328769525
32,2019,8,21,做了好久铃声,2,Pepisi,328769525
33,2019,8,21,我听的第一首,2,Pepisi,328769525
