index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,心平安了，意念干净了，世界都会对你微笑。当你自己对自己微笑，世界上就没有烦恼的事情能缠住你；当你对自己非常真诚的时候，世界上没有人能欺骗你。—20170828,1,养浩然正气888888,387224947
2,2019,11,21,少了成熟的韵味，却多了少女的天真痴情，燕姿每个样子都很迷人❤️,0,六块少女,1555680543
3,2019,11,9,这张真的神专！！！,1,7things_,1318437548
4,2019,11,2,我爱孙燕姿！,0,苑子潯的小号,1548957065
5,2019,11,1,轻快自然，超好听,1,错生不错过,422192437
6,2019,11,1,眼花缭乱让全世界颠倒,0,Wobushibinggan,56939631
7,2019,10,30,现在的不知道了，你可以找下她公司的吧，应该是有的，[大哭][大哭][大哭],0,小鸟不想飞,67037865
8,2019,10,28,HEREWEGOHEREWEGO到老,0,不遑多让o_O,1944277967
9,2019,10,24,安东尼·戴维斯 2021-2022赛季NBA常规赛MVP,1,柯工-斯所设计,59707840
10,2019,10,22,我喜欢的那个人，他有浓眉毛，只是可惜，那眉毛我不会再看到。,1,Scar-SJ,75355406
11,2019,10,21,想知道email,0,坛井柱梦,304510673
12,2019,10,20,惊叹号，哈哈哈哈哈,0,Tinymix,395623871
13,2019,10,14,初一因为孙燕姿剪了短发,2,海棠菜,385541026
14,2019,10,12,为猪塚健太而来[吐舌][亲亲],0,阿容啊啊,58841853
15,2019,10,8,为啥这个歌这么有喜感,2,bebetterw,530036486
16,2019,10,4,"像得到游乐园的入场门票。
只一秒 快乐便升高 太美妙。",2,也不是猪只打呼,355734135
17,2019,9,22,那倒是[呲牙],0,mooka,56763445
18,2019,9,19,当年燕姿的声音好像更少女~初中时第一次听就迷上了,3,绿巨人Clar,117055290
19,2019,9,14,害，真是好像你,0,林居秋,397132168
20,2019,9,12,和你一样啊，可惜变成叔叔了都还没找到[皱眉][皱眉][皱眉],0,Derek_k0,559866643
21,2019,9,12,多幸运我是我.和你喜欢同一个偶像.站站，中秋快乐。,0,脖子以下全是腿,49886338
22,2019,9,12,让我想起我高中的暑假。,0,yellooowww,545543289
23,2019,9,11,喜欢眉毛浓浓的男人,1,Weiwill90,32207346
24,2019,9,10,转眼16年,0,Derek_k0,559866643
25,2019,9,8,喜不喜欢燕姿的歌跟是不是善良的人没什么关系吧。,3,我是Mazda迷,1523522581
26,2019,9,5,前奏西城男孩既视感,2,bronzer123,346599653
27,2019,8,30,没有呢 不仅要遇见她还要发现她 不仅要喜欢她还要被她喜欢 不简单啊,3,BlameUxy,254023106
28,2019,8,28,熟悉的旋律，原来很久之前就听过[多多可怜],0,璀璨人生2019,123860
29,2019,8,28,开个花店好吗？,0,萌小兔乖乖,339432828
30,2019,8,28,姿唱什么都会喜欢,1,萌小兔乖乖,339432828
31,2019,8,28,你会唱的更好,0,萌小兔乖乖,339432828
32,2019,8,28,娶到了吗,0,萌小兔乖乖,339432828
33,2019,8,27,好喜欢这首啊！,0,Sparrrrk,270935914
34,2019,8,26,每天日推一首我姿,0,lm_stef,258724583
35,2019,8,25,这张专辑发行于2000年，到世纪转角拥抱，那就是双双100岁啦！,2,一个人的天空w,403894272
36,2019,8,22,老熬夜 头也秃了 浓眉毛也越来越淡了 我该怎么拯救我的毛发[多多捂脸],0,我-要-回-到-风-里-了,75780315
37,2019,8,21,哈哈哈哈哈,1,Bad3oolguysgod,1359837892
