index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,最近听了这专辑，发现这首意外好听,0,lyeasy,412279089
2,2019,11,22,真是越听越好听，神奇的宝藏姿,0,够不够暖活你1993,318608250
3,2019,11,22,这首歌最悲伤的一条评论[大哭],0,赤瑾,80421998
4,2019,11,17,好久没听了，不知咋的早上起床脑子里全是这个旋律[大哭],0,燃榭,89079130
5,2019,11,14,你听这首歌，连这个“梗”都不知道？[惊恐],0,经纬180729,1536664663
6,2019,11,13,2019.11.13我和付猪在自习听歌[多多难过][多多亲吻][钟情],0,对不起我不是故意抖腿,454504510
7,2019,11,11,烦闷抑郁的时候这首歌简直是完美写照。我就在漂浮群岛往上穷碧落往下就是深渊。我就是漂浮的群岛。,3,姜临晚,562260221
8,2019,11,11,唱功比以前还强了，孙燕姿nb，不接受反驳,2,残狼断月,443697990
9,2019,11,8,好听,0,苏格拉没有底啊,113282178
10,2019,11,6,睡什么,0,小懒男121,607826579
11,2019,11,6,电音太可以了！,0,SummerCat22,581287620
12,2019,11,5,为何不主打,0,绿水悠悠1708,562044240
13,2019,11,4,真的太爽了这首歌,0,FantasticCoral,367734784
14,2019,11,3,这几首歌是要付费才能听的，你那个学妹很可能没听,1,狂顾以求群,425540047
15,2019,11,1,这首真的太喜欢了啊，前奏就爱的死死的了😭😭,0,woli甜宝,446570133
16,2019,10,31,带着滤镜的博人眼球是禁不住时间考验的，只有像燕姿这样简单纯粹的歌手累积的音乐作品才耐人寻味。,3,佳悦无双,1817160485
17,2019,10,31,昨天我刚给一个烦闷的朋友推荐了飘浮群岛，她一听除了夸赞歌曲好听以外立刻下单买了跳舞的梵谷专辑,1,佳悦无双,1817160485
18,2019,10,31,一开始听不太懂，但随着时间推移，越来越喜欢飘浮群岛，尤其第一句歌词“嘴上的酸辛味道，耳中的哭和笑”生动刻画了平凡生活中普通人老生常谈的画面，太有味道了。,3,佳悦无双,1817160485
19,2019,10,26,不喜欢很正常吧。。。没必要上纲上线,0,Sentient_beings,253803814
20,2019,10,25,因为这首歌买了整张专辑的举爪🙋,3,LUCKGOES,388378243
21,2019,10,24,等完了天荒地老，我希望变成沙雕[西西奸笑][西西奸笑],0,等雪倾覆时,122193367
22,2019,10,24,易家扬写的词很适合坡花坡草啊啊啊啊,2,生来渺茫,311042697
23,2019,10,23,整张专辑的完整度叙事性堪称完美，神专讲道理但不接受反驳[多多可怜],3,枫汕-Air,310852527
24,2019,10,22,你就是马加爵？,0,Mc鱼生,48930762
25,2019,10,21,你听过也许是我没听过也许是我,1,美丽阿砖,1499873274
26,2019,10,20,到位了,2,Sysyphean,528527379
27,2019,10,18,我怀疑你的前室友已被你暗鲨,0,新昵称还没想好,67339684
28,2019,10,18,燕姿爱你,0,DT燕姿,470003673
29,2019,10,16,上头,0,sunjiahang,375838001
30,2019,10,15,两年以后才get到,0,Crrush,30110129
31,2019,10,13,拽,0,旋轉在口-,529481001
32,2019,10,12,我爱这首歌,0,是Gerry呀,420426147
33,2019,10,12,太真实了，我买了四首了已经🌝真香,0,DIXKILL,307256930
34,2019,10,11,我也想要一只飞鸟,0,是你源哥_,296855883
35,2019,10,11,干！,0,LittleMe1803,1399868730
36,2019,10,11,然而金曲奖眼瞎耳聋[怒],0,mulholland_,273351029
37,2019,10,11,卧槽！这前奏我好爱！,0,ANTONE325,365522237
38,2019,10,10,老师你还要学生吗！,0,我是吴节超,1621776306
39,2019,10,10,需要帮忙吗姐妹！,0,我是吴节超,1621776306
40,2019,10,8,想听花花唱这个歌,4,You透透,405489266
41,2019,10,6,走啊走啊走啊,2,姑苏客st,79800447
42,2019,10,5,滑稽呢,0,孙燕姿哟,476147851
43,2019,10,5,让他坐中间吧,0,孙燕姿哟,476147851
44,2019,10,5,我特别喜欢这首歌[大笑],2,孙燕姿哟,476147851
45,2019,10,4,我为了这首歌买了专辑👍真的好爱,3,柒言巧,578831570
46,2019,10,3,只买一首是不可能的，估计你会一点一点买完全专[大哭],0,经纬180729,1536664663
47,2019,10,3,燕姿,1,跳舞的反骨,33249451
48,2019,10,2,这首歌感觉越听越好听,1,是在这里啊,33240759
49,2019,9,30,酷死了,2,星岛的妳,48746821
50,2019,9,30,2019.9.30,0,-FOREST-_-,1398199164
51,2019,9,29,那可不一定,0,以前的昵称就不告诉你,293029273
52,2019,9,28,热评都是什么魔鬼 笑死了哈哈哈哈,6,杨远夏Cyril,130833207
53,2019,9,26,都要好好的,0,三个朋友,135477827
54,2019,9,26,好,0,CulZzz,121764466
55,2019,9,26,成为你的岛❤️,0,三个朋友,135477827
56,2019,9,26,呜呜呜.我怎么没早点看到[多多捂脸],1,霨沄,581477872
57,2019,9,26,太喜欢这张专辑里！买了绝不后悔，而且觉得赚了！姿妈说卖不好，音乐性越强的专辑越卖不好，大众审美堪忧……,4,LJMandbb,264538466
58,2019,9,26,把你变成我的岛,1,CulZzz,121764466
59,2019,9,22,我知道这个人间有多烦恼。,1,也不是猪只打呼,355734135
60,2019,9,22,我上辈子一定是燕姿喉咙上的一块骨头，所以她的歌我都超爱啊啊啊啊啊，受不了了,6,文澍淇,117390232
61,2019,9,21,为了这首歌买的专辑哈哈哈哈,1,Skyye9999,372495106
62,2019,9,21,真好听啊,0,白夜行行行行行行,278862721
63,2019,9,21,我kao 我鸡皮疙瘩停不下来,0,爬山猫叔叔,561130908
64,2019,9,20,大家伙谁尿黄，来滋醒她们。,1,不同井,503210401
65,2019,9,20,还是忍不住买了，不然听不到。,6,o西西里的故事,96757631
66,2019,9,20,我超爱 终于来了♥️,1,Hiver-tx,450425124
67,2019,9,19,哈哈哈哈这几个走啊～我就知道我肯定是唱不了了🙃,3,阿珑的风衣,570058414
68,2019,9,19,我觉得这首歌很好听!!明明很好听,1,阿珑的风衣,570058414
69,2019,9,18,越听越喜欢啊！,1,追风少年依旧,85096665
70,2019,9,18,好听😊,1,零缺点-,545352622
71,2019,9,17,第一张专辑，纠结了很久还是决定买，这张专辑不会吃亏！！💜,7,用钱的包包,330307684
72,2019,9,17,本专辑最好听的一首，巨喜欢。路转粉。,7,未来余你_,636121960
73,2019,9,17,上头上头,2,sunjiahang,375838001
74,2019,9,16,我也是,0,面朝星河自由落体,385978666
75,2019,9,16,啊，百花争艳，你爱你的繁花似锦，我爱我的不妖青莲,1,洋之极美,263727777
76,2019,9,16,我要是室友有这个专辑我就开心死了，毕竟这个是收费专辑呀，犹豫很久我才买的,0,宫大釜,1655575418
77,2019,9,13,走啊走啊走啊，情绪都元写出来了,0,孤帆远江湖,28294002
78,2019,9,13,你家没了,0,亲爱的你大事不妙嘻嘻,369909027
79,2019,9,11,会说话就出本书,2,孙燕姿的男粉丝,531695157
80,2019,9,11,情商很高！,0,辛辛er,454923092
81,2019,9,11,第一次氪金献给了燕姿 哦吼,4,bibibigboss,550776530
82,2019,9,11,我好爱这首，，继续循环55,3,W全世界我最伤心,368638620
83,2019,9,11,有没有发现歌词最后一个字都是押韵的？很久以前的休止符也是～,3,潜水员1987,1304762229
84,2019,9,9,只要你吹燕姿我们就是朋友，只要你抢演唱会门票我们就是仇人！,0,彩虹金刚-蓝色,1782080379
85,2019,9,8,一年后更好听了,2,Kimberleyzyy,119026356
86,2019,9,8,slay,1,墙角de小蘑菇,3515741
87,2019,9,6,梵谷,0,孙燕姿的小迷弟呀,262396111
88,2019,9,4,告诉她们放学了校门口见,0,暖小fa,1853956201
89,2019,9,4,[色]好听死了 sie sie,0,Erika_Linder,305117600
90,2019,9,4,今天在高铁上再听到这首，我的妈呀，什么神仙歌！,7,7things_,1318437548
91,2019,9,4,还有跳舞的梵谷呀,0,CielorElizabeth,416885348
92,2019,9,3,你不是一个人,1,余人国度,349539684
93,2019,9,3,群岛，天亮和哪首？,0,dalixiaolv,2864638
94,2019,9,3,我发现如果人会隐形多好,0,nykx-,1522538318
95,2019,9,2,真的爱死这首和跳舞的梵谷了,12,_天下熙熙_,410131984
96,2019,9,2,永远后知后觉 2019才发现这张专辑有多好 2020年一定要去你的演唱会[流感],5,吉尼尔斯慢,360594557
97,2019,9,2,我我我,0,ALLURELOVE180705,1502594147
98,2019,9,2,干得漂亮,0,ALLURELOVE180705,1502594147
99,2019,9,1,通过朋友听到这首漂浮群岛感觉很不错所以就买了这个专辑听，孙燕姿的歌挺不错的,2,清雪配白茶,383208550
100,2019,8,31,绿光[大哭][大哭],0,爱江泽,1708224455
101,2019,8,31,哈哈哈哈哈哈,0,悬可安溥,124133944
102,2019,8,31,咋说呢，感觉很有画面感,1,沉璧湖心晃,535334560
103,2019,8,31,听孙燕姿的歌，我跟着节奏抖，但是房子不跟我一起抖，我打算把房子卖了,12,Lee-IDeal,319189337
104,2019,8,31,啊啊啊啊真好听！！,0,也不是猪只打呼,355734135
105,2019,8,31,还是原唱最好！燕姿我爱你！,0,容嬷嬷-3-,427260909
106,2019,8,31,我是因为头两首买了专辑,1,windmi,14065663
107,2019,8,30,没听出来呢。,0,JOKE丶W,432469375
108,2019,8,30,"歌词里最前面不是写着呢么
",0,让时间证明喔,99132814
109,2019,8,30,不是 原唱里面的,0,Lucien-HF,430889454
110,2019,8,30,我tm也是[流泪],1,Hostage_xxxxl,474314314
111,2019,8,30,明日之子里面吗？张颜齐,0,JOKE丶W,432469375
112,2019,8,30,风衣真的好听！平日快乐编曲也绝了！再砸一首吧[流泪],0,是一纯呀,250936347
113,2019,8,30,我本来只是单曲购买的，结果你们推荐这首推荐那首，我就一个个单曲购买，结果比买专的钱都多了,6,折子戏-,251984481
114,2019,8,29,喜欢燕姿的男孩子不会差.,14,秦什么呀,126393255
115,2019,8,28,这就对了~,0,YZ的烟火,1581405283
116,2019,8,28,一样一样,0,心及,491057429
117,2019,8,28,超好听！！让人努力前行，走啊！,2,煎魚羚,356805772
118,2019,8,28,第一张专辑！,0,饭咩,330462756
119,2019,8,28,第一次买专辑 第一次给了姿妈,7,阿蓉h,347442517
120,2019,8,28,他一直都是隐藏的黑粉啊,0,八宝蔡菜菜,376055697
121,2019,8,28,买了买了,1,三月的芽,105510941
122,2019,8,28,我爱孙燕姿,2,Zoosiab_,311358912
123,2019,8,27,顺次听最喜欢这首,0,九煎九界,302281839
124,2019,8,27,你确定没有全砸？,0,梦想太远午餐吃饭不吃面,256522772
125,2019,8,27,这首好好听啊！,2,包头市软糖供应商,469962581
126,2019,8,27,大家都有钱呢,1,爱江泽,1708224455
127,2019,8,27,好！砸！,0,DIXKILL,307256930
128,2019,8,27,连唱三首实在忍不住来翻专辑了,0,CielorElizabeth,416885348
129,2019,8,27,明日之子宣传了两年前的专辑哈哈哈哈,11,CielorElizabeth,416885348
130,2019,8,26,超cool,1,Stanoooh,63157116
131,2019,8,26,好听到反人类,0,安静听歌的小陈,544634179
132,2019,8,26,电音姿还有一首叫 RADIO,0,克卜勒0616,1596827288
133,2019,8,26,飞吧飞向明年,2,左撇子笨蛋,17493502
134,2019,8,26,天后和音乐从业者,0,爱姿无限大,476619736
135,2019,8,25,整张专辑里我最喜欢的一首歌额，有没有一样的朋友？告诉我不是一个人吧？[大笑],8,GOTPOI,566878519
136,2019,8,25,Cool!,0,居里153,609967475
137,2019,8,25,第一次没有喜欢几个选手喜欢上评委啊啊啊,14,太阳的追兵,474690588
138,2019,8,25,好喜欢飞鸟那一段的调调,9,一口獠牙的大苦苦L,133278287
139,2019,8,25,啊太好听了,0,比格桔,352894709
140,2019,8,24,我觉得这是跳舞的梵谷里最好的一首(✪▽✪),4,恒惴慄的桥,1828961431
141,2019,8,24,太好听辽我爱孙燕姿一辈子[多多大哭],4,我想吃桃子-,1866546024
142,2019,8,24,有孙燕姿内味[憨笑],0,我亲爱的蛋蛋,271801904
143,2019,8,24,啊啊啊啊我爱,0,Nhhus,400666649
144,2019,8,24,朋友，风衣真的爆炸好听！再砸一首吧[流泪],1,_吴子诚,275017518
145,2019,8,23,这首的精髓难道不就在电音吗？,0,ImOkay823,50669672
146,2019,8,23,要没有明日之子都没有发现她这么个宝藏！,12,缺牙仔1801,1328339879
147,2019,8,23,漂浮群岛真的太好听了。,4,恋旧的九斤姑娘,401932447
148,2019,8,22,超爱这首,1,橡胶树的眉毛,1354235771
149,2019,8,22,我第一张专辑献给孙燕姿,10,欢喜孙燕姿,325641238
150,2019,8,22,我来了！,3,1997-August,485022656
151,2019,8,22,明年演唱会我一定要去！！,6,NormanFxckingRockwell,120224342
152,2019,8,22,换吧  我支持,0,玖黎超可耐丫,1536706695
153,2019,8,21,自动调音？,0,限定小天-,1413597589
154,2019,8,21,墙裂支持，我的最爱，那个劲儿贼帅气[大哭],0,经纬180729,1536664663
155,2019,8,21,昨天下午和我妹吵架了，晚上放了这首歌，她也觉得这首歌好听，那就原谅她吧,6,泠呀170621,512615933
156,2019,8,20,请给我这个从没去过演唱会的人一个机会,0,经纬180729,1536664663
157,2019,8,20,走啊走啊走啊,1,派大星的派派,135641887
158,2019,8,20,这首歌酷毙了[强][强][强]燕姿slay,6,aprilworld,476591793
159,2019,8,20,"这张专辑真的太！棒！了！我怎么现在才发现[流泪]",3,ww自然醒,131606245
160,2019,8,20,这张专辑我买了两三年 今天才发现这歌里有rap🌝,3,藏起来你就不能发现的天牛,333424227
161,2019,8,19,这是专辑里的第6首，最喜欢跳舞的梵谷和这首！,4,等歌ing,1873876372
162,2019,8,19,好好听啊(〃ﾉωﾉ),2,旺仔小馒头的粉丝,1498341447
163,2019,8,19,hello。哈哈哈哈,0,姚lucas,396196568
164,2019,8,19,又花钱了[大哭],1,Bepo在此,322107402
165,2019,8,19,换了吧！！,0,醉在淡然,258716034
166,2019,8,18,跟着哼，哼到“走啊 走啊”哼出鸡叫声[憨笑],4,Kepler-_-,300077987
167,2019,8,18,富贵让我们相遇在乱世之外,3,喜欢_99,442171423
168,2019,8,18,太棒辽,0,你好蔡啊-,320084995
169,2019,8,18,最爱《超人类》！,3,柯龙Clone,1468801647
170,2019,8,18,朋友 拔刀吧,1,Top_Logo,397454012
171,2019,8,18,这首真的很神   没有MV有点遗憾,10,一濑知,334341348
172,2019,8,18,哈哈哈哈哈,0,_不加糖有点甜,128108088
173,2019,8,18,明日之子来的～～～这首好酷诶,13,wtf888888,420913857
174,2019,8,17,我也是 你放心 票我的,0,零缺点-,545352622
175,2019,8,17,只要你喜欢孙燕姿我们就是朋友，但明年你们要和我抢票的话,5,利物浦蓝,403760571
176,2019,8,17,我也是哦～,0,望莯尚浅,1395242299
177,2019,8,17,这首歌真的太好听了，吹爆！！！看明日之子一诺小姐姐唱的，立刻来听燕姿的，太好听，我要循环了！,11,是西柚哪,406949277
178,2019,8,17,啊啊啊啊啊好听,0,阿灵不灵,547577055
179,2019,8,17,"你：这个好听
我：咦，要买专辑
你：没听过孙燕姿的版本，不知道原来是啥样
我：稍等
我：买了",3,女神霉霉,75181214
180,2019,8,17,看了跳舞的梵谷的mv毅然就决定，买它，买它！,1,诗中画仙,510457808
181,2019,8,17,好想听燕姿姐唱现场[多多大哭][多多大哭][多多大哭][多多大哭][多多大哭][多多大哭][多多大哭],1,用户1932432272,1932432272
182,2019,8,17,我等着mv!,0,FRACKER_,301121225
183,2019,8,17,假粉实锤了😝,2,不改名了-,310852128
184,2019,8,17,飞鸟 它拎着我一直在云里找 漂浮群岛，风飙 我听到了耳边的一辈子 都不见了。,2,刀叨_,1352888171
185,2019,8,16,对不起贫穷的我只买得起一首单曲🌝🌝,8,DIXKILL,307256930
186,2019,8,16,我也是[流泪]好不想承认,2,炸毛麻麻,391821337
187,2019,8,16,惊喜了 特地买了专辑 ,1,沙发啊沙发,350820838
188,2019,8,16,"希望燕姿明年演唱会唱这首
我:燕姿！燕姿！燕姿！（失声）",0,C陈二九,298268775
189,2019,8,16,这首歌谁敢说不好听，没音乐品味,5,Tomorrowfss,1504608568
190,2019,8,16,不对 是走啊 走啊 走啊,0,C陈二九,298268775
191,2019,8,16,"你:走呀 走呀 走呀～
你朋友:快走吧！",0,C陈二九,298268775
192,2019,8,16,诶诶 醒醒！,0,C陈二九,298268775
193,2019,8,16,爆炸,0,C陈二九,298268775
194,2019,8,16,"应该有一部分原因
重点是燕姿吸粉",1,C陈二九,298268775
195,2019,8,16,"抢定了
给自己做毕业礼物",0,C陈二九,298268775
196,2019,8,16,你们手下留情,1,C陈二九,298268775
197,2019,8,16,陈绮贞了解一下,0,C陈二九,298268775
198,2019,8,16,b站视频19460879，是个超棒的MV混剪,1,徭若,637253202
199,2019,8,16,我疯了，我买了这张专辑快两年了，居然在别人翻唱之后才知道专辑里有这首歌？？？,10,徭若,637253202
200,2019,8,16,晚上偷偷把把你室友砍了,0,围绕着我崇拜,397947640
201,2019,8,15,明日之子改编的也不错啊,9,religionqiu,260838650
202,2019,8,15,第一张是睡皇后这是第二张,0,RONIN丶G-E-M,543407440
203,2019,8,14,哇哦哦,2,new17clown,294723209
204,2019,8,14,之前还是没有买亏。这张专辑耐听。,5,一个歌鸡,88425329
205,2019,8,14,喜欢孙燕姿的理由很简单，其余都是歌手但孙燕姿是艺术家。,2,爱笑的一条鱼鱼鱼鱼鱼,102555203
206,2019,8,14,我太爱这张专辑了,1,隔壁家的狗子orz,437361184
207,2019,8,14,我听到了电光火石和镜花水月,1,吝嗇腐敗的小資本家,1765007013
208,2019,8,14,同道中人,0,吝嗇腐敗的小資本家,1765007013
209,2019,8,14,干得漂亮,0,Lupsycho,1748192494
210,2019,8,14,爱爱爱,0,Kepler__r,413257278
211,2019,8,14,多听听燕姿,0,Kepler__r,413257278
212,2019,8,14,风衣很好听呀,3,才不是你的小兔叽,535487147
213,2019,8,14,好听,0,公子匿i,1914757745
214,2019,8,14,我也是，本来只想听一首的，还认为一首要15，但实在太想听了，就下定决心买了专辑，发现居然有10首，惊喜jpg,0,落尽红樱君不见轻绘梨花泪沾,308740069
215,2019,8,14,这首最好听我哭循环好久了,2,W全世界我最伤心,368638620
216,2019,8,13,既能地铁上自在地和人聊天，又能晚上麦当劳排队买吃的，低调真实不装。,1,kyswdzz,51691215
217,2019,8,13,再听一边，好听,0,姑苏客st,79800447
218,2019,8,13,我这也是第一次买专辑,0,焦糖里没有橙子,1826896492
219,2019,8,13,明日之子3打卡,9,TAMEN__,511281396
220,2019,8,13,看明日之子 感觉燕姿老师是一个特别真诚的人 赤诚之心,45,啦啦啦mua,63970793
221,2019,8,13,超级爱我燕姿,1,Keplerrrr__,366619926
222,2019,8,13,太好听啦！！！,1,冬天到了要回去看雪,287363073
223,2019,8,13,本来只是路人粉 现在是彻彻底底了路转粉了  这是到现在为止完完全全打动我的一张专辑 每一首歌都能带给我很多的感触 燕姿的声音真的能够打动人[爱心],31,几年前的幻想丶,269877481
224,2019,8,13,太好听了[爱心],3,2gwwwan,79738463
225,2019,8,13,这张专辑真的很好听,4,屿森爱吃西瓜,427851037
226,2019,8,13,看完明日之子真的是爱上燕姿老师了。端庄大气，温柔优雅。原来只闻其声未见其人，在综艺见过之后真是被她的魅力折服[亲亲],55,风语铃聆,35707714
