index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,我觉得我表现的不会对谁在意，就永远不会像那些女孩子一样为了爱情难过的撕心裂肺。可现在，我觉得我变得卑微，顺着你，乖巧，之前的我那么张狂，爱玩。看到你说话的语气，我也不知道怎办，每次都要我哄嘛，我照顾你的心情吗,0,ahhh无恙,1867007270
2,2019,11,28,“Respect is everything”,0,哈哈Z小C,58054262
3,2019,11,28,我真的会失恋啊，以为你是我最后的人，原来你真的会狠心的走啊，原来你真的可以不在乎了，原来你真的会变，我永远会怀恋2017年的你，那个眼里只有我的你。不甘心那又怎么样，在你眼里一切挽留不过是无理取闹罢了，罢了，罢了，就这样吧。没有你我过得也不算太差，只是有你更好，哈哈哈哈，我真的好想你,1,awnag-,1328029202
4,2019,11,27,大家还有这类歌曲推荐吗？？我太爱了但找不到,0,Lesley躺躺,2034221804
5,2019,11,26,这个左右耳一直变我好像晕了[惶恐],0,总害怕没人心疼,128244164
6,2019,11,26,这歌巨难唱,1,热力电台,339080385
7,2019,11,25,我也是！！,0,美酒99,335839401
8,2019,11,25,这是我心中孙燕姿最好听的一首歌，却不火,0,小学语文课本中去掉吗,122022605
9,2019,11,24,我爱你 如鲸向海 似鸟投林 退无可退 无可避免,1,凉夕映雪,1784661886
10,2019,11,23,3分38秒到39秒有一个声音 每次听都好像有人在叫我,0,吉武1808,1545258280
11,2019,11,22,"好想捂住耳朵
不想不看不想听谁说
好想蹲在角落
把谴责的眼光都躲过
像个黑色漩涡
将我吞没",1,拍拍小肚子,627290025
12,2019,11,20,我也是    控制不住的那种,0,WRL-wrl,515458888
13,2019,11,19,刚看小说看到对唱来的！！！！,1,甲鱼一隻,126341400
14,2019,11,19,陆霆骁♡宁夕,9,Dimitriva,1485102744
15,2019,11,19,嗷嗷嗷？校友？,0,Vickyzhaooo,122999300
16,2019,11,18,我也没办法伸出双手拯救自己,1,Pekoya,1436229269
17,2019,11,18,啊啊啊啊啊啊我太爱燕姿了！！,1,芊小尘,261142999
18,2019,11,17,许你万丈光芒好,6,包崽想暴富,304662217
19,2019,11,17,明年演唱会希望有这首歌！,3,村上有光大叔,363632111
20,2019,11,17,我也哭了,0,村上有光大叔,363632111
21,2019,11,17,听一遍就收藏的歌不多，揪心疼的感受却很久,2,poplanchong123,428486830
22,2019,11,15,对不起所有喜欢过我的人，对不起我自己。,3,_Vertigo-,133917402
23,2019,11,14,哈哈哈哈哈哈笑死嗯哈哈哈哈,2,清酒一杯墨浮生,134431186
24,2019,11,13,大爱这首歌前奏！！！轻巧的漩涡，不晕眩，少了曾经那么的悲伤。尽管放不下。尽管满留遗憾，回忆起之前依旧那么甜，我爱你。,3,角落里的揪子,405624859
25,2019,11,10,我也哭了，漩涡太难了,1,__灼热,74148431
26,2019,11,10,爱姐姐,1,溜溜啊脾气,349579238
27,2019,11,9,姐妹啊,0,草莓味的天使2,1307912457
28,2019,11,9,回避性依恋人格金曲 每隔一段时间听这歌歌词里的人在我心里都会换个主角 但不变的还是结局 每次都告诉自己 我真的挺喜欢他的 下次他再表白我就答应吧 下次谁表白都行 只要喜欢就去试试 然后不停循环…啊 甜甜的恋爱什么时候轮到我,11,creamoon,89164367
29,2019,11,8,以前喜欢的人喜欢的歌，我也挺喜欢的。给你听听豆,3,帅气的二狗,247883867
30,2019,11,8,逆光这张专辑真的太爱了,4,荼青纤,1529021229
31,2019,11,8,许你万丈光芒好,8,moonIike,1980288931
32,2019,11,7,清晨的路上有姿姿的声音陪伴，2020一起漩涡🌀,2,够不够暖活你1993,318608250
33,2019,11,7,年轻的时候最喜欢逆光，长大了才发现飘着才是最好听的,1,8楼永远爱3楼,80342819
34,2019,11,6,漩涡投票干不过和平 啊啊啊啊啊我哭了,5,Enoue_,501362541
35,2019,11,6,喜欢十几年了,2,豆豆阳儿,479641322
36,2019,11,6,我感觉燕姿唱的是她自己和丹尼斯的感情,3,得意尽欢吗,1995833702
37,2019,11,6,我跟上,0,得意尽欢吗,1995833702
38,2019,11,5,不是歌好 好听主要是因为这个独特的声音,0,枫凌忆,1527171021
39,2019,11,3,我掉进了漩涡，我也想你救我,7,荷西hosea,408368894
40,2019,11,3,怎么拯救自己,2,坂口a,289868228
41,2019,11,3,我爱你，如鲸向海，似鸟投林，退无退，无可避免,9,場主的小兵,1498802233
42,2019,11,3,许你万丈光芒好,8,1128Tiamo,1629766482
43,2019,11,2,许你万丈光芒好[奸笑],8,xback-98,1621820711
44,2019,11,2,明年真的好想听到这首歌,2,丸子爱殷桃,104627036
45,2019,11,2,看许你万丈光芒好来的,7,丛佳-,1692143652
46,2019,11,2,然后14年留的言 楼下的人不要杠了,0,一只纯几,1316396486
47,2019,11,1,漩涡不能输🙊,1,小豆岛主,1329701318
48,2019,10,30,每句结尾都是o,6,请你不要叫我阿新哥,84590358
49,2019,10,30,不愧是小赞的偶像，好听！,2,东施少女,1291584262
50,2019,10,29,劳资后悔死了[流泪],1,名字是真难想啊啊,85004260
51,2019,10,29,我姿太多隐藏二字神曲！！！！！,2,vInCent哇,48926777
52,2019,10,29,有缘人😂,0,霉头霉脑云散月现自在飞花slay,42294326
53,2019,10,29,哪儿都有你，我也喜欢《逆光》考试备考必听歌曲[可爱],0,Joyce的橙子,1665584207
54,2019,10,28,难过时候，只有听这两首歌安慰自己，然而自己也只是安慰一下自己而已，打个卡,0,Bango5,490413126
55,2019,10,28,您刷什么存在感 滚,0,乖一点啦1709,589157143
56,2019,10,28,你刷什么存在感 滚,0,乖一点啦1709,589157143
57,2019,10,27,《逆光》抒情神专,3,Islandofcyril,48634536
58,2019,10,27,渣女之歌,0,尧13十三,301880586
59,2019,10,27,卢永原是大渣男,1,竹一正,65818484
60,2019,10,26,一样，,0,一谭清水伴松韵1902,1763306384
61,2019,10,26,前奏让人晕,2,牙尖嘴利不饶人的我,101138717
62,2019,10,26,前缀让人晕,1,牙尖嘴利不饶人的我,101138717
63,2019,10,25,两边推光，中间不动，蟹蟹托尼,1,多喝板蓝根_,359466172
64,2019,10,24,我寄愁心与明月，月明碎心落山河,3,南山孤鬼丶,533903696
65,2019,10,23,自作聪明最大傻瓜是我,3,我真的弄丢了,472517598
66,2019,10,23,好听到蛋蛋发麻,3,Demonezhang,1391673207
67,2019,10,23,每首都想学,1,Butsuper丶,68249790
68,2019,10,23,这首歌带耳机听仿佛随着燕姿的歌声坠入漩涡🌀，左右声道来回萦绕，再唱出“我爱你”真是好揪心。“每个人像在隔岸观火”又好悲凉......,3,aprilworld,476591793
69,2019,10,23,md 太好听了,2,青诗o,381220745
70,2019,10,22,“好想捂住耳朵，不想不看不想听谁说”今天在图书馆脑子里一直循环这句歌词，然后一晚上就过去了[大哭],5,小豆岛主,1329701318
71,2019,10,22,好好听,1,黄景瑜-Jay,94279580
72,2019,10,22,带着耳机，感觉太怪了，，，，,1,辜月-初二,444336749
73,2019,10,22,燕姿这张封面跟杨千嬅还有几分神似,2,悲伤是无意义的,435177077
74,2019,10,22,太真实,0,我是你最晴朗的早晨,1370554661
75,2019,10,21,我也是看到那里！！！,0,岁余二,623974836
76,2019,10,21,第一次听，还好没错过,2,宝气的灼灼,316321074
77,2019,10,21,还是老歌听着有感觉，像酒一样，会醉,2,屋顶的猫爱吃糖,103963058
78,2019,10,21,耳朵好痒啊啊啊啊啊啊啊啊啊啊啊,1,-迷路的牛牛-小薇,69856806
79,2019,10,21,怎么这么多杠精呢？也不看看层主啥时候发的[呆],1,-柳橙汁-,70551637
80,2019,10,20,昨晚上才看肖老师追星成功，今天的日推就是肖老师偶像的歌[色],3,一只羊羊咩,302279719
81,2019,10,20,姐，我又来啦,1,漩涡A鸣,290211365
82,2019,10,20,好神奇，每次听到漩涡的前奏，就有陷入漩涡的感觉,1,积了个德姿儿,645798706
83,2019,10,20,真好听,1,血流动_爱永远,530035594
84,2019,10,19,不能没听过,1,一碗饭多,105923186
85,2019,10,19,每天喂资麻打卡,0,不二dopamine,109253074
86,2019,10,18,好听,0,阿珑的风衣,570058414
87,2019,10,18,恭喜你 新婚快乐,1,福利林,532799167
88,2019,10,18,漩涡给我冲,0,孙燕姿老龚,405006132
89,2019,10,17,我好想学会这首歌,1,超级柏油娃娃,1286695020
90,2019,10,17,没错！！！！,0,mian1108,95852352
91,2019,10,17,好听,1,踏晨雾走来,361883155
92,2019,10,17,我爱你，余生各欢，再不相见。,0,亓未唏,51877677
93,2019,10,17,入坑燕姿的第一首歌,1,Islandofcyril,48634536
94,2019,10,16,我爱你 如鲸向海 似鸟投林 退无可退 无可避免,6,阎桃杳杳,1786575859
95,2019,10,15,耳朵受不了了,0,MC-虎弟,342830242
96,2019,10,15,哈哈哈哈哈哈哈哈,0,啊肥花,15462617
97,2019,10,15,我爱你,0,子晗icon,495152460
98,2019,10,15,《人间失格》里有这样一句话：仅一夜之间，我的心判若两人。他自人山人海中来，原来只为给我一场空欢喜。你来时携风带雨，我无处可避；你走时乱了四季，我久病难医。,25,幼婴女李佳琪,277994754
99,2019,10,15,第一次听,0,Luvletter1704,449106883
100,2019,10,15,我真切的感受到音乐里的力量和情感,3,不等170706,535071415
101,2019,10,15,当你濒临死亡，世界开始爱你。,4,只能与悲伤同谋,1346736305
