index,year,month,day,content,likecount,nickname,user_id
1,2019,9,15,这首歌真的超级好听！！！,0,嘿小姿,118531253
2,2019,8,13,把爱清零吧，然后重新出发。,0,静夜如水s鱼,1420030876
3,2019,8,7,爱结束到零,0,由唱到听,117439976
4,2019,7,22,谢谢！！,0,艾斯比尔的菲欧娜,33015964
5,2019,7,21,这首歌999＋的时候，麻烦给我999的赞,1,Tiger_Ming,125315299
6,2019,7,21,加油＾０＾~,0,Tiger_Ming,125315299
7,2019,7,20,如果时间可以重调 我想回到2015年以前 妈妈的身体还很好 我宁愿再承受一次考研的压力和对未来的迷茫 一定尽力考得更好,1,艾斯比尔的菲欧娜,33015964
8,2019,7,20,如果时间可以重调 我想回到2015年以前 妈妈的身体还很好 我宁愿再承受一次考验的压力和对未来的迷茫 一定尽力考得更好 ,0,艾斯比尔的菲欧娜,33015964
9,2019,1,20,从零开始吧,2,Heyheyxfy,45158791
10,2018,12,26,认识孙燕姿，从零开始~,2,当时明月moon,131154664
11,2018,12,12,发现宝藏了！,2,SSYANITY,504036005
12,2018,10,30,我们的爱从零开始,0,-----Stefanie,454876432
13,2018,10,22,旋律一开始，梦回高一教室，抬着头看着MTV台播放这个，想着暗恋的妹纸。噗，这一说一晃16年啦,0,瓦它西,275742139
14,2018,10,21,评论这么少，一定有另一个版本,1,going_up_stef,372536854
15,2018,9,9,从零开始，无论往那边走，都会距离开始越来越远。,0,用一生丈量,310204888
16,2018,9,5,或许，开始就已经注定了结局。,0,常崎-yt0,18413240
17,2018,8,15,别介意评论数，姿妈的歌不是靠评论数来衡量的[可爱][可爱],2,爱愚人的国度,293267957
18,2018,8,1,前奏美到难以置信,2,站在红土大陆上,328457863
19,2018,7,25,评论这么少,0,托起-朝阳,254018510
20,2018,7,20,爱从1开始也行啊,1,随远先生,382856313
21,2018,7,15,从0开始惹,0,旭九日z,46168573
22,2018,7,10,好好听啊,0,奔跑的回锅肉,40086554
23,2018,7,6,啦啦啦啦,1,超人丶丶丶不会飞,311351618
24,2018,6,11,我们到此结束了,0,Haunted-,250217803
25,2018,5,24,第一句出来直接瘫掉,1,王闻铎铎铎,262759991
26,2018,3,29,不科学的评论数[流感],3,半聋半哑,137394221
27,2018,3,18,为什么没有人 居然,2,我就是jingjing,1057387
28,2018,3,8,最爱的歌,0,innate2006,260345284
29,2018,2,28,为啥人少?我姿的金曲,0,478356040,1348387638
30,2018,2,14,在男朋友车上听得的  很好听  祝大家情人节快乐 💜,0,Mixed9-chen,562947905
31,2018,1,20,爱从零开始。第一天注册自己的网易云音乐账号就来看燕姿[亲亲],2,NA梦幻乐园,1346491752
32,2018,1,20,好听,0,ashuro,303209684
33,2018,1,13,小学时候用随身听循环播放孙燕姿的歌，好怀念,2,晴天娃娃nn,292176615
34,2017,12,2,回忆是不说谎的镜子,0,Sy_leileilei,331478409
35,2017,11,28,爱从零开始,0,姿为你生,118632959
36,2017,11,26,她是一座宝藏。,1,Moonicy,29863741
37,2017,11,18,不科学,0,stef-evan,253673250
38,2017,11,14,[爱心],0,跳舞的yanzi,287088787
39,2017,11,1,真爱粉这里,4,海洋过森林,325742808
40,2017,10,18,[可爱],0,半聋半哑,137394221
