index,year,month,day,content,likecount,nickname,user_id
1,2019,11,2,我爱,0,-昵称正在编辑中-,1510322198
2,2019,10,14,这个钢琴声，恰如心中呢喃,0,各饮共欢,91662150
3,2019,10,4,没法听了？请问您是CD坏了、耳机坏了、播放器坏了还是耳朵坏了呢？,6,别再奋力逞强,122065677
4,2019,10,4,那请您别听,6,一kepler,1409592056
5,2019,10,2,那我也来！,1,苑子潯的小号,1548957065
6,2019,8,29,我好爱,0,霉头霉脑云散月现自在飞花slay,42294326
7,2019,8,25,这一年都没人评论？我来！,1,hydrogenhi,1597587086
8,2019,4,24,？[西西惊吓],4,yueyue段-,135054373
9,2019,4,3,我还没出生,0,极美欢庆,351351231
10,2018,12,31,克卜勒之后就没法听了。。。,1,Gondolin,10943876
11,2018,10,11,我喜欢一个女生，可是我们没有开始过。她也不会再喜欢我了，要学习，要恋爱，要结婚，我不知道你快不快乐，但是我不快乐。每天除了早安晚安我不知道怎么去打扰你。有时候会想为什么执着于你，想破脑袋都没有所以然，和其他人总是差那么一点感觉。好了，祝你幸福。,1,阿客1,376397812
12,2018,9,25,03年，从高二开始接触燕姿的歌，拿生活费买了朋友的Sony随身听，把这张专辑听了无数遍，清楚的记得每一首歌词，时隔多年，再次听到这首歌，想起学生时代的自己连个女友都没有，天天为爱郁郁寡欢，哪懂什么爱情啊[大哭],2,罗宏镇镇长,398974365
13,2018,8,2,🎧,1,_诗芊,81037679
14,2018,8,1,希望这首歌能被大家听到，好听的歌不应该被埋没❤❤❤❤❤❤❤❤❤……,2,小酋的环球日记,1495774593
15,2018,7,23,这张专辑出的时候我10岁,1,骑士1989,75521112
16,2018,7,4,高中有一段时间骑着单车就哼着这首歌上学放学。,3,跳舞的yanzi,287088787
17,2018,6,21,作为零零后的我不知道先听版是撒意思,5,跳舞的梵谷yanzi,318974517
18,2018,5,7,ljc 你也要好好的 没有我的时候 你要好好照顾自己,0,边困,125949411
19,2018,5,7,ZL 你要好好的哦,0,叽不叽,58956698
20,2018,5,5,年轻真好,0,Claudio天蝎座,2810457
21,2018,5,3,[爱心]燕姿唱的都好听[爱心],2,-----Stefanie,454876432
22,2018,4,24,没关系，现在认识了,0,Claudio天蝎座,2810457
23,2018,4,24,我5岁,0,哪托WWW,256553464
24,2018,4,23,那时我才4岁🌝可我小时候不认识她,0,跳舞的yanzi,287088787
25,2018,4,23,2002年,0,Claudio天蝎座,2810457
26,2018,4,23,哪年,0,跳舞的yanzi,287088787
27,2018,4,23,没有了你，都不对,0,跳舞的yanzi,287088787
28,2018,4,22,最好的燕姿,0,Erika_Linder,305117600
29,2018,4,15,这首是我听的燕姿的第一批歌。小学的时候喜欢用单放机边听燕姿边做作业。还没首歌都学会[大哭][大哭][大哭]听着歌眼前出现的画面就是老家的光景，那时候多快乐简单。,2,prince-Joshua,117961245
30,2018,4,13,声音让人着迷,0,王金1711,632842409
31,2018,4,13,爱情系列的歌，燕姿都唱得太好了,0,王金1711,632842409
32,2018,4,13,太好听了吧,1,王金1711,632842409
33,2018,4,9,燕子最爱的歌之一,1,小宇宙97,347298613
34,2018,4,8,每次都有惊喜。,0,眸里星河i,478911487
35,2018,4,4,评论不能代表什么，我们都过不了那跳线到另一边,0,后知后觉的六,63010657
36,2018,4,2,999盖楼,0,毕竟Naive,33677655
37,2018,3,24,这么经典！这么少评论...,0,哈德馒头,57132361
