index,year,month,day,content,likecount,nickname,user_id
1,2019,11,21,怎么没有了你    都不对    ？。？？？！！，！！！！！！！！！@-----Stefanie,0,-----Pyrojewel,285218856
2,2019,11,16,每次听这首歌 都想起那段岁月 想起她,0,茜空cloud,113592451
3,2019,10,14,到这来的都是铁粉，有哪场live唱过一样的夏天吗？,0,LapIace,355418011
4,2019,10,14,万人KTV😂😂😂😂,1,LapIace,355418011
5,2019,9,27,万人KTV,2,XQ0823,489797899
6,2019,8,24,开头这是炸的了？哈哈哈,0,听丞琳吴克q燕姿阿妹,382060420
7,2019,8,16,陪我唱歌好不好,2,克卜勒_wu,97556018
8,2019,8,12,我姿爱我[狗][狗],0,Joyce的橙子,1665584207
9,2019,7,2,尾音超好听，两个世界～,1,ZeroTsu-,612338284
10,2019,7,2,我也爱孙燕姿,1,Erika_Linder,305117600
11,2019,3,30,嘻嘻,0,座瓶水是我惜可,253248732
12,2019,3,4,今晨醒来 脑子里响起这首歌,1,嬉戲唱遊到下世紀,256965292
13,2019,2,27,孫燕姿情歌裡面我最愛的一首。2001年，躺在陽台，陽光射在身上，用音質很差的耳機聽磁帶，有種久違的感動，當年聽不懂歌詞，卻能跟著一路哼。這一哼就是十幾年。後來的演唱會也有幸聽到LIVE，慶幸有這種圓滿,5,鈴木FREE,50647588
14,2019,1,24,人🌶么少？我佛了,0,Stef_小黃瓜,509976485
15,2019,1,10,开头那一声，我的心❤❤，爱燕姿,4,cheeseandkisses_,109894617
16,2018,12,11,哈哈哈哈,0,YDNKS-彻底的-sagoo-Maxist,265426022
17,2018,11,22,听完赶紧去回看了这场,0,Stef_小黃瓜,509976485
18,2018,11,21,衣服[呲牙],0,Stef_小黃瓜,509976485
19,2018,11,17,燕姿❤️❤️❤️,0,Stef_小黃瓜,509976485
20,2018,11,17,要是我早生个7 8年该多好,1,Stef_小黃瓜,509976485
21,2018,10,30,坏人KTV[大哭][大哭][大哭][大哭],1,-----Stefanie,454876432
22,2018,10,17,好听,0,虎虎fly,343593481
23,2018,10,14,直来直往，率率的！,1,帐号已注销,1488988645
24,2018,8,31,“这个很紧的”[大哭],1,SUGAR-HIGH,32357998
25,2018,8,3,🎧,1,_诗芊,81037679
26,2018,8,2,听的燕姿的第一批歌里的，满满都是童年,1,prince-Joshua,117961245
27,2018,5,14,等你，2020[爱心][爱心],2,我有努力和这个世界变熟,394296679
28,2018,5,2,还一身率性[大哭],2,33轉的LP,630862795
29,2018,4,30,燕姿超可爱的！,0,Erika_Linder,305117600
30,2018,4,25,就不回复,0,阿拉丁的短笛,250570702
31,2018,2,24,直接可以哼出来的回复[奸笑],1,十三哥z,290982236
32,2018,2,24,感动不一定流泪，感情还一样率真[奸笑],0,Islandofcyril,48634536
33,2018,2,23,期待2020年的万人ktv！,8,啊彩虹金刚,36813307
34,2018,2,13,最棒的一场演唱会,1,我有努力和这个世界变熟,394296679
35,2018,2,8,记得三四年前还发过一条说说，不管泪水多咸，有一天我会告别从前。如今真的告别了从前，偶尔也会在歌词的字里行间，在你姿的歌声中追忆过去的生活，难能可贵,2,风花月剑,513161020
36,2018,1,31,当年嫩出水的start巡回，一如既往率真的燕姿,5,十三哥z,290982236
37,2018,1,31,万人KTV好不好！哈哈哈哈,3,十三哥z,290982236
38,2018,1,31,这个声音听了好多年。归属感呐,1,十三哥z,290982236
39,2018,1,29,点开看这不是我女朋友么,1,跳舞的克卜勒,122786310
40,2018,1,28,2020年等你,2,极美欢庆,351351231
41,2018,1,28,点开是不是被美到了,1,苏苏苏苏苏苏苏禾呀,331479824
42,2018,1,28,看小图我以为是梁静茹,0,跳舞的克卜勒,122786310
43,2018,1,22,好 ,0,苏苏苏苏苏苏苏禾呀,331479824
44,2018,1,13,那条线,1,恨美,366726752
45,2017,12,27,一定要去看一场我姿的演唱会。,2,我有努力和这个世界变熟,394296679
46,2017,12,3,万人KTV，好啊^o^~,3,燕姿一辈子,626718330
47,2017,11,8,我们越走越远，两个世界。新的感觉也许偶尔会出现，怎么没有了你，都不对,0,燕姿我好想你,403139403
