index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,问：为什么查 爱情字典？    答：为了拿   爱情证书 。,0,Beeovenvan,1847499670
2,2019,11,21,坐火车时我就爱看着窗外风景听孙燕姿的歌，可能那就是青春里遗憾的味道,0,衣襟带花的少年,52720181
3,2019,11,19,32 以前我也是超爱燕姿的 好多年没听了 今天心血来潮从第一张专辑开始听 以前歌里情爱的伤心的完全淡然了 但以前自己有些好品质也好像丢掉了 这种感觉很特别[呲牙],0,Eth酱,548294006
4,2019,11,14,前奏：我和你吻别~,0,妳的男孩,60584960
5,2019,11,12,大部分人的爱情字典 都找不到永远 只剩越走越远,0,我就是喜欢拾柒这个名字,108568109
6,2019,11,8,厉害呀,0,苑子潯的小号,1548957065
7,2019,11,4,我永远爱你，至少一年,0,朴思w,327576409
8,2019,10,31,很喜欢她刚出道的声音，最温暖最温柔,0,wotordg,1420308736
9,2019,10,31,我不信,0,我有一种魔力,619994129
10,2019,10,30,真厉害！我只会比较大众的 ,0,小猫渣渣渣,94769742
11,2019,10,29,我的理想型,0,青梅煮茶31,445077000
12,2019,10,27,前奏是什么神仙？？又发现了我燕姿的一首冷门好曲！,0,听风惊堂见雨扬,396977416
13,2019,10,15,这首歌燕姿唱的很温柔,0,KThxBye,46577327
14,2019,10,10,想起当年暑假在家里准备复读一遍一遍听卡带的时候，那个时候真的好迷茫好孤独，同班同学大部分都考上大学走上各自的旅途，而我却还在原地踏步，还好坚持了下来，写给那些还在坚持自己梦想的复读生，共勉,0,sai9912,406372553
15,2019,10,9,谈恋爱是听的第一首歌是遇见。,0,李2木,450163460
16,2019,10,4,我以为我的名字会和你一起登记在红本子上，结果我还是在你黑名单里[心碎],0,恰番茄炒蛋,1341182265
17,2019,10,3,追忆青春,0,BruceWayne0427,256725495
18,2019,10,3,厉害,0,天七小,1822047638
19,2019,9,30,那个叫霞的花一般的女子，永远在我的心里绽放着，直到有一天我的呼吸停止，直到我的眼眸失去光泽，都不会终止我对她的思念,0,霞丶永爱,2233005
20,2019,9,24,在爱情的字典里找不到永远,1,berylM99,122068639
21,2019,9,19,最近很喜欢单曲循环燕姿的 了解 永远 爱情字典   可能和自己的心里路程有关吧....我爱你呀 燕姿。 也爱你呀我心里的那个人。笔芯。,1,三歌0602,408348804
22,2019,9,19,只有老姿粉才会知道  燕姿有好多歌都可以触动心灵  每一段时间 都会有首歌疯狂单曲循环。这是其他歌手没有给我的。,0,三歌0602,408348804
23,2019,9,18,循环了一天,0,曾曾曾ii,270706411
24,2019,9,15,我不信...,0,小奉儿,253159496
25,2019,9,11,痛的领悟,1,雨光cheese,110748855
26,2019,9,10,十六年的路过[爱心],1,Derek_k0,559866643
27,2019,9,6,[亲亲]我喜欢的燕姿，战哥喜欢的燕姿,1,赞赞糖DAYTOY,396159272
28,2019,9,4,我也是，今年33,0,麦尖1986,1733462052
29,2019,9,4,陌生的城市，生活多考验！,0,Oskar201314,430412427
30,2019,9,4,再强的火都有熄灭的时候！,0,Oskar201314,430412427
31,2019,9,2,好棒啊,0,_不加糖有点甜,128108088
32,2019,9,1,觉得这首比爱情证书好听,2,红尘小小生,73020014
33,2019,8,31,不知道,1,ChuHiuLam,315817156
34,2019,8,30,我唱给一个男孩听过。,1,柠檬各种酸,282661693
35,2019,8,29,好好听哦[亲亲],1,小米糕啊,1436371488
36,2019,8,26,07年后的歌不怎么会，但是这之前的[奸笑][奸笑][奸笑],1,龙卷风19900214,1662910838
37,2019,8,15,日推来的[憨笑],0,只要把名字取长点就会有人跟着念,544330205
38,2019,8,13,前奏好美啊,1,守囧,287619587
39,2019,8,13,今天在餐吧，听到燕姿的歌，好怀念。,1,别多想喝一杯吧,101108952
40,2019,8,12,前奏太好听了！！！,1,挞拔景,555407213
41,2019,8,12,当年男杰伦，女燕姿，大学寝室里面循环播放。,1,小蟹728,283682575
42,2019,8,9,我爱你 我爱过你 我曾经爱你 我和你 我是我 你是你 不用再见了 ,2,17黑眼圈,7631514
43,2019,8,8,每一首都经典❤️,0,isNn丶,362158056
44,2019,8,7,楼上说的对，希望你也能遇到自己的彩虹[大笑],0,云中的漫步,76161750
45,2019,8,7,好好听，原谅年轻的时候只知道绿光，现在发现孙燕姿的声音太治愈了,3,斗真1,312551763
46,2019,8,6,好厉害,0,沫沫Bao,541275220
47,2019,8,5,你是谁啊，我差点没哭出来，咋和我一样一样的，你和我真的一样一样的,0,反叛的银时,570490151
48,2019,8,5,当年非常火啊,0,反叛的银时,570490151
49,2019,8,5,我以为只有爱情证书，没想到还有爱情字典。,0,阚子平,261741854
50,2019,8,5,也许她就是想放弃我了吧,1,大个二十岁,126889526
51,2019,8,4,可是你不来联系我，我不去打扰你，各自安好，三年以后还会有我们吗,1,大个二十岁,126889526
52,2019,8,4,她不知道的是，雨过天晴，会有彩虹，而我会一直在彩虹里等着她走进来,2,大个二十岁,126889526
53,2019,8,3,13岁燕姿第一张专辑，爱到现在33岁,1,林林露娜,269674295
54,2019,8,1,我也都会，哼。,0,小泉先森,441249115
55,2019,7,31,粉丝随偶像 都懒[憨笑],1,邵小孩同学,112518631
56,2019,7,31,哎妈呀 那我也太骄傲,0,邵小孩同学,112518631
57,2019,7,25,最近的天空，多半是雨天,2,笨鸡蛋-,114167150
58,2019,7,18,你姐永遠是你姐,0,香蕉鲨鱼,256470897
59,2019,7,14,也好[大笑],0,一个有着80后情愫的90后,47638914
60,2019,7,9,说出来你可能不信，我听前奏以为是我们迎着东方红，跨进美丽新时代,2,my_dear-L,274815676
61,2019,7,6,(ง •̀_•́)ง，你会遇见更好的。,0,成全是种孤独,511193776
62,2019,7,4,只要活的足够久我一定会忘记的,2,訾央伪装小漠漠,247480354
63,2019,7,4,前奏一出来，嗯~还是那个味道，感觉自己回到了那年,1,我的皮皮宝212,1529042749
64,2019,7,3,我也是 努力听努力学,0,Erika_Linder,305117600
65,2019,7,1,我也觉得，改什么名字好一点？,0,威廉不慕斯,9334308
66,2019,7,1,12岁开始喜欢燕姿，今年26岁。,1,威廉不慕斯,9334308
67,2019,6,28,像极了道明寺杉菜,0,o呆毛,407968
68,2019,6,28,可我的搬家时都丢了[多多大哭]，难过了好久。,0,孤帆远江湖,28294002
69,2019,6,27,太好听了,0,王金1711,632842409
70,2019,6,26,啊多么痛的领悟[大哭],0,混事得儿魔王,118065977
71,2019,6,23,当年火到爆。。。,3,风雨过后丶彩虹依旧丶,509099547
72,2019,6,19,今年已经34岁了,0,rainstop,33183494
73,2019,6,19,我还爱你，真的还爱你[心碎],0,杰儿啊啊啊啊,486529715
74,2019,6,10,陌生的城市，生活多考验,3,一定一定要微笑呐,1697911570
75,2019,6,10,15岁开始听孙燕姿的歌. 今年已经32岁了,0,YorkLiuYue,405491867
76,2019,5,31,分开的两个人，怎么都不能回到起点 。。。却始终开不了口那两个字,0,大家爱上,420546208
77,2019,5,31,这首歌，听哭很多次，一直是珍藏,1,苏梵栩,125160158
78,2019,5,31,我也是！！！可以去ktv一唱到底！,1,苏梵栩,125160158
79,2019,5,29,"初中时听的歌。。。。一不小心暴露年龄了
",1,pudding0903,84018757
80,2019,5,27,打娘胎里听燕姿,0,我喜欢的人是他不是她,317382097
81,2019,5,27,我的俩盘是美卡，还有三个不知道是什么就是印着华纳正版授权,0,忘川巫,1341405275
82,2019,5,26,磁带现在都很珍贵了，今年我已经收集齐了所有的专辑，除了精选和自选其他都有了[呲牙],1,isNn丶,362158056
83,2019,5,26,我还在读书，就收藏了几张磁带,1,忘川巫,1341405275
84,2019,5,26,好羡慕,0,忘川巫,1341405275
85,2019,5,26,我只听但怎么都不会唱，就会跟几句而已,3,忘川巫,1341405275
86,2019,5,15,我听出来了阿杜,1,年华手术室,307500480
87,2019,5,11,13岁开始喜欢孙燕姿  现在已经33岁,5,猪大妹的猪小妹,603581189
88,2019,5,11,就听完这首歌，流完最后的泪吧,0,梦里花消失不见,439856936
89,2019,5,7,我们越走越远，两个世界……,2,东边儿,129206357
90,2019,5,1,每次听都感动得不得了，总会想起大学的那位女同学，仿佛一切就是昨天。,1,RichardColumbiaUniversity,246229682
91,2019,4,30,十六年了，听到这首歌心还是会隐隐作痛。,1,黑色-从未因此悲伤,1429489534
92,2019,4,29,所以要自己体验那些不对——易家扬,0,心盒,18446422
93,2019,4,25,腻害,1,梏野,422645410
94,2019,4,22,听着歌，看着歌词，看着创作者，感觉真是庆幸，能遇见这么优秀的你们，写出唱出这样动听动情的歌，更庆幸再我青春正年少时有你们相伴，庆幸遇到你们！[爱心],2,鹰隼鸢鸷,359500136
95,2019,4,20,歌里有我的青春,0,Cuppaccino,127966805
96,2019,4,19,因为开头的钢琴爱上这首歌,0,snsd--,123692741
97,2019,4,17,那一天，鼓起勇气终于离你很近了，之后便渐行渐远,0,你说扎马尾很美_我说是的,257258826
98,2019,4,15,感激日推,0,阿sum仔,265279043
99,2019,4,14,记得你说过你喜欢听孙燕姿的歌  我也喜欢 甚至因为你喜欢听孙燕姿的歌有一段时间我都不敢听我怕一听就会想起以前说的那些话    直到今天听到了这首歌真的  太像了 以前也哭红了眼  现在明白过来也不算晚  只是你太坏了 怕了 一朝被蛇咬 十年怕草绳了 你是条毒蛇,0,赛宁在哪里,123943472
100,2019,4,14,“因为爱情输给时间”  ,1,赛宁在哪里,123943472
101,2019,4,10,哈哈哈哈哈可柔不可揉 ,0,带头大哥酱,6323757
102,2019,4,10,我又来了[可爱],0,愿君依旧笑,559237310
103,2019,4,8,怎么没有了你 都不对,0,君宝兔,261175084
104,2019,4,1,我们都过不了那条线,2,暮至明,94756999
105,2019,3,27,抉择,0,Mo__Cuishle,119746680
106,2019,3,27,太经典了,0,medsir,70093854
107,2019,3,25,当年很火，只是激流勇退后再不能回去了,4,草莓棉花糖丶,36267719
108,2019,3,25,怎么没有了你，都不对。,0,杰儿啊啊啊啊,486529715
109,2019,3,20,好羡慕啊，我只有是时候，克卜勒，梵谷。以前读书穷买不起[流泪],1,isNn丶,362158056
110,2019,3,19,在爱情字典里能找到什么答案呢。,0,keepcalmandcarryof,103794750
111,2019,3,18,这么厉害 赞,1,HY-跳舞的梵谷-HY,37991851
112,2019,3,16,这专的歌都太牛了 这歌换个名字应该能火[大哭],0,HearMe2019,294488489
113,2019,3,15,13岁开始听孙燕姿，今年我31岁了,1,黛小茜1801,1329115967
114,2019,3,15,还是好听,0,痛快自在,108724540
115,2019,3,15,鸡皮疙瘩啊！！！！！,0,梅克,125113872
116,2019,3,14,"作曲：陈文华
作词：易家扬
编曲：陈飞午

已经添加修改，请小伙伴们重新刷新歌词",1,作词_作曲_编曲_MV导演天下第一,546057330
117,2019,3,13,三月,0,Smiling陀飞轮,269836397
118,2019,3,12,总有一天我会忘了从前,0,-Embrace_u,420864628
119,2019,3,5,对于姿迷来说 你拥有最大的财富,4,绵绵粘粘,364896835
120,2019,2,27,前奏秒杀我,3,光絵,94243137
121,2019,2,26,爱情字典里虽然本没有永远，但是我们用多一点点辛苦和付出，这爱情一定会有一张证书,3,Hazimomo,314626460
122,2019,2,26,我只有英语的不会,5,经纬180729,1536664663
123,2019,2,23,最近的天空，多半是雨天。,1,s1ck1000,1471605268
124,2019,2,23,我有所有卡带,1,WinnerHuazi,47550940
125,2019,2,23,没人能唱出这种感觉了，包括现在的燕姿,8,Y淘淘,283975376
126,2019,2,21,喘不上气来 我要死了,2,取个名字老是用过,410314440
127,2019,2,7,怎么没有了你，都不对,0,周周_Tiffany,308933742
128,2019,1,28,爱情证书与爱情字典仅仅两字之差，却有着无法跨越的界限，我们即便跨越了地理，也跨越不了现实，所以我只能是隐形人。,4,深海黄星,1519374937
129,2019,1,21,有一天我会告别从前,1,安非他命miss,29903601
130,2019,1,19,我差不多也都会,1,愁容的骑士,381814572
131,2019,1,16,爱情字典和爱情证书[亲亲],6,二十二------,545222066
132,2019,1,15,"初三每天中午赶回家，为了看电视每天播的燕姿这首歌的MV,燕姿陪伴了我18年，永远爱你❤️",3,小海鸥180920,1604492867
133,2019,1,14,我的心里有一座城，城里只可以住两个人，可是缺的那个她在哪里呢？,1,loners鲸落,579798654
134,2019,1,10,13岁开始喜欢燕姿，今年我32了。,43,清晨我想喝杯凉凉的水,396826022
135,2019,1,7,我来了，老弟老妹呢,0,Joyce的橙子,1665584207
136,2019,1,5,我的青春..[哀伤],1,鬼模样,157896
137,2018,12,30,我只有全部CD,0,currencybao,258261214
138,2018,12,26,[多多亲吻][多多亲吻],0,Malicee,115018690
139,2018,12,26,爱情字典，旋律响起脑内自动播放。,1,Malicee,115018690
140,2018,12,26,燕姿最好听的专辑，有这么认为的吗？当时听着燕姿的cd好幸福,2,清风徐来1985,1313832113
141,2018,12,24,有一天我会告别从前,1,暮至明,94756999
142,2018,12,22,我们唱着东方红……,0,森海一只鱼,119354431
143,2018,12,21,有些东西不必太多人喜欢，自己喜欢就好,2,帐号已注销,1388402137
144,2018,12,16,我和你做了同样事情，我们年龄相当,2,rara22,393066805
145,2018,12,9,签到,1,孙燕姿的小迷妹啊,327977684
146,2018,12,8,越听越有味道,0,玉面丶小飞龙,263447524
147,2018,11,26,最喜欢孙燕姿的一首歌,1,滕源拓海,264960392
148,2018,11,23,我来说点别的，这歌的MV美爆了。,7,LZAKU,56740392
149,2018,11,15,"第一次评论，真的是爱情的成长史，每个人都一样呢
",0,张志明ss,593040510
150,2018,11,11,悲伤的人听悲伤的歌,2,另-张脸,56020714
151,2018,11,9,晚安(☝｀˘ω˘)☝,1,暮至明,94756999
152,2018,11,6,很长时间不听燕姿的歌了，偶尔过来听一下又是循环的一天，她的歌总是越陈越香啊。,5,用户277381598,277381598
153,2018,11,2,因为当年还是用磁带听的[大哭],2,neilex,327369828
154,2018,10,28,燕姿的声音有毒...,2,王麒凯mei,606790709
155,2018,10,23,白衬衫 白T恤 牛仔裤 帆布鞋 燕姿当年的造型真是小清新啊，永不过时。,2,彼得潘与狼,261245021
156,2018,10,19,同小时候[奸笑],0,跳大糖糖,109397388
157,2018,10,17,[钟情],1,__Tahiti,52310545
158,2018,10,15,很好听的歌，确实很少人知道,0,蜿蜒mm,277709362
159,2018,10,11,然而我开会员下的歌  会员过期居然歌也给我删除了  不知道开会员还有什么意义  网易不厚道,1,秋陨烟雨,304587930
160,2018,10,8, 我小时候最爱的歌曲,3,9点人,124168580
161,2018,10,7,我有一张盗版VCD  里面有你很多很多歌曲的MV  很多个夏天  很多个周末  守着电视 能播一下这首歌的MV 都是满足 我那时候根本不懂歌曲的意义  纯粹就是好听 旋律 感情 演绎 ,2,礼拜三去马孔多看雨,70156357
162,2018,10,6,怎么没有了你 都不对,1,hey小川,623615650
163,2018,10,2,陌生的城市 生活多考验 最近的天空 多半是雨天,4,令你心动的人叫小张,432603190
164,2018,10,1,(⊙o⊙)哇,0,知名咸鱼陈某,82322447
165,2018,9,28,上高中的时候曾经流行发短信给电台点歌，每天晚上都点这首歌给朋友，然后一个月电话费上百块，手机就被老妈没收了……,4,夏小泽Lucas,44916611
166,2018,9,28,我把燕姿忘记十多年了，现在听着竟然哭了[心碎],7,王璐粑粑,302756278
167,2018,9,27,今天四个月整,0,yvesmar,83310350
168,2018,9,27,2000年至2018年,1,天云1984,353931044
169,2018,9,26,1032，前奏,2,BruceWayne0427,256725495
170,2018,9,24,前奏爆炸性好听！！,1,灵魂缉天,50576252
171,2018,9,19,被前奏勾到了🌸🍯,0,Len_ui,396429071
172,2018,9,19,不火？？你太年轻了！！！,0,束手无策的虫儿向前走,115495761
173,2018,9,17,日推第一首真的是感伤……,3,童年已过兔,78691883
174,2018,9,14,嘻嘻 我姿,0,冰冰的小荔枝,286300516
175,2018,9,10,有一天我会告别从前,0,yvesmar,83310350
176,2018,9,10,"我只有一点点喜欢你了
我很乖了
我没有闹了
我也没有和别人提到你了
我想了一千遍一万遍我们在一起的样子
又觉得
这辈子都不要和你在一起了",4,柠檬不萌只是酸-M,511055517
177,2018,9,10,好听,1,-澍辞-,427704425
178,2018,9,10,我们，越来越爱，越走越远。,2,深海黄星,1519374937
179,2018,9,7,还是燕姿女王货多，有爱情字典也有爱情证书,1,暂无8,262787186
180,2018,9,7,随机到这里，唱一遍，留言,0,阳光灿烂的日子___,450814785
181,2018,9,6,等到哭红双眼那句好过瘾。。。,0,sitstill,37094129
182,2018,9,6,跟你几乎一样  同31。。。,1,sitstill,37094129
183,2018,9,6,因为爱情输给时间！好可怕，很可悲，又不得不接受。,0,松子and杏仁,280489920
184,2018,8,30,真舍不得再给你点赞。,1,不具名的花_,424960618
185,2018,8,27,最爱燕姿的那两颗门牙，好调皮好可爱，告诉我我不是一个人,4,蒙奇-D-LIU,34552086
186,2018,8,25,我们都过不了那条线,1,暮至明,94756999
187,2018,8,24,火不了了，毕竟太老了，但是我还是依旧喜欢,1,阳光灿烂的日子___,450814785
188,2018,8,22,再见了 这两年 从此之后 再无悸动,1,能否再渡我,480234674
189,2018,8,22,毕竟是17年前的歌了。。,2,符主任,1152037
190,2018,8,22,这么好听的我才知道，作为一个姿迷我不合格啊[流泪][流泪],1,windbreaker风衣,1482000199
191,2018,8,21,两个世界,2,暮至明,94756999
192,2018,8,21,来来来，嗨起来,0,黑色人生120,96780491
193,2018,8,20,这首歌会让我想到逃避虽然可耻但很有用的主题[恋],0,木廿雨,266861542
194,2018,8,20,[男孩],0,没错我是张无敌丶,65775151
195,2018,8,19,嘿 我1011,0,你有软趣味,413803844
196,2018,8,18,千年女神,1,unlose12,396717576
197,2018,8,17,这首歌不火真的吃惊,1,Ye1oW,305644358
198,2018,8,16,超级好听，爱燕姿[色][色][亲亲][亲亲],0,windbreaker风衣,1482000199
199,2018,8,14,1009 再次感叹前奏太好听了,2,_诗芊,81037679
200,2018,8,11,有一天我会告别从前,2,南安溥,498101134
201,2018,8,10,我也都会唱,2,抠脚刀男骚,345308381
202,2018,8,8,怎么可以不火呢，最喜欢的歌,2,GT921,97794108
203,2018,8,8,每天日推第一首歌就是燕姿的歌，这是骄傲的资本吗！[大哭]😀,1,Gump-D,353246732
204,2018,8,4,好喜欢这首的唱腔，感情和情绪真的是在每一个字里,2,钥匙tt,102355058
205,2018,8,4,永远有多远,1,林34,400839327
206,2018,8,4,终于999了,0,帐号已注销,534994406
207,2018,8,3,哈哈哈 厉害了,0,_诗芊,81037679
208,2018,8,3,不过燕姿懂事那首歌是我刷过999的 刷了好长时间,1,跳舞的梵谷yanzi,318974517
209,2018,8,3,啊啊啊啊，尽然被你强了，,1,跳舞的梵谷yanzi,318974517
210,2018,8,3,1000咯 这首歌前奏真的太好听了💛,2,_诗芊,81037679
211,2018,8,3,帮好朋友占一下999，毕竟是一起吹过风的人啊🌾✨,2,_诗芊,81037679
212,2018,8,3,998👏🏻,0,_诗芊,81037679
213,2018,8,3,997👏🏻,0,_诗芊,81037679
214,2018,8,3,让我996吧hhh,0,_诗芊,81037679
215,2018,8,3,995了 啦啦啦啦,1,跳舞的梵谷yanzi,318974517
216,2018,8,3,又见到你了,1,跳舞的梵谷yanzi,318974517
217,2018,8,3,哈哈哈让我来999,1,跳舞的梵谷yanzi,318974517
218,2018,8,3,助理999,0,唱游大世界,33952377
219,2018,8,2,这首歌真的 百听不厌系列了,1,_诗芊,81037679
220,2018,8,2,感同身受。,0,Em_mmma,397085783
221,2018,8,2,爱情的花样,0,寒水涧,39926713
222,2018,8,1,竟然没有999！,0,icy-face,442463422
223,2018,8,1,为999+1,0,有瑞克,32817376
224,2018,7,31,竟然都没有999,1,keystroke,99220196
225,2018,7,30,这么厉害啊,0,帅气的柳柳,126881351
226,2018,7,27,两个世界,0,雯雯同學er,366650323
