index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,好听,0,小懒男121,607826579
2,2019,11,3,在餐厅打破玻璃杯 也别慌张～碎碎平安 保全仪态～准备付账～,3,苑子潯的小号,1548957065
3,2019,10,28,这首歌越听越好听,0,小宇宙ingyy,64368890
4,2019,10,19,居然不999➕,0,冬天呀青瓜,390277012
5,2019,10,18,我爱前奏,0,leo林空,400486818
6,2019,10,16,带感,0,苑子潯的小号,1548957065
7,2019,10,14,这个好听,0,卡美洛之王,1570318234
8,2019,10,14,孙燕姿 也超[爱心],0,嗨_小孩,281037512
9,2019,10,13,言叶之庭 超❤,0,Thatis-to-forgeteverything,315573047
10,2019,10,13,原来如此,0,雪化成宇飘落,332281415
11,2019,10,5,怀念14年克卜勒演唱会的时候,0,sakura绘梨衣丶Zzz,246112871
12,2019,10,2,这么好听的歌怎么这么不红啊,0,neversaygoodbye2017,100608769
13,2019,9,29,我没看是谁唱的时候以为是外国和中国人合唱。。开头那几句好像外语啊[大哭],0,我对不起我上一个名字,344517245
14,2019,9,28,这首歌律动超酷啊[强][强][强],1,佩奇我儿子,1486876035
15,2019,9,26,我是个不合格的姿迷，我才听到这首歌。,0,告诉你你爱的人你多真多深刻,253029649
16,2019,9,26,喜欢最后燕姿的稍微改变字眼踩的节奏，《无限大》也是，“每个路人”也有拉长，填充,0,谢小P谢小P,36145223
17,2019,9,13,上头了,0,Kepler小姿,342372326
18,2019,9,5,伤心的人别听慢歌,1,jenny_garden,376139170
19,2019,9,4,这首歌，这么棒，热度真的不太符合啊,0,7things_,1318437548
20,2019,9,4,好听,0,邵小孩同学,112518631
21,2019,9,2,这首歌的live好可爱啊！！！！听起来也好可爱啊！！！！,0,漂浮群岛et_moi,101098936
22,2019,9,2,打个卡,0,才不是你的小兔叽,535487147
23,2019,9,1,一直很喜欢，我的燕姿啊[亲亲],0,_Original_Sin,58331209
24,2019,8,31,"五月天 爱情的模样
孙燕姿 爱情的花样",2,墨尔本-霁,425092071
25,2019,8,28,原来如此,0,栏歌_,31004990
26,2019,8,26,我只想晃动脑袋,1,Waiting-Ht,446496543
27,2019,8,25,我疯狂抖腿[跳舞],1,也不是猪只打呼,355734135
28,2019,8,25,太上头辽！！！呜呜呜真好听[流泪],1,也不是猪只打呼,355734135
29,2019,8,25,每次听都觉得开头那段有点像德语（然而我不会德语,2,Kairoscler,88344274
30,2019,8,19,又是冷门金曲??,1,sweettteee,416746687
31,2019,8,14,坐空交车疯狂抖腿,0,苑子潯的小号,1548957065
32,2019,8,14,啊啊啊啊欢快的节奏，活泼的声音。爱死,0,暖心甜y,540336727
33,2019,8,14,还是一样的喜欢,0,暖心甜y,540336727
34,2019,8,14,最近推荐我没听过的燕姿的歌,0,暖心甜y,540336727
35,2019,8,8,秀啊！！！,0,漂浮群岛et_moi,101098936
36,2019,8,5,"心跳跟着节奏 也正在隔空中对唱
受伤就记在账单 累积负债的失望",1,识刀客,623315109
37,2019,8,5,"拍拖让人勇敢 凡事都我们俩
爱得轰轰烈烈谁都不管
不断加码梦想 抓麦克风狂唱",1,识刀客,623315109
38,2019,8,5,"排除大家的眼光 触电把对方照亮
喜欢到没话可讲 一加一是标准答案",3,识刀客,623315109
39,2019,8,5,《爱情的花样》是由廖莹如填词，李伟菘谱曲，收录于孙燕姿2007年3月22日发行的第十张个人专辑《逆光》中。这首歌的前奏是编曲老师用软件把直来直往的一句话音轨反转的效果。,1,识刀客,623315109
40,2019,8,5,上头了,0,我是谁啊啊啊啊啊啊你也不知道,56391181
41,2019,8,4,旋律很棒啊！为什么不是999+？,0,fei是我,323881013
42,2019,8,2,像日语,0,Loseonwong,312070008
43,2019,8,2,嗨～我来增加评论了,0,羊小懒,45237899
44,2019,8,2,爱燕姿,0,借我半盏灯,107982595
45,2019,8,1,我觉得飘着也很好听,0,YZ的烟火,1581405283
46,2019,7,31,这张专辑全是金曲 为什么以前不知道,0,忧郁的巴乔zsl,397899348
47,2019,7,31,这首好好听,0,忧郁的巴乔zsl,397899348
48,2019,7,29,喜欢这首歌,0,伶伶伶呀,532777766
49,2019,7,29,姿迷打卡[亲亲],0,Erika_Linder,305117600
50,2019,7,29,打破六百,0,yesnamekris,353874001
51,2019,7,28,没有啊，觉得很好啊，这张专辑一出，每次k歌必点咕叽咕叽[呲牙][呲牙][呲牙],0,Wendy宵,283574943
52,2019,7,28,课代表,0,Wendy宵,283574943
53,2019,7,28,可爱的一首情歌，喜欢燕姿，就连分手的歌都没有歇斯底里的[亲亲],0,Wendy宵,283574943
54,2019,7,28,不懂姿的美,1,凝固迷,450601458
55,2019,7,28,好听,0,凝固迷,450601458
56,2019,7,22,[多多捂脸]我就知道，在b站听歌曲倒放就是这种感觉,0,maurice-ravel,1571737504
57,2019,7,18,怎么评论这么少 这歌超好听啊,0,neversaygoodbye2017,100608769
58,2019,7,18,举铁听这首差点扭起来🌚,1,T口十口十T,70211862
59,2019,7,14,592 加班听着很嗨，止不住跟着晃脑袋。。,0,Juicyo,112511048
60,2019,7,12,这张专辑的时候，还买的是磁带。12年后，磁带完全消失了。像极了出现后又消失没的人。,0,王大然,39587539
61,2019,7,12,厉害了,1,霉头霉脑云散月现自在飞花slay,42294326
62,2019,7,12,好好听,0,霉头霉脑云散月现自在飞花slay,42294326
63,2019,7,11,好喜欢这样风格的燕姿呀[可爱],0,听歌使我快乐喔,399543214
64,2019,7,10,很萌很好听,0,姿家人,263952201
65,2019,7,7,超级好听啊,3,neversaygoodbye2017,100608769
66,2019,7,4,这首要是别人来唱会显得很傻(就像我倫很多歌一样😂😂),3,谢小P谢小P,36145223
67,2019,7,1,我记得刚出的时候超级喜欢，编曲极度好评。,2,老Mingo丶,33274832
68,2019,6,23,好歌,0,motorcycles,283973423
69,2019,6,21,燕姿什么风格都驾驭的了,1,没有灵性的阿周,119517518
70,2019,6,10,真的6了,1,老师您谈过恋爱吗,94871945
71,2019,6,7,这首很好听啊,0,郭过过,45264448
72,2019,6,7,真的，歌词再感人点，这首歌可以的[亲],0,来自木星的肉包子,411436433
73,2019,6,6,数到一 数到二（饿） 开始有分量,0,Stefanie71,410964408
74,2019,6,1,这张专辑也不错！,0,Zoublazou-,412748376
75,2019,5,16,这歌词...😹,1,小茜老师,1628924173
76,2019,5,13,等一个20周年,2,Davie504,57455489
77,2019,5,12,冲呀,0,不许碰我的橡皮泥,401535287
