index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,昨天 和认识10年的男友 拿到我们的爱情证书,0,玫瑰0821,506947176
2,2019,10,13,一切都是随缘，证书也会过期。,0,peter369,407221442
3,2019,9,2,真的很好听，live有一种与众不同的情感呜呜呜，哭了,0,漂浮群岛et_moi,101098936
4,2019,7,20,幸福到底还有多长的一段路？,1,EATYAKUP,258301423
5,2019,5,28,我承认我脆弱，因为大学毕业十七年了，听起来还是心有戚戚……,2,谢导98010106,406948111
6,2019,4,27,全程笑着唱的，很温暖,0,东陆13,507819554
7,2019,2,22,爱不爱我? 爱!,4,八度依然二丁目,491739022
8,2019,1,13,一起冲冲冲,0,IPSS太阳,546835620
9,2018,12,23,就算幸福还有一段路,2,山岛草木,343222827
10,2018,12,23,我们用多一点点的辛苦,1,山岛草木,343222827
11,2018,11,27,2020想去,4,得想听,32860212
12,2018,10,7,他们说的喜欢那么轻薄，可是她唱的明明那么重。,2,我是那个蓝色的,266827594
13,2018,8,14,以前你说听这首歌 翻了那么久其实想看看能不能找到你 也不知道你怎么样了 ,0,parachutebb,341258701
14,2018,8,5,词温柔，曲温柔，夜温柔，风儿也抚平心中温柔的不温柔，愿最后被世界温柔以待。,1,singSos-,86975219
15,2018,8,3,💛,1,_诗芊,81037679
16,2018,5,30,燕姿声音好温柔😋,2,阿飞呵哈,372044272
17,2018,5,5,又怎样呢。,2,今夜我在德令哈哈哈,18622020
18,2018,5,2,以前听不懂现在能听懂了,0,鹿柒Deer,479815324
19,2018,4,27,当然啊 要把证书长久的握好 你们好幸运🍀,0,訾央伪装小漠漠,247480354
20,2018,4,22,还有这里,0,溪翁衫安静,421777279
21,2018,4,13,对！！！,0,于你旧故,45536863
22,2018,4,11,这个live太稳了,0,stef流年,1367583538
23,2018,4,11,好啊,0,stef流年,1367583538
24,2018,4,8,期待999+,1,技安啦,433340835
25,2018,3,28,希望这份感情一定会有转机,0,空港里的露絲瑪莉,249970032
26,2018,3,12,好听,0,骚年先疯队队长,34910202
27,2018,3,9,听到这首歌你是否也会想起我 和我一样在等一张爱情证书,191,黎洗,293636157
28,2018,3,9,这爱情一定会有张证书，证明，从此不孤独 不孤独啊，多好,0,漫无漫无,428113917
29,2018,2,19,扎心了  老铁.....,0,爱冒险的姚先生,309944024
30,2018,2,16,祝福你，也谢谢你,0,--爱慕--,399519346
31,2018,1,31,好啦，给你们机会和我大合唱。哈哈，声音好听,1,十三哥z,290982236
32,2018,1,31,不知不觉，这个声音听了好多年，大概这是归属感吧,3,十三哥z,290982236
33,2018,1,26,感觉有点超越cd版,5,Ed1son--,279253821
34,2018,1,25,[呲牙],0,王菲爱上张国荣,105073219
35,2018,1,19,我也想要一张爱情证书,0,Stef黑大帅,370779083
36,2018,1,8,我们的爱情也会有张证书,0,熊大的大雄,105558596
37,2017,12,29,为什么过了十几年了听到这个歌曲还是会流泪,2,风等雨我想你,334028186
38,2017,12,1,今天天气不错,0,如果你想起我你会想到什么-,372406780
