index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,心平安了，意念干净了，世界都会对你微笑。当你自己对自己微笑，世界上就没有烦恼的事情能缠住你；当你对自己非常真诚的时候，世界上没有人能欺骗你。—20170828,0,养浩然正气888888,387224947
2,2019,11,22,我也是,0,evababyyyy,116128320
3,2019,11,16,这个证太难了！！！,0,QQQQQ雨婧,278631400
4,2019,11,14,我们用多一点点的辛苦，来换多一点点幸福！相信过多几年，我们会越来越好的，加油💪,0,宇妮一生一世,443533903
5,2019,11,14,你毕业了吗？我还在留级，还在一遍遍地复习着沟通谅解忍耐和付出，还要走很长的一段路。,1,Whitecrowly,1864522
6,2019,11,12," 要记住，身心健康，
要靠安静，静能生慧。
告诉大家，静有八种，
  静心能去浮躁，
  静思能去烦恼，
  静观能学经验，
  静养修身养性，
  静默能懂事理，
  静望能躲干扰，
  静处能消杂念，
  静读能走正道。
  —20181230
 ",0,养浩然正气888888,387224947
7,2019,11,11,同龄人,0,Willsonmm1706,487278954
8,2019,11,7,不知道什么时候才能毕业[哀伤],0,哈AHA,74872174
9,2019,11,3,徐世珍？,0,帐号已注销,12597561
10,2019,11,3,为什么好歌评论总那么少？,0,陈波190509,1846206170
11,2019,10,31,这么久，买不起其它音乐听吗？心疼你。,0,识燕归来,373123070
12,2019,10,31,你男朋友得长成啥样啊，竟然异地这么久都没被别人勾跑，颜值不够的人们，相信爱情吧，而我，从来不信。,0,识燕归来,373123070
13,2019,10,28,第三人称只抄了第一句 就已经这样火了,3,不如学习1705,491553755
14,2019,10,26,异地六年，第一年的时候在听的歌，可以在一起的这一年，我们却分开了。,0,playwalklistenloveeat,6818880
15,2019,10,26,这首歌不只是异地恋，也不只是爱情，还有自己的成长,0,轴迹,31905955
16,2019,10,24,我们的青春一去不知返！,0,绺蔫,336787239
17,2019,10,19,当年高一，她在我的本子里偷偷抄了几首歌词。其中一首，是爱情证书。,2,毛彦,300449397
18,2019,10,18,20考研🐶路过,0,Tinymix,395623871
19,2019,10,15,你走不进那个人的心里，不一定是你不够努力，而是那个人也不断在加固心里的那堵墙。,0,满身傲气败依人,1885424576
20,2019,10,15,第一次听还是初中，窝在被窝里感慨在磁带里悠悠转着的燕姿的声音真的很特别，现在再来听已经结婚生子三年有余，感慨的是生活兜兜转转能够有个幸福的家庭多一点的辛苦多一点付出又算什么，一直在不断学习忍耐和付出。,0,whatt,40628470
21,2019,10,14,想当初错×问了她的隐私，听了一晚这首歌，却也是因为这首歌打开了她的心扉，过程中我们都为爱还在学，学沟通的语言，学着互相谅解，学着再也不流泪，用多一点点的辛苦，来交换多一点点的幸福，就算这幸福还有一段路，等我们学会忍耐和付出，这路一定会有张证书吧。你说呢。,0,听鸽子鱼,1654702950
22,2019,10,1,从这首歌认识了孙燕姿[多多比耶],0,s-xr,16108120
23,2019,9,29,我们要学会忍耐和付出,0,sasalau,102552046
24,2019,9,29,每次听到这首歌都会安静下来 每一句都是在唱我们 异地五年了 尽管扯了证 但我还是希望我们也能早点拿到真正的爱情证书 证明从此不孤独,0,请叫我不挂科大人,83729278
25,2019,9,28,孙燕姿的一首唱进我内心里的一首歌！,1,咻萨saxophone,98037350
26,2019,9,26,我和你有同样得感受，学生时代听不懂，现在回来听，真是刻骨铭心？,0,黑矮胖,23652246
27,2019,9,24,异星球恋专属歌曲,1,龙龙T80,471213156
28,2019,9,22,祝愿所有异地恋最后都能修成正果,0,Ypengsayhi,69517556
29,2019,9,21,删掉，让我发[大笑][大笑],0,猫阿0000,1547844887
30,2019,9,15,恭喜,0,Simple--clean,92266926
31,2019,9,12,"我们用多一点点的辛苦，来交换多一点点的幸福。
每每听到这一句，都不禁感慨这就是生活的真谛，也是爱情的真谛。",4,mjkop233,489490034
32,2019,9,11,这就是那种，每次听都能感到到哭的旋律吧,0,杨拜拜,117684619
33,2019,9,9,毕竟考研期间听了上百遍,1,bronzer123,346599653
34,2019,9,9,"@赵澜清 你不在我身边

总是特别想念你的脸",0,江小远,102105815
35,2019,9,8,恋爱了。要体会异地的苦了::>_<::,0,其實挺喜歡上一個名字,372474315
36,2019,9,8,正解,0,_喵与鱼,262789339
37,2019,9,7,哈哈哈哈哈哈哈哈哈,1,简单的野蛮生长,1408040926
38,2019,9,5,这不应该是一首考研歌曲吗,3,bronzer123,346599653
39,2019,9,2,听了十几年的孙燕姿，经历过爱情的伤和痛，终于迎来我的爱和我们的结晶。希望每一个人都心有所属,1,BLADE-羽帆,280916072
40,2019,9,1,评论都是15年的了么。真的老了,1,CherisHyyyyyyyyy,273132966
41,2019,8,31,我觉得作为一个成年人最起码的修养是了解再去发言，你见过谈恋爱好几个月从来不打电话只发微信的？我和手机恋爱？以后麻烦你不知道情况，把嘴闭好，纵然我就算是个事逼，好像也不管你屁事！,0,女王Quinn,69044775
42,2019,8,30,有的时候真的也是你太事逼了，不主动电话不能说明什么,0,曹珍强,105343108
43,2019,8,29,同城，同样感受,0,捕梦者1125,372901542
44,2019,8,29,都一样，上学时以为到30能结婚，但是……,0,捕梦者1125,372901542
45,2019,8,27,军恋的专属曲目,1,Freyaaaap,354893839
46,2019,8,26,小学六年级听的歌 当时真不明白歌词的含义 只觉得旋律很好听 现在快30了 和男友同性恋五年 终于明白这个歌词的含义 真爱要勇敢 尽管还有漫长的路，但是只要用多一点的辛苦多一些忍耐，学会理解学会付出，爱情一定会有圆满的结果！[爱心],2,淋淋的热带鱼,295482339
47,2019,8,24,本以为可以熬过去的…但是渐渐的我发现一个人是不是在乎你 是不是爱你 从他在不在乎你的感受和跟你吵架了以后怎么对你就知道了!我是很想跟你拿这个证书的…但是你没有珍惜…我也还是做自己吧…因为跟你一起我真的好累…从来不会主动打电话从来没有任何暖和的感觉…我总是一个人在等,1,女王Quinn,69044775
48,2019,8,24,网易啊 推一首燕姿的我喜欢一首 我喜欢里都是了  我直接整片添加多方便,0,农噶滴苏,273676137
49,2019,8,24,现在17 开始喜欢孙燕姿,0,July林琳,546035319
50,2019,8,22,谢谢[多多大笑],0,酥醪1115,605775790
51,2019,8,21,加油[爱心],0,遇姿人,541269428
52,2019,8,21,最爱燕姿,0,Nathan8365,92817979
53,2019,8,19,第一次听是初二，湖南台的音乐节目，舒高主持的，一转眼19年过去了，我的妈呀！,1,关金宝,364273719
54,2019,8,17,"第一次听到这首歌笑着分享给了他
在之后几天他去了军校 一千多公里嗯很远 其实我很担心会不会走到最后 但又特别相信他 大概最不能坚持的人是我 异地恋太远了太难了 对未来的可能性无知又恐惧
第一条评论送给希望走到最后的我们.",2,酥醪1115,605775790
55,2019,8,16,经典无以复加,0,Jimusic,2396151
56,2019,8,5,我将来结婚的大宝给我推荐的歌曲，虽然我们异地，但是我爱她，她也爱我！足够了,3,V88V,121654636
57,2019,8,3,记得音乐不断，记得mv，你还记得我吗？致敬19年。,0,吃馒头听辣歌,578098749
58,2019,8,1,我们用多一点点的辛苦，来交换多一点点的幸福,0,我叫甜宝宝,298902386
59,2019,7,31,yeah,0,我快樂所以你快樂嗎,259113225
60,2019,7,31,听说明年有演唱会,0,时光知味岁月沉臭,1688478748
61,2019,7,28,想看演唱会,4,我快樂所以你快樂嗎,259113225
62,2019,7,26,燕姿！！就是唯一！！华语乐坛的唯一,0,轩轩胖子,628176850
63,2019,7,24,恭喜啊！,0,熊猫园园1905,1854576971
64,2019,7,23,燕姿  生日快乐[蛋糕],4,_不加糖有点甜,128108088
65,2019,7,22,你们想要结婚证只需几块钱，却是某些人穷尽毕生努力都不能得到的存在,5,诸星之辉,423410830
66,2019,7,22,要把燕姿所有的歌都要听完才行,1,SuhooppaT3T,360353557
67,2019,7,17,cobain还在的话 52岁叻[可爱],0,kezzy-KZ,52587454
68,2019,7,17,哈哈明年见,0,好端端的dy,107140844
69,2019,7,14,想起了当时的孙燕姿，当时的自己，时过境迁。这个世界只有变化是永恒的。,0,sunmengtao,310686291
70,2019,7,11,寂寞当然有一点，不过寂寞更强烈。算是致敬吗,0,Sco-,71237807
71,2019,7,11,听这首歌的时候是01年吧，我记得那时候我们高一，我记得那时候我们很纯真[可爱],1,车黑冬,75253576
72,2019,7,10,"非要写点什么
其实现在已经很困了
但不想就这么睡了
在网路上 还有一些 曾经与我很靠近的人 留下的痕迹
还有那些没留下痕迹的许许多多
我喜欢的和 喜欢我的
就是没有互相喜欢的
不然我现在也不会是一个人了
孙燕姿有一首叫 爱情证书
以前是喜欢它的旋律 觉得歌词是唱给情侣的
“我们为爱还在学 学沟通",0,交通灯太鲜红,18436529
73,2019,7,9,又找到一个宝[呲牙],2,haddock_,310820852
74,2019,7,9,感觉那时候录完歌都不用修音，真好,0,你实在太实在了-,124263597
75,2019,7,5,明年上海见,0,xiaosong,408969
76,2019,7,5,七年异地恋  [心碎]   他可能把我忘了吧  ,2,晴天不能说的秘密,420643215
77,2019,7,4,异地恋前任发给我的。 哎,3,羊来了007,274893087
78,2019,7,2,看着自己两年前的评论，时间过得很快，尽管现在我们已经分开，最终没能毕业，但是经历了很多美好得事情，我觉得值得，感谢陪伴！,0,小小小小小的橘子,85533246
79,2019,7,1,这是听的燕姿第一首歌。我还记得MV粉色背景里穿粉白背心的她，留着短短的男孩子头，率性洒脱又恣意，用独特的声线娓娓唱来。今年第19年，在听遍周杰伦陈奕迅梁静茹后，还欠我本命爱豆一张演唱会门票。明年一定要见啊燕姿。,5,粥粥听小曲,2173513
80,2019,6,29,吗鸭！这张封面和听到这首歌前奏，我又回到小时候了！时过境迁的感觉让我好想哭[流泪],0,y_u_p,329219513
81,2019,6,29,寂寞淡然有一点,0,中指的揉术,414642226
82,2019,6,28,一辈子在学习,0,静香一直在奔跑,1712568079
83,2019,6,27,用歌给你坦白心事是我，最后没拿到证书也是我。,1,Anti-chair,318353644
84,2019,6,27,26岁 哪里到30,0,自有冧,580303318
85,2019,6,26,再多的辛苦也交换不了幸福了[皱眉],0,麦子的随想曲,84811546
86,2019,6,22,现在 你们结婚了吧,1,柒年旧时光,335036007
87,2019,6,20,同龄人 同样也在学习的我,0,迷茫的小黄鸭,443366085
88,2019,6,16,刚听吖，好心水这个旋律！,0,樱田妮妮-_,625241837
89,2019,6,13,你一定夺走过很多人的心吧wz,0,十skye,369927891
90,2019,6,10,恭喜你,0,天使可爱极了_,552003590
91,2019,6,9,异地恋终于要到头了，南京-武汉。那么多个日日夜夜，她终于要来了，我们终于可以一起起床看见彼此了。,4,40先森,570922053
92,2019,6,8,牛逼,0,Desperado_______-_,506442072
93,2019,6,7,19年了,0,水壶也有人叫啊,81478525
94,2019,6,4,我想来一段异地恋，可惜没机会[大哭],0,十四阿七,106519156
95,2019,6,1,六一快乐，我的最后一个六一了,0,阿豪辅助,1383470539
96,2019,5,30,只是偶尔看看你的孤独,0,奥尔泽斯克,509474425
97,2019,5,26,证明从此不孤独,1,安非他命miss,29903601
98,2019,5,24,承受了辛苦，学会忍耐，却找不到属于我的证书。,0,Mikuner,58042938
99,2019,5,23,同类,0,生姜汤圆,324095084
100,2019,5,20,想到一年多后就要开始异地恋 不敢想象那时候的自己会是怎样的心态 为爱一点点成长  等他回来娶我,2,ysyya,1481982894
101,2019,5,20,能说的 我说了 不敢说的 我留着 就算幸福还有一段路 可以了 满足了 ,0,愈久弥香,7483883
102,2019,5,19,哈哈28飘过~,1,用户88456330,88456330
103,2019,5,16,没什么是一成不变的，这是好事也是无奈。,0,唐TT小鸭,122509026
104,2019,5,13,我也是,0,wonwine,249598699
105,2019,5,12,从未成年听到离婚，还是没能：我们用多一点点的辛苦，来交换多一点点的幸福。,4,清晨你好1902,1760890434
106,2019,5,10,跟你一样大，也是小学六年级听的这首歌，那时的燕姿是唯一现在也是唯一，祝你幸福,1,willnexus,1438343560
107,2019,5,10,一首爱情证书，几乎成为上世纪末最后的文青少男少女们爱情宣言。这首歌让找准了最适合孙燕姿的歌路，令其一炮而红，从此开启巅峰天后之路，可谓一出道就将其捧上准天后的宝座，并在之后几年里都延续了这一不变的歌路。快20年过去了！歌坛流行的早已不再是这种台式小清新纯爱与励志混合的曲风。,2,总有些东西不会随风而逝,323768247
108,2019,5,9,me too,0,山竹丶小姐,97833957
109,2019,5,8,魏斯琪[爱心],0,魏斯Q,61145136
110,2019,5,8,好多情话我说不出口，但是好歹我听的歌比较多。初中时开始懂事情也开始对爱情有向往，那时也喜欢看一些书。我把想对他说的话都是藏在歌单里，我把我青春时期视为圣经的书给他。我以为他能懂我，或者至少他会愿意懂我。我以为我们都是第一次恋爱，没关系，我们可以慢慢学的……但是最后对他来说都是矫情,0,至禾,89774238
111,2019,5,7,听这歌的时候，那年刚好小学毕业。1999年的回忆，2000年的感动。太赞了！燕姿，没有之一，只有唯一。,0,玥菡的爸爸,1556031539
