index,year,month,day,content,likecount,nickname,user_id
1,2019,11,2,不必每件事情都在意,0,像暗杀似的绕到背后给你一Jio,1359745788
2,2019,8,6,哈哈哈，我可没有长翅膀，只是像向日葵喜欢孙太阳而已。,1,Theodorus,268511757
3,2019,8,6,哈哈哈，你也是天使吗,1,heiwawu,267125559
4,2019,8,6,我去，怎么可以这么暖，你是孙太阳派来的天使吗！！！我的回复是有自己的心境在，不过也是跟你一样希望姿迷会更好[大笑],0,Theodorus,268511757
5,2019,8,5,其实没有呢😂可嫩只是用来追念会更美好。觉得你以前的评论更多是对你自己说的，所以希望你是这样的🌹,0,heiwawu,267125559
6,2019,8,5,感觉你是念念不忘后有了回响呢，恭喜你😁,0,Theodorus,268511757
7,2019,8,5,希望你所热望却遗憾的事在哪一天也能惊喜地重逢，谢谢你[星星],0,heiwawu,267125559
8,2019,7,28,写的都是小朋友们现在正发生的事，唱的却都是大朋友们的回忆。,0,纾翔,45788051
9,2019,7,21,现在听真的又是另一种味道…,0,Tiger_Ming,125315299
10,2019,7,6,总是患得患失,0,毕澄茄,126371652
11,2019,6,4,我相信你会来,0,短了个訊,335133251
12,2019,5,22,我不走开！😬,0,Lssotaku,69708116
13,2019,4,12,分开了 不过回忆还是暖黄的 可能我算是一个幸运的 没有怨恨这段经历,2,戈金斯,502441602
14,2019,3,30,不相信我的感觉 和不相信你的感觉,0,brionytali-,79759250
15,2019,3,11,"毕业后的一段时间很彷徨,找了一份自己不是那么喜欢的工作,每天毫无灵魂的上班下班,不知道未来的方向在哪里.很想挣脱,却没有自信能成功挣脱,花了好长时间调整,无论什么时候,还是要相信自己,不要轻易妥协",2,vivere詹,62313519
16,2019,2,27,独自拥有冷门歌曲的感觉，真好，评论里没有故作呻吟的年轻人，可以让我安心听歌写评论，这感觉很美妙,2,花家1024,452977828
17,2018,12,16,啦啦啦,0,第八天的蝉_,52864345
18,2018,12,10,该是我的总会来.,1,小妹妹留步,116057312
19,2018,11,16,我有时候不想把心扉敞开，我有时候过于执著。我也有时候不想把自已的表达透露出来！我也是一样的很自私？,0,用户1565762831,1565762831
20,2018,11,16,我有点孤单浅浅的忧郁,0,用户1565762831,1565762831
21,2018,11,16,我也相信自已的感觉，相信自已的头脑简单,0,用户1565762831,1565762831
22,2018,11,16,我一定要相信自已，一定要勇敢坚持打倒困难！减少一点困难，我一定要让我自已去克服困难！再多的困难会让我变得越来越胆小，不能够勇敢一点。,0,用户1565762831,1565762831
23,2018,11,16,我也是一样偏执的性格，我看见有很多的困难。它会让我变得越来越胆小，但是我还不够勇敢的往前走！其实我再也看不到一丝丝的希望！我老是渴望悲观消极我要如何坚持下去呢！谁能告诉我我该怎么办呢？有什么办法让我变得勇敢一点。我的直觉告诉我我凭什么总会哭呢？我一定要认真一点才能够勇敢的坚持走下,0,用户1565762831,1565762831
24,2018,11,8,还是要相信啊,0,遥不可及的牙套少女啊,98867056
25,2018,10,13,还是怕走在路灯没亮的小道,0,船只留港,441384644
26,2018,9,13,我把所有评论都看了，也都点赞了。,2,孙燕姿best,46251605
27,2018,9,4,相信感觉，相信简单。,2,孙燕姿best,46251605
28,2018,9,4,超级爱这首歌，虽然现在也听的少了。,3,孙燕姿best,46251605
29,2018,9,1,好听啊,1,彼得潘与狼,261245021
30,2018,8,26,"开心听燕姿
不开心听燕姿",1,毕澄茄,126371652
31,2018,8,4,天很蓝 云很白 风很凉,1,_诗芊,81037679
32,2018,7,22,才109？不敢相信,1,是詹詹呀,250021270
33,2018,7,17,不必每件事情都在意,1,Sy_leileilei,331478409
34,2018,7,16,女神的歌总是充满力量[憨笑],1,Momo-mo-momo,128348752
35,2018,7,4,又失眠了，还听着燕姿的歌，明天考试，又想起心里那个人了，烦心事一堆，相信感觉  相信简单,1,Steflife,356419057
36,2018,7,4,该是我的总会来,1,Steflife,356419057
37,2018,6,24,评论太少了,1,达西v_,99342710
38,2018,5,18,孙燕姿的慢歌永远是最耐听,2,John__Cao,368042079
39,2018,5,15,啦啦啦啦,1,苍木嘛丽呀,68139189
40,2018,4,2,下午四五点的阳光和煦温柔，每到这个时候，我就会听这首歌，十几年了，从未改变[可爱],3,Susan兔子,278870741
41,2018,3,19,一点点你的微笑，已经让我觉得温暖,1,转章,506289414
42,2018,2,27,有点孤单，浅浅的忧郁,0,Natalie-yee,437613297
43,2018,2,2,不必每件事情都在意,0,你好燕姿,550973036
44,2018,2,2,我还不懂坚持 正好让我学会去爱,0,你好燕姿,550973036
45,2018,2,2,该是我的总会来,0,你好燕姿,550973036
46,2018,2,2,今天日记空白没有关系,0,你好燕姿,550973036
47,2018,2,2,我不知道明天会不会很美丽,0,你好燕姿,550973036
48,2018,1,18,还有一个版本哇，那个已经破千了,0,字迹微寒,100562566
49,2018,1,17,这首歌算冷门吗？我超喜欢这首歌的，那就安安静静的留在我的收藏歌单里面吧。[爱心],1,你的天文特征是几时几分,14380985
50,2017,11,5,加油！,0,星星点大灯-,471133622
51,2017,10,27,我早上的铃声[憨笑],1,孤独小孩o,273175427
52,2017,10,11,不论灰心，无论难过，无论挫折，无论失望，还是要相信该是我的总会来,0,officiant,307278487
53,2017,10,9,这么赞的歌竟然没破百？？这首歌无论旋律，还有燕姿的发音，都算是经典中的经典了，希望更多的人听到这首歌[亲亲],1,叫我李天王,263284637
54,2017,10,1,一切最好不过   相信,0,孤独小孩o,273175427
55,2017,9,17,要相信  属于自己的美好  总有一天会来[憨笑],1,心里没底儿,102117462
56,2017,9,7,一点点你的微笑，已经让我觉得温暖[亲亲],0,我是anna_anna是我,90870647
57,2017,7,19,这次听，歌词有感触了，特别是那句 不想工作[流泪],1,YssYuu,115451316
58,2017,6,29,嫌评论少的去看《我要的幸福》 早就破999啦哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 送我上去,0,zzYQhhhhhh,394212815
59,2017,6,25,自己都没有的东西，是没有办法给到别人的，比如爱。很多时候，你认为给对方的是爱，其实不过是控制和交换。爱自己，既爱那个好的自己，也爱那个不好的自己。,1,熟了糊了,79572091
60,2017,5,27,有时候喜欢是自私的，比如喜欢到不想把感觉分享给别人,0,Theodorus,268511757
61,2017,5,27,一辈子那么长，现在觉得很肯定的事情在未来却很可能觉得很不可思议[憨笑],0,Theodorus,268511757
62,2017,5,23,自由➕爱=100分。所以你给他,0,桃夭阿眠,90432178
63,2017,5,20,太过沉重，重得反而让别人觉得轻。,0,L11__,77995181
64,2017,5,14,日记空白了几个月了😃😃,0,奋斗青年橙草,304062593
65,2017,5,13,高三胡思乱想的时候给我力量的一首歌，现在听又有不一样的感觉，回首往事那又算什么,1,子杰经常打酱油,135392
66,2017,5,12,其实，对于我来说是输在了不够独立上。,0,小小蓉叶,14439892
67,2017,4,24,曾经最喜欢的歌,0,湿湿湿的泪,10033052
68,2017,3,29,怎么都不腻,1,跳舞的梵谷乀,264352662
69,2017,2,26,世界上最美好的两个字相信，可是却又那么多的谎言让人害怕相信。张舒翼，只要你说我愿意相信，可是相信又怎样，我不能原谅的是自己，我克服不了的是自己，你说我没错但是因为我是我就错了啊，我没错那什么错了？,3,Asaolaw,106198748
70,2017,2,21,❤️,1,CECINING,48442071
71,2017,2,19,相信。很喜欢这首歌。,1,移民的海豚,287732248
72,2017,2,19,永远的红❤歌曲！,1,孙燕姿best,46251605
73,2017,2,7,这首歌总是让我想起最困难的时光，一个人想在这首歌里得到勇气,1,突然发现一个地方,105378904
74,2017,1,14,这首歌说出了很多人的心声，不想工作[大笑][哀伤],4,壁树人,55072428
75,2017,1,13,曾经我以为 我们输在不懂坚持。但现在 我知道 我们输在不够爱。,0,桃夭阿眠,90432178
76,2017,1,10,今天日记空白没有关系,0,刘铜壁,395346946
77,2017,1,6,好听啊,1,哈哈____-___,366881847
