index,year,month,day,content,likecount,nickname,user_id
1,2019,11,4,它声音好适合asmr,0,Heyheyxfy,45158791
2,2019,11,1,为了燕姿的声音收藏了,0,休Xiu,289640047
3,2019,9,21,太迷人了吧[流泪],0,霉头霉脑云散月现自在飞花slay,42294326
4,2019,9,20,孙燕姿说段话我都能循环一上午，我是疯了吗[呲牙],3,你好蔡啊-,320084995
5,2019,9,15,俺太喜欢孙燕姿辽呜呜呜呜呜呜呜,3,也不是猪只打呼,355734135
6,2019,9,15,说话也太好听辽。,3,也不是猪只打呼,355734135
7,2019,7,31,太太太太太太太太太太太太太太太太太太太太太太太太太棒了,1,狂拽炫酷扛把子,423797079
8,2019,6,30,这什么嗓子啊啊啊啊我疯了,6,RainbowAfterTheRain,59825347
9,2019,6,30,我的天，吼吼听,5,RainbowAfterTheRain,59825347
10,2019,6,11,哪怕只是燕姿说话，我也能一直循环循环…,7,灵珠爸爸,284771354
11,2019,3,18,燕姿的声音太酥,11,别跑我还要听你讲故事,393797388
12,2019,3,18,真的是一副好嗓子，沦陷了，当然啦，你的唱功也没得说,4,Devotiontome,545406421
13,2019,3,18,比正式唱更好听耶，喜欢你，姿妈,2,Devotiontome,545406421
14,2018,11,3,我能循环燕姿说话的声音一千遍！！,4,YZ芣苢,330392808
15,2018,9,23,可能听到这的真的不多不多也,3,是红柚的季节啊,437448524
16,2018,9,23,哈哈哈 太可爱 [跳舞],1,是红柚的季节啊,437448524
17,2018,9,23,燕姿啊,1,是红柚的季节啊,437448524
18,2018,9,20,太喜欢姿妈的声音了怎么办...[痛苦],2,LapIace,355418011
19,2018,8,3,最爱孙燕姿,2,跳舞的梵谷yanzi,318974517
20,2018,8,2,....🎧,0,_诗芊,81037679
21,2018,5,9,比唱歌更好听,1,湖人死忠,7776579
22,2018,3,9,孙燕姿,0,33轉的LP,630862795
23,2018,3,9,接下来有好有坏，我只要记得你,0,33轉的LP,630862795
24,2018,3,2,good night,0,H_Stef,309880055
25,2018,2,22,哈哈哈可爱,2,H-S_Sun,296312220
26,2018,2,21,hello，你好，我是你粉丝，第二张专辑听了你的创作on the road，第三张专辑当然也听了填完词后不一样版本的真的。接下来我要单曲循环重新听你讲话了。,9,跳舞的反骨,33249451
27,2018,1,13, ❤️,0,双子_faye,626804992
28,2017,12,14,没太懂这段话是啥意思啊...,1,西瓜皮会长,295563286
29,2017,12,14,高中听的歌了，完了，暴露年龄,3,makiyo170720,546378063
30,2017,12,11,单曲循环[呆],1,AngusWood,94254103
31,2017,11,11,Hello~大家好我是孙燕姿，嗯..在第二张专辑的时候大家有听到我唯一的创作，而那首歌呢歌名叫做on the road. 那这张专辑，第三张，我们已经有填了词，后来呢就变成真的，那我觉得你们在第二跟第三张会听到不一样版本，那接下来也是另一个版本。,42,活着只求好玩,266447964
32,2017,11,4,后来呢就变成真的[呆],5,漫步的渴,11985761
33,2017,11,1,燕姿式连词破碎,3,丐丐龙,61471970
34,2017,10,23,这也能叫歌？不过我喜欢[憨笑],2,StefanieWY,408156180
35,2017,10,9,说话好好听哦,0,喜欢听歌的小威,612172851
36,2017,10,2,果然唱歌好听的人说话也会很好听,3,邓不利刚好,58560583
37,2017,8,29,这样都要付费下载！好想下载循环来听[大哭],4,小城旧音,292465669
38,2017,7,17,真的好爱你~,1,女也不是她,99300159
39,2017,7,15,这首歌当铃声,3,想去吹太平洋的风,431966292
40,2017,7,15,好好听,1,想去吹太平洋的风,431966292
41,2017,6,9,好酥的声音～[亲亲],0,小稻穗kepler,199023
42,2017,5,29,手动踩爪印，端午燕姿专辑一日游[奸笑],0,凌晨三点不睡觉的雨果,120801740
43,2017,5,19,[色],0,鱼雨子酱,50983533
44,2017,5,15,为什么人这么少？[呆],1,StefSunYZ,400603972
45,2017,5,10,好好听的嗓音,0,Malicee,115018690
46,2017,5,2,我天啊，孙燕姿，我耳朵要怀孕了！！！,3,跳舞的反骨,33249451
47,2017,4,14,真的伴奏啊？,0,KinchChiang,19498725
48,2017,4,12,声音好酥[色][色][色][色],0,小稻穗kepler,199023
49,2017,3,29,燕姿的声音好甜好酥好暖,2,向左走方向,54198997
50,2017,3,27,声音好听,1,我有努力和这个世界变熟,394296679
51,2017,3,2,燕姿声音真好听,0,梦的入口i,69513501
52,2017,3,1,声音超好听的[亲亲],0,矜持的睡戳了,60423445
53,2017,2,22,哈哈，倩倩我爱你,0,喜欢听歌感人的歌,97337001
54,2017,1,15,😑好苏好苏,0,帐号已注销,98513658
55,2016,12,22,[爱心],0,反底色,351141217
56,2016,12,7,[憨笑],0,烟月胶蓝辰,373292093
57,2016,12,5,妈的。。害老子以为孙燕姿给我打电话,6,二狗go-go,63381633
58,2016,10,5,"受不了额
",2,孙燕姿你是光芒果,77464742
59,2016,9,8,说话为什么这么好听!,5,柒星雪,85911992
60,2016,8,25,哈哈，竟然没听过,1,慢半拍小姐爱吃榴莲,321808673
61,2016,7,29,声音[惊恐][惊恐][惊恐][爱意][爱意][爱意],1,Collapse233,52183866
62,2016,7,26,[可爱]真的,0,一叶扁舟_____,98760641
63,2016,7,25,好听[亲亲],0,北极之狐,18473968
64,2016,7,4,好喜欢听燕姿说版本两个字！,6,李鴆-,30140630
65,2016,6,20,19:19,0,林守乐,55243746
66,2016,5,27,耳朵怀孕啦👂[可爱],2,楠楠邶邶,88627127
67,2016,4,26,喜欢听燕姿说话,1,雨陨,31875806
68,2016,3,25,mua~,0,成小姿S,84991554
69,2016,3,25,耳朵怀孕[色][亲亲],2,亲爱的偏执的疯子,68653116
70,2016,3,24,对，就是上一张的demo！on the road！,0,ZY-7,17531038
71,2016,3,5,这音色，我爱她一辈子,1,得布西森林,95937066
72,2016,2,22,声音好美,1,Rainieowo,83366096
73,2016,2,21,声音怎么能这么好听[憨笑],9,啊彩虹金刚,36813307
74,2016,2,15,[可爱],0,甜一分苦九分ya,50669579
75,2016,1,27,[钻石],0,AmanoAki,44216242
76,2016,1,6,[吐舌],0,那天与你邂逅的薇薇,7004245
77,2015,12,24,11,0,X中生,93115075
78,2015,9,5,真的，爱姿病晚期了！,4,用户41965267,41965267
79,2015,8,28,么么哒,0,闪泥啦啦啦,88079495
80,2015,5,19,[亲亲],0,湖人死忠,7776579
81,2015,5,3,666,1,大眼睛的刘胖子,55734389
82,2015,5,3,啦啦,1,大眼睛的刘胖子,55734389
83,2015,4,8,不管不管！纳太太！还要再爱你一万年！[流泪][流泪][流泪],5,1碗螺蛳粉,16736467
84,2015,4,8,不管不管！纳太太！还要再爱你一万年！[流泪][流泪][流泪],2,1碗螺蛳粉,16736467
85,2015,2,14,哈哈,1,背了个影,26852587
86,2015,1,12,真的,1,Halo_Stefanie,44758870
