index,year,month,day,content,likecount,nickname,user_id
1,2019,10,15,我又可以了！,0,也不是猪只打呼,355734135
2,2019,9,2,天呐中间那声笑，我死了呜呜呜呜呜呜她好可爱啊！！！！,0,漂浮群岛et_moi,101098936
3,2019,7,15,明年巡演麻烦给我唱原版[狗],1,NTUfail,71924954
4,2019,1,7,唱错词了哦，姿姿,0,currencybao,258261214
5,2018,8,3,🎧,0,_诗芊,81037679
6,2018,7,21,就这样爱了,0,空口言_l,246718404
7,2018,2,15,[爱心],0,我有努力和这个世界变熟,394296679
8,2017,12,26,珍惜你的泪水,0,PyLov,103996493
9,2017,11,5,早知道不喝咖啡了，不听燕姿的歌。睡不着了～,0,新垣結衣的衣,113558510
10,2017,10,17,好喜欢这个版本[亲亲][亲亲],1,Zikee,199532
11,2017,8,7,小紫霞快来吧救救我,0,帐号已注销,111389855
12,2017,7,29,错过全世界有什么可惜，我有你～,0,Dealbreakerrr,1718082
13,2017,7,20,真的好爱你[奸笑],1,泽彦式,83081825
14,2017,7,12,作曲：孙燕姿[色],1,八宝蔡菜菜,376055697
15,2017,6,22,我想和你唱第二季第一期，一大堆姿迷唱着，真的好爱你，我真的愿意，不管要去哪里，狂风和暴雨，有什么委屈，我有你。燕姿莫名感动，哈哈哈,2,跳舞的克卜勒,122786310
16,2017,6,12,青涩姿[奸笑],1,荡荡一隅清,337498403
17,2017,6,12,[亲亲][亲亲][亲亲],0,荡荡一隅清,337498403
18,2017,6,5,2分02秒那个笑！融化了,2,倚马可待的鱼,39817304
19,2017,5,13,非常适合做结婚背景音乐,1,Kepler0516,445163885
20,2017,5,3,哒哒哒哒哒啦,0,阿Dar,94482447
21,2017,5,1,❤,0,121个逸儿,129095979
22,2017,1,6,少女姿~~~[呲牙][呲牙][呲牙],0,闪泥啦啦啦,88079495
23,2017,1,2,吼吼听,0,反向参照系,79355981
24,2016,11,4,好甜,0,反向参照系,79355981
25,2016,10,22,是的，没错[可爱],0,爱姿海,126397948
26,2016,10,22,都是姿迷[可爱],0,暮光与苇草,120561984
27,2016,10,22,泰荣幸嘞,0,爱姿海,126397948
28,2016,10,22,我见过你的评论不下百次[鬼脸],0,暮光与苇草,120561984
29,2016,10,16,真的爱你,0,帐号已注销,124859943
30,2016,10,4,🤗🤗,0,举起手来跟我一起摇摆,78132797
31,2016,8,15,我喜欢这歌,0,别无他名,314562014
32,2016,7,20,我是王海峰我喜欢孙燕姿,0,爱姿海,126397948
33,2016,7,4,我是王海峰我喜欢孙燕姿,3,爱姿海,126397948
34,2016,6,30,滴 学生卡,1,Nnnnnnononn,115189651
35,2016,4,12,每个版本的真的 我都爱,1,青椒辣不辣,252663692
36,2016,4,12,用这首歌做彩铃已快十年，从来没有变过,1,不爱孙燕姿,513073
37,2016,3,27,评论这么少，增加一条,0,海外小仙人,65586509
38,2016,3,3,11-.- 好听,0,Rainieowo,83366096
39,2015,12,30,。,0,丼眠,3418384
40,2015,12,15,我要把这个版本的这首歌做我结婚的背景音乐,3,汪-洋就是这样姿STE,94855607
41,2015,12,14,我姿的现场很好听嘛,0,Kep_Ler,16482332
42,2015,11,16,赞赞赞,1,第九十九条狗,77921539
43,2015,10,12,已上传动态歌词,26,鸡骑猫,32964280
44,2015,10,4,真的   很多版本都留着,0,你的视线是谅解,48728206
45,2015,10,4,居然只有三条评论[惊恐],0,StefanieLoveSun,50924614
46,2015,9,7,我们走着走着，哭着笑着..,0,不爱孙燕姿,513073
47,2015,6,20,我也好爱你,0,沉余,10058977
48,2015,4,2,真的好爱你……,2,伊巴斯典,42166429
