index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,今天我喜欢的男孩给我推荐了这首歌诶,1,特别马叉虫,587295739
2,2019,11,25,可是你和我都忘了吖,0,南瓜蜗牛啊,1602653860
3,2019,11,25,那时候好想唱给你听啊。,0,南瓜蜗牛啊,1602653860
4,2019,11,25,越听越好听,0,南瓜蜗牛啊,1602653860
5,2019,11,18,想起十多岁的时候 每晚都是燕姿的声音陪着我,0,KThxBye,46577327
6,2019,11,15,别拿你的蕴味对我说好好爱自己，有本事你来啊。,1,小马马与马慢慢,491891637
7,2019,11,15,这张专辑最爱的一首,0,下一站因扎吉,382869294
8,2019,11,13,我来了❤️,0,-天太寒-,1747699488
9,2019,11,12,高一那年07年，通宵看你的mv，整夜整夜的，当年听不懂的期待，如今听到的是心酸。真的好爱你！,0,太瘦欢盈,484796375
10,2019,11,1,真的很爱你,0,XQ0823,489797899
11,2019,10,31,没仔细看歌词，原来这歌这么甜！,0,我想养只古乐兽,51814719
12,2019,10,30,有没有听这首歌就有种在海滩黄昏的时候 吹着海风 不是很热…,0,Quesarasara,481639223
13,2019,10,29,你听过 第二张专辑的on the road 的demo吗？？？,0,八六高志明,478055350
14,2019,10,28,如今重新听起这首歌，怀念起当年无忧无虑，谈谈情，说说爱，简简单单的生活与爱情，那种心境，再也无法找回。,1,浅草小鸟游六花,261673812
15,2019,10,28,我们燕姿的这首歌 评论真的甜！,0,KThxBye,46577327
16,2019,10,18,"你听过了吗
这是你最喜欢的歌手的歌啊
错过全世界有什么可惜
我已经有你♡.
💚💚💚💚💚💚💚💚",1,桃奈爱吃糖,1403023896
17,2019,10,18,想你,0,结菜,57780277
18,2019,10,17,想你了,0,L悦星,480183134
19,2019,10,15,爱你是真的[爱心],0,只愿作你的拉拉队,574138950
20,2019,10,13,➕俺一个！！,0,清和青鱼,564637631
21,2019,10,13,滴,0,Kepler__r,413257278
22,2019,9,27,我要要要要要要要你,0,原来已经8点了,108821835
23,2019,9,15,不行啊 兄dei,0,壹個繁體的傲嬌,45043615
24,2019,9,15,真的,0,实力派歌手,366326908
25,2019,9,14,结了吗，兄弟,0,小小的造价员,1400895302
26,2019,9,14,绵绵的，甜甜的，深深的，淡淡的。,1,遗世帝王,100005064
27,2019,9,10,一晃就是十六年,6,Derek_k0,559866643
28,2019,9,10,我是说 在海滩 穿着泳装,0,爱听干净轻松的歌,628266837
29,2019,9,10,我一听这歌就想起明日香怎么破,0,爱听干净轻松的歌,628266837
30,2019,9,7,"错过这世界有什么可惜
我们找到你了呀💚",3,__萝卜干__,374620729
31,2019,9,4,还是要祝你幸福哦,0,不吃秋葵啊哦,419211501
32,2019,9,3,她是个宝藏,1,买了包QQ糖,444261276
33,2019,9,2,等燕姿的2020演唱会。,6,鱼刺上头,335213083
34,2019,8,31,再➕1,0,fayeting,107261836
35,2019,8,31,🙌我也是哈哈哈哈,0,Lemon姚大萌,130053460
36,2019,8,31,错过全世界也错过你[心碎],2,麦丽素0723,544048498
37,2019,8,30,这句话让我泪奔了,0,秦什么呀,126393255
38,2019,8,30,听过啦~第一张专辑最后一首,0,秦什么呀,126393255
39,2019,8,30,听了15年孙燕姿，今天艳阳下看着窗外的白云，心里想起了这首歌,0,eva_zcs,1411892792
40,2019,8,29,旋律太舒服了，抖腿中...,0,霉头霉脑云散月现自在飞花slay,42294326
41,2019,8,28,作曲：天后孙燕姿,3,万古啊长存,629173321
42,2019,8,27,错过全世界有什么可惜 我已经有你,0,账号还是注销吧,17481219
43,2019,8,26,啊？,0,女神是孙燕姿啊,395256634
44,2019,8,25,因为李泽珑喜欢 所以我来了,10,是橙九啊,496593896
45,2019,8,23,"狂风和暴雨 有什么委屈
和风和细雨 有什么遗憾",2,橙与柠檬,273990268
46,2019,8,21,曲调是轻松、舒服的，喜欢这种感觉[星星],0,脩木,1340128555
47,2019,8,20,阿珑最喜欢的关于爱情的歌,21,说话都不利索却喜欢rap的牙套妹,483865095
48,2019,8,19,真的好爱你,1,墙角de小蘑菇,3515741
49,2019,8,19,真的好爱你燕姿,1,原来已经8点了,108821835
50,2019,8,17,好听,1,向日葵的笑容-,1395852378
51,2019,8,17,me too,1,人生一梦如梦似幻,29620767
52,2019,8,17,哈哈哈哈哈 都是这首居然漏了 打卡,0,Carolil,92477137
53,2019,8,16,我是玩语音助手的时候，她给我搜出来的[大哭][大哭],0,利元嘞,113712890
54,2019,8,16,结婚了吗？,0,利元嘞,113712890
55,2019,8,16,作曲：孙燕姿,2,漂浮群岛stef,120757295
56,2019,8,16,你值得。,1,Kepler小姿,342372326
57,2019,8,15,什么人写什么歌，和孙燕姿～,1,麦麦05133,101914484
58,2019,8,15,作曲 歌手本人[星星],1,vInCent哇,48926777
59,2019,8,14,西安欢迎你,0,Dealbreakerrr,1718082
60,2019,8,14,真的，值得。,1,一只mirdie,1717197921
61,2019,8,14,是真的,1,一只mirdie,1717197921
62,2019,8,11,我结婚一定要放这首！,0,漂浮群岛stef,120757295
63,2019,8,11,我也希望我嗑的cp是真的,0,失控的养乐多,1710507470
64,2019,8,11,哈哈哈。我也是,1,_YJX,70148601
65,2019,8,9,我也是！,0,寄一支春-,1336825776
66,2019,8,9,永远最爱的歌手,1,霉头霉脑云散月现自在飞花slay,42294326
67,2019,8,9,从阿珑那来的哈哈,37,要多喝水膝盖中箭,506137658
68,2019,8,8,真的好爱ww！,0,奶油小桃ouo,510294934
69,2019,8,8,真的好爱你我真的愿意,1,我没跌倒呐,1348119512
70,2019,8,8,那年的大学宿舍，慵懒的午后，古老的复读机放着这首歌的磁带，那年的快乐，永远的走了……,2,尤里克马克西姆,603618623
71,2019,8,7,贾梦奇我真的喜欢你[爱心],1,无解的孤独你让我怎么收尾,1456365174
72,2019,8,7,七夕快乐❤,1,于于安_,618802509
73,2019,8,7,真的好爱你,2,Fiona910,67063327
74,2019,8,6,真的好爱你嘻嘻,1,2-8421,312473113
75,2019,8,3,高中最爱的歌手,1,自然醒0918,1575518666
