index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,"让我看到一失恋女孩，把往日的痛苦伤感写成诗，轻轻哼唱，放下过去走出低谷。
也是完美的一天哦",0,Gladiator_q,120411964
2,2019,11,20,[口罩][口罩]对我的上条评论斧正，“字不醉人人自醉，你的品味总是美”，其实是出自水浒传中。具体是哪句我不记得了,1,奶心爸妈巧心结,437506782
3,2019,11,7,无路可退，只能无言以对,1,isNn丶,362158056
4,2019,11,7,是Jay演唱会翻唱啦~,0,isNn丶,362158056
5,2019,11,7,为何一听这首歌曲就会联想到很多伤心往事。,0,霹克,481252728
6,2019,10,30,我来组成评论,0,西兰花伶人,257332185
7,2019,10,29,因为回忆总是美,0,你听不到你听不到,627844123
8,2019,10,29,19.10.29回来听,1,ZY-7,17531038
9,2019,10,24,今天确实挺凉的😔,0,走召Vanilla_x,424525967
10,2019,10,21,哈哈  好想算了,0,风衣syz,619438249
11,2019,10,17,送你上去,0,_--宁缺毋滥--_,1578126505
12,2019,10,15,我昨天看到一句话，作为姿迷的我随即想到了这首林夕写的歌，原诗是黄增写的，此两句为“色不迷人人自迷，情人眼里出西施”。林夕巧妙的改写成了“字不醉人人自醉，你的品味总是美”。这文字功底真是达到了登峰造极的境界。,4,奶心爸妈巧心结,437506782
13,2019,10,15,我昨天看到一句话，然后就想起了这首林夕写的歌。原诗是黄增所写。此句为“色不迷人人自迷，情人眼里出西施”看来林夕的文学功底真的是到了曾峰造极的地步了，我却只能借用林夕所写“字不醉人人自醉”。,0,奶心爸妈巧心结,437506782
14,2019,10,12,评论这么少不科学,1,sunjiahang,375838001
15,2019,10,8,分手伤了谁，谁把它变美，我的眼泪写成了诗已无所谓。,0,上山打个铁,286462227
16,2019,10,6,忽然发现孙燕姿唱歌的普通话里有平卷舌～真好～,0,Pamgu0419,114014486
17,2019,10,4,我一直以为这首歌 原唱是 周杰伦,0,叮当猫的麦兜,1726957891
18,2019,10,3,三寸天堂原曲不是日本歌曲么,0,天空vz,256167033
19,2019,9,29,人自醉,0,大红红蝴蝶公主的手下,645714903
20,2019,9,22,第一次听是河南电视台的晓华探案,0,心若向吴,1438247144
