index,year,month,day,content,likecount,nickname,user_id
1,2019,9,21,哈哈哈哈哈哈哈哈哈听起来都感觉好累哦,0,Heyheyxfy,45158791
2,2019,9,9,我怀疑是柯有伦[大哭],0,可爱又迷人的反派角色Marco,347439483
3,2019,9,4,现场好有范！（第一次听到,0,NKOHC在路上,588588
4,2019,8,2,哈哈哈哈哈哈哈哈哈哈哈哈哈哈隔,0,我快樂所以你快樂嗎,259113225
5,2019,8,1,呜呜呜孙燕姿你可真可爱,1,我很鱼块,125768521
6,2019,7,6,开场有点尬，但人家也是好心，还是感谢  这个编曲挺好,2,天涯木桩,318254408
7,2019,5,29,[多多无语],1,唐某不沾刘女,347702944
8,2019,4,25,MC热狗？,0,PenNy诗宇,304114382
9,2019,4,3,啊啊啊部分引起舒适,1,NovaXyz,122018966
10,2019,2,18,这个现场编曲阉割了很多呀,2,Nembutal,285968582
11,2019,2,17,所以vcr是谁啊？,2,跳舞的yanzi,287088787
12,2018,10,11,哈哈哈,0,云_安安,1395846467
13,2018,9,3,听喜欢歌手的现场，总会获得有别于其录音室成品的更多体悟,4,天涯木桩,318254408
14,2018,8,30,笑岔气[憨笑],0,药药药药药药药药药药药丨,283128673
15,2018,8,4,哈哈哈哈哈哈,0,_诗芊,81037679
16,2018,5,14,哈哈哈哈这样一首歌没有和声是要累死阿姿吗 ,9,mathroccck,321013777
17,2018,5,4,眉中间有个红点，裤衩儿遮住眼……耶耶耶,3,中国蓝萨苏,559664325
18,2018,4,16,真的好听,1,是li李呀,81381113
19,2018,3,20,哈哈哈哈,0,别是太空人,82949922
20,2018,2,18,开头让我想起了“啊！啊！”,2,该帐号拒绝注销,82796760
21,2018,1,25,女的应该是陶晶莹，男的没听出来，不过人家只是卖力为孙燕姿暖场，这样称呼也不太好吧！[汗],51,别再奋力逞强,122065677
22,2018,1,25,马上要生二胎了，女歌手生孩子真的很影响气息，好多女歌手生孩子之后现场都受好大影响。为燕姿担忧,5,别再奋力逞强,122065677
23,2018,1,25,没有和声要死掉了……特别是高潮的地方……,3,Jartip,9919979
24,2018,1,25,我现在才看到[大哭]确实好搞笑,0,Chir_H,362260362
25,2018,1,24,"(ง •_•)ง 从25秒开始听吧,前面辣耳朵 影响心情",1,gjufjvhv,375234537
26,2017,11,29,和声歌手去哪里了？啊啊啊,4,我哼着歌你自然的就接下一段,100882927
27,2017,11,11,开场是桃子姐吗我天🌚,3,Sulite_,343351961
28,2017,11,8,大爱燕姿[色],0,DK_Huang,356550603
29,2017,11,8,这个歌词很敬业[大哭],8,我是llllllan,102037719
30,2017,11,5,后来生过孩子影响挺大的，尤其像她这么单薄的身体,7,抬头望到北斗星,9829701
31,2017,11,3,一开始 这个老鸨 和龟公是谁啊  求人肉    ,5,红_杉,91437186
32,2017,11,3,抱歉，开场我真以为是hold住姐[大哭],1,凌晨Jce,115773497
33,2017,10,19,这首的现场超级难 姿妈还是hold 住了,9,_一桩南方开,92360301
34,2017,10,6,我也要去喊麦啊啊啊啊,0,黑白金银灰,273069876
35,2017,9,22,蜜汁尴尬,1,显灯,106402290
36,2017,9,6,岳云鹏洗脑后来的……[大哭],2,阿冯姑娘,47386042
37,2017,8,24,哈哈哈 太可爱了,0,AmazingCookie,399436867
38,2017,8,23,[撇嘴]姿媽可愛起來，簡直不負責任。,4,鄒爸比,85768778
39,2017,8,12,这版本其实挺好听的，把前面开场去掉就完美了。,6,跳舞的克卜勒,122786310
40,2017,8,9,声音好像陶晶莹哈哈哈哈哈哈笑哭,1,-账号已注销____,318623237
41,2017,8,6,唔啊！VCR是谁啊！,3,他就在前方,112763444
42,2017,7,7,燕姿燕姿燕姿,2,Tachikaze,128230798
43,2017,7,3,和声。。呢？,3,兔子兔子bunny,37123324
44,2017,6,25,"财女
",1,见我就拜008,505604910
45,2017,6,8,评论这么少 加点人气  默默加班  坑比啊  ,0,听着歌能干什么,393294755
46,2017,5,20,时间不对,0,寒水涧,39926713
47,2017,5,17,11年左右燕姿的live水平高峰…气息充足，每一个音都顶得上,5,Islandofcyril,48634536
48,2017,5,16,amijia,0,雨还是不停地落下_,100825170
49,2017,5,11,哈哈哈哈哈哈哈哈哈哈哈哈这个开场   我特么想穿越回去把他俩怼下去😂😂😂,6,Zhouqixxx,260154680
50,2017,5,9,桃子姐,1,想去吹太平洋的风,431966292
51,2017,5,5,脑海中惊现阮经天的脸！,6,_亲爱的玛嘉烈,51454652
52,2017,5,3,开场的会不会有点😅,4,木头晨,57869920
53,2017,5,3,开场主持是纳豆和陶子姐？,1,未完成我,126542781
54,2017,5,1,现场竟然没有和声[怒][惊恐],2,STKoala,292662381
55,2017,4,30,这音质我居然还是听完了😂,0,年轻的茶餐厅老板,59103514
56,2017,4,26,两个主持人在尬麦,42,别再奋力逞强,122065677
57,2017,4,23,不行了 逢听必笑,2,气氛来了就要醉,308485041
58,2017,4,19,100[大哭],0,甲片薄冰,92661898
59,2017,4,18,-.-这开场，我都不想听下去了,4,两个小星球,57634124
60,2017,4,15,开头快笑抽了😂😂😂,2,气氛来了就要醉,308485041
61,2017,4,15,有燕姿的地方就有我,0,气氛来了就要醉,308485041
62,2017,4,13,这开场,0,帐号已注销,124859943
63,2017,4,7,来世。。。。。。。,0,三指禅师,274131568
64,2017,4,5,恒河水。。,2,_真爱你的云_,137110057
65,2017,4,5,yeah~fu*k 燕姿[惊恐],1,DemoDevl,245907910
66,2017,4,5,这个开场，好像孙燕姿是神，开场跟歌名挺配。,1,_Printemps___,248671014
67,2017,4,5,[呆]姿媽好嗨啦。,0,鄒爸比,85768778
68,2017,4,5,…………[大哭],1,小白十三号,115934564
69,2017,4,5,眉中间有个红点，裤衩遮住脸～,59,你拉着我说你有些---鱿鱼,403662933
70,2017,4,5,一开头那个女的在喊 吓得我一个哆嗦 ,4,小灰尘喔,268035661
71,2017,4,4,开头是喊麦？,4,贫僧智晨,3670404
72,2017,4,4,开头什么鬼[大哭],1,单身狗进化中,265864764
73,2017,4,4,感觉她唱遮住脸的时候，强调了头纱啊，小岳岳说那段相声是什么时候，感觉燕姿听了啊,2,鱼刺酥,268678650
74,2017,4,4,开场有毒,2,你是魔鬼吧ba,405555344
75,2017,4,4,从过渡段开始贝斯掉线了…？,0,过载青年爱德华,61180727
76,2017,4,4,你姿唱功…………,0,Yamamoto-Takeshi,6203371
77,2017,4,4,……想起了小岳岳……真是……毁歌[生病][生病][生病],1,时光为你等待isyou,280830959
78,2017,4,4,@九九事 哈哈哈哈一开场就笑死了,0,caomaaaaaa,399881404
79,2017,4,4,眉中间有个红点，裤衩遮住脸。[18][18][18],0,三亚张先生,360831408
80,2017,4,3,燕姿燕姿！啊啊啊～～燕姿！！,2,他就在前方,112763444
81,2017,3,17,秘制尴尬,1,大佛会跳扭扭舞,325868344
82,2017,3,10,我姿:不可以，谁叫我这么可爱。😏,5,鄒爸比,85768778
83,2017,3,10,[可爱]咿呀～孙！燕！姿！你再这么可爱！！！[可爱]那你就这么可爱下去。,2,鄒爸比,85768778
84,2017,3,5,开场吓到我了喂，赔钱可以吗,2,帐号已注销,124859943
85,2017,2,21,喜欢姿姐的认真与声音，令人感动。,1,悟空0118,45766926
86,2017,2,18,开场是现场粉丝叫的吧😂😂,0,气氛来了就要醉,308485041
87,2017,2,8,say 燕姿！！！,0,草字头的莎,58315679
88,2017,2,2,好尴尬啊，燕姿不无语吗？,1,瀚殊,252402160
89,2017,1,14,"眉中间有个红点

裤衩遮住脸[大哭]",3,SelfCare丶,78655150
90,2017,1,5,又羞耻又尴尬，开头是个什么鬼[大哭],2,迷人阿维,119914105
91,2016,12,17,我只是想听听裤衩遮住脸的原版[汗],0,冷冷清清地风风火火_,137392333
92,2016,12,13,开场有什么不对吗,0,罗森克鲁托,48300435
93,2016,12,9,好羞耻的开场[大哭],0,租啊子嘛你,264982478
94,2016,12,3,噗,0,你的咸茶,134657520
95,2016,11,24,开场哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,3,讹龙咆哮,109046503
96,2016,11,12,阮经天？,0,乾乾乾LXQ,74819010
97,2016,11,7,爱玛！开场吓死我了,0,LosYH,49347655
98,2016,11,1,燕姿的现场都唱得很用力,4,肯尼尼,118293774
99,2016,10,18,厉害了哥,1,Lirthy,129240653
100,2016,10,12,又倒回去听了一遍开场[呆],3,一叶扁舟_____,98760641
101,2016,10,9,开场简直。。。,3,李柳李要变身了i,86961589
102,2016,9,26,她只是转音特别好听而已。。,0,星期一的红糖渣,40321555
103,2016,9,23,😳狂野热血燕姿。,2,鄒爸比,85768778
104,2016,9,20,现场好赞[亲亲][亲亲][亲亲],0,柒星雪,85911992
105,2016,8,26,[亲亲],1,可阳快飞,115746724
106,2016,8,23,哼唱部分 已经是世界水平了 没想到她现场这么厉害~,12,Amethystium9902,20488462
107,2016,8,20,"前奏喊麦笑炸
",5,MOUNE,3834078
108,2016,8,12,好嗨,1,姑苏客st,79800447
109,2016,8,9,哈哈,1,苏三伞,111844957
