index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,还首歌导致我爱上咖喱鸡肉饭算么,0,伯谦1906,1875357820
2,2019,11,18,高中？我小学听的！！,0,入海之鲲,421442206
3,2019,11,7,papi,0,啦啦啦丶小魔仙,346524670
4,2019,10,24,如今的我众叛亲离,0,悲伤爱上快乐,361838466
5,2019,10,11,打卡,0,-一次就好---,537379047
6,2019,9,23,谁能有燕子这么灵气的声音？其他人能驾驭这首歌不存在的,0,bqs_anhui,1575754333
7,2019,9,19,岳云鹏毁了这首歌！！,0,Bluelizm,40289200
8,2019,9,11,阮经天,0,静菜菜,298070903
9,2019,8,30,姿姿帅气的声音,1,半生才遇见yu,1429413780
10,2019,8,23,吸域风情惹，吸吸,0,量子力学女博士啾咪,421246467
11,2019,8,18,终于找到了！,0,Clare酱,332010117
12,2019,8,13,PAPI酱？？！,0,迦辣,51101061
13,2019,8,8,裤衩遮住脸,1,李先笙哟,1825518505
14,2019,8,6,记得第一次听这首歌的时候是在家里电视的突然看到的MV,0,无声告白12,508282110
15,2019,7,21,以前的歌怎么如此经典,1,张小野123,246138377
16,2019,7,11,喜欢💕[多多比耶],0,狗狗卷卷,1637873789
17,2019,7,11,好听！,0,七辻地蛋,405841893
18,2019,7,4,燕姿早早早的异域风情歌曲也好听！,1,纯透明L,128563769
19,2019,6,30,可能因为是这张专辑收录的？,0,briannetsui,3810709
20,2019,6,20,眉中间，有个红点，裤衩遮住脸[大哭],6,L狗蛋mua,344458893
21,2019,6,16,男杰伦，女燕姿，我的青春！！！,0,驭龙散仙,344688256
22,2019,6,15,我有酒，你有故事吗,0,-薄-荷-味,1288802302
23,2019,6,7,神奇 没有999+ 应该是有未完成专辑版本的吧,0,小米糕啊,1436371488
24,2019,6,4,去K歌经常唱，很爽！,2,佳家佳家,447762148
25,2019,6,3,这个和绿光一样火呢[奸笑],0,很会吃的逗号,272946513
26,2019,5,26,来，干了这碗恒河水！[大哭][大哭][大哭],0,tomcat79,8979104
27,2019,5,16,papi酱？[多多捂脸],0,莫名其妙id,543795607
28,2019,5,15,好有特点的声音,0,姑苏客st,79800447
29,2019,5,13,听这个歌一股咖喱味！真爽！,0,徘徊的幽灵,118506698
30,2019,5,13,裤衩遮住脸,4,永不冒险的冒险家,267696338
31,2019,5,9,评论555[多多大笑],0,你的名字我的追寻,375773232
32,2019,4,28,评论555,1,喵喵和牛牛,381133407
33,2019,4,28,没有999＋是因为有另个专辑的版本[多多捂脸],0,乔和Joi,246440006
34,2019,4,23,这首歌标准的好听不火系列,0,柠檬很萌丶丶,1340003818
35,2019,4,20,神奇，没有999＋,1,无泪乞丐,1510192535
36,2019,4,12,我去，都没999+看来都是年轻人了王云,1,Mrsou1,424880918
37,2019,4,10,每次听都会想起我锅盖们的邪教现场，真的神奇的齐,4,空吒,591246862
38,2019,4,9,才这么多评论，😔,0,会做梦的air,40759745
39,2019,4,6,居然没999,0,叫啥名字蛮,45236313
40,2019,4,5,[憨笑]好喜欢这首啊，燕姿的声音太好听了   清澈动人,0,我不是故意的拉,432896491
