index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,好听,0,红尘小小生,73020014
2,2019,11,9,其实是好听的,1,得意尽欢吗,1995833702
3,2019,11,1,好酷好有感觉,0,得意尽欢吗,1995833702
4,2019,11,1,我真的好爱她唱这种感觉的歌  帅气洒脱,1,跳舞的反骨,33249451
5,2019,10,29,宝藏啊！,0,加雷马帝国太子妃,136728770
6,2019,10,16,啊我才发现是阿姿写的曲 我好喜欢！,1,魚藝凡,103671291
7,2019,10,15,这么好听才500多[惶恐],1,孙燕姿丶,1813871469
8,2019,10,12,生活是美好的！！！,1,别管地瓜,107365122
9,2019,10,5,这首歌 我以前可以倒背如流 就是觉得好听 好欢乐 哈哈哈哈,1,Meaginlee13,61472932
10,2019,10,2,给我999+,0,也不是猪只打呼,355734135
11,2019,10,2,真可爱。,0,也不是猪只打呼,355734135
12,2019,10,2,啊啊啊啊真好听啊,0,也不是猪只打呼,355734135
13,2019,10,1,好久以后我们在这里碰,0,识刀客,623315109
14,2019,9,30,喜欢燕姿的举个手？,1,镜子中1802,1366765262
15,2019,9,28,太好听了！！！,1,肖战gg冲鸭,1741386928
16,2019,9,25,姿迷们一起种地哈哈哈！,1,sweettteee,416746687
17,2019,9,21,我要种树，种钱，种寒暑假,0,识刀客,623315109
18,2019,9,21,喜欢喜欢,0,识刀客,623315109
19,2019,9,18,长出了麦田,0,Kepler-_-,300077987
20,2019,9,16,欢快的音乐缓解看文献,1,Christine-ou,337799242
21,2019,9,7,一块迪士尼是你的,2,盐辛,335224688
22,2019,9,6,嗯嗯嗯,0,梨花满地1806,1494003023
23,2019,8,31,可可爱爱,0,才不是你的小兔叽,535487147
24,2019,8,31,一直对这首歌接受无能[大哭]虽然是姿迷,0,Kepler2014,361306103
25,2019,8,31,干脆当做投奔自由！,0,才不是你的小兔叽,535487147
26,2019,8,30,这么多年了过去了   燕姿当年的声音还那么熟悉,0,今天夜间到明天白天,60011618
27,2019,8,21,哇哇哇好可爱这首偶喜欢死了！！,0,长出光之翼的树,624823144
28,2019,8,17,好久没听燕姿的《种》了,1,夏目和妖怪们,116098973
29,2019,8,17,这个歌真的超级好听啊！！,1,借我半盏灯,107982595
30,2019,8,14,戴着耳机声音稍微调大一点感觉耳朵要怀孕,1,苑子潯的小号,1548957065
31,2019,8,14,我竟然没发现这首歌！！我错了,0,暖心甜y,540336727
32,2019,8,8,别拦着我，我觉得我要跟着歌曲扭起来了,1,将军领,387504811
33,2019,8,7,这首声音好青涩好可爱啊！！！！！！,2,漂浮群岛et_moi,101098936
34,2019,8,6,"种下梦想会有收获时候
种下梦想会有收获时候",1,识刀客,623315109
35,2019,8,6,"漫游无限漫游
种下梦想会有收获时候",1,识刀客,623315109
36,2019,8,6,"去你能去的想你能想的
不动也别太久留",0,识刀客,623315109
37,2019,8,6,"新鲜水果还是一栋大楼
梦想现在就种",0,识刀客,623315109
38,2019,8,6,想想将来它会成长出什么啊,0,识刀客,623315109
39,2019,8,6,"现在不要动忙着做梦没有空
现在开始动每个结果大不同",0,识刀客,623315109
40,2019,8,6,不动也别太久留,2,识刀客,623315109
41,2019,8,6,"想想将来它会成长出什么啊

新鲜水果还是一栋大楼

梦想现在就种",0,识刀客,623315109
42,2019,8,6,"某个时候我们一起低头
一块地是你的",0,识刀客,623315109
43,2019,8,6,跳脱孙燕姿以往个人创作风格，「种」以African系世界音乐概念出发，「天黑黑」做词人廖莹如老师描绘出燕姿富涵赤子之心的一面，编曲中所有充满童趣的声音都是由燕姿到处收集而来，从概念到完成都是一首市场上不可多得的佳作。,2,识刀客,623315109
44,2019,8,6,《种》是孙燕姿演唱的歌曲，由孙燕姿谱曲，Kenn C编曲。并被收录于孙燕姿的同名专辑专辑《Stefanie》。,4,识刀客,623315109
45,2019,8,4,我喜欢这种风格,1,mia-kyo,1359795265
46,2019,8,2,这首歌唱现场肯定好累,0,7things_,1318437548
47,2019,8,1,世界风,0,Yiu___,600563937
48,2019,7,31,怎么能做到每首歌都这么好听[流泪],0,借我半盏灯,107982595
49,2019,7,25,酷酷的孙燕姿！！！我好爱她呀呜呜呜呜,0,追峰少女小小卿,269443029
50,2019,7,25,介么好听，评论居然这么少,0,识刀客,623315109
51,2019,7,22,新鲜水果会有的一栋大楼也会有的[爱心],0,猎者o,309869699
52,2019,7,22,这首歌结尾处有句音源素材和leave结尾的素材一样诶,1,rpoaru,81517607
53,2019,7,21,我的最爱,0,O_oHULLO,343829645
54,2019,7,19,这歌再怎么说也是十五年前的啊......,0,霉头霉脑云散月现自在飞花slay,42294326
55,2019,7,19,没有 水果 没有 大楼 没有 你也,0,真果粒粒粒粒yi,441520120
56,2019,7,11,燕姿实验性的歌，像王菲那样走艺术风，或者像谢安琪讨论政治，或者讨论哲学，或者纯粹音乐性的创新的基本没有，很多都是像种这样洋溢着可爱、很孩子气的东西。说实话作为成年人的我来说已经不感冒了，不知道自己未来的孩子会不会喜欢。,1,飔呐,410604285
57,2019,7,10,哈哈好有画面感的歌曲,1,听歌使我快乐喔,399543214
58,2019,7,4,喜欢,0,霉头霉脑云散月现自在飞花slay,42294326
59,2019,7,1,第九,0,kendy的风筝,362892899
60,2019,6,24,明天早起去种田,0,海盗7号z,381001273
61,2019,6,23,都听过诶,0,Floyoy,290980961
62,2019,6,19,2004年的时候不喜欢这首歌，2019年觉得真香,6,Y淘淘,283975376
63,2019,6,11,"人生路漫漫，你我相遇又分离。相聚总是短暂，分别却是久长，唯愿彼此的心儿能紧紧相随，永不分离。
",0,收集注销_收藏故事,1482537933
64,2019,5,23,好听啊,0,枣糕少女宋觉觉,116531378
65,2019,5,17,有些歌还是得用耳机听,0,ImOkay823,50669672
66,2019,5,8,初中这张专辑买的盗版磁带，用复读机听的，超爱,2,是胖妞麻麻呀,83211415
67,2019,5,7,燕姿  也是个宝藏女孩呢[多多大笑],1,Miss丶无奈,3725633
68,2019,5,6,最初被打开的一首歌,0,-1421-,45950539
69,2019,5,4,我也很纳闷呢[大哭],0,电音界的小清新,279855721
70,2019,4,30,是有别的版吗？怎么这么少评论,2,不能没有昵称么,268715020
71,2019,4,26,某个时候我们一起低头，咦？快递是你的？,8,Autism-H,50695673
72,2019,4,24,一块迪士尼 的,1,k19烧香,442199512
73,2019,4,16,走你想走的 做你想做的,1,佳瑶stef,307806566
74,2019,4,15,我就來看看評論，以前用磁帶聽只和自己交流,1,念舊的峰,49351360
75,2019,4,13,那时候就觉得是很有期待感的一首歌……某个时候我们一起低头，一块地是你的，想想将来它会长出什么……,1,贰叁叁叁子,560196021
76,2019,4,10,高中呀，真是快乐,0,在风来之前,533033156
77,2019,4,2,我好像第一次听[大哭]我不合格,1,NovaXyz,122018966
78,2019,4,1,初中，好怀念听这种歌的时光❤️,1,楚楚pixiecc,11658381
