index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,巨好听,0,RichardColumbiaUniversity,246229682
2,2019,11,18,啦啦啦啦,1,跳舞的梵谷yanzi,318974517
3,2019,11,16,让我长大后不会对着灰色无奈,0,A-KUONG,577837024
4,2019,11,7,好温暖啊,1,苑子潯的小号,1548957065
5,2019,11,7,不说名字万一老师不知道呢,1,某秋nnn,1718811753
6,2019,11,4,天啊，这首歌的词，写得太好了吧。[流泪],3,Psycheee丶,314455084
7,2019,10,31,好温暖啊，孙燕姿总是在每个年龄段都留下来足迹,0,绿水悠悠1708,562044240
8,2019,10,31,明年演唱会希望有深圳！广州也🉑️,0,Krajinovic-,63010249
9,2019,10,29,"我：不是所有的歌曲都要规矩的唱
声乐老师：你说什么?再说一遍
我说：不是所有歌曲都要规矩的唱！！",3,锦谣儿,580361487
10,2019,10,29,词是谁写的呀好好,0,安生M,96932271
11,2019,10,27,难过的时候，孙燕姿总是很及时的出现,1,苑子潯的小号,1548957065
12,2019,10,20,歌词很棒,0,夏凉c,1764364663
13,2019,10,16,亲爱的世界，给我一个黑板，让我画一幅自由的向往,0,windbreaker风衣,1482000199
14,2019,10,14,早！,0,Kepler小姿,342372326
15,2019,10,13,是滴！超级爱,0,哈德邦要哭了,118016447
16,2019,10,13,适合当睡前童谣,0,识刀客,623315109
17,2019,10,11,时候未到吧,0,秋石丶,353543342
18,2019,10,7,"""
亲爱的世界给我一个黑板
让我快乐地画一幅自己的向往
其实你不该教会我太多黑白
让我长大后不会对着灰色无奈
""",1,吉卜力精灵,1346236272
19,2019,10,4,听的好温暖,0,Dr981707,552738719
20,2019,10,3,"其实你不该教会我太多黑白
让我长大后不会对着灰色无奈",4,秋瞳与孙璟,308508868
21,2019,9,28,啥时候发新专辑啊,1,酷酷的阿姿,261060427
22,2019,9,25,我透！可真好听啊[色][色],0,也不是猪只打呼,355734135
23,2019,9,19,额，只是吐槽一下啦，没别的意思[大哭],0,霉头霉脑云散月现自在飞花slay,42294326
24,2019,9,19,我意思是我阅历不够，听不懂吗大家，别吐槽我了[吐舌],0,全村吃火锅大赛冠军,381474769
25,2019,9,19,这有什么听不懂的... 我不懂你，不做评价,0,霉头霉脑云散月现自在飞花slay,42294326
26,2019,9,19,童谣ep，超爱,1,霉头霉脑云散月现自在飞花slay,42294326
27,2019,9,17,越来越远了,0,梅干菜动物园,410840024
28,2019,9,17,我离我的梦想   ,0,梅干菜动物园,410840024
29,2019,9,17,高二喜欢上你，大二依然听着你唱的童谣[星星],1,梅干菜动物园,410840024
30,2019,9,12,原作者梁文福1987年写下的这首歌,0,别来无恙__,78305650
31,2019,9,11,麻烦看清楚再张口喷人，谢谢你键盘侠,0,全村吃火锅大赛冠军,381474769
32,2019,9,11,你可能是属于唱歌五音不全跑调的人,0,518124,393138893
33,2019,9,11,哈哈，都走过来了！,0,成全是种孤独,511193776
34,2019,9,10,同龄,0,过往云烟视而不见,305289320
35,2019,9,10,嘻嘻，日常表白燕姿,0,扛起孙燕姿就跑,2594529
36,2019,8,31,为什么是1987？,0,Young_SMMU,59497811
37,2019,8,30,哪有一直失败的人，加油，都会好。现在马上九月了，是不是比起发评论时好太多了,0,今天星期五24,623180764
38,2019,8,27,很早就开始听燕姿的遇见和我怀念的，听旋律听歌词，但却不想着了解歌手。暑假听了肖战唱的克卜勒，他很喜欢她一定有一定道理，我开始百度孙燕姿了。先是被1978年出生惊了，和我妈妈差不多了，接着是她的毕业院校南洋理工（世界排名11），我从心底开始敬佩这样一个优秀的Singer了，现在真的好喜欢她,6,陈影飒,510456179
39,2019,8,22,质量非常高的歌曲了，燕姿给我们传达的不仅仅是音乐。燕姿，优质偶像!,3,海盗7号z,381001273
40,2019,8,19,好听吗，我为什么听不懂，阅历没够吗,0,全村吃火锅大赛冠军,381474769
41,2019,8,17,仿佛2007年就在昨天,0,cheeseandkisses_,109894617
42,2019,8,16,真的是好喜欢这个歌词啊,3,et-cetera_,102515477
43,2019,8,7,嗯,0,人血馒头薛之谦嘻不知道别来问我,1529460927
44,2019,8,6,人家孙燕姿本人专辑都爱写yanzi呢～你们就别质疑人家说yanzi sun了~新加坡华人是用汉语拼音的…,0,冲嘢,3433797
45,2019,8,6,抱抱，休息一下看看演唱会吧，风风雨雨宁愿相信明天晴天,0,扛起孙燕姿就跑,2594529
46,2019,8,6,日常表白孙燕姿,2,扛起孙燕姿就跑,2594529
47,2019,8,2,童谣1987实在太抓耳了，旋律好听燕姿的声音在耳边呢喃，歌词有态度浅唱低吟。又温柔又安慰人心，希望每个你们每天都好好的，慢慢地向前,6,加油太阳,1398176371
48,2019,8,1,说的太好了,0,加油太阳,1398176371
49,2019,8,1,这首歌让我想到最早那张自选专辑，虽是翻唱但是唱的却是最特别的自己，爱你如初，就这么淡淡的唱，听你唱到天荒地老,3,栅栏开始认真生活每一天,84111620
